Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,15.6946363409,10.6309890289,14.4302758319,15.8313602473
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,15.882220803,7.75861970519,15.6769901232,16.9866093995
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,15.1942555161,9.02990014587,14.285712668,15.334786059
0,16.9698015896,9.07443682553,14.3442633336,15.3783070919
0,14.3905720203,9.229393442,14.4390849896,14.9848456511
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,18.1948934244,18.4193415808,16.0958942962,17.1007600284
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,14.3930162574,8.46156675441,11.1354245728,13.6100161156
10,44.6908094599,37.3884925734,41.7395959949,50.3069899879
10,44.0790138368,34.4393842229,37.2528297613,46.546142904
10,50.118169031,37.0745677939,50.0427475022,52.5745276277
10,46.6092885463,37.0368714418,48.08364052,52.3967365929
10,45.6760582017,34.00473138,43.6794387065,47.8715429752
10,43.8695755236,35.29201621,43.1948754265,47.3490846333
10,42.4152855449,30.7427715146,42.3312768283,44.207764046
20,48.0574936046,42.8475864246,45.440536505,54.8834129556
20,47.3198471792,40.5150330799,40.4449611626,50.0630790593
30,50.2471668887,47.2828979107,47.3676457533,56.9998647808
20,47.9005103041,40.1952370074,46.7995774366,51.0671778672
20,56.8836152054,43.9132205991,56.7698694006,59.1924227882
30,49.9834208698,43.0080226469,43.5794881364,53.6371223275
20,49.5056845979,38.3727617729,47.7294606782,52.1656937855
20,46.6963024507,34.933811876,47.4080982894,49.424407979
20,50.0176142625,41.1513360225,51.7066081491,56.1841906811
40,51.497032725,49.6134383923,48.9186193519,58.7000291098
40,52.6523554617,44.9782685035,46.0009039021,56.2157866294
50,53.472904992,52.0192739247,51.065459598,61.0043135826
30,51.8031389318,42.8377731658,49.8516735496,54.3523941727
30,58.3814948347,47.3395313905,58.2668556197,60.9310216992
30,51.2227525973,40.7909017432,49.6815179035,54.271098766
50,53.6915050721,46.7265754911,47.3164059349,57.6559185832
30,49.5611055304,37.5857400582,50.0854161808,52.4671372794
30,52.7650038566,44.936489185,54.5606342201,59.6835232736
60,55.0482531277,53.654814376,53.2679322468,63.2221739913
60,54.3765840225,47.7427627384,47.9865086008,58.6534734371
40,54.0535189549,44.4856185397,52.3371291495,56.7882092432
70,55.9379030126,54.3747283416,54.5308030107,64.5829412287
40,60.2091262105,49.2874065724,60.0064035711,63.2551354916
40,53.5102352919,42.7725811556,51.9436363974,56.5212421681
40,54.384533699,47.3895354511,56.1336490117,61.2987495571
70,55.5320189234,48.9327886436,49.2853756695,59.9826061633
40,51.8406337491,39.0627461415,52.1129554076,54.7757844659
80,56.8524689692,55.790931139,55.5877855492,65.8306195631
50,56.0916683156,46.2649126867,54.3685112747,58.8825254705
50,55.7658238202,45.0329835873,54.2601842546,59.1233684123
80,56.4601977188,50.2025381099,50.3094231987,61.2084650351
50,61.2952047516,50.748860135,61.0148831196,64.3132280463
90,57.5388471905,56.6780545952,56.362552103,66.6641843813
50,55.4001318556,49.0685144423,57.1381790681,62.3670338462
50,53.4581726151,40.3760500918,53.6914720995,56.582368237
90,57.1324594408,51.2123108641,50.975474693,62.0818998543
60,57.1051048736,47.8315064884,55.4321583338,60.063026842
100,58.3976752463,57.4757810161,57.222686465,67.7136764513
60,57.0706254861,46.2641282059,55.7046476585,60.5479485454
60,61.9315886754,51.9455852767,61.7601443584,65.0718461585
