Time(Iteration),syncCoLinUCB,GOBLin
0,2.1692428658,3.62152221428
10,8.17878384092,7.76877605193
20,13.0453712444,9.00552861054
30,16.2166121314,10.4619443617
40,18.0023000564,10.9207735697
50,19.1309082522,11.3419146837
60,20.0519707611,11.6215997497
70,20.914811251,11.8812837367
80,21.3831174106,12.4422983953
90,22.5965949706,12.5993359023
100,23.3171063307,12.776171713
110,24.5000484558,12.9844986654
120,25.0913191968,13.2259846029
130,25.3813481961,13.3873191646
140,25.741210747,13.5916853226
150,26.139943907,13.67570343
160,26.5162607578,13.9565642273
170,26.829992238,14.1461394063
180,27.138999793,14.2039084401
190,27.342539242,14.2906674699
200,27.6412944884,14.4612058449
210,28.0368517923,14.5685204124
220,28.3034414666,14.6586930658
230,28.65706304,14.795096303
240,28.997324185,14.891623407
250,29.2875077408,15.0588149076
260,29.5339515669,15.2558120943
270,29.7877077743,15.402315309
280,29.9354825065,15.464242617
290,30.0833423312,15.5074811513
300,30.3963246179,15.6215290592
310,30.528671736,15.6390884238
320,30.5894296438,15.6522480228
330,30.7070232899,15.7156983951
340,30.9539069979,15.7863655546
350,31.1206472727,15.8536492951
360,31.3727236917,15.9357206374
370,31.494947868,16.0467877469
380,31.6814991752,16.1166794248
390,31.9722784113,16.1296153795
400,32.2295398481,16.1687959031
410,32.4346108765,16.174929116
420,32.6677084557,16.184645628
430,32.8276944053,16.2168422008
440,33.0478031571,16.2481260901
450,33.2102606489,16.2950936299
460,33.3311880162,16.3316539966
470,33.445361285,16.3905602144
480,33.5775901331,16.424805892
490,33.6378146579,16.4277897002
