Time(Iteration),GOBLin
Time(Iteration),GOBLin
0,32.8056202158
0,31.7774833841
10,91.9161317808
20,101.255835722
30,106.550191967
10,87.0592486101
40,109.6790499
20,95.9012656791
50,111.946553732
30,100.717505721
60,114.592225073
40,104.826659755
70,116.804614829
50,107.020548087
80,118.015687077
60,109.350794481
90,119.773514146
70,111.437465277
100,121.205900499
80,113.356699348
110,122.427555667
90,114.886863826
120,123.520956603
100,116.423674324
130,124.655997183
110,117.282029741
140,125.553945473
120,118.437840995
150,126.595642154
130,119.593626673
160,127.45700399
140,120.13349043
170,128.162571661
150,120.941667805
180,128.952166449
160,121.769411898
190,129.470276926
170,122.5507594
200,130.014377702
180,123.259522735
210,130.514220251
190,123.651600944
220,131.108800251
200,124.061410951
230,131.544860737
210,124.532045575
220,124.966882299
240,132.146672286
250,132.614228312
230,125.428269055
260,133.119199852
240,125.896527474
270,133.536059645
250,126.382967715
280,133.876258145
260,126.739311432
290,134.247045439
270,127.190690225
300,134.598664975
280,127.49073611
310,135.11160825
290,127.897538821
320,135.54846946
300,128.481707735
330,135.893882404
310,128.789811917
340,136.393702647
320,129.310084112
350,136.738029804
330,129.60208648
360,136.99963473
340,129.863965958
370,137.476069257
350,130.105587858
380,137.948749455
360,130.523627823
390,138.268693682
370,130.890560508
380,131.237237508
400,138.522808056
390,131.538999834
410,138.950552862
400,131.876209207
420,139.213605063
410,132.23983406
430,139.397387488
420,132.504207854
440,139.710348752
450,139.999686788
430,132.792022328
440,133.11247754
460,140.399499581
450,133.300109676
470,140.777222787
460,133.658425859
480,141.137169788
470,133.855677207
490,141.38822517
480,134.042472152
490,134.259690805
