data,1241298600,324153.0;12196.0;326438.0;14871.0;315115.0;11928.0;1.21079911501;1.0060769133,4469.0 78.0 109536;2986.0 127.0 109476;919.0 30.0 109541;8522.0 323.0 109542;7492.0 252.0 109544;3556.0 68.0 109545;111.0 5.0 109561;11739.0 474.0 109547;1547.0 48.0 109518;2698.0 93.0 109551;1683.0 44.0 109553;2787.0 100.0 109554;2238.0 70.0 109555;12854.0 537.0 109524;772.0 23.0 109557;635.0 15.0 109558;478.0 8.0 109559;379.0 7.0 109560;3647.0 149.0 109556;79.0 3.0 109562;73.0 0.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,324698.0;12201.0;326934.0;14885.0;315621.0;11942.0;1.21163814492;1.00692091501,4493.0 78.0 109536;3008.0 127.0 109476;940.0 30.0 109541;8541.0 323.0 109542;7516.0 253.0 109544;3578.0 68.0 109545;137.0 7.0 109561;11760.0 475.0 109547;1567.0 48.0 109518;2722.0 95.0 109551;1711.0 45.0 109553;2827.0 101.0 109554;2255.0 70.0 109555;12870.0 537.0 109524;801.0 24.0 109557;658.0 16.0 109558;500.0 8.0 109559;403.0 7.0 109560;3664.0 150.0 109556;113.0 6.0 109562;96.0 0.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,325674.0;12240.0;327910.0;14914.0;316543.0;11966.0;1.21015541388;1.00581464539,4524.0 78.0 109536;3037.0 128.0 109476;985.0 32.0 109541;8591.0 325.0 109542;7552.0 254.0 109544;3610.0 68.0 109545;11811.0 475.0 109547;1594.0 48.0 109518;2780.0 99.0 109551;1778.0 46.0 109553;2869.0 102.0 109554;2296.0 72.0 109555;3706.0 151.0 109556;842.0 24.0 109557;717.0 18.0 109558;541.0 9.0 109559;466.0 10.0 109560;197.0 9.0 109561;189.0 9.0 109562;139.0 1.0 109563;12912.0 539.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,326566.0;12260.0;328857.0;14946.0;317471.0;11992.0;1.21059362856;1.0061623365,4541.0 78.0 109536;3077.0 129.0 109476;1031.0 33.0 109541;8643.0 328.0 109542;7590.0 254.0 109544;3640.0 68.0 109545;257.0 11.0 109561;11848.0 476.0 109547;1617.0 49.0 109518;2856.0 103.0 109551;1813.0 47.0 109553;2913.0 102.0 109554;2338.0 72.0 109555;3770.0 157.0 109556;888.0 27.0 109557;763.0 18.0 109558;568.0 9.0 109559;519.0 14.0 109560;12959.0 540.0 109524;253.0 9.0 109562;199.0 5.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,327487.0;12293.0;329818.0;14972.0;318450.0;12024.0;1.20932114844;1.00587472952,4559.0 78.0 109536;3114.0 130.0 109476;1072.0 34.0 109541;8698.0 330.0 109542;7636.0 256.0 109544;3665.0 68.0 109545;11902.0 480.0 109547;1642.0 49.0 109518;2941.0 107.0 109551;1851.0 47.0 109553;2938.0 102.0 109554;2385.0 75.0 109555;3879.0 160.0 109556;922.0 27.0 109557;790.0 18.0 109558;587.0 9.0 109559;594.0 17.0 109560;317.0 11.0 109561;304.0 10.0 109562;248.0 5.0 109563;13000.0 542.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,328388.0;12325.0;330844.0;15005.0;319384.0;12058.0;1.2084065971;1.00591775679,4580.0 78.0 109536;3164.0 131.0 109476;1120.0 35.0 109541;8772.0 334.0 109542;7674.0 258.0 109544;3686.0 69.0 109545;11966.0 482.0 109547;1670.0 51.0 109518;3044.0 107.0 109551;1892.0 48.0 109553;2965.0 102.0 109554;2455.0 77.0 109555;3964.0 163.0 109556;957.0 28.0 109557;825.0 20.0 109558;612.0 10.0 109559;678.0 20.0 109560;358.0 13.0 109561;362.0 11.0 109562;280.0 7.0 109563;13046.0 544.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,329323.0;12362.0;331806.0;15036.0;320384.0;12089.0;1.20720605688;1.00520093081,4597.0 78.0 109536;3199.0 131.0 109476;1180.0 39.0 109541;8829.0 335.0 109542;7713.0 258.0 109544;3699.0 69.0 109545;12040.0 486.0 109547;1690.0 52.0 109518;3125.0 112.0 109551;1924.0 49.0 109553;2987.0 102.0 109554;2504.0 77.0 109555;4045.0 165.0 109556;1013.0 32.0 109557;851.0 20.0 109558;634.0 10.0 109559;751.0 21.0 109560;410.0 14.0 109561;407.0 13.0 109562;337.0 9.0 109563;13097.0 547.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,330243.0;12391.0;332726.0;15072.0;321355.0;12134.0;1.20728946334;1.00634337748,4608.0 78.0 109536;3214.0 132.0 109476;1251.0 41.0 109541;8873.0 336.0 109542;7745.0 259.0 109544;3719.0 71.0 109545;12113.0 488.0 109547;1715.0 53.0 109518;3204.0 115.0 109551;1956.0 49.0 109553;3009.0 103.0 109554;2550.0 78.0 109555;4148.0 173.0 109556;1076.0 37.0 109557;897.0 25.0 109558;446.0 15.0 109561;797.0 21.0 109560;13155.0 548.0 109524;439.0 13.0 109562;386.0 9.0 109563;651.0 11.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,331175.0;12424.0;333667.0;15114.0;322317.0;12165.0;1.20743083775;1.00606259724,4624.0 78.0 109536;3246.0 134.0 109476;1311.0 43.0 109541;8905.0 336.0 109542;7765.0 259.0 109544;3733.0 71.0 109545;12170.0 490.0 109547;1752.0 54.0 109518;3310.0 121.0 109551;1974.0 51.0 109553;3043.0 106.0 109554;2571.0 78.0 109555;13214.0 550.0 109524;1160.0 42.0 109557;953.0 31.0 109558;665.0 11.0 109559;849.0 22.0 109560;486.0 17.0 109561;490.0 16.0 109562;420.0 9.0 109563;4252.0 178.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,332130.0;12457.0;334633.0;15145.0;323254.0;12197.0;1.20668843879;1.00601338081,4637.0 78.0 109536;3270.0 134.0 109476;1354.0 43.0 109541;8962.0 342.0 109542;7784.0 259.0 109544;3753.0 71.0 109545;12230.0 492.0 109547;1772.0 54.0 109518;3439.0 125.0 109551;1993.0 52.0 109553;3082.0 109.0 109554;2602.0 78.0 109555;4356.0 181.0 109556;1242.0 44.0 109557;1060.0 36.0 109558;685.0 11.0 109559;880.0 23.0 109560;523.0 17.0 109561;521.0 16.0 109562;439.0 9.0 109563;13275.0 554.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,332989.0;12478.0;335638.0;15175.0;324167.0;12229.0;1.20654210198;1.00671618089,4648.0 78.0 109536;3292.0 135.0 109476;1401.0 45.0 109541;9036.0 344.0 109542;7804.0 259.0 109544;3779.0 72.0 109545;12305.0 495.0 109547;1797.0 54.0 109518;3536.0 126.0 109551;2027.0 52.0 109553;3134.0 110.0 109554;2633.0 79.0 109555;13339.0 558.0 109524;1343.0 48.0 109557;1165.0 40.0 109558;700.0 11.0 109559;909.0 23.0 109560;542.0 17.0 109561;558.0 19.0 109562;466.0 9.0 109563;4450.0 184.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
