data,1241749200,1553481.0;57209.0;1563461.0;73333.0;1516895.0;56453.0;1.27366140582;1.01058557675,3892.0 161.0 109696;2271.0 64.0 109697;2447.0 83.0 109698;5310.0 297.0 109699;2641.0 97.0 109700;1767.0 43.0 109701;1248.0 26.0 109702;16435.0 1068.0 109703;3621.0 188.0 109704;1345.0 46.0 109706;388.0 14.0 109707;1019.0 51.0 109708;221.0 11.0 109709;43.0 3.0 109710;33566.0 1496.0 109635;2149.0 71.0 109651;6424.0 80.0 109660;6589.0 141.0 109667;3911.0 145.0 109673;4152.0 196.0 109675;6388.0 247.0 109683;5996.0 251.0 109689;3994.0 168.0 109690,109696.0 8333;109697.0 8333;109698.0 8333;109699.0 8333;109700.0 8333;109701.0 8333;109702.0 8333;109703.0 8333;109704.0 8333;109706.0 8333;109707.0 8333;109708.0 8333;109709.0 8333;109710.0 8333;109635.0 8333;109651.0 8333;109660.0 8333;109667.0 8333;109673.0 8333;109675.0 8333;109683.0 8333;109689.0 8333;109690.0 8333,109696 378;109697 376;109698 325;109699 357;109700 354;109701 333;109702 402;109703 371;109704 370;109706 377;109707 360;109708 358;109709 377;109710 365;109635 371;109651 363;109660 349;109667 340;109673 359;109675 359;109683 346;109689 377;109690 366
data,1241749500,1553985.0;57221.0;1563966.0;73346.0;1517387.0;56467.0;1.27362186368;1.01062429689,3911.0 161.0 109696;2295.0 64.0 109697;2468.0 83.0 109698;5343.0 299.0 109699;2657.0 97.0 109700;1785.0 44.0 109701;1268.0 26.0 109702;16461.0 1068.0 109703;3646.0 190.0 109704;1375.0 47.0 109706;404.0 14.0 109707;1039.0 53.0 109708;252.0 13.0 109709;55.0 3.0 109710;33591.0 1496.0 109635;2173.0 71.0 109651;6448.0 80.0 109660;6603.0 141.0 109667;3924.0 145.0 109673;4169.0 196.0 109675;6413.0 248.0 109683;6026.0 253.0 109689;4016.0 168.0 109690,109696.0 11667;109697.0 11667;109698.0 11667;109699.0 11667;109700.0 11667;109701.0 11667;109702.0 11667;109703.0 11667;109704.0 11667;109706.0 11667;109707.0 11667;109708.0 11667;109709.0 11667;109710.0 11667;109635.0 11667;109651.0 11667;109660.0 11667;109667.0 11667;109673.0 11667;109675.0 11667;109683.0 11667;109689.0 11667;109690.0 11667,109696 462;109697 513;109698 510;109699 505;109700 505;109701 524;109702 483;109703 542;109704 496;109706 550;109707 492;109708 476;109709 509;109710 526;109635 523;109651 499;109660 507;109667 469;109673 498;109675 517;109683 510;109689 496;109690 555
data,1241749800,1554867.0;57260.0;1564831.0;73367.0;1518228.0;56492.0;1.27313724251;1.01039655412,3956.0 162.0 109696;2319.0 64.0 109697;2512.0 85.0 109698;5375.0 299.0 109699;2698.0 98.0 109700;1825.0 44.0 109701;1297.0 26.0 109702;16495.0 1069.0 109703;3685.0 192.0 109704;1406.0 47.0 109706;446.0 15.0 109707;1088.0 57.0 109708;313.0 15.0 109709;86.0 3.0 109710;33620.0 1496.0 109635;2207.0 72.0 109651;6475.0 80.0 109660;6645.0 143.0 109667;3964.0 146.0 109673;4211.0 197.0 109675;6451.0 248.0 109683;6070.0 255.0 109689;4043.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 880;109698 912;109699 866;109700 852;109701 870;109702 855;109703 854;109704 834;109706 893;109707 859;109708 874;109709 903;109710 848;109635 895;109651 900;109660 829;109667 857;109673 882;109675 861;109683 891;109689 818;109690 886
data,1241750100,1555739.0;57289.0;1565715.0;73402.0;1519083.0;56523.0;1.27309460733;1.01043690074,3984.0 163.0 109696;2355.0 66.0 109697;2549.0 86.0 109698;5412.0 300.0 109699;2738.0 99.0 109700;1851.0 44.0 109701;1316.0 27.0 109702;16527.0 1069.0 109703;3767.0 198.0 109704;1446.0 49.0 109706;474.0 16.0 109707;1161.0 60.0 109708;387.0 18.0 109709;102.0 3.0 109710;33646.0 1497.0 109635;2243.0 74.0 109651;6497.0 80.0 109660;6677.0 144.0 109667;4008.0 148.0 109673;4247.0 199.0 109675;6475.0 248.0 109683;6141.0 260.0 109689;4068.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 883;109697 855;109698 864;109699 837;109700 864;109701 804;109702 844;109703 895;109704 960;109706 848;109707 828;109708 895;109709 916;109710 875;109635 902;109651 849;109660 875;109667 887;109673 858;109675 846;109683 899;109689 845;109690 871
data,1241750400,1556588.0;57314.0;1566550.0;73425.0;1519986.0;56557.0;1.27295383263;1.01055448909,4009.0 164.0 109696;2377.0 66.0 109697;2591.0 88.0 109698;5447.0 302.0 109699;2778.0 102.0 109700;1874.0 45.0 109701;1344.0 27.0 109702;16543.0 1069.0 109703;3854.0 199.0 109704;1485.0 51.0 109706;498.0 16.0 109707;1228.0 63.0 109708;455.0 19.0 109709;124.0 3.0 109710;33670.0 1497.0 109635;2266.0 74.0 109651;6520.0 80.0 109660;6729.0 146.0 109667;4034.0 148.0 109673;4288.0 202.0 109675;6500.0 249.0 109683;6207.0 261.0 109689;4085.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 900;109698 883;109699 897;109700 858;109701 899;109702 872;109703 894;109704 885;109706 821;109707 894;109708 848;109709 859;109710 872;109635 872;109651 884;109660 859;109667 832;109673 855;109675 881;109683 876;109689 848;109690 868
data,1241750700,1557452.0;57340.0;1567464.0;73462.0;1520810.0;56584.0;1.2729816836;1.01059156186,4053.0 165.0 109696;2410.0 67.0 109697;2634.0 88.0 109698;5515.0 309.0 109699;2835.0 106.0 109700;1896.0 45.0 109701;1368.0 28.0 109702;16560.0 1070.0 109703;3944.0 203.0 109704;1546.0 54.0 109706;525.0 17.0 109707;1309.0 67.0 109708;502.0 19.0 109709;139.0 3.0 109710;33691.0 1499.0 109635;2293.0 74.0 109651;6532.0 80.0 109660;6759.0 146.0 109667;4061.0 148.0 109673;4348.0 206.0 109675;6524.0 250.0 109683;6277.0 264.0 109689;4099.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 829;109697 888;109698 849;109699 863;109700 886;109701 852;109702 866;109703 866;109704 914;109706 849;109707 920;109708 871;109709 916;109710 825;109635 928;109651 829;109660 859;109667 844;109673 903;109675 830;109683 845;109689 879;109690 889
data,1241751000,1558314.0;57363.0;1568290.0;73498.0;1521678.0;56611.0;1.27312857056;1.0106509323,4073.0 166.0 109696;2434.0 67.0 109697;2660.0 88.0 109698;5591.0 310.0 109699;2888.0 108.0 109700;1924.0 48.0 109701;1384.0 28.0 109702;16573.0 1070.0 109703;4035.0 210.0 109704;1611.0 57.0 109706;549.0 18.0 109707;1407.0 77.0 109708;530.0 20.0 109709;150.0 4.0 109710;33718.0 1501.0 109635;2316.0 74.0 109651;6551.0 81.0 109660;6777.0 146.0 109667;4082.0 148.0 109673;4408.0 207.0 109675;6546.0 251.0 109683;6324.0 265.0 109689;4115.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 875;109697 863;109698 882;109699 885;109700 918;109701 823;109702 903;109703 895;109704 846;109706 909;109707 882;109708 814;109709 848;109710 859;109635 809;109651 865;109660 900;109667 908;109673 886;109675 877;109683 838;109689 865;109690 850
data,1241751300,1559260.0;57385.0;1569184.0;73517.0;1522567.0;56635.0;1.27301657203;1.01071484422,4097.0 167.0 109696;2448.0 67.0 109697;2677.0 88.0 109698;5646.0 312.0 109699;2946.0 108.0 109700;1957.0 48.0 109701;1404.0 28.0 109702;16585.0 1071.0 109703;4134.0 213.0 109704;1688.0 61.0 109706;570.0 19.0 109707;1544.0 79.0 109708;566.0 20.0 109709;163.0 4.0 109710;33769.0 1503.0 109635;2336.0 75.0 109651;6574.0 81.0 109660;6815.0 147.0 109667;4094.0 148.0 109673;4461.0 207.0 109675;6568.0 251.0 109683;6369.0 266.0 109689;4129.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 845;109698 872;109699 797;109700 869;109701 872;109702 895;109703 906;109704 909;109706 888;109707 905;109708 878;109709 869;109710 859;109635 822;109651 878;109660 877;109667 827;109673 827;109675 897;109683 854;109689 924;109690 868
data,1241751600,1560103.0;57417.0;1570059.0;73550.0;1523451.0;56665.0;1.27285660106;1.01064627054,4127.0 168.0 109696;2469.0 68.0 109697;2691.0 88.0 109698;5715.0 315.0 109699;3035.0 114.0 109700;1976.0 49.0 109701;1423.0 28.0 109702;16606.0 1071.0 109703;4254.0 220.0 109704;1752.0 61.0 109706;592.0 19.0 109707;1662.0 85.0 109708;598.0 21.0 109709;178.0 5.0 109710;33818.0 1505.0 109635;2361.0 76.0 109651;6584.0 81.0 109660;6837.0 147.0 109667;4113.0 149.0 109673;4497.0 209.0 109675;6588.0 251.0 109683;6398.0 266.0 109689;4141.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 888;109698 872;109699 875;109700 855;109701 840;109702 863;109703 894;109704 881;109706 901;109707 824;109708 888;109709 904;109710 848;109635 870;109651 917;109660 809;109667 848;109673 899;109675 843;109683 901;109689 844;109690 893
data,1241751900,1560939.0;57436.0;1570903.0;73585.0;1524286.0;56694.0;1.27303888643;1.01081664156,4156.0 168.0 109696;2486.0 68.0 109697;2700.0 88.0 109698;5802.0 323.0 109699;3089.0 114.0 109700;1999.0 49.0 109701;1444.0 28.0 109702;16619.0 1072.0 109703;4367.0 221.0 109704;1804.0 62.0 109706;606.0 20.0 109707;1809.0 96.0 109708;620.0 22.0 109709;189.0 5.0 109710;33881.0 1508.0 109635;2377.0 76.0 109651;6602.0 81.0 109660;6850.0 147.0 109667;4134.0 150.0 109673;4537.0 212.0 109675;6604.0 252.0 109683;6431.0 267.0 109689;4153.0 170.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 910;109697 864;109698 844;109699 927;109700 794;109701 895;109702 922;109703 863;109704 801;109706 925;109707 857;109708 838;109709 825;109710 863;109635 929;109651 902;109660 844;109667 879;109673 869;109675 832;109683 890;109689 887;109690 840
data,1241752200,1561823.0;57461.0;1571760.0;73625.0;1525135.0;56712.0;1.27320316629;1.01070708468,4173.0 169.0 109696;2500.0 69.0 109697;2714.0 88.0 109698;5913.0 328.0 109699;3131.0 114.0 109700;2007.0 49.0 109701;1462.0 28.0 109702;16638.0 1073.0 109703;4459.0 225.0 109704;1834.0 64.0 109706;624.0 20.0 109707;1975.0 109.0 109708;649.0 22.0 109709;204.0 5.0 109710;33940.0 1512.0 109635;2394.0 76.0 109651;6622.0 82.0 109660;6862.0 147.0 109667;4154.0 151.0 109673;4602.0 215.0 109675;6624.0 252.0 109683;6461.0 270.0 109689;4174.0 171.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 833;109697 843;109698 841;109699 869;109700 897;109701 843;109702 897;109703 889;109704 886;109706 867;109707 883;109708 895;109709 844;109710 841;109635 860;109651 857;109660 856;109667 868;109673 886;109675 879;109683 907;109689 877;109690 882
