
New Run at  01/26/2015 20:14:56
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,980.0;31.0;1011.0;20.0;1024.0;25.0;0.625378896653;0.771799395161,45.0 1.0 109473;46.0 1.0 109506;75.0 3.0 109508;36.0 0.0 109509;56.0 4.0 109510;43.0 0.0 109511;80.0 3.0 109512;47.0 0.0 109513;32.0 0.0 109514;68.0 1.0 109515;53.0 1.0 109484;52.0 0.0 109453;52.0 0.0 109492;37.0 0.0 109505;37.0 0.0 109494;50.0 1.0 109495;57.0 3.0 109498;44.0 0.0 109501;63.0 2.0 109502;38.0 0.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1964.0;64.0;1991.0;48.0;1991.0;59.0;0.739829231542;0.909373430437,76.0 2.0 109473;98.0 3.0 109506;124.0 3.0 109508;83.0 0.0 109509;151.0 6.0 109510;58.0 1.0 109505;164.0 7.0 109512;77.0 0.0 109513;71.0 1.0 109514;117.0 1.0 109515;116.0 2.0 109484;94.0 1.0 109453;11.0 0.0 109519;83.0 1.0 109492;74.0 0.0 109494;87.0 1.0 109495;101.0 7.0 109511;157.0 7.0 109498;72.0 0.0 109501;114.0 5.0 109502;63.0 0.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2975.0;89.0;2983.0;80.0;3000.0;85.0;0.896465740319;0.947097378277,108.0 2.0 109473;149.0 4.0 109506;160.0 3.0 109508;114.0 1.0 109509;239.0 13.0 109510;300.0 16.0 109511;254.0 9.0 109512;104.0 2.0 109513;105.0 2.0 109514;146.0 1.0 109515;143.0 3.0 109484;126.0 2.0 109453;35.0 0.0 109519;109.0 1.0 109492;108.0 3.0 109494;119.0 2.0 109495;240.0 9.0 109498;107.0 0.0 109501;164.0 5.0 109502;95.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3999.0;120.0;3983.0;107.0;4012.0;110.0;0.895248556365;0.913696410768,132.0 3.0 109473;195.0 6.0 109506;189.0 4.0 109508;144.0 2.0 109509;368.0 15.0 109510;458.0 20.0 109511;331.0 11.0 109512;133.0 2.0 109513;145.0 4.0 109514;177.0 2.0 109515;185.0 4.0 109484;151.0 2.0 109453;66.0 0.0 109519;132.0 1.0 109492;143.0 3.0 109494;159.0 3.0 109495;344.0 11.0 109498;141.0 0.0 109501;197.0 6.0 109502;135.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,5008.0;148.0;4968.0;138.0;4992.0;131.0;0.93993993994;0.887972106722,170.0 4.0 109473;244.0 7.0 109506;244.0 7.0 109508;186.0 5.0 109509;481.0 18.0 109510;591.0 22.0 109511;404.0 14.0 109512;160.0 4.0 109513;192.0 4.0 109514;208.0 3.0 109515;214.0 5.0 109484;176.0 4.0 109453;91.0 0.0 109519;152.0 1.0 109492;171.0 4.0 109494;182.0 3.0 109495;403.0 12.0 109498;171.0 0.0 109501;255.0 11.0 109502;215.0 9.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5975.0;174.0;5986.0;163.0;5982.0;160.0;0.935060159529;0.918464204875,202.0 4.0 109473;282.0 7.0 109506;290.0 7.0 109508;244.0 8.0 109509;652.0 25.0 109510;674.0 22.0 109511;456.0 15.0 109512;184.0 4.0 109513;234.0 5.0 109514;244.0 4.0 109515;264.0 8.0 109484;202.0 5.0 109453;111.0 0.0 109519;179.0 1.0 109492;202.0 4.0 109494;210.0 3.0 109495;459.0 15.0 109498;202.0 1.0 109501;345.0 13.0 109502;292.0 11.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6972.0;198.0;6986.0;194.0;7002.0;194.0;0.977834456792;0.975600045009,224.0 5.0 109473;315.0 8.0 109506;356.0 14.0 109508;308.0 8.0 109509;802.0 30.0 109510;737.0 23.0 109511;511.0 16.0 109512;213.0 4.0 109513;266.0 5.0 109514;269.0 4.0 109515;327.0 10.0 109484;248.0 7.0 109453;136.0 0.0 109519;205.0 2.0 109492;230.0 5.0 109494;238.0 5.0 109495;513.0 15.0 109498;224.0 1.0 109501;421.0 16.0 109502;385.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7944.0;219.0;7970.0;228.0;8029.0;226.0;1.03769959265;1.0210384616,249.0 6.0 109473;336.0 8.0 109506;474.0 20.0 109508;345.0 8.0 109509;973.0 38.0 109510;782.0 24.0 109511;548.0 16.0 109512;242.0 5.0 109513;286.0 5.0 109514;292.0 5.0 109515;371.0 10.0 109484;281.0 8.0 109453;152.0 0.0 109519;226.0 2.0 109492;250.0 6.0 109494;277.0 9.0 109495;551.0 15.0 109498;259.0 1.0 109501;502.0 17.0 109502;516.0 24.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8943.0;252.0;9012.0;262.0;9014.0;255.0;1.03172225393;1.00393435608,275.0 6.0 109473;365.0 9.0 109506;627.0 27.0 109508;369.0 9.0 109509;1126.0 44.0 109510;835.0 27.0 109511;577.0 17.0 109512;280.0 5.0 109513;302.0 5.0 109514;320.0 5.0 109515;402.0 10.0 109484;308.0 9.0 109453;185.0 0.0 109519;253.0 3.0 109492;276.0 7.0 109494;315.0 9.0 109495;579.0 15.0 109498;288.0 1.0 109501;581.0 21.0 109502;691.0 32.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10008.0;289.0;10032.0;295.0;10023.0;283.0;1.01831923313;0.977773266815,305.0 7.0 109473;387.0 9.0 109506;792.0 34.0 109508;393.0 9.0 109509;1245.0 49.0 109510;941.0 35.0 109511;605.0 18.0 109512;305.0 5.0 109513;333.0 9.0 109514;344.0 6.0 109515;433.0 10.0 109484;344.0 9.0 109453;216.0 0.0 109519;279.0 3.0 109492;306.0 7.0 109494;346.0 9.0 109495;606.0 16.0 109498;314.0 1.0 109501;664.0 23.0 109502;816.0 35.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
data,1241172000,10977.0;317.0;11088.0;327.0;10994.0;312.0;1.02121912;0.982705220915,340.0 7.0 109473;415.0 9.0 109506;939.0 40.0 109508;419.0 10.0 109509;1326.0 49.0 109510;1043.0 35.0 109511;637.0 19.0 109512;336.0 6.0 109513;371.0 13.0 109514;369.0 8.0 109515;460.0 11.0 109484;372.0 11.0 109453;242.0 0.0 109519;309.0 3.0 109492;323.0 7.0 109494;367.0 9.0 109495;632.0 16.0 109498;342.0 1.0 109501;734.0 25.0 109502;1054.0 47.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 965;109508 1002;109509 1028;109510 996;109511 996;109512 971;109513 1008;109514 1002;109515 1002;109484 1004;109453 968;109519 975;109492 998;109494 993;109495 1000;109498 983;109501 999;109502 1052;109503 1054
