
New Run at  01/26/2015 22:50:19
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1027.0;30.0;956.0;25.0;968.0;21.0;0.895223152022;0.742665289256,35.0 1.0 109473;45.0 1.0 109506;61.0 2.0 109508;58.0 1.0 109509;54.0 1.0 109510;49.0 1.0 109511;48.0 1.0 109512;39.0 0.0 109513;50.0 2.0 109514;48.0 2.0 109515;40.0 1.0 109484;36.0 0.0 109453;64.0 3.0 109492;48.0 2.0 109505;65.0 2.0 109494;46.0 1.0 109495;33.0 0.0 109498;36.0 1.0 109501;47.0 1.0 109502;54.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1991.0;60.0;1962.0;63.0;1934.0;45.0;1.06551987768;0.772104446743,76.0 1.0 109473;103.0 3.0 109506;127.0 3.0 109508;100.0 3.0 109509;87.0 2.0 109510;68.0 2.0 109505;111.0 4.0 109512;78.0 2.0 109513;103.0 3.0 109514;102.0 4.0 109515;81.0 3.0 109484;90.0 4.0 109453;11.0 0.0 109519;122.0 4.0 109492;128.0 5.0 109494;88.0 3.0 109495;102.0 5.0 109511;70.0 1.0 109498;79.0 2.0 109501;97.0 3.0 109502;139.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,3001.0;90.0;2969.0;89.0;2935.0;71.0;0.999547172636;0.806628809389,115.0 3.0 109473;141.0 4.0 109506;179.0 6.0 109508;142.0 3.0 109509;119.0 3.0 109510;174.0 5.0 109511;156.0 6.0 109512;136.0 4.0 109513;156.0 4.0 109514;148.0 4.0 109515;145.0 5.0 109484;220.0 9.0 109453;36.0 0.0 109519;162.0 5.0 109492;181.0 6.0 109494;131.0 3.0 109495;89.0 1.0 109498;129.0 4.0 109501;140.0 4.0 109502;202.0 8.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,4082.0;121.0;4009.0;112.0;3902.0;104.0;0.942474473756;0.899153220853,143.0 4.0 109473;184.0 7.0 109506;250.0 6.0 109508;175.0 3.0 109509;152.0 4.0 109510;215.0 5.0 109511;201.0 6.0 109512;188.0 6.0 109513;197.0 5.0 109514;184.0 4.0 109515;209.0 7.0 109484;302.0 9.0 109453;66.0 1.0 109519;219.0 6.0 109492;237.0 7.0 109494;185.0 5.0 109495;118.0 1.0 109498;181.0 5.0 109501;195.0 4.0 109502;340.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,5113.0;146.0;4988.0;132.0;4876.0;133.0;0.926766705847;0.95523643903,180.0 5.0 109473;238.0 7.0 109506;307.0 8.0 109508;200.0 4.0 109509;186.0 5.0 109510;251.0 5.0 109511;236.0 6.0 109512;264.0 9.0 109513;243.0 6.0 109514;222.0 4.0 109515;259.0 8.0 109484;381.0 11.0 109453;93.0 1.0 109519;250.0 6.0 109492;317.0 10.0 109494;216.0 5.0 109495;142.0 1.0 109498;223.0 6.0 109501;224.0 5.0 109502;488.0 18.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,6078.0;178.0;5975.0;156.0;5889.0;162.0;0.891512387758;0.939321263601,218.0 5.0 109473;297.0 10.0 109506;359.0 8.0 109508;255.0 9.0 109509;242.0 6.0 109510;285.0 7.0 109511;277.0 6.0 109512;322.0 10.0 109513;280.0 7.0 109514;253.0 4.0 109515;314.0 9.0 109484;445.0 14.0 109453;118.0 1.0 109519;279.0 6.0 109492;406.0 12.0 109494;253.0 5.0 109495;168.0 2.0 109498;273.0 6.0 109501;240.0 5.0 109502;623.0 22.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,7113.0;202.0;6979.0;181.0;6890.0;195.0;0.913243975207;0.996590696806,254.0 6.0 109473;349.0 10.0 109506;394.0 9.0 109508;331.0 11.0 109509;272.0 6.0 109510;330.0 9.0 109511;307.0 6.0 109512;403.0 13.0 109513;340.0 10.0 109514;285.0 6.0 109515;365.0 10.0 109484;532.0 15.0 109453;139.0 1.0 109519;308.0 6.0 109492;463.0 14.0 109494;285.0 5.0 109495;199.0 3.0 109498;305.0 6.0 109501;267.0 6.0 109502;783.0 27.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,8119.0;233.0;7980.0;218.0;7902.0;220.0;0.951919498317;0.970135229523,303.0 9.0 109473;388.0 10.0 109506;435.0 11.0 109508;396.0 12.0 109509;308.0 9.0 109510;376.0 10.0 109511;330.0 6.0 109512;492.0 16.0 109513;387.0 11.0 109514;320.0 6.0 109515;412.0 10.0 109484;595.0 15.0 109453;164.0 3.0 109519;333.0 6.0 109492;545.0 19.0 109494;311.0 7.0 109495;224.0 4.0 109498;332.0 7.0 109501;295.0 7.0 109502;966.0 38.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,9058.0;255.0;9049.0;251.0;8907.0;243.0;0.985292709193;0.969096348543,335.0 10.0 109473;415.0 11.0 109506;472.0 11.0 109508;444.0 12.0 109509;353.0 9.0 109510;421.0 11.0 109511;356.0 7.0 109512;595.0 22.0 109513;433.0 13.0 109514;340.0 6.0 109515;461.0 13.0 109484;628.0 15.0 109453;191.0 3.0 109519;355.0 6.0 109492;629.0 19.0 109494;344.0 8.0 109495;246.0 4.0 109498;364.0 8.0 109501;353.0 11.0 109502;1246.0 50.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10118.0;277.0;10045.0;281.0;9878.0;274.0;1.0218126733;1.01320295329,368.0 10.0 109473;437.0 11.0 109506;494.0 11.0 109508;489.0 13.0 109509;377.0 10.0 109510;454.0 11.0 109511;394.0 8.0 109512;719.0 25.0 109513;483.0 15.0 109514;367.0 6.0 109515;513.0 15.0 109484;655.0 16.0 109453;207.0 3.0 109519;380.0 6.0 109492;686.0 22.0 109494;369.0 8.0 109495;285.0 5.0 109498;391.0 9.0 109501;394.0 11.0 109502;1515.0 64.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
