data,1241736600,1516284.0;56111.0;1519508.0;64200.0;1479369.0;55006.0;1.1417330707;1.0047686919,2829.0 126.0 109696;2581.0 61.0 109697;2318.0 80.0 109698;3485.0 220.0 109699;1739.0 64.0 109700;1315.0 41.0 109701;987.0 25.0 109702;5841.0 428.0 109703;1039.0 53.0 109704;739.0 24.0 109705;260.0 15.0 109706;21724.0 946.0 109635;2505.0 90.0 109651;11218.0 156.0 109660;10085.0 229.0 109667;4108.0 166.0 109673;175.0 11.0 109675;7127.0 291.0 109683;4537.0 193.0 109689;3622.0 139.0 109690;9476.0 730.0 109692;3068.0 75.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1517151.0;56140.0;1520338.0;64237.0;1480217.0;55041.0;1.14183013091;1.0048872302,2865.0 127.0 109696;2615.0 62.0 109697;2373.0 84.0 109698;3519.0 221.0 109699;1796.0 69.0 109700;1343.0 42.0 109701;1015.0 26.0 109702;5873.0 429.0 109703;1069.0 56.0 109704;779.0 25.0 109705;302.0 16.0 109706;21751.0 948.0 109635;2534.0 90.0 109651;11242.0 156.0 109660;10119.0 230.0 109667;4137.0 166.0 109673;211.0 13.0 109675;7168.0 293.0 109683;4576.0 195.0 109689;3689.0 143.0 109690;9521.0 732.0 109692;3111.0 77.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1518072.0;56169.0;1521239.0;64265.0;1481140.0;55072.0;1.14175451845;1.00491751537,2898.0 129.0 109696;2643.0 64.0 109697;2432.0 86.0 109698;3561.0 221.0 109699;1847.0 70.0 109700;1363.0 42.0 109701;1046.0 26.0 109702;5921.0 432.0 109703;1122.0 59.0 109704;819.0 26.0 109705;342.0 18.0 109706;21792.0 949.0 109635;2563.0 90.0 109651;11266.0 156.0 109660;10155.0 232.0 109667;4171.0 167.0 109673;254.0 14.0 109675;7204.0 293.0 109683;4627.0 197.0 109689;3776.0 147.0 109690;9555.0 733.0 109692;3152.0 77.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1518937.0;56200.0;1522147.0;64304.0;1482078.0;55102.0;1.14178632833;1.00484655401,2936.0 134.0 109696;2685.0 66.0 109697;2493.0 87.0 109698;3600.0 223.0 109699;1904.0 75.0 109700;1412.0 44.0 109701;1073.0 27.0 109702;5977.0 433.0 109703;1205.0 65.0 109704;843.0 27.0 109705;373.0 20.0 109706;21820.0 949.0 109635;2599.0 92.0 109651;11294.0 156.0 109660;10197.0 232.0 109667;4197.0 168.0 109673;302.0 18.0 109675;7246.0 296.0 109683;4665.0 197.0 109689;3824.0 147.0 109690;9588.0 733.0 109692;3184.0 78.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1519899.0;56228.0;1523053.0;64333.0;1483018.0;55139.0;1.14177592323;1.00501965743,3056.0 140.0 109696;2722.0 66.0 109697;2524.0 87.0 109698;3623.0 223.0 109699;1960.0 77.0 109700;1446.0 46.0 109701;1109.0 27.0 109702;6013.0 435.0 109703;1309.0 68.0 109704;866.0 27.0 109705;411.0 20.0 109706;21845.0 951.0 109635;2627.0 93.0 109651;11329.0 157.0 109660;10227.0 233.0 109667;4226.0 170.0 109673;351.0 18.0 109675;7287.0 299.0 109683;4701.0 199.0 109689;3852.0 148.0 109690;9620.0 734.0 109692;3219.0 78.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1520858.0;56259.0;1523955.0;64365.0;1483915.0;55173.0;1.14175859257;1.00511147797,3185.0 145.0 109696;2760.0 68.0 109697;2555.0 87.0 109698;3649.0 224.0 109699;2008.0 78.0 109700;1499.0 47.0 109701;1136.0 28.0 109702;6048.0 437.0 109703;1398.0 74.0 109704;883.0 27.0 109705;437.0 20.0 109706;21876.0 952.0 109635;2664.0 93.0 109651;11365.0 157.0 109660;10255.0 234.0 109667;4252.0 172.0 109673;388.0 18.0 109675;7322.0 299.0 109683;4765.0 204.0 109689;3888.0 149.0 109690;9658.0 736.0 109692;3234.0 79.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1521784.0;56303.0;1524832.0;64405.0;1484832.0;55206.0;1.14161341817;1.00491757139,3262.0 148.0 109696;2786.0 69.0 109697;2594.0 88.0 109698;3676.0 226.0 109699;2045.0 78.0 109700;1534.0 49.0 109701;1164.0 29.0 109702;6086.0 440.0 109703;1572.0 90.0 109704;906.0 27.0 109705;471.0 21.0 109706;21906.0 953.0 109635;2700.0 93.0 109651;11392.0 158.0 109660;10280.0 236.0 109667;4270.0 173.0 109673;419.0 20.0 109675;7349.0 299.0 109683;4824.0 206.0 109689;3929.0 150.0 109690;9684.0 736.0 109692;3253.0 79.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1522694.0;56340.0;1525737.0;64429.0;1485724.0;55242.0;1.14129392689;1.00490972343,3316.0 149.0 109696;2814.0 70.0 109697;2632.0 89.0 109698;3705.0 227.0 109699;2076.0 79.0 109700;1570.0 50.0 109701;1195.0 30.0 109702;6140.0 442.0 109703;1812.0 98.0 109704;932.0 27.0 109705;497.0 22.0 109706;21935.0 953.0 109635;2732.0 94.0 109651;11420.0 158.0 109660;10308.0 238.0 109667;4303.0 173.0 109673;450.0 22.0 109675;7371.0 299.0 109683;4854.0 206.0 109689;3952.0 150.0 109690;9712.0 736.0 109692;3281.0 80.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1523672.0;56380.0;1526647.0;64459.0;1486636.0;55279.0;1.14106753771;1.00489792133,3369.0 150.0 109696;2845.0 72.0 109697;2664.0 91.0 109698;3742.0 230.0 109699;2111.0 80.0 109700;1596.0 50.0 109701;1230.0 30.0 109702;6210.0 445.0 109703;2022.0 106.0 109704;957.0 28.0 109705;531.0 24.0 109706;21961.0 955.0 109635;2759.0 94.0 109651;11446.0 159.0 109660;10330.0 238.0 109667;4335.0 175.0 109673;471.0 22.0 109675;7404.0 299.0 109683;4891.0 207.0 109689;3987.0 151.0 109690;9743.0 736.0 109692;3313.0 80.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1524578.0;56413.0;1527547.0;64500.0;1487527.0;55320.0;1.14113121588;1.00505022895,3402.0 151.0 109696;2880.0 73.0 109697;2698.0 93.0 109698;3777.0 233.0 109699;2150.0 83.0 109700;1633.0 52.0 109701;1258.0 30.0 109702;6295.0 451.0 109703;2243.0 120.0 109704;992.0 30.0 109705;547.0 24.0 109706;21989.0 955.0 109635;2783.0 95.0 109651;11465.0 159.0 109660;10361.0 238.0 109667;4359.0 175.0 109673;504.0 24.0 109675;7432.0 299.0 109683;4923.0 208.0 109689;4016.0 152.0 109690;9773.0 737.0 109692;3337.0 81.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1525437.0;56434.0;1528454.0;64537.0;1488430.0;55362.0;1.14132634695;1.00539517914,3434.0 153.0 109696;2913.0 74.0 109697;2728.0 94.0 109698;3807.0 234.0 109699;2186.0 84.0 109700;1664.0 53.0 109701;1284.0 30.0 109702;6410.0 463.0 109703;2430.0 128.0 109704;1019.0 32.0 109705;588.0 24.0 109706;22012.0 957.0 109635;2811.0 95.0 109651;11492.0 159.0 109660;10400.0 239.0 109667;4383.0 175.0 109673;535.0 26.0 109675;7458.0 299.0 109683;4949.0 209.0 109689;4050.0 153.0 109690;9801.0 738.0 109692;3370.0 81.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
