data,1241866500,1824573.0;66000.0;1828106.0;75252.0;1782026.0;64987.0;1.13797830134;1.00816069404,4590.0 103.0 109728;12984.0 264.0 109697;20803.0 452.0 109667;4560.0 201.0 109734;3524.0 80.0 109735;4500.0 192.0 109711;2786.0 109.0 109746;11070.0 550.0 109742;4184.0 174.0 109743;2894.0 76.0 109745;1485.0 26.0 109714;2080.0 58.0 109747;1964.0 65.0 109748;2204.0 102.0 109749;6651.0 190.0 109720;19433.0 999.0 109721;6694.0 249.0 109722;5567.0 89.0 109723;4352.0 102.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1825440.0;66018.0;1828975.0;75273.0;1782851.0;65012.0;1.13798530871;1.00828586092,4633.0 103.0 109728;13024.0 265.0 109697;20829.0 452.0 109667;4601.0 202.0 109734;3584.0 81.0 109735;1541.0 30.0 109714;11124.0 552.0 109742;4532.0 192.0 109711;5613.0 90.0 109723;2931.0 76.0 109745;2845.0 111.0 109746;2135.0 59.0 109747;2025.0 66.0 109748;2247.0 103.0 109749;6686.0 190.0 109720;19481.0 1000.0 109721;6730.0 249.0 109722;4242.0 177.0 109743;4391.0 104.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1826495.0;66035.0;1829982.0;75297.0;1783943.0;65048.0;1.13808620928;1.00854964241,4670.0 103.0 109728;13106.0 268.0 109697;20868.0 452.0 109667;4653.0 203.0 109734;3616.0 82.0 109735;4573.0 193.0 109711;2948.0 115.0 109746;11202.0 554.0 109742;4300.0 178.0 109743;2978.0 78.0 109745;1616.0 31.0 109714;2180.0 59.0 109747;2087.0 68.0 109748;2291.0 105.0 109749;6724.0 191.0 109720;19521.0 1001.0 109721;6775.0 250.0 109722;5656.0 91.0 109723;4437.0 104.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1827603.0;66066.0;1831000.0;75331.0;1784966.0;65068.0;1.13812309856;1.00841978801,4711.0 103.0 109728;13173.0 268.0 109697;20906.0 454.0 109667;4349.0 181.0 109743;4691.0 204.0 109734;3657.0 82.0 109735;3170.0 133.0 109746;11248.0 555.0 109742;4610.0 193.0 109711;3019.0 79.0 109745;1664.0 33.0 109714;2214.0 59.0 109747;2135.0 69.0 109748;2339.0 106.0 109749;6766.0 191.0 109720;19572.0 1002.0 109721;6817.0 252.0 109722;5704.0 92.0 109723;4474.0 104.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1828629.0;66094.0;1832055.0;75369.0;1786030.0;65098.0;1.13819798497;1.00842235183,4754.0 104.0 109728;13215.0 269.0 109697;20941.0 455.0 109667;4741.0 205.0 109734;3699.0 82.0 109735;1719.0 35.0 109714;4521.0 196.0 109743;11309.0 557.0 109742;4650.0 194.0 109711;3067.0 79.0 109745;3343.0 140.0 109746;2244.0 59.0 109747;2168.0 70.0 109748;2370.0 107.0 109749;6802.0 192.0 109720;19609.0 1003.0 109721;6866.0 254.0 109722;5750.0 93.0 109723;4506.0 104.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1829658.0;66121.0;1833121.0;75410.0;1787049.0;65136.0;1.13833034688;1.00859109645,4788.0 104.0 109728;13260.0 270.0 109697;20982.0 457.0 109667;4774.0 205.0 109734;3733.0 82.0 109735;4693.0 195.0 109711;3473.0 145.0 109746;11351.0 560.0 109742;4757.0 210.0 109743;3101.0 79.0 109745;1758.0 35.0 109714;2285.0 60.0 109747;2222.0 73.0 109748;2417.0 110.0 109749;6834.0 192.0 109720;19653.0 1005.0 109721;6917.0 258.0 109722;5797.0 94.0 109723;4545.0 105.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1830672.0;66146.0;1834170.0;75448.0;1788114.0;65161.0;1.13845298101;1.00855477453,4829.0 104.0 109728;13291.0 272.0 109697;21019.0 457.0 109667;4806.0 205.0 109734;3768.0 83.0 109735;4730.0 196.0 109711;3526.0 146.0 109746;11387.0 560.0 109742;5041.0 224.0 109743;3147.0 81.0 109745;1800.0 35.0 109714;2319.0 62.0 109747;2278.0 76.0 109748;2469.0 113.0 109749;6869.0 193.0 109720;19687.0 1006.0 109721;6997.0 263.0 109722;5842.0 94.0 109723;4584.0 107.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1831702.0;66175.0;1835190.0;75477.0;1789102.0;65194.0;1.13839889468;1.00863351901,4873.0 104.0 109728;13328.0 273.0 109697;21051.0 457.0 109667;4852.0 208.0 109734;3810.0 83.0 109735;1837.0 35.0 109714;11423.0 563.0 109742;5337.0 234.0 109743;5882.0 95.0 109723;3184.0 81.0 109745;3568.0 148.0 109746;2354.0 63.0 109747;2315.0 77.0 109748;2515.0 114.0 109749;6906.0 194.0 109720;19720.0 1008.0 109721;7068.0 265.0 109722;4768.0 197.0 109711;4618.0 107.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1832775.0;66210.0;1836244.0;75510.0;1790167.0;65225.0;1.13830762469;1.00857013738,4916.0 104.0 109728;13364.0 275.0 109697;21087.0 457.0 109667;5627.0 244.0 109743;4901.0 210.0 109734;3845.0 84.0 109735;1877.0 35.0 109714;11469.0 565.0 109742;4808.0 198.0 109711;3221.0 82.0 109745;3611.0 151.0 109746;2389.0 63.0 109747;2368.0 80.0 109748;2571.0 118.0 109749;6951.0 194.0 109720;19762.0 1009.0 109721;7135.0 267.0 109722;5908.0 95.0 109723;4653.0 108.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1833882.0;66249.0;1837361.0;75551.0;1791220.0;65256.0;1.13825032758;1.00847138599,4958.0 104.0 109728;13403.0 277.0 109697;21135.0 457.0 109667;4934.0 211.0 109734;3880.0 86.0 109735;4852.0 199.0 109711;1913.0 35.0 109714;11514.0 568.0 109742;5884.0 255.0 109743;3263.0 82.0 109745;3737.0 157.0 109746;2427.0 63.0 109747;2420.0 85.0 109748;2618.0 119.0 109749;6987.0 194.0 109720;19808.0 1013.0 109721;7200.0 269.0 109722;5952.0 97.0 109723;4695.0 109.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1834945.0;66288.0;1838402.0;75599.0;1792280.0;65295.0;1.13831825983;1.00846818826,4995.0 105.0 109728;13446.0 278.0 109697;21162.0 457.0 109667;6126.0 275.0 109743;4975.0 213.0 109734;3925.0 86.0 109735;3828.0 160.0 109746;11573.0 573.0 109742;4895.0 199.0 109711;3295.0 83.0 109745;1953.0 35.0 109714;2455.0 64.0 109747;2504.0 90.0 109748;2671.0 122.0 109749;7007.0 195.0 109720;19857.0 1018.0 109721;7231.0 269.0 109722;5988.0 97.0 109723;4735.0 109.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
