
New Run at  01/27/2015 00:50:25
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,587720.0;20188.0;577030.0;21788.0;559415.0;20748.0;1.09924917309;1.07974028695,15413.0 209.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;2331.0 79.0 109581;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;214.0 6.0 109588;0.0 0.0 109589;10220.0 333.0 109476;1776.0 34.0 109583;97016.0 3620.0 109524,109536.0 11950;109476.0 11950;109574.0 11950;109575.0 11950;109576.0 11950;109580.0 11950;109578.0 11950;109581.0 11950;109517.0 11950;109582.0 11950;109583.0 11950;109584.0 11950;109585.0 11950;109586.0 11950;109587.0 11950;109588.0 11950;109589.0 11950;109577.0 11950;109524.0 11950;109572.0 11950,109536 597;109572 617;109574 633;109575 587;109576 626;109577 611;109578 627;109580 563;109517 587;109582 595;109581 616;109584 576;109585 598;109586 601;109587 571;109588 544;109589 597;109476 617;109583 584;109524 603
data,1241421300,588693.0;20212.0;577145.0;21790.0;560383.0;20765.0;1.09964340736;1.07926120378,15450.0 210.0 109536;10270.0 334.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;242.0 6.0 109588;0.0 0.0 109589;97016.0 3620.0 109524;4126.0 139.0 109517;4860.0 160.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 963;109476 1080;109574 1002;109575 1045;109576 994;109577 1002;109578 986;109580 1036;109581 1048;109582 979;109583 980;109584 1045;109585 976;109586 954;109587 970;109588 974;109589 989;109524 984;109517 1024;109572 969
data,1241421900,589673.0;20232.0;577262.0;21791.0;561400.0;20776.0;1.10021260772;1.0786038216,15489.0 210.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;4126.0 139.0 109517;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;276.0 7.0 109588;1776.0 34.0 109583;10314.0 334.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1013;109572 1039;109574 984;109575 912;109576 1032;109577 947;109578 1065;109580 1018;109581 1027;109582 1014;109517 1047;109584 1018;109585 969;109586 999;109587 935;109524 1013;109589 1015;109588 1032;109583 1003;109476 918
data,1241422800,590696.0;20251.0;577351.0;21792.0;562430.0;20792.0;1.10096807079;1.07831425108,15521.0 210.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;300.0 7.0 109588;0.0 0.0 109589;97016.0 3620.0 109524;10347.0 335.0 109476;2331.0 79.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1009;109572 981;109574 1056;109575 1047;109576 932;109577 1025;109578 1007;109580 958;109517 1003;109582 995;109583 936;109584 1029;109585 1010;109586 999;109587 1010;109588 1035;109589 997;109524 981;109476 1004;109581 986
data,1241423400,591695.0;20264.0;577440.0;21792.0;563460.0;20813.0;1.10195268671;1.07856001513,15558.0 210.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;322.0 7.0 109588;0.0 0.0 109589;97016.0 3620.0 109524;10377.0 335.0 109476;4126.0 139.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 992;109572 1004;109574 1008;109575 982;109576 975;109577 1028;109578 1001;109580 1006;109581 1027;109582 1021;109583 1032;109584 977;109585 1019;109586 962;109587 946;109588 1028;109589 966;109524 1016;109476 984;109517 1026
data,1241424300,592682.0;20273.0;577539.0;21794.0;564431.0;20827.0;1.10321294042;1.07874693823,15592.0 210.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;2331.0 79.0 109581;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;353.0 8.0 109588;10411.0 336.0 109476;4126.0 139.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 1048;109574 992;109575 968;109576 953;109577 1061;109578 929;109580 943;109581 1016;109582 1033;109583 977;109584 1012;109585 981;109586 1044;109587 976;109524 1034;109589 1021;109588 954;109476 991;109517 1062
data,1241425200,593676.0;20286.0;577646.0;21795.0;565462.0;20835.0;1.10420109711;1.07830880424,15632.0 211.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;383.0 8.0 109588;10448.0 336.0 109476;2331.0 79.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1003;109572 1019;109574 1004;109575 1029;109576 1002;109577 997;109578 964;109580 967;109517 1014;109582 1017;109583 1024;109584 1061;109585 969;109586 1007;109587 974;109524 1002;109589 1034;109588 973;109476 978;109581 962
data,1241425800,594672.0;20294.0;577755.0;21796.0;566422.0;20844.0;1.10545971544;1.07832776,15666.0 211.0 109536;10486.0 336.0 109476;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;420.0 9.0 109588;0.0 0.0 109589;4860.0 160.0 109572;97016.0 3620.0 109524;2331.0 79.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1037;109476 1024;109574 976;109575 992;109576 1021;109577 1021;109578 1014;109580 1042;109517 985;109582 951;109583 937;109584 1008;109585 1006;109586 1070;109587 1014;109588 961;109589 964;109572 992;109524 991;109581 994
data,1241426700,595612.0;20313.0;577866.0;21796.0;567381.0;20859.0;1.10595900015;1.0779734543,15694.0 211.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;3575.0 132.0 109576;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;97016.0 3620.0 109524;0.0 0.0 109589;456.0 9.0 109588;10533.0 336.0 109476;2331.0 79.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 985;109574 964;109575 957;109576 990;109577 1024;109578 961;109580 969;109517 992;109582 1053;109583 1043;109584 1044;109585 994;109586 1002;109587 1000;109524 1012;109589 999;109588 1008;109476 1020;109581 979
data,1241427600,596581.0;20330.0;577958.0;21796.0;568393.0;20871.0;1.10665578552;1.07752306795,15731.0 211.0 109536;4860.0 160.0 109572;3906.0 152.0 109574;3710.0 130.0 109575;2331.0 79.0 109581;3149.0 119.0 109577;3243.0 86.0 109578;2712.0 97.0 109580;4126.0 139.0 109517;2241.0 117.0 109582;1776.0 34.0 109583;738.0 39.0 109584;1564.0 55.0 109585;1633.0 21.0 109586;247.0 13.0 109587;482.0 9.0 109588;0.0 0.0 109589;3575.0 132.0 109576;97016.0 3620.0 109524;10562.0 336.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1049;109572 1017;109574 1002;109575 994;109581 963;109577 1012;109578 991;109580 1053;109517 1012;109582 944;109583 994;109584 993;109585 985;109586 972;109587 996;109588 968;109589 1039;109576 1002;109524 1016;109476 998
