
New Run at  01/28/2015 00:29:05
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,974.0;32.0;1062.0;32.0;1067.0;27.0;1052.0;31.0;0.91713747646;0.770208528585;0.896922528517,72.0 3.0 109473;49.0 1.0 109506;55.0 0.0 109508;56.0 1.0 109509;77.0 6.0 109510;47.0 1.0 109511;49.0 0.0 109512;50.0 1.0 109513;68.0 4.0 109514;41.0 0.0 109515;49.0 3.0 109484;36.0 0.0 109453;44.0 0.0 109492;32.0 0.0 109505;77.0 4.0 109494;70.0 3.0 109495;35.0 0.0 109498;34.0 0.0 109501;62.0 3.0 109502;59.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1991.0;64.0;2029.0;52.0;1991.0;49.0;2056.0;66.0;0.797283144406;0.765625;0.998647251946,130.0 4.0 109473;88.0 1.0 109506;86.0 0.0 109508;101.0 3.0 109509;161.0 8.0 109510;57.0 2.0 109505;74.0 0.0 109512;84.0 1.0 109513;137.0 4.0 109514;85.0 0.0 109515;130.0 7.0 109484;61.0 0.0 109453;13.0 0.0 109519;78.0 0.0 109492;164.0 6.0 109494;138.0 4.0 109495;92.0 3.0 109511;60.0 0.0 109498;62.0 0.0 109501;114.0 5.0 109502;114.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,3011.0;88.0;3088.0;81.0;2966.0;76.0;3046.0;100.0;0.89750279675;0.876739410286;1.1233062735,183.0 5.0 109473;124.0 3.0 109506;120.0 1.0 109508;149.0 4.0 109509;253.0 10.0 109510;143.0 3.0 109511;108.0 2.0 109512;116.0 1.0 109513;213.0 6.0 109514;117.0 0.0 109515;230.0 9.0 109484;116.0 3.0 109453;38.0 0.0 109519;117.0 1.0 109492;254.0 8.0 109494;186.0 4.0 109495;95.0 1.0 109498;92.0 1.0 109501;202.0 8.0 109502;175.0 9.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3950.0;107.0;4065.0;106.0;3895.0;99.0;4018.0;133.0;0.962628317872;0.938298561539;1.22195447589,231.0 6.0 109473;171.0 4.0 109506;153.0 3.0 109508;184.0 4.0 109509;335.0 12.0 109510;186.0 4.0 109511;151.0 3.0 109512;143.0 3.0 109513;287.0 10.0 109514;134.0 1.0 109515;325.0 11.0 109484;149.0 3.0 109453;67.0 1.0 109519;152.0 1.0 109492;316.0 8.0 109494;215.0 4.0 109495;124.0 1.0 109498;108.0 1.0 109501;287.0 12.0 109502;290.0 12.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4904.0;141.0;5027.0;135.0;4875.0;133.0;5035.0;166.0;0.934020121133;0.948873613384;1.14667399128,280.0 7.0 109473;211.0 5.0 109506;183.0 3.0 109508;224.0 4.0 109509;440.0 15.0 109510;210.0 4.0 109511;188.0 7.0 109512;181.0 3.0 109513;385.0 15.0 109514;156.0 1.0 109515;396.0 13.0 109484;174.0 3.0 109453;92.0 2.0 109519;168.0 1.0 109492;387.0 12.0 109494;238.0 5.0 109495;148.0 1.0 109498;133.0 1.0 109501;394.0 16.0 109502;382.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5960.0;173.0;6040.0;155.0;5912.0;155.0;6056.0;189.0;0.884086820044;0.903228077311;1.07516741625,318.0 7.0 109473;249.0 5.0 109506;208.0 4.0 109508;253.0 5.0 109509;528.0 17.0 109510;251.0 4.0 109511;268.0 9.0 109512;223.0 4.0 109513;484.0 15.0 109514;175.0 1.0 109515;485.0 16.0 109484;201.0 3.0 109453;121.0 3.0 109519;178.0 1.0 109492;452.0 13.0 109494;269.0 5.0 109495;167.0 1.0 109498;144.0 1.0 109501;513.0 20.0 109502;496.0 19.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6965.0;201.0;7066.0;179.0;6910.0;183.0;7109.0;220.0;0.877817958044;0.917694451044;1.07235660213,346.0 7.0 109473;283.0 5.0 109506;239.0 4.0 109508;279.0 5.0 109509;628.0 18.0 109510;280.0 4.0 109511;324.0 9.0 109512;259.0 5.0 109513;558.0 17.0 109514;194.0 1.0 109515;576.0 18.0 109484;228.0 4.0 109453;150.0 3.0 109519;195.0 1.0 109492;532.0 16.0 109494;288.0 5.0 109495;182.0 1.0 109498;166.0 1.0 109501;640.0 23.0 109502;662.0 30.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7986.0;222.0;8110.0;210.0;7889.0;195.0;8110.0;263.0;0.931482654047;0.889178568859;1.1665711334,368.0 8.0 109473;310.0 5.0 109506;262.0 5.0 109508;316.0 6.0 109509;730.0 22.0 109510;297.0 4.0 109511;388.0 12.0 109512;288.0 6.0 109513;661.0 21.0 109514;209.0 1.0 109515;653.0 22.0 109484;253.0 4.0 109453;178.0 3.0 109519;220.0 1.0 109492;591.0 16.0 109494;326.0 8.0 109495;197.0 1.0 109498;181.0 1.0 109501;756.0 26.0 109502;869.0 36.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,9047.0;251.0;9083.0;246.0;8879.0;213.0;9143.0;297.0;0.976195186226;0.864662085973;1.17084282361,400.0 9.0 109473;334.0 6.0 109506;293.0 6.0 109508;347.0 7.0 109509;832.0 27.0 109510;316.0 4.0 109511;467.0 16.0 109512;315.0 7.0 109513;733.0 24.0 109514;224.0 1.0 109515;740.0 25.0 109484;273.0 5.0 109453;195.0 3.0 109519;227.0 1.0 109492;646.0 18.0 109494;366.0 10.0 109495;207.0 2.0 109498;192.0 1.0 109501;851.0 29.0 109502;1068.0 43.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10052.0;285.0;10092.0;281.0;9879.0;228.0;10128.0;334.0;0.982057005375;0.814009515133;1.1631357224,428.0 9.0 109473;352.0 7.0 109506;328.0 9.0 109508;364.0 7.0 109509;984.0 36.0 109510;335.0 4.0 109511;528.0 17.0 109512;337.0 8.0 109513;794.0 24.0 109514;239.0 1.0 109515;831.0 28.0 109484;296.0 7.0 109453;216.0 4.0 109519;239.0 1.0 109492;700.0 19.0 109494;411.0 11.0 109495;223.0 3.0 109498;212.0 2.0 109501;960.0 33.0 109502;1258.0 49.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
