data,1241395200,528441.0;18580.0;530411.0;22412.0;495283.0;17376.0;530063.0;24844.0;1.20176316305;0.997808461299;1.3330450496,4905.0 138.0 109569;3488.0 119.0 109572;3087.0 113.0 109573;4925.0 208.0 109574;4919.0 209.0 109575;2150.0 68.0 109576;2544.0 97.0 109577;1477.0 43.0 109578;1669.0 63.0 109579;1151.0 36.0 109580;1366.0 50.0 109581;4383.0 242.0 109582;149.0 2.0 109583;112.0 7.0 109585;79.0 0.0 109586;13330.0 510.0 109476;2276.0 73.0 109517;27738.0 1130.0 109524;8130.0 105.0 109536;2731.0 93.0 109539;14311.0 520.0 109551;9443.0 330.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,528929.0;18595.0;530841.0;22426.0;495746.0;17389.0;530532.0;24858.0;1.20167923204;0.9977381654;1.33277180249,4952.0 141.0 109569;3511.0 119.0 109572;3102.0 113.0 109573;4935.0 208.0 109574;4934.0 209.0 109575;2173.0 68.0 109576;2556.0 97.0 109577;1497.0 43.0 109578;1694.0 65.0 109579;1169.0 36.0 109580;1385.0 50.0 109581;4400.0 243.0 109582;167.0 3.0 109583;132.0 7.0 109585;94.0 1.0 109586;13351.0 511.0 109476;2293.0 74.0 109517;27755.0 1132.0 109524;8152.0 106.0 109536;2747.0 93.0 109539;14327.0 520.0 109551;9467.0 331.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,529843.0;18616.0;531791.0;22460.0;496621.0;17419.0;531441.0;24885.0;1.20206955987;0.998295169884;1.33273382158,5019.0 144.0 109569;3540.0 119.0 109572;3141.0 114.0 109573;4976.0 210.0 109574;4994.0 214.0 109575;2201.0 68.0 109576;2591.0 97.0 109577;1530.0 44.0 109578;1738.0 67.0 109579;1206.0 37.0 109580;1418.0 53.0 109581;4465.0 247.0 109582;209.0 4.0 109583;161.0 7.0 109585;147.0 2.0 109586;13388.0 511.0 109476;2344.0 76.0 109517;27806.0 1134.0 109524;8212.0 108.0 109536;2777.0 93.0 109539;14376.0 524.0 109551;9504.0 331.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,530728.0;18641.0;532693.0;22492.0;497520.0;17445.0;532377.0;24931.0;1.2021367643;0.998304949127;1.33328566041,5072.0 145.0 109569;3561.0 119.0 109572;3167.0 114.0 109573;5017.0 212.0 109574;5075.0 217.0 109575;2232.0 70.0 109576;2612.0 98.0 109577;1560.0 44.0 109578;1786.0 70.0 109579;1242.0 39.0 109580;1475.0 56.0 109581;4550.0 252.0 109582;239.0 4.0 109583;178.0 8.0 109585;192.0 3.0 109586;13411.0 511.0 109476;2377.0 77.0 109517;27880.0 1138.0 109524;8259.0 110.0 109536;2791.0 93.0 109539;14424.0 525.0 109551;9545.0 331.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,531593.0;18673.0;533598.0;22519.0;498395.0;17474.0;533326.0;24975.0;1.20143440394;0.998122420138;1.33314656153,5125.0 147.0 109569;3580.0 119.0 109572;3184.0 114.0 109573;5050.0 212.0 109574;5147.0 218.0 109575;2275.0 72.0 109576;2628.0 98.0 109577;1595.0 45.0 109578;1856.0 72.0 109579;1278.0 40.0 109580;1540.0 58.0 109581;4636.0 254.0 109582;275.0 5.0 109583;195.0 8.0 109585;226.0 3.0 109586;13428.0 512.0 109476;2445.0 85.0 109517;27941.0 1140.0 109524;8299.0 110.0 109536;2807.0 93.0 109539;14469.0 526.0 109551;9571.0 332.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,532455.0;18703.0;534502.0;22544.0;499302.0;17506.0;534242.0;25016.0;1.20075188457;0.99814872011;1.33306546164,5190.0 149.0 109569;3590.0 119.0 109572;3203.0 114.0 109573;5085.0 213.0 109574;5224.0 223.0 109575;2307.0 74.0 109576;2645.0 98.0 109577;1613.0 45.0 109578;1915.0 74.0 109579;1311.0 41.0 109580;1592.0 58.0 109581;4718.0 257.0 109582;328.0 9.0 109583;216.0 8.0 109585;248.0 3.0 109586;13459.0 512.0 109476;2557.0 87.0 109517;28006.0 1142.0 109524;8321.0 110.0 109536;2822.0 93.0 109539;14511.0 526.0 109551;9593.0 333.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,533338.0;18731.0;535423.0;22580.0;500198.0;17539.0;535153.0;25048.0;1.20079391543;0.998399698799;1.33271306227,5260.0 155.0 109569;3609.0 119.0 109572;3217.0 114.0 109573;5109.0 214.0 109574;5325.0 227.0 109575;2348.0 76.0 109576;2660.0 98.0 109577;1636.0 45.0 109578;2001.0 78.0 109579;1355.0 43.0 109580;1618.0 58.0 109581;4810.0 261.0 109582;364.0 10.0 109583;232.0 8.0 109585;267.0 3.0 109586;13477.0 512.0 109476;2646.0 90.0 109517;28075.0 1144.0 109524;8342.0 111.0 109536;2851.0 95.0 109539;14541.0 527.0 109551;9632.0 336.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,534250.0;18758.0;536359.0;22611.0;501065.0;17567.0;536057.0;25081.0;1.20066595655;0.99853095506;1.33257565848,5352.0 156.0 109569;3630.0 119.0 109572;3238.0 115.0 109573;5136.0 215.0 109574;5418.0 234.0 109575;2379.0 76.0 109576;2674.0 99.0 109577;1651.0 45.0 109578;2068.0 78.0 109579;1421.0 47.0 109580;1661.0 60.0 109581;4899.0 266.0 109582;392.0 10.0 109583;249.0 8.0 109585;285.0 3.0 109586;13492.0 512.0 109476;2729.0 94.0 109517;28156.0 1148.0 109524;8370.0 111.0 109536;2872.0 95.0 109539;14570.0 527.0 109551;9669.0 337.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,535132.0;18789.0;537264.0;22649.0;501940.0;17601.0;536998.0;25112.0;1.20065586332;0.998717803916;1.33188243027,5432.0 161.0 109569;3645.0 121.0 109572;3263.0 115.0 109573;5160.0 217.0 109574;5532.0 237.0 109575;2408.0 79.0 109576;2695.0 101.0 109577;1667.0 47.0 109578;2116.0 79.0 109579;1475.0 48.0 109580;1699.0 61.0 109581;5030.0 273.0 109582;436.0 13.0 109583;258.0 8.0 109585;301.0 3.0 109586;13506.0 513.0 109476;2806.0 98.0 109517;28222.0 1149.0 109524;8390.0 111.0 109536;2889.0 95.0 109539;14587.0 527.0 109551;9699.0 337.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,536019.0;18814.0;538201.0;22688.0;502834.0;17632.0;537858.0;25151.0;1.20102143272;0.999024148327;1.33225288412,5524.0 166.0 109569;3663.0 121.0 109572;3279.0 115.0 109573;5183.0 217.0 109574;5676.0 245.0 109575;2447.0 79.0 109576;2730.0 103.0 109577;1682.0 47.0 109578;2155.0 80.0 109579;1510.0 49.0 109580;1732.0 64.0 109581;5166.0 281.0 109582;470.0 14.0 109583;276.0 8.0 109585;321.0 4.0 109586;13520.0 513.0 109476;2871.0 98.0 109517;28295.0 1153.0 109524;8413.0 112.0 109536;2904.0 95.0 109539;14613.0 528.0 109551;9723.0 340.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,536910.0;18843.0;539142.0;22703.0;503732.0;17663.0;538774.0;25197.0;1.19986263314;0.999117056142;1.33258110551,5635.0 169.0 109569;3681.0 122.0 109572;3297.0 115.0 109573;5220.0 219.0 109574;5831.0 248.0 109575;2481.0 79.0 109576;2756.0 103.0 109577;1694.0 47.0 109578;2183.0 81.0 109579;1544.0 49.0 109580;1764.0 64.0 109581;5302.0 282.0 109582;501.0 14.0 109583;287.0 8.0 109585;337.0 4.0 109586;13532.0 513.0 109476;2949.0 100.0 109517;28348.0 1153.0 109524;8433.0 112.0 109536;2916.0 95.0 109539;14632.0 528.0 109551;9771.0 342.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
