data,1241954400,1996221.0;71456.0;2005898.0;90098.0;1880906.0;68260.0;2007547.0;102207.0;1.25480495174;1.01383927367;1.42227913182,2345.0 53.0 109760;5442.0 206.0 109761;9028.0 423.0 109762;3461.0 110.0 109763;1403.0 16.0 109764;7580.0 310.0 109766;3060.0 103.0 109767;12847.0 269.0 109697;1783.0 54.0 109769;4912.0 202.0 109740;3664.0 109.0 109741;7136.0 87.0 109723;8222.0 224.0 109745;1930.0 56.0 109731;9052.0 407.0 109684;5507.0 180.0 109686;2278.0 44.0 109752;5027.0 159.0 109755;4109.0 122.0 109756;5468.0 195.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1996799.0;71472.0;2006464.0;90112.0;1881464.0;68277.0;2008108.0;102234.0;1.25472823837;1.01385753454;1.42235073777,2375.0 53.0 109760;5461.0 206.0 109761;9050.0 423.0 109762;1951.0 56.0 109731;1431.0 17.0 109764;7614.0 310.0 109766;3088.0 103.0 109767;12873.0 269.0 109697;1806.0 54.0 109769;4942.0 203.0 109740;3686.0 111.0 109741;7172.0 90.0 109723;8257.0 225.0 109745;3480.0 110.0 109763;9087.0 407.0 109684;5543.0 183.0 109686;2306.0 45.0 109752;5062.0 159.0 109755;4138.0 123.0 109756;5498.0 196.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1997829.0;71510.0;2007490.0;90141.0;1882455.0;68308.0;2009133.0;102273.0;1.25447068223;1.01376782033;1.42214488402,2426.0 54.0 109760;12911.0 269.0 109697;9098.0 426.0 109762;1998.0 57.0 109731;1478.0 17.0 109764;7662.0 311.0 109766;5509.0 208.0 109761;1851.0 54.0 109769;3127.0 103.0 109767;5019.0 208.0 109740;3743.0 115.0 109741;8318.0 226.0 109745;3531.0 114.0 109763;9125.0 409.0 109684;5104.0 160.0 109755;5609.0 184.0 109686;2356.0 46.0 109752;7244.0 91.0 109723;4189.0 123.0 109756;5548.0 197.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1998827.0;71537.0;2008513.0;90166.0;1883451.0;68337.0;2010168.0;102311.0;1.25433239983;1.01378548069;1.42211415157,2470.0 54.0 109760;12938.0 269.0 109697;9152.0 427.0 109762;3590.0 114.0 109763;1514.0 17.0 109764;7696.0 312.0 109766;3153.0 103.0 109767;1889.0 56.0 109769;5578.0 213.0 109761;5137.0 212.0 109740;3823.0 118.0 109741;7316.0 93.0 109723;8367.0 227.0 109745;2037.0 58.0 109731;9172.0 410.0 109684;5665.0 184.0 109686;2400.0 47.0 109752;5151.0 162.0 109755;4222.0 124.0 109756;5599.0 197.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1999820.0;71564.0;2009477.0;90203.0;1884399.0;68367.0;2011184.0;102353.0;1.25439479224;1.01384125249;1.42214890597,2498.0 56.0 109760;5643.0 216.0 109761;9223.0 434.0 109762;2080.0 59.0 109731;1535.0 17.0 109764;7743.0 315.0 109766;3174.0 104.0 109767;12961.0 269.0 109697;1932.0 57.0 109769;5236.0 218.0 109740;3938.0 121.0 109741;7380.0 93.0 109723;8401.0 228.0 109745;3620.0 114.0 109763;9211.0 410.0 109684;5706.0 184.0 109686;2464.0 50.0 109752;5211.0 167.0 109755;4251.0 124.0 109756;5626.0 198.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,2000818.0;71593.0;2010451.0;90236.0;1885416.0;68403.0;2012185.0;102391.0;1.25436338211;1.01392302517;1.42210250648,2524.0 56.0 109760;5711.0 217.0 109761;9352.0 441.0 109762;5324.0 175.0 109755;1554.0 20.0 109764;2116.0 59.0 109731;7797.0 317.0 109766;12978.0 269.0 109697;1966.0 57.0 109769;3197.0 104.0 109767;5362.0 220.0 109740;3990.0 121.0 109741;8430.0 230.0 109745;3665.0 116.0 109763;9231.0 410.0 109684;5738.0 186.0 109686;2513.0 51.0 109752;7413.0 93.0 109723;4285.0 126.0 109756;5661.0 199.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,2001833.0;71626.0;2011415.0;90281.0;1886463.0;68441.0;2013173.0;102436.0;1.25444557032;1.01397022147;1.4220951661,2545.0 57.0 109760;12999.0 270.0 109697;9501.0 447.0 109762;3705.0 118.0 109763;1586.0 21.0 109764;7843.0 319.0 109766;3213.0 105.0 109767;1996.0 59.0 109769;5753.0 219.0 109761;5467.0 225.0 109740;4022.0 121.0 109741;8481.0 231.0 109745;2163.0 63.0 109731;9247.0 410.0 109684;5445.0 179.0 109755;5798.0 194.0 109686;2549.0 52.0 109752;7442.0 94.0 109723;4327.0 129.0 109756;5689.0 199.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2002791.0;71655.0;2012375.0;90313.0;1887465.0;68460.0;2014172.0;102471.0;1.25438394337;1.01378793521;1.42198020554,2567.0 58.0 109760;5797.0 219.0 109761;9624.0 451.0 109762;5555.0 184.0 109755;1607.0 21.0 109764;7925.0 323.0 109766;13016.0 271.0 109697;2024.0 60.0 109769;3739.0 119.0 109763;3232.0 105.0 109767;5587.0 231.0 109740;4051.0 121.0 109741;8501.0 231.0 109745;2203.0 64.0 109731;9273.0 411.0 109684;5899.0 199.0 109686;2575.0 52.0 109752;7474.0 94.0 109723;4375.0 130.0 109756;5707.0 200.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2003793.0;71688.0;2013393.0;90351.0;1888471.0;68492.0;2015141.0;102507.0;1.25432708475;1.01376179163;1.421852268,2600.0 59.0 109760;13025.0 271.0 109697;9781.0 460.0 109762;3788.0 121.0 109763;1631.0 22.0 109764;7993.0 325.0 109766;3246.0 106.0 109767;2056.0 62.0 109769;5835.0 219.0 109761;5698.0 233.0 109740;4085.0 122.0 109741;7497.0 94.0 109723;8520.0 231.0 109745;2243.0 65.0 109731;9301.0 414.0 109684;6025.0 204.0 109686;2590.0 52.0 109752;5676.0 189.0 109755;4422.0 132.0 109756;5737.0 201.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2004778.0;71723.0;2014415.0;90391.0;1889483.0;68528.0;2016137.0;102545.0;1.2542499299;1.01375476665;1.42168142981,2619.0 59.0 109760;13048.0 271.0 109697;9960.0 467.0 109762;5776.0 193.0 109755;1656.0 22.0 109764;8056.0 328.0 109766;3283.0 110.0 109767;2087.0 62.0 109769;3835.0 126.0 109763;5770.0 235.0 109740;4106.0 122.0 109741;8542.0 232.0 109745;2291.0 68.0 109731;9360.0 418.0 109684;6143.0 206.0 109686;2613.0 53.0 109752;5877.0 221.0 109761;7514.0 94.0 109723;4480.0 134.0 109756;5755.0 201.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2005759.0;71753.0;2015349.0;90416.0;1890412.0;68556.0;2017160.0;102588.0;1.25410445805;1.01374258493;1.42165724123,2634.0 59.0 109760;5906.0 222.0 109761;10112.0 469.0 109762;2333.0 68.0 109731;1679.0 22.0 109764;8116.0 330.0 109766;3319.0 110.0 109767;13061.0 271.0 109697;2104.0 62.0 109769;5841.0 237.0 109740;4126.0 122.0 109741;8558.0 232.0 109745;3899.0 130.0 109763;9407.0 418.0 109684;5920.0 202.0 109755;6230.0 209.0 109686;2629.0 53.0 109752;7530.0 94.0 109723;4521.0 135.0 109756;5780.0 202.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
