data,1241262000,236176.0;9315.0;236182.0;10977.0;220420.0;8725.0;234792.0;12594.0;1.17839196337;1.00361545662;1.35998242924,2580.0 35.0 109536;2897.0 106.0 109542;11288.0 547.0 109510;2171.0 35.0 109543;2878.0 117.0 109544;3978.0 174.0 109417;1786.0 41.0 109546;2398.0 91.0 109547;1584.0 36.0 109548;1271.0 18.0 109550;583.0 11.0 109552;8754.0 380.0 109524;11498.0 548.0 109525;1859.0 29.0 109545;4326.0 114.0 109529;4174.0 147.0 109530;3205.0 104.0 109531;3135.0 51.0 109533;5627.0 262.0 109534,109536.0 8635;109542.0 8635;109510.0 8635;109543.0 8635;109544.0 8635;109417.0 8635;109546.0 8635;109547.0 8635;109548.0 8635;109550.0 8635;109552.0 8635;109524.0 8635;109525.0 8635;109545.0 8635;109529.0 8635;109530.0 8635;109531.0 8635;109533.0 8635;109534.0 8635,109536 434;109542 463;109510 467;109543 444;109544 467;109417 457;109546 464;109547 434;109548 429;109550 497;109552 481;109524 476;109525 457;109545 448;109529 412;109530 448;109531 461;109533 458;109534 438
data,1241262300,236784.0;9323.0;236751.0;10992.0;220995.0;8745.0;235402.0;12615.0;1.17918396883;1.00501844994;1.36104904493,2609.0 36.0 109536;2911.0 106.0 109542;11312.0 548.0 109510;2195.0 35.0 109543;2917.0 119.0 109544;4003.0 174.0 109417;1811.0 41.0 109546;2422.0 91.0 109547;1607.0 36.0 109548;1301.0 18.0 109550;604.0 11.0 109552;8797.0 382.0 109524;11521.0 549.0 109525;1891.0 30.0 109545;4357.0 114.0 109529;4206.0 148.0 109530;3249.0 107.0 109531;3169.0 51.0 109533;5679.0 265.0 109534,109536.0 11365;109542.0 11365;109510.0 11365;109543.0 11365;109544.0 11365;109417.0 11365;109546.0 11365;109547.0 11365;109548.0 11365;109550.0 11365;109552.0 11365;109524.0 11365;109525.0 11365;109545.0 11365;109529.0 11365;109530.0 11365;109531.0 11365;109533.0 11365;109534.0 11365,109536 598;109542 565;109510 616;109543 580;109544 586;109417 586;109546 574;109547 568;109548 619;109550 611;109552 594;109524 624;109525 587;109545 559;109529 600;109530 616;109531 635;109533 619;109534 628
data,1241263200,237866.0;9357.0;237833.0;11013.0;222010.0;8778.0;236429.0;12651.0;1.17714311049;1.0051220018;1.36025349478,2677.0 38.0 109536;11378.0 549.0 109510;2969.0 108.0 109542;2243.0 36.0 109543;2991.0 121.0 109544;4058.0 176.0 109417;1852.0 41.0 109546;2476.0 93.0 109547;1653.0 37.0 109548;1348.0 18.0 109550;647.0 11.0 109552;8863.0 382.0 109524;11571.0 549.0 109525;1955.0 32.0 109545;4394.0 114.0 109529;4253.0 148.0 109530;3337.0 109.0 109531;3212.0 51.0 109533;5766.0 269.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1056;109510 1055;109542 1033;109543 982;109544 1051;109417 1038;109546 1017;109547 1013;109548 1039;109550 1087;109552 1068;109524 1022;109525 1069;109545 1081;109529 1059;109530 1116;109531 1098;109533 1076;109534 1040
data,1241263800,238901.0;9385.0;238922.0;11053.0;223026.0;8803.0;237479.0;12699.0;1.17762690451;1.00475204133;1.36121900002,2741.0 40.0 109536;11447.0 550.0 109510;3014.0 109.0 109542;2278.0 36.0 109543;3040.0 121.0 109544;2008.0 32.0 109545;1890.0 41.0 109546;2527.0 94.0 109547;1678.0 37.0 109548;1383.0 20.0 109550;678.0 12.0 109552;8936.0 385.0 109524;11624.0 551.0 109525;4111.0 179.0 109417;4431.0 115.0 109529;4312.0 154.0 109530;3431.0 112.0 109531;3241.0 51.0 109533;5962.0 283.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1061;109510 1107;109542 999;109543 1057;109544 1001;109545 1075;109546 1015;109547 1093;109548 1070;109550 1080;109552 1008;109524 1037;109525 1067;109417 1021;109529 1068;109530 1035;109531 1063;109533 1094;109534 1049
data,1241264400,239924.0;9414.0;239979.0;11090.0;224034.0;8831.0;238555.0;12756.0;1.17776272777;1.00460526778;1.36277916865,2821.0 44.0 109536;3061.0 112.0 109542;11482.0 551.0 109510;2312.0 36.0 109543;3073.0 122.0 109544;4174.0 181.0 109417;1924.0 42.0 109546;2568.0 95.0 109547;1708.0 38.0 109548;1411.0 20.0 109550;707.0 12.0 109552;8994.0 388.0 109524;11665.0 552.0 109525;2037.0 33.0 109545;4460.0 116.0 109529;4397.0 156.0 109530;3480.0 113.0 109531;3272.0 51.0 109533;6243.0 297.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1043;109542 1109;109510 1050;109543 1077;109544 1048;109417 1061;109546 1050;109547 1068;109548 1042;109550 1016;109552 1057;109524 1111;109525 1047;109545 1026;109529 1024;109530 998;109531 1017;109533 1089;109534 1067
data,1241265000,240916.0;9444.0;241038.0;11127.0;225097.0;8860.0;239596.0;12792.0;1.17761204287;1.00409240109;1.36197317157,2876.0 47.0 109536;3098.0 114.0 109542;11518.0 552.0 109510;2346.0 37.0 109543;3106.0 122.0 109544;2070.0 33.0 109545;1955.0 44.0 109546;2601.0 97.0 109547;1722.0 38.0 109548;1435.0 20.0 109550;736.0 12.0 109552;9090.0 392.0 109524;11689.0 554.0 109525;4234.0 184.0 109417;4498.0 117.0 109529;4486.0 162.0 109530;3529.0 113.0 109531;3301.0 51.0 109533;6558.0 307.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1032;109542 983;109510 1096;109543 1054;109544 1025;109545 1048;109546 1064;109547 1083;109548 1074;109550 998;109552 1111;109524 1088;109525 1061;109417 1087;109529 1014;109530 1080;109531 1059;109533 993;109534 1050
data,1241265600,241974.0;9471.0;242009.0;11156.0;226071.0;8886.0;240612.0;12828.0;1.17774116661;1.00423261172;1.36211738306,2943.0 49.0 109536;3134.0 114.0 109542;11561.0 555.0 109510;2364.0 38.0 109543;3135.0 122.0 109544;2106.0 34.0 109545;1983.0 45.0 109546;2625.0 97.0 109547;1746.0 38.0 109548;1461.0 20.0 109550;762.0 13.0 109552;9131.0 392.0 109524;11723.0 555.0 109525;4315.0 187.0 109417;4523.0 117.0 109529;4567.0 163.0 109530;3561.0 113.0 109531;3323.0 51.0 109533;6856.0 322.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1075;109542 1017;109510 1022;109543 1110;109544 1073;109545 1042;109546 1087;109547 1017;109548 992;109550 1119;109552 1074;109524 1002;109525 1106;109417 1048;109529 1040;109530 1066;109531 1052;109533 1027;109534 1031
data,1241266200,243008.0;9501.0;243066.0;11187.0;227148.0;8910.0;241653.0;12854.0;1.1771740424;1.00327511396;1.36049627663,3010.0 50.0 109536;3179.0 116.0 109542;11608.0 556.0 109510;2393.0 41.0 109543;3172.0 124.0 109544;2130.0 34.0 109545;2020.0 45.0 109546;2654.0 98.0 109547;1771.0 38.0 109548;1483.0 21.0 109550;788.0 14.0 109552;9182.0 393.0 109524;11766.0 557.0 109525;4384.0 190.0 109417;4544.0 118.0 109529;4641.0 165.0 109530;3598.0 114.0 109531;3361.0 52.0 109533;7192.0 330.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1086;109542 1034;109510 1070;109543 988;109544 1047;109545 1028;109546 1018;109547 1071;109548 1080;109550 1083;109552 1059;109524 1056;109525 1036;109417 1082;109529 1043;109530 1025;109531 1103;109533 1053;109534 1038
data,1241266800,244044.0;9534.0;244126.0;11226.0;228241.0;8933.0;242714.0;12893.0;1.17707460405;1.00183606009;1.3597283173,3041.0 50.0 109536;11672.0 560.0 109510;3213.0 116.0 109542;2422.0 41.0 109543;3197.0 125.0 109544;4486.0 193.0 109417;2054.0 45.0 109546;2687.0 98.0 109547;1802.0 38.0 109548;1516.0 21.0 109550;816.0 14.0 109552;9225.0 395.0 109524;11826.0 562.0 109525;2164.0 38.0 109545;4577.0 120.0 109529;4715.0 167.0 109530;3626.0 116.0 109531;3387.0 52.0 109533;7510.0 344.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1069;109542 1081;109543 1008;109544 1027;109417 1080;109546 1101;109547 1063;109548 994;109550 1079;109552 1080;109524 1063;109525 1037;109545 1013;109529 1050;109530 1054;109531 1008;109533 1076;109534 1083
data,1241267400,245107.0;9566.0;245179.0;11260.0;229245.0;8966.0;243742.0;12938.0;1.17673984473;1.00213031563;1.36007267176,3061.0 50.0 109536;11736.0 563.0 109510;3258.0 118.0 109542;2455.0 41.0 109543;3221.0 126.0 109544;4564.0 198.0 109417;2080.0 47.0 109546;2713.0 98.0 109547;1829.0 38.0 109548;1549.0 21.0 109550;850.0 15.0 109552;9290.0 398.0 109524;11925.0 565.0 109525;2205.0 39.0 109545;4606.0 120.0 109529;4769.0 170.0 109530;3668.0 118.0 109531;3419.0 53.0 109533;7791.0 351.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1040;109510 1075;109542 1018;109543 1070;109544 1091;109417 1018;109546 1016;109547 1083;109548 1047;109550 1000;109552 1077;109524 1110;109525 1010;109545 1003;109529 1098;109530 1098;109531 1013;109533 1099;109534 1034
data,1241267700,246135.0;9606.0;246252.0;11296.0;230274.0;8993.0;244730.0;12983.0;1.17537299709;1.00066907909;1.35931039683,3084.0 50.0 109536;3336.0 123.0 109542;11835.0 568.0 109510;2481.0 41.0 109543;3242.0 127.0 109544;4694.0 203.0 109417;2110.0 48.0 109546;2745.0 98.0 109547;1851.0 38.0 109548;1571.0 21.0 109550;889.0 15.0 109552;9357.0 400.0 109524;12017.0 568.0 109525;2240.0 41.0 109545;4627.0 120.0 109529;4856.0 175.0 109530;3708.0 119.0 109531;3439.0 53.0 109533;7980.0 357.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1032;109542 1084;109510 1054;109543 1080;109544 1058;109417 1063;109546 1068;109547 1043;109548 1059;109550 1065;109552 1059;109524 1087;109525 1076;109545 1043;109529 1052;109530 1033;109531 1046;109533 1052;109534 946
