
New Run at  01/28/2015 05:25:29
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,1343646.0;49340.0;1343928.0;51500.0;1278670.0;57786.0;1354529.0;72588.0;1.04355884916;1.23069341187;1.45935933816,1038.0 30.0 109680;2775.0 91.0 109666;2866.0 63.0 109667;2705.0 114.0 109668;2461.0 152.0 109670;3847.0 36.0 109660;1771.0 73.0 109674;1437.0 95.0 109676;1259.0 20.0 109678;1084.0 32.0 109679;1868.0 33.0 109648;848.0 28.0 109681;684.0 16.0 109682;39782.0 1688.0 109635;6701.0 286.0 109652;5293.0 178.0 109656;421.0 14.0 109683;9632.0 220.0 109628;3676.0 157.0 109661;3535.0 155.0 109663,109648.0 14595;109666.0 14595;109635.0 14595;109668.0 14595;109670.0 14595;109628.0 14595;109674.0 14595;109676.0 14595;109678.0 14595;109679.0 14595;109680.0 14595;109681.0 14595;109682.0 14595;109683.0 14595;109652.0 14595;109656.0 14595;109667.0 14595;109660.0 14595;109661.0 14595;109663.0 14595,109680 783;109666 751;109667 741;109668 696;109670 734;109660 728;109674 757;109676 744;109678 737;109679 746;109648 738;109681 686;109682 698;109635 710;109652 747;109656 657;109683 747;109628 755;109661 713;109663 727
data,1241680500,1344659.0;49363.0;1344900.0;51519.0;1279699.0;57805.0;1355484.0;72624.0;1.04348941572;1.23046196073;1.45947408225,1053.0 30.0 109680;2791.0 91.0 109666;2892.0 63.0 109667;2725.0 114.0 109668;2489.0 153.0 109670;9658.0 220.0 109628;1799.0 73.0 109674;1460.0 95.0 109676;1286.0 20.0 109678;1107.0 34.0 109679;1886.0 33.0 109648;871.0 30.0 109681;698.0 16.0 109682;444.0 14.0 109683;6720.0 287.0 109652;40327.0 1697.0 109635;5312.0 178.0 109656;3872.0 36.0 109660;3703.0 159.0 109661;3562.0 157.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1038;109667 989;109668 987;109670 973;109628 993;109674 999;109676 973;109678 1022;109679 987;109648 1044;109681 957;109682 960;109683 1014;109652 1019;109635 1047;109656 982;109660 978;109661 967;109663 1089
data,1241681400,1345687.0;49383.0;1345833.0;51540.0;1280684.0;57828.0;1356495.0;72654.0;1.04356577742;1.23044661505;1.45951283846,1082.0 30.0 109680;2811.0 91.0 109666;2918.0 63.0 109667;2748.0 114.0 109668;2515.0 154.0 109670;9677.0 220.0 109628;1823.0 73.0 109674;1481.0 95.0 109676;1313.0 20.0 109678;1125.0 34.0 109679;1903.0 33.0 109648;892.0 30.0 109681;721.0 16.0 109682;40825.0 1714.0 109635;6743.0 288.0 109652;5333.0 180.0 109656;468.0 14.0 109683;3903.0 36.0 109660;3729.0 159.0 109661;3578.0 157.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1002;109666 985;109667 982;109668 965;109670 1033;109628 1063;109674 1053;109676 1010;109678 974;109679 977;109648 1019;109681 1026;109682 943;109635 981;109652 965;109656 1024;109683 1015;109660 1043;109661 946;109663 994
data,1241682000,1346704.0;49405.0;1346877.0;51574.0;1281706.0;57857.0;1357444.0;72690.0;1.04376835468;1.23046351263;1.45966768364,1934.0 33.0 109648;2834.0 91.0 109666;41368.0 1735.0 109635;2765.0 114.0 109668;2538.0 155.0 109670;9703.0 221.0 109628;1844.0 74.0 109674;1508.0 100.0 109676;1337.0 20.0 109678;1155.0 35.0 109679;1107.0 30.0 109680;917.0 30.0 109681;747.0 16.0 109682;2944.0 63.0 109667;6770.0 288.0 109652;5364.0 180.0 109656;498.0 16.0 109683;3934.0 37.0 109660;3758.0 159.0 109661;3607.0 158.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1049;109666 970;109635 1049;109668 985;109670 1023;109628 1002;109674 966;109676 949;109678 996;109679 979;109680 929;109681 1027;109682 1008;109667 1023;109652 1019;109656 1032;109683 1012;109660 962;109661 1000;109663 1020
data,1241682900,1347726.0;49426.0;1347900.0;51603.0;1282663.0;57889.0;1358420.0;72730.0;1.04391086846;1.23063601918;1.45990858494,1963.0 33.0 109648;2863.0 91.0 109666;41916.0 1748.0 109635;2789.0 115.0 109668;2563.0 158.0 109670;3953.0 37.0 109660;1861.0 74.0 109674;1542.0 101.0 109676;1355.0 21.0 109678;1189.0 35.0 109679;1140.0 30.0 109680;944.0 30.0 109681;770.0 20.0 109682;2967.0 64.0 109667;6789.0 289.0 109652;5389.0 182.0 109656;518.0 17.0 109683;9733.0 221.0 109628;3785.0 160.0 109661;3626.0 158.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 998;109666 1003;109635 999;109668 973;109670 1030;109660 968;109674 978;109676 935;109678 1005;109679 1053;109680 1012;109681 1024;109682 953;109667 1007;109652 1019;109656 1044;109683 927;109628 1040;109661 1025;109663 1007
data,1241683500,1348806.0;49446.0;1348928.0;51625.0;1283686.0;57914.0;1359487.0;72763.0;1.04397384868;1.23067415917;1.4600033835,1987.0 33.0 109648;2878.0 91.0 109666;42477.0 1760.0 109635;2811.0 115.0 109668;2592.0 159.0 109670;3982.0 38.0 109660;1891.0 74.0 109674;1565.0 104.0 109676;1387.0 21.0 109678;1216.0 35.0 109679;1172.0 30.0 109680;969.0 31.0 109681;796.0 20.0 109682;2988.0 64.0 109667;6807.0 289.0 109652;5421.0 182.0 109656;538.0 18.0 109683;9751.0 222.0 109628;3806.0 160.0 109661;3649.0 160.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 990;109666 953;109635 1070;109668 992;109670 1007;109660 971;109674 992;109676 1066;109678 1043;109679 1001;109680 1025;109681 962;109682 1033;109667 1019;109652 896;109656 1023;109683 960;109628 1022;109661 992;109663 983
data,1241684400,1349815.0;49467.0;1349918.0;51662.0;1284701.0;57942.0;1360496.0;72801.0;1.04429332972;1.23069403851;1.4601543038,2016.0 33.0 109648;2904.0 91.0 109666;43008.0 1783.0 109635;2841.0 117.0 109668;2610.0 160.0 109670;9766.0 222.0 109628;1922.0 74.0 109674;1585.0 105.0 109676;1415.0 23.0 109678;1241.0 37.0 109679;1193.0 30.0 109680;993.0 32.0 109681;817.0 20.0 109682;566.0 18.0 109683;6838.0 291.0 109652;5439.0 182.0 109656;3010.0 64.0 109667;4007.0 38.0 109660;3824.0 161.0 109661;3678.0 162.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1026;109666 974;109635 973;109668 981;109670 987;109628 989;109674 1019;109676 1028;109678 1018;109679 994;109680 970;109681 1003;109682 990;109683 1017;109652 964;109656 966;109667 991;109660 991;109661 1026;109663 1093
data,1241685300,1350817.0;49485.0;1350918.0;51678.0;1285677.0;57971.0;1361474.0;72827.0;1.04423838228;1.23084073328;1.46017870722,2057.0 33.0 109648;2936.0 92.0 109666;3036.0 64.0 109667;2865.0 117.0 109668;2639.0 160.0 109670;9790.0 222.0 109628;1950.0 74.0 109674;1611.0 106.0 109676;1438.0 23.0 109678;1266.0 38.0 109679;1213.0 30.0 109680;1013.0 32.0 109681;846.0 22.0 109682;43529.0 1793.0 109635;6864.0 291.0 109652;5459.0 182.0 109656;583.0 18.0 109683;4030.0 38.0 109660;3850.0 161.0 109661;3698.0 163.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 972;109666 1052;109667 973;109668 1049;109670 1057;109628 953;109674 1049;109676 975;109678 998;109679 1029;109680 992;109681 1020;109682 960;109635 998;109652 974;109656 1027;109683 984;109660 984;109661 963;109663 991
data,1241686200,1351841.0;49503.0;1351908.0;51709.0;1286651.0;57987.0;1362462.0;72858.0;1.04451118767;1.2307333636;1.46031633111,1249.0 30.0 109680;2961.0 93.0 109666;44062.0 1811.0 109635;2880.0 118.0 109668;2666.0 161.0 109670;9808.0 222.0 109628;1974.0 75.0 109674;1631.0 107.0 109676;1464.0 23.0 109678;1282.0 39.0 109679;2085.0 33.0 109648;1039.0 32.0 109681;870.0 22.0 109682;607.0 19.0 109683;6888.0 292.0 109652;5489.0 184.0 109656;3062.0 64.0 109667;4052.0 38.0 109660;3871.0 163.0 109661;3723.0 164.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 998;109666 1020;109635 985;109668 982;109670 1020;109628 999;109674 974;109676 982;109678 986;109679 1035;109648 970;109681 971;109682 1049;109683 950;109652 1055;109656 1055;109667 936;109660 1033;109661 988;109663 1012
data,1241686800,1352796.0;49527.0;1352907.0;51736.0;1287656.0;58012.0;1363434.0;72901.0;1.04451622936;1.23057551803;1.46045995738,1270.0 30.0 109680;2981.0 93.0 109666;44596.0 1832.0 109635;2911.0 118.0 109668;2685.0 161.0 109670;9844.0 222.0 109628;1998.0 75.0 109674;1660.0 109.0 109676;1485.0 23.0 109678;1311.0 39.0 109679;2109.0 33.0 109648;1055.0 33.0 109681;900.0 22.0 109682;631.0 19.0 109683;6916.0 293.0 109652;5513.0 185.0 109656;3087.0 65.0 109667;4071.0 38.0 109660;3889.0 163.0 109661;3750.0 164.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1013;109666 1007;109635 1061;109668 960;109670 961;109628 1015;109674 976;109676 1027;109678 1023;109679 985;109648 977;109681 1005;109682 994;109683 1019;109652 1002;109656 965;109667 1003;109660 1001;109661 966;109663 1040
