data,1241298600,323450.0;12265.0;325598.0;13788.0;302466.0;11116.0;326889.0;16739.0;1.11675819762;0.969195921847;1.35041982714,6639.0 88.0 109536;4073.0 177.0 109476;1060.0 45.0 109541;8835.0 352.0 109542;6710.0 244.0 109544;5405.0 119.0 109545;169.0 7.0 109561;7487.0 308.0 109547;1690.0 57.0 109518;3177.0 133.0 109551;2376.0 65.0 109553;3207.0 109.0 109554;2023.0 54.0 109555;12225.0 530.0 109524;1636.0 57.0 109557;909.0 34.0 109558;720.0 6.0 109559;469.0 14.0 109560;1561.0 56.0 109556;181.0 5.0 109562;142.0 4.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,324009.0;12281.0;326144.0;13801.0;303015.0;11139.0;327447.0;16759.0;1.11641202319;0.969851894897;1.35030049699,6660.0 88.0 109536;4096.0 177.0 109476;1089.0 46.0 109541;8859.0 352.0 109542;6735.0 245.0 109544;5434.0 120.0 109545;204.0 10.0 109561;7502.0 308.0 109547;1716.0 58.0 109518;3203.0 134.0 109551;2407.0 65.0 109553;3236.0 111.0 109554;2052.0 54.0 109555;12244.0 530.0 109524;1656.0 57.0 109557;933.0 35.0 109558;741.0 6.0 109559;497.0 14.0 109560;1603.0 58.0 109556;207.0 5.0 109562;166.0 4.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,324905.0;12311.0;327124.0;13832.0;303938.0;11171.0;328378.0;16785.0;1.11592661509;0.969996381012;1.34899504862,6690.0 89.0 109536;4137.0 177.0 109476;1127.0 47.0 109541;8904.0 355.0 109542;6783.0 246.0 109544;5477.0 120.0 109545;7546.0 309.0 109547;1769.0 60.0 109518;3257.0 136.0 109551;2452.0 66.0 109553;3312.0 115.0 109554;2085.0 55.0 109555;1694.0 64.0 109556;1685.0 57.0 109557;982.0 37.0 109558;772.0 6.0 109559;540.0 16.0 109560;270.0 13.0 109561;243.0 5.0 109562;206.0 4.0 109563;12289.0 531.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,325822.0;12342.0;328110.0;13869.0;304929.0;11212.0;329348.0;16821.0;1.11588783846;0.970687020879;1.34831586113,6728.0 89.0 109536;4175.0 180.0 109476;1162.0 47.0 109541;8949.0 356.0 109542;6819.0 247.0 109544;5508.0 120.0 109545;368.0 17.0 109561;7599.0 313.0 109547;1818.0 62.0 109518;3311.0 138.0 109551;2480.0 67.0 109553;3378.0 117.0 109554;2117.0 55.0 109555;1785.0 68.0 109556;1723.0 61.0 109557;1045.0 40.0 109558;800.0 6.0 109559;592.0 18.0 109560;12335.0 534.0 109524;282.0 6.0 109562;232.0 4.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,326750.0;12378.0;329020.0;13897.0;305913.0;11239.0;330266.0;16859.0;1.11497178482;0.969828307161;1.34751330507,6763.0 89.0 109536;4226.0 185.0 109476;1192.0 47.0 109541;8988.0 358.0 109542;6852.0 247.0 109544;5535.0 121.0 109545;7656.0 315.0 109547;1885.0 64.0 109518;3359.0 139.0 109551;2509.0 67.0 109553;3441.0 120.0 109554;2151.0 58.0 109555;1852.0 68.0 109556;1759.0 61.0 109557;1093.0 42.0 109558;832.0 6.0 109559;636.0 23.0 109560;434.0 18.0 109561;313.0 6.0 109562;260.0 4.0 109563;12380.0 535.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,327704.0;12414.0;329933.0;13927.0;306823.0;11271.0;331239.0;16899.0;1.11429920593;0.969715950501;1.34675793336,6794.0 90.0 109536;4283.0 185.0 109476;1227.0 50.0 109541;9034.0 358.0 109542;6885.0 248.0 109544;5564.0 121.0 109545;7700.0 316.0 109547;1924.0 64.0 109518;3418.0 142.0 109551;2544.0 68.0 109553;3503.0 124.0 109554;2182.0 58.0 109555;1920.0 70.0 109556;1780.0 61.0 109557;1170.0 46.0 109558;870.0 7.0 109559;700.0 25.0 109560;484.0 20.0 109561;341.0 7.0 109562;288.0 6.0 109563;12418.0 537.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,328661.0;12449.0;330887.0;13957.0;307767.0;11288.0;332176.0;16935.0;1.11359194043;0.968297152951;1.34595535677,6817.0 91.0 109536;4356.0 187.0 109476;1267.0 51.0 109541;9073.0 359.0 109542;6913.0 248.0 109544;5598.0 122.0 109545;7765.0 320.0 109547;1959.0 67.0 109518;3467.0 144.0 109551;2571.0 69.0 109553;3602.0 128.0 109554;2219.0 59.0 109555;1959.0 70.0 109556;1815.0 62.0 109557;1232.0 47.0 109558;910.0 7.0 109559;776.0 27.0 109560;529.0 20.0 109561;370.0 7.0 109562;318.0 8.0 109563;12467.0 540.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,329695.0;12479.0;331819.0;13999.0;308718.0;11313.0;333120.0;16977.0;1.11462387047;0.968162843821;1.34645801849,6850.0 91.0 109536;4394.0 188.0 109476;1293.0 51.0 109541;9106.0 359.0 109542;6953.0 250.0 109544;5624.0 122.0 109545;7819.0 323.0 109547;1999.0 67.0 109518;3512.0 145.0 109551;2609.0 72.0 109553;3702.0 134.0 109554;2242.0 59.0 109555;2008.0 74.0 109556;1840.0 62.0 109557;1296.0 51.0 109558;600.0 28.0 109561;834.0 31.0 109560;12525.0 544.0 109524;413.0 7.0 109562;354.0 9.0 109563;942.0 8.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,330692.0;12510.0;332736.0;14035.0;309667.0;11339.0;334059.0;17021.0;1.11501062182;0.967935030243;1.34687804601,6874.0 91.0 109536;4425.0 189.0 109476;1319.0 51.0 109541;9140.0 361.0 109542;6988.0 251.0 109544;5653.0 124.0 109545;7874.0 325.0 109547;2031.0 68.0 109518;3549.0 147.0 109551;2645.0 74.0 109553;3789.0 136.0 109554;2268.0 60.0 109555;12612.0 550.0 109524;1866.0 62.0 109557;1380.0 56.0 109558;974.0 8.0 109559;890.0 33.0 109560;676.0 29.0 109561;452.0 10.0 109562;379.0 11.0 109563;2048.0 75.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,331619.0;12536.0;333670.0;14065.0;310626.0;11373.0;334995.0;17066.0;1.11507222193;0.968540212656;1.3476398299,6901.0 91.0 109536;4460.0 192.0 109476;1364.0 51.0 109541;9180.0 364.0 109542;7011.0 251.0 109544;5683.0 124.0 109545;7916.0 325.0 109547;2060.0 70.0 109518;3588.0 148.0 109551;2683.0 78.0 109553;3884.0 141.0 109554;2305.0 60.0 109555;2096.0 77.0 109556;1898.0 63.0 109557;1470.0 57.0 109558;1000.0 8.0 109559;949.0 34.0 109560;720.0 30.0 109561;479.0 10.0 109562;408.0 11.0 109563;12711.0 556.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,332589.0;12567.0;334623.0;14094.0;311580.0;11400.0;335966.0;17114.0;1.11469164238;0.968303595788;1.34813214816,6934.0 91.0 109536;4524.0 196.0 109476;1397.0 52.0 109541;9204.0 364.0 109542;7054.0 252.0 109544;5721.0 125.0 109545;7950.0 325.0 109547;2094.0 70.0 109518;3672.0 158.0 109551;2720.0 79.0 109553;3967.0 143.0 109554;2334.0 60.0 109555;12825.0 560.0 109524;1930.0 65.0 109557;1511.0 58.0 109558;1036.0 8.0 109559;987.0 36.0 109560;755.0 30.0 109561;529.0 10.0 109562;436.0 11.0 109563;2139.0 77.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
