data,1241749200,1553586.0;57361.0;1558348.0;65887.0;1457999.0;54074.0;1558919.0;82532.0;1.14512756921;1.00449980225;1.433895178,4218.0 172.0 109696;3920.0 106.0 109697;3638.0 124.0 109698;3408.0 176.0 109699;2856.0 123.0 109700;2455.0 71.0 109701;2270.0 50.0 109702;9540.0 608.0 109703;3103.0 147.0 109704;1538.0 48.0 109706;524.0 17.0 109707;1028.0 54.0 109708;431.0 12.0 109709;89.0 2.0 109710;31853.0 1593.0 109635;3914.0 119.0 109651;12279.0 150.0 109660;12013.0 255.0 109667;5501.0 205.0 109673;3555.0 179.0 109675;8111.0 302.0 109683;5920.0 232.0 109689;5199.0 210.0 109690,109696.0 8333;109697.0 8333;109698.0 8333;109699.0 8333;109700.0 8333;109701.0 8333;109702.0 8333;109703.0 8333;109704.0 8333;109706.0 8333;109707.0 8333;109708.0 8333;109709.0 8333;109710.0 8333;109635.0 8333;109651.0 8333;109660.0 8333;109667.0 8333;109673.0 8333;109675.0 8333;109683.0 8333;109689.0 8333;109690.0 8333,109696 378;109697 376;109698 325;109699 357;109700 354;109701 333;109702 402;109703 371;109704 370;109706 377;109707 360;109708 358;109709 377;109710 365;109635 371;109651 363;109660 349;109667 340;109673 359;109675 359;109683 346;109689 377;109690 366
data,1241749500,1554055.0;57379.0;1558856.0;65903.0;1458524.0;54091.0;1559435.0;82551.0;1.1450187429;1.00444194542;1.43373362618,4234.0 172.0 109696;3944.0 107.0 109697;3660.0 124.0 109698;3421.0 176.0 109699;2874.0 123.0 109700;2478.0 72.0 109701;2284.0 50.0 109702;9561.0 608.0 109703;3148.0 152.0 109704;1568.0 49.0 109706;542.0 17.0 109707;1043.0 56.0 109708;455.0 12.0 109709;108.0 3.0 109710;31878.0 1593.0 109635;3934.0 119.0 109651;12298.0 150.0 109660;12033.0 255.0 109667;5519.0 205.0 109673;3578.0 179.0 109675;8131.0 302.0 109683;5941.0 232.0 109689;5239.0 215.0 109690,109696.0 11667;109697.0 11667;109698.0 11667;109699.0 11667;109700.0 11667;109701.0 11667;109702.0 11667;109703.0 11667;109704.0 11667;109706.0 11667;109707.0 11667;109708.0 11667;109709.0 11667;109710.0 11667;109635.0 11667;109651.0 11667;109660.0 11667;109667.0 11667;109673.0 11667;109675.0 11667;109683.0 11667;109689.0 11667;109690.0 11667,109696 462;109697 513;109698 510;109699 505;109700 505;109701 524;109702 483;109703 542;109704 496;109706 550;109707 492;109708 476;109709 509;109710 526;109635 523;109651 499;109660 507;109667 469;109673 498;109675 517;109683 510;109689 496;109690 555
data,1241749800,1554922.0;57403.0;1559714.0;65937.0;1459369.0;54132.0;1560318.0;82585.0;1.14513906802;1.00476147449;1.4337125032,4256.0 173.0 109696;3979.0 107.0 109697;3700.0 125.0 109698;3447.0 177.0 109699;2899.0 124.0 109700;2516.0 74.0 109701;2310.0 50.0 109702;9607.0 611.0 109703;3227.0 158.0 109704;1599.0 49.0 109706;576.0 20.0 109707;1094.0 58.0 109708;487.0 14.0 109709;146.0 4.0 109710;31897.0 1594.0 109635;3962.0 120.0 109651;12330.0 151.0 109660;12061.0 255.0 109667;5556.0 207.0 109673;3611.0 179.0 109675;8166.0 304.0 109683;5972.0 233.0 109689;5331.0 218.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 880;109698 912;109699 866;109700 852;109701 870;109702 855;109703 854;109704 834;109706 893;109707 859;109708 874;109709 903;109710 848;109635 895;109651 900;109660 829;109667 857;109673 882;109675 861;109683 891;109689 818;109690 886
data,1241750100,1555796.0;57432.0;1560567.0;65965.0;1460248.0;54163.0;1561222.0;82630.0;1.14506425583;1.00478883668;1.43374461741,4276.0 173.0 109696;4010.0 107.0 109697;3731.0 125.0 109698;3476.0 177.0 109699;2921.0 124.0 109700;2549.0 74.0 109701;2333.0 50.0 109702;9652.0 612.0 109703;3366.0 165.0 109704;1628.0 50.0 109706;612.0 22.0 109707;1125.0 58.0 109708;527.0 17.0 109709;179.0 5.0 109710;31924.0 1595.0 109635;3994.0 121.0 109651;12361.0 152.0 109660;12084.0 256.0 109667;5589.0 209.0 109673;3639.0 180.0 109675;8199.0 305.0 109683;6001.0 235.0 109689;5406.0 221.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 883;109697 855;109698 864;109699 837;109700 864;109701 804;109702 844;109703 895;109704 960;109706 848;109707 828;109708 895;109709 916;109710 875;109635 902;109651 849;109660 875;109667 887;109673 858;109675 846;109683 899;109689 845;109690 871
data,1241750400,1556666.0;57461.0;1561427.0;65997.0;1461115.0;54193.0;1562088.0;82677.0;1.14505083987;1.00480330292;1.43384258066,4302.0 173.0 109696;4035.0 107.0 109697;3753.0 127.0 109698;3509.0 180.0 109699;2953.0 125.0 109700;2575.0 74.0 109701;2360.0 50.0 109702;9689.0 613.0 109703;3516.0 173.0 109704;1646.0 51.0 109706;651.0 23.0 109707;1159.0 61.0 109708;572.0 18.0 109709;208.0 6.0 109710;31956.0 1596.0 109635;4026.0 122.0 109651;12395.0 153.0 109660;12108.0 256.0 109667;5619.0 210.0 109673;3673.0 183.0 109675;8227.0 305.0 109683;6028.0 235.0 109689;5482.0 224.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 900;109698 883;109699 897;109700 858;109701 899;109702 872;109703 894;109704 885;109706 821;109707 894;109708 848;109709 859;109710 872;109635 872;109651 884;109660 859;109667 832;109673 855;109675 881;109683 876;109689 848;109690 868
data,1241750700,1557511.0;57486.0;1562307.0;66026.0;1461987.0;54222.0;1562918.0;82711.0;1.14503204465;1.00484957646;1.43382487541,4328.0 173.0 109696;4069.0 107.0 109697;3780.0 128.0 109698;3540.0 181.0 109699;2985.0 127.0 109700;2599.0 75.0 109701;2384.0 50.0 109702;9723.0 615.0 109703;3677.0 180.0 109704;1669.0 51.0 109706;688.0 23.0 109707;1203.0 63.0 109708;621.0 23.0 109709;238.0 7.0 109710;31983.0 1596.0 109635;4043.0 122.0 109651;12425.0 154.0 109660;12141.0 256.0 109667;5679.0 215.0 109673;3708.0 183.0 109675;8255.0 306.0 109683;6047.0 235.0 109689;5537.0 224.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 829;109697 888;109698 849;109699 863;109700 886;109701 852;109702 866;109703 866;109704 914;109706 849;109707 920;109708 871;109709 916;109710 825;109635 928;109651 829;109660 859;109667 844;109673 903;109675 830;109683 845;109689 879;109690 889
data,1241751000,1558320.0;57511.0;1563182.0;66044.0;1462891.0;54245.0;1563731.0;82762.0;1.1447998099;1.0047394875;1.43408421879,4355.0 174.0 109696;4101.0 107.0 109697;3801.0 128.0 109698;3566.0 181.0 109699;3010.0 127.0 109700;2622.0 76.0 109701;2416.0 50.0 109702;9747.0 615.0 109703;3861.0 187.0 109704;1698.0 51.0 109706;719.0 24.0 109707;1234.0 64.0 109708;681.0 24.0 109709;269.0 7.0 109710;32015.0 1596.0 109635;4067.0 122.0 109651;12452.0 154.0 109660;12171.0 256.0 109667;5725.0 216.0 109673;3732.0 185.0 109675;8285.0 306.0 109683;6075.0 235.0 109689;5595.0 227.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 875;109697 863;109698 882;109699 885;109700 918;109701 823;109702 903;109703 895;109704 846;109706 909;109707 882;109708 814;109709 848;109710 859;109635 809;109651 865;109660 900;109667 908;109673 886;109675 877;109683 838;109689 865;109690 850
data,1241751300,1559176.0;57543.0;1564046.0;66078.0;1463779.0;54280.0;1564590.0;82808.0;1.14474830414;1.00477071307;1.43408332677,4370.0 174.0 109696;4131.0 108.0 109697;3820.0 128.0 109698;3591.0 181.0 109699;3042.0 128.0 109700;2645.0 76.0 109701;2443.0 51.0 109702;9773.0 615.0 109703;4045.0 200.0 109704;1731.0 54.0 109706;749.0 25.0 109707;1278.0 67.0 109708;737.0 26.0 109709;297.0 9.0 109710;32036.0 1597.0 109635;4099.0 122.0 109651;12477.0 154.0 109660;12197.0 256.0 109667;5784.0 219.0 109673;3761.0 186.0 109675;8317.0 306.0 109683;6099.0 235.0 109689;5639.0 229.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 845;109698 872;109699 797;109700 869;109701 872;109702 895;109703 906;109704 909;109706 888;109707 905;109708 878;109709 869;109710 859;109635 822;109651 878;109660 877;109667 827;109673 827;109675 897;109683 854;109689 924;109690 868
data,1241751600,1560067.0;57571.0;1564944.0;66112.0;1464703.0;54310.0;1565495.0;82849.0;1.14477720038;1.00477705479;1.43408556082,4398.0 176.0 109696;4158.0 109.0 109697;3842.0 128.0 109698;3633.0 184.0 109699;3069.0 130.0 109700;2663.0 77.0 109701;2471.0 52.0 109702;9794.0 615.0 109703;4264.0 209.0 109704;1755.0 55.0 109706;787.0 27.0 109707;1332.0 72.0 109708;786.0 28.0 109709;324.0 9.0 109710;32073.0 1599.0 109635;4136.0 122.0 109651;12500.0 154.0 109660;12219.0 256.0 109667;5825.0 219.0 109673;3789.0 186.0 109675;8342.0 306.0 109683;6121.0 236.0 109689;5678.0 231.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 888;109698 872;109699 875;109700 855;109701 840;109702 863;109703 894;109704 881;109706 901;109707 824;109708 888;109709 904;109710 848;109635 870;109651 917;109660 809;109667 848;109673 899;109675 843;109683 901;109689 844;109690 893
data,1241751900,1560954.0;57598.0;1565746.0;66141.0;1465558.0;54333.0;1566333.0;82881.0;1.14480666026;1.00471613388;1.43401464292,4418.0 176.0 109696;4182.0 109.0 109697;3862.0 129.0 109698;3654.0 185.0 109699;3101.0 131.0 109700;2688.0 77.0 109701;2494.0 52.0 109702;9816.0 618.0 109703;4383.0 210.0 109704;1783.0 55.0 109706;819.0 27.0 109707;1437.0 78.0 109708;825.0 29.0 109709;347.0 11.0 109710;32111.0 1604.0 109635;4159.0 123.0 109651;12525.0 154.0 109660;12249.0 257.0 109667;5852.0 222.0 109673;3811.0 186.0 109675;8368.0 307.0 109683;6144.0 236.0 109689;5733.0 233.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 910;109697 864;109698 844;109699 927;109700 794;109701 895;109702 922;109703 863;109704 801;109706 925;109707 857;109708 838;109709 825;109710 863;109635 929;109651 902;109660 844;109667 879;109673 869;109675 832;109683 890;109689 887;109690 840
data,1241752200,1561858.0;57627.0;1566627.0;66167.0;1466472.0;54357.0;1567180.0;82920.0;1.14469918157;1.00460940504;1.43402244193,4446.0 178.0 109696;4203.0 110.0 109697;3888.0 130.0 109698;3695.0 188.0 109699;3127.0 131.0 109700;2704.0 77.0 109701;2514.0 52.0 109702;9844.0 621.0 109703;4508.0 214.0 109704;1806.0 56.0 109706;853.0 27.0 109707;1577.0 82.0 109708;861.0 30.0 109709;369.0 12.0 109710;32146.0 1606.0 109635;4186.0 123.0 109651;12556.0 155.0 109660;12276.0 258.0 109667;5899.0 222.0 109673;3838.0 186.0 109675;8403.0 307.0 109683;6169.0 237.0 109689;5774.0 233.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 833;109697 843;109698 841;109699 869;109700 897;109701 843;109702 897;109703 889;109704 886;109706 867;109707 883;109708 895;109709 844;109710 841;109635 860;109651 857;109660 856;109667 868;109673 886;109675 879;109683 907;109689 877;109690 882
