data,1241298600,324836.0;12212.0;326378.0;14720.0;303657.0;11247.0;325264.0;16538.0;1.19967688634;0.985214412531;1.35245974478,3870.0 51.0 109536;1932.0 79.0 109476;1346.0 51.0 109541;8767.0 301.0 109542;6402.0 211.0 109544;3955.0 86.0 109545;89.0 5.0 109561;9393.0 376.0 109547;1545.0 42.0 109518;3095.0 117.0 109551;1422.0 27.0 109553;2555.0 83.0 109554;2267.0 78.0 109555;10978.0 432.0 109524;1570.0 65.0 109557;561.0 16.0 109558;425.0 4.0 109559;372.0 12.0 109560;4310.0 197.0 109556;70.0 3.0 109562;78.0 2.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325380.0;12225.0;326914.0;14741.0;304217.0;11269.0;325803.0;16559.0;1.20014968009;0.985925017077;1.3527608134,3892.0 51.0 109536;1955.0 79.0 109476;1369.0 53.0 109541;8792.0 302.0 109542;6423.0 211.0 109544;3972.0 86.0 109545;106.0 5.0 109561;9427.0 380.0 109547;1576.0 43.0 109518;3114.0 118.0 109551;1447.0 27.0 109553;2587.0 84.0 109554;2287.0 79.0 109555;11018.0 435.0 109524;1598.0 66.0 109557;585.0 17.0 109558;448.0 4.0 109559;393.0 12.0 109560;4337.0 199.0 109556;103.0 4.0 109562;109.0 4.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326368.0;12253.0;327889.0;14773.0;305205.0;11294.0;326779.0;16596.0;1.20007112751;0.985646708275;1.35274028404,3934.0 52.0 109536;1992.0 81.0 109476;1420.0 54.0 109541;8842.0 304.0 109542;6461.0 213.0 109544;4008.0 87.0 109545;9501.0 382.0 109547;1629.0 45.0 109518;3155.0 118.0 109551;1478.0 27.0 109553;2634.0 86.0 109554;2315.0 79.0 109555;4419.0 203.0 109556;1631.0 67.0 109557;635.0 19.0 109558;483.0 5.0 109559;425.0 12.0 109560;146.0 6.0 109561;144.0 5.0 109562;169.0 7.0 109563;11092.0 439.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327340.0;12286.0;328900.0;14809.0;306153.0;11327.0;327771.0;16634.0;1.19963858732;0.985745829089;1.35211844761,3964.0 52.0 109536;2074.0 86.0 109476;1465.0 55.0 109541;8888.0 305.0 109542;6495.0 214.0 109544;4036.0 88.0 109545;192.0 7.0 109561;9597.0 387.0 109547;1663.0 45.0 109518;3185.0 120.0 109551;1500.0 27.0 109553;2704.0 88.0 109554;2336.0 79.0 109555;4489.0 203.0 109556;1670.0 67.0 109557;689.0 22.0 109558;517.0 5.0 109559;476.0 18.0 109560;11175.0 445.0 109524;175.0 5.0 109562;234.0 9.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,328310.0;12318.0;329896.0;14840.0;307167.0;11353.0;328747.0;16672.0;1.19894914567;0.985099260583;1.35166732279,3981.0 52.0 109536;2170.0 92.0 109476;1509.0 56.0 109541;8935.0 306.0 109542;6546.0 218.0 109544;4064.0 88.0 109545;9675.0 389.0 109547;1717.0 49.0 109518;3235.0 120.0 109551;1522.0 29.0 109553;2744.0 89.0 109554;2357.0 79.0 109555;4535.0 204.0 109556;1690.0 69.0 109557;748.0 23.0 109558;539.0 5.0 109559;548.0 20.0 109560;223.0 8.0 109561;210.0 5.0 109562;287.0 9.0 109563;11285.0 448.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,329251.0;12350.0;330845.0;14879.0;308065.0;11376.0;329739.0;16712.0;1.19897275159;0.984481067307;1.35119570327,3999.0 52.0 109536;2295.0 98.0 109476;1571.0 61.0 109541;8971.0 308.0 109542;6617.0 220.0 109544;4106.0 91.0 109545;9736.0 392.0 109547;1770.0 54.0 109518;3254.0 120.0 109551;1548.0 30.0 109553;2773.0 89.0 109554;2385.0 79.0 109555;4596.0 208.0 109556;1717.0 69.0 109557;787.0 23.0 109558;549.0 5.0 109559;591.0 20.0 109560;251.0 10.0 109561;232.0 6.0 109562;327.0 9.0 109563;11394.0 453.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,330213.0;12379.0;331835.0;14915.0;309033.0;11414.0;330632.0;16749.0;1.19897373827;0.985239044031;1.3513025685,4016.0 52.0 109536;2400.0 102.0 109476;1619.0 62.0 109541;9003.0 309.0 109542;6692.0 225.0 109544;4160.0 94.0 109545;9840.0 397.0 109547;1841.0 56.0 109518;3275.0 120.0 109551;1577.0 30.0 109553;2804.0 90.0 109554;2404.0 80.0 109555;4674.0 213.0 109556;1751.0 70.0 109557;833.0 27.0 109558;565.0 5.0 109559;622.0 21.0 109560;293.0 11.0 109561;250.0 6.0 109562;372.0 10.0 109563;11468.0 453.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,331201.0;12412.0;332837.0;14952.0;309981.0;11442.0;331591.0;16787.0;1.19871947725;0.98495579776;1.35089075154,4028.0 52.0 109536;2492.0 102.0 109476;1685.0 64.0 109541;9038.0 309.0 109542;6742.0 226.0 109544;4204.0 95.0 109545;9968.0 403.0 109547;1941.0 62.0 109518;3298.0 120.0 109551;1589.0 30.0 109553;2830.0 90.0 109554;2425.0 80.0 109555;4771.0 219.0 109556;1772.0 70.0 109557;914.0 34.0 109558;319.0 11.0 109561;665.0 23.0 109560;11541.0 456.0 109524;272.0 8.0 109562;390.0 11.0 109563;577.0 5.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,332117.0;12442.0;333780.0;14983.0;310919.0;11478.0;332570.0;16825.0;1.19822776436;0.985416585253;1.35043259472,4042.0 54.0 109536;2545.0 103.0 109476;1726.0 65.0 109541;9057.0 309.0 109542;6804.0 227.0 109544;4256.0 98.0 109545;10052.0 404.0 109547;2036.0 65.0 109518;3314.0 120.0 109551;1601.0 30.0 109553;2858.0 91.0 109554;2440.0 80.0 109555;11631.0 461.0 109524;1786.0 70.0 109557;1009.0 37.0 109558;593.0 5.0 109559;693.0 23.0 109560;344.0 12.0 109561;295.0 9.0 109562;414.0 11.0 109563;4908.0 227.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,333080.0;12473.0;334737.0;15015.0;311820.0;11507.0;333474.0;16868.0;1.19784121095;0.98545269044;1.35076328343,4061.0 54.0 109536;2634.0 110.0 109476;1761.0 65.0 109541;9074.0 309.0 109542;6848.0 228.0 109544;4303.0 98.0 109545;10109.0 407.0 109547;2142.0 69.0 109518;3328.0 120.0 109551;1614.0 31.0 109553;2891.0 92.0 109554;2458.0 80.0 109555;5034.0 230.0 109556;1808.0 70.0 109557;1128.0 43.0 109558;610.0 5.0 109559;718.0 24.0 109560;375.0 14.0 109561;313.0 9.0 109562;434.0 11.0 109563;11718.0 464.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,334013.0;12498.0;335734.0;15042.0;312737.0;11535.0;334435.0;16907.0;1.1973830593;0.985737282903;1.3510694708,4072.0 54.0 109536;2768.0 117.0 109476;1801.0 67.0 109541;9089.0 309.0 109542;6879.0 229.0 109544;4347.0 102.0 109545;10189.0 408.0 109547;2220.0 69.0 109518;3344.0 120.0 109551;1635.0 32.0 109553;2911.0 92.0 109554;2472.0 81.0 109555;11802.0 465.0 109524;1824.0 70.0 109557;1234.0 44.0 109558;627.0 5.0 109559;751.0 24.0 109560;406.0 14.0 109561;337.0 10.0 109562;457.0 11.0 109563;5193.0 237.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
