data,1241395200,527329.0;18664.0;530678.0;22237.0;497355.0;17250.0;529033.0;24885.0;1.18391914137;0.979940125226;1.32902090304,5810.0 186.0 109569;5024.0 181.0 109572;4524.0 193.0 109573;3485.0 125.0 109574;2916.0 112.0 109575;2079.0 78.0 109576;3552.0 144.0 109577;1891.0 67.0 109578;1425.0 51.0 109579;1309.0 42.0 109580;952.0 25.0 109581;2625.0 143.0 109582;138.0 5.0 109583;87.0 5.0 109585;50.0 0.0 109586;11336.0 412.0 109476;3676.0 148.0 109517;21955.0 819.0 109524;8216.0 114.0 109536;2875.0 90.0 109539;12452.0 458.0 109551;8930.0 301.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,527779.0;18682.0;531140.0;22253.0;497807.0;17271.0;529548.0;24897.0;1.18360910369;0.98013347725;1.32822125362,5830.0 186.0 109569;5041.0 181.0 109572;4548.0 195.0 109573;3503.0 126.0 109574;2936.0 112.0 109575;2097.0 78.0 109576;3566.0 144.0 109577;1914.0 67.0 109578;1451.0 52.0 109579;1334.0 42.0 109580;970.0 27.0 109581;2650.0 145.0 109582;157.0 5.0 109583;102.0 5.0 109585;73.0 1.0 109586;11359.0 412.0 109476;3694.0 149.0 109517;21978.0 820.0 109524;8239.0 115.0 109536;2898.0 91.0 109539;12475.0 459.0 109551;8954.0 303.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,528670.0;18704.0;532059.0;22278.0;498733.0;17303.0;530491.0;24936.0;1.18349541152;0.980626160969;1.32861435876,5858.0 186.0 109569;5071.0 182.0 109572;4604.0 196.0 109573;3536.0 128.0 109574;2961.0 112.0 109575;2137.0 79.0 109576;3607.0 147.0 109577;1951.0 68.0 109578;1507.0 54.0 109579;1359.0 42.0 109580;1019.0 28.0 109581;2699.0 145.0 109582;194.0 6.0 109583;137.0 6.0 109585;115.0 1.0 109586;11393.0 415.0 109476;3748.0 149.0 109517;22028.0 823.0 109524;8276.0 115.0 109536;2942.0 91.0 109539;12524.0 460.0 109551;9022.0 307.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,529538.0;18730.0;532978.0;22314.0;499664.0;17340.0;531404.0;24979.0;1.18366143865;0.981138654594;1.32895287899,5904.0 188.0 109569;5102.0 182.0 109572;4646.0 197.0 109573;3576.0 128.0 109574;2985.0 113.0 109575;2162.0 79.0 109576;3638.0 148.0 109577;1982.0 69.0 109578;1587.0 60.0 109579;1395.0 42.0 109580;1076.0 30.0 109581;2765.0 150.0 109582;233.0 6.0 109583;159.0 6.0 109585;150.0 3.0 109586;11466.0 421.0 109476;3793.0 151.0 109517;22081.0 825.0 109524;8300.0 115.0 109536;2968.0 93.0 109539;12559.0 461.0 109551;9080.0 309.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,530415.0;18765.0;533840.0;22363.0;500561.0;17369.0;532348.0;25007.0;1.18409400009;0.980810336558;1.32780162519,5943.0 190.0 109569;5122.0 183.0 109572;4691.0 200.0 109573;3603.0 128.0 109574;3007.0 114.0 109575;2178.0 79.0 109576;3697.0 155.0 109577;2011.0 70.0 109578;1683.0 66.0 109579;1420.0 45.0 109580;1150.0 36.0 109581;2832.0 154.0 109582;249.0 7.0 109583;168.0 6.0 109585;195.0 5.0 109586;11523.0 423.0 109476;3822.0 152.0 109517;22135.0 830.0 109524;8314.0 115.0 109536;3012.0 95.0 109539;12586.0 462.0 109551;9128.0 310.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,531314.0;18792.0;534769.0;22394.0;501442.0;17398.0;533293.0;25038.0;1.18397819996;0.980972596191;1.32743115925,5990.0 193.0 109569;5147.0 185.0 109572;4728.0 200.0 109573;3620.0 128.0 109574;3052.0 117.0 109575;2191.0 80.0 109576;3781.0 158.0 109577;2031.0 70.0 109578;1764.0 68.0 109579;1457.0 47.0 109580;1230.0 41.0 109581;2885.0 155.0 109582;267.0 7.0 109583;194.0 7.0 109585;226.0 5.0 109586;11612.0 426.0 109476;3856.0 152.0 109517;22214.0 832.0 109524;8328.0 115.0 109536;3052.0 96.0 109539;12605.0 463.0 109551;9168.0 311.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,532293.0;18820.0;535663.0;22424.0;502368.0;17414.0;534221.0;25075.0;1.18400236902;0.980409945554;1.32755071697,6015.0 193.0 109569;5183.0 187.0 109572;4759.0 201.0 109573;3642.0 129.0 109574;3086.0 117.0 109575;2211.0 81.0 109576;3854.0 161.0 109577;2049.0 70.0 109578;1857.0 71.0 109579;1506.0 49.0 109580;1316.0 44.0 109581;2946.0 157.0 109582;289.0 9.0 109583;219.0 9.0 109585;252.0 5.0 109586;11686.0 427.0 109476;3879.0 152.0 109517;22282.0 835.0 109524;8343.0 116.0 109536;3076.0 97.0 109539;12638.0 465.0 109551;9204.0 311.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,533203.0;18857.0;536543.0;22455.0;503278.0;17446.0;535107.0;25106.0;1.18339167393;0.980184667974;1.32665157037,6038.0 193.0 109569;5228.0 189.0 109572;4791.0 202.0 109573;3659.0 129.0 109574;3132.0 121.0 109575;2239.0 82.0 109576;3937.0 165.0 109577;2070.0 71.0 109578;1939.0 73.0 109579;1547.0 51.0 109580;1410.0 47.0 109581;2979.0 158.0 109582;309.0 9.0 109583;263.0 14.0 109585;267.0 5.0 109586;11744.0 429.0 109476;3898.0 152.0 109517;22356.0 837.0 109524;8358.0 116.0 109536;3104.0 97.0 109539;12673.0 466.0 109551;9231.0 311.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,534114.0;18901.0;537469.0;22491.0;504258.0;17487.0;535972.0;25142.0;1.182509191;0.979967544699;1.32558291984,6060.0 193.0 109569;5273.0 191.0 109572;4827.0 204.0 109573;3674.0 130.0 109574;3170.0 122.0 109575;2265.0 83.0 109576;4034.0 168.0 109577;2089.0 71.0 109578;2028.0 74.0 109579;1598.0 55.0 109580;1497.0 50.0 109581;3041.0 161.0 109582;333.0 9.0 109583;325.0 16.0 109585;278.0 5.0 109586;11813.0 434.0 109476;3916.0 153.0 109517;22408.0 838.0 109524;8380.0 118.0 109536;3130.0 98.0 109539;12701.0 468.0 109551;9258.0 312.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,535001.0;18934.0;538352.0;22517.0;505185.0;17512.0;536875.0;25171.0;1.18183383138;0.979484398002;1.32476702502,6078.0 194.0 109569;5326.0 192.0 109572;4861.0 206.0 109573;3689.0 130.0 109574;3216.0 124.0 109575;2278.0 84.0 109576;4122.0 170.0 109577;2104.0 71.0 109578;2099.0 77.0 109579;1648.0 55.0 109580;1575.0 52.0 109581;3091.0 162.0 109582;355.0 9.0 109583;388.0 19.0 109585;299.0 5.0 109586;11888.0 437.0 109476;3944.0 154.0 109517;22453.0 840.0 109524;8397.0 118.0 109536;3160.0 99.0 109539;12739.0 469.0 109551;9271.0 312.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,535925.0;18960.0;539273.0;22547.0;506067.0;17543.0;537795.0;25188.0;1.18180486;0.979854358084;1.3238616698,6101.0 195.0 109569;5362.0 192.0 109572;4918.0 210.0 109573;3701.0 130.0 109574;3281.0 129.0 109575;2325.0 86.0 109576;4181.0 171.0 109577;2121.0 72.0 109578;2180.0 80.0 109579;1695.0 55.0 109580;1658.0 54.0 109581;3132.0 164.0 109582;371.0 9.0 109583;469.0 22.0 109585;312.0 5.0 109586;11958.0 439.0 109476;3966.0 156.0 109517;22498.0 841.0 109524;8423.0 119.0 109536;3182.0 99.0 109539;12769.0 469.0 109551;9299.0 312.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
