data,1241490600,809194.0;29018.0;813007.0;34625.0;763534.0;27421.0;813170.0;39208.0;1.18762867429;1.00147493786;1.34455483594,6353.0 303.0 109594;9424.0 499.0 109596;13189.0 749.0 109597;5708.0 288.0 109598;2641.0 104.0 109599;2217.0 60.0 109600;2230.0 89.0 109601;7515.0 460.0 109602;2813.0 140.0 109603;20592.0 739.0 109476;12173.0 864.0 109605;1651.0 54.0 109606;2611.0 124.0 109608;4960.0 281.0 109609;704.0 24.0 109610;214.0 7.0 109611;117.0 7.0 109612;656.0 9.0 109613;873.0 43.0 109614;2784.0 153.0 109615;1308.0 81.0 109617;78.0 2.0 109618;13435.0 458.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,809993.0;29054.0;813856.0;34673.0;764316.0;27463.0;814012.0;39263.0;1.18773398572;1.00172925962;1.34470805482,6378.0 303.0 109594;9468.0 502.0 109596;13251.0 754.0 109597;5737.0 289.0 109598;2690.0 105.0 109599;2253.0 61.0 109600;2258.0 91.0 109601;7546.0 461.0 109602;2858.0 143.0 109603;20630.0 741.0 109476;12238.0 872.0 109605;1683.0 55.0 109606;2637.0 125.0 109608;4992.0 283.0 109609;748.0 25.0 109610;239.0 8.0 109611;167.0 13.0 109612;689.0 10.0 109613;902.0 44.0 109614;2819.0 155.0 109615;1339.0 84.0 109617;102.0 3.0 109618;13471.0 459.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,810847.0;29090.0;814748.0;34720.0;765196.0;27495.0;814906.0;39325.0;1.18782266112;1.00155828049;1.34510568693,6403.0 303.0 109594;9503.0 502.0 109596;13326.0 760.0 109597;5784.0 293.0 109598;2721.0 106.0 109599;2288.0 62.0 109600;2283.0 91.0 109601;7576.0 463.0 109602;2901.0 146.0 109603;20662.0 741.0 109476;12358.0 882.0 109605;1728.0 56.0 109606;2666.0 127.0 109608;5023.0 283.0 109609;778.0 27.0 109610;261.0 8.0 109611;247.0 20.0 109612;703.0 10.0 109613;925.0 47.0 109614;2853.0 156.0 109615;1384.0 87.0 109617;126.0 3.0 109618;13488.0 460.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,811644.0;29136.0;815625.0;34762.0;766109.0;27533.0;815752.0;39379.0;1.18727105557;1.00114878472;1.34475197317,6423.0 304.0 109594;9525.0 502.0 109596;13405.0 766.0 109597;5825.0 294.0 109598;2741.0 107.0 109599;2309.0 62.0 109600;2304.0 92.0 109601;7614.0 466.0 109602;2929.0 146.0 109603;20696.0 743.0 109476;12465.0 886.0 109605;1751.0 56.0 109606;2707.0 130.0 109608;5059.0 288.0 109609;805.0 28.0 109610;275.0 8.0 109611;340.0 24.0 109612;728.0 10.0 109613;986.0 49.0 109614;2881.0 158.0 109615;1443.0 91.0 109617;145.0 4.0 109618;13508.0 461.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,812525.0;29185.0;816534.0;34812.0;766949.0;27576.0;816658.0;39431.0;1.18694811844;1.00101784485;1.34423316203,6442.0 304.0 109594;9554.0 504.0 109596;13504.0 775.0 109597;5866.0 299.0 109598;2765.0 107.0 109599;2336.0 62.0 109600;2330.0 92.0 109601;7652.0 468.0 109602;2944.0 146.0 109603;20729.0 743.0 109476;12556.0 889.0 109605;1766.0 56.0 109606;2755.0 132.0 109608;5110.0 292.0 109609;825.0 28.0 109610;291.0 8.0 109611;450.0 34.0 109612;745.0 10.0 109613;1028.0 52.0 109614;2917.0 159.0 109615;1518.0 99.0 109617;157.0 4.0 109618;13533.0 462.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,813415.0;29229.0;817369.0;34864.0;767856.0;27613.0;817550.0;39478.0;1.18701790555;1.00076482039;1.34381362289,6452.0 304.0 109594;9573.0 504.0 109596;13621.0 780.0 109597;5906.0 302.0 109598;2779.0 107.0 109599;2349.0 62.0 109600;2342.0 92.0 109601;7684.0 468.0 109602;2962.0 146.0 109603;20744.0 744.0 109476;12629.0 895.0 109605;1786.0 57.0 109606;2777.0 132.0 109608;5165.0 294.0 109609;846.0 29.0 109610;297.0 8.0 109611;572.0 48.0 109612;755.0 10.0 109613;1100.0 61.0 109614;2943.0 161.0 109615;1599.0 107.0 109617;174.0 4.0 109618;13553.0 462.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,814262.0;29265.0;818280.0;34916.0;768675.0;27657.0;818458.0;39527.0;1.18723909029;1.00110113169;1.34373334632,6461.0 304.0 109594;9596.0 504.0 109596;13728.0 786.0 109597;5968.0 308.0 109598;2796.0 107.0 109599;2365.0 64.0 109600;2352.0 92.0 109601;7729.0 472.0 109602;2975.0 147.0 109603;20782.0 749.0 109476;12700.0 898.0 109605;1801.0 58.0 109606;2794.0 132.0 109608;5220.0 296.0 109609;858.0 29.0 109610;309.0 8.0 109611;719.0 62.0 109612;765.0 10.0 109613;1164.0 62.0 109614;2962.0 161.0 109615;1719.0 114.0 109617;185.0 4.0 109618;13571.0 462.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,815142.0;29296.0;819174.0;34962.0;769561.0;27695.0;819352.0;39575.0;1.18753126518;1.0013439146;1.34392597852,6473.0 304.0 109594;9611.0 504.0 109596;13833.0 790.0 109597;6013.0 311.0 109598;2809.0 107.0 109599;2381.0 64.0 109600;2364.0 92.0 109601;7764.0 475.0 109602;2992.0 148.0 109603;20805.0 749.0 109476;12777.0 902.0 109605;1814.0 59.0 109606;2813.0 133.0 109608;5260.0 298.0 109609;870.0 29.0 109610;325.0 8.0 109611;927.0 74.0 109612;769.0 10.0 109613;1229.0 70.0 109614;2977.0 162.0 109615;1822.0 118.0 109617;195.0 5.0 109618;13590.0 463.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,816027.0;29334.0;820033.0;35008.0;770411.0;27730.0;820179.0;39631.0;1.18759732715;1.00129174436;1.34418680062,6487.0 305.0 109594;9624.0 505.0 109596;13933.0 798.0 109597;6073.0 312.0 109598;2820.0 108.0 109599;2402.0 65.0 109600;2380.0 93.0 109601;7819.0 477.0 109602;3005.0 150.0 109603;20849.0 752.0 109476;12842.0 906.0 109605;1827.0 60.0 109606;2825.0 134.0 109608;5288.0 299.0 109609;881.0 31.0 109610;337.0 8.0 109611;1081.0 80.0 109612;788.0 10.0 109613;1320.0 76.0 109614;2992.0 162.0 109615;1887.0 121.0 109617;204.0 5.0 109618;13608.0 464.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,816883.0;29389.0;820887.0;35057.0;771248.0;27776.0;821002.0;39685.0;1.18704291407;1.00103831821;1.3435604737,6508.0 307.0 109594;9635.0 506.0 109596;14004.0 799.0 109597;6112.0 315.0 109598;2832.0 108.0 109599;2413.0 66.0 109600;2391.0 93.0 109601;7896.0 485.0 109602;3026.0 150.0 109603;20874.0 752.0 109476;12911.0 909.0 109605;1838.0 60.0 109606;2838.0 134.0 109608;5324.0 300.0 109609;896.0 32.0 109610;347.0 8.0 109611;1263.0 99.0 109612;803.0 10.0 109613;1409.0 79.0 109614;3002.0 162.0 109615;1965.0 127.0 109617;214.0 5.0 109618;13625.0 464.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,817764.0;29426.0;821790.0;35114.0;772120.0;27815.0;821858.0;39745.0;1.18745240073;1.0011312537;1.34394801955,6527.0 307.0 109594;9648.0 506.0 109596;14091.0 805.0 109597;6151.0 315.0 109598;2844.0 108.0 109599;2427.0 66.0 109600;2399.0 93.0 109601;7948.0 487.0 109602;3044.0 150.0 109603;20889.0 752.0 109476;12962.0 913.0 109605;1853.0 60.0 109606;2853.0 135.0 109608;5346.0 304.0 109609;913.0 33.0 109610;359.0 8.0 109611;1519.0 121.0 109612;817.0 10.0 109613;1537.0 92.0 109614;3011.0 162.0 109615;2030.0 130.0 109617;228.0 5.0 109618;13633.0 465.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
