data,1241866500,1823312.0;65752.0;1831042.0;84101.0;1717526.0;62744.0;1832934.0;95451.0;1.27366400811;1.0130267294;1.44406146277,3147.0 77.0 109728;7719.0 159.0 109697;12568.0 272.0 109667;4697.0 172.0 109734;2019.0 40.0 109735;4769.0 192.0 109711;6813.0 327.0 109746;11540.0 599.0 109742;4721.0 212.0 109743;2242.0 68.0 109745;928.0 19.0 109714;1427.0 41.0 109747;4064.0 188.0 109748;1810.0 59.0 109749;5293.0 158.0 109720;23734.0 1221.0 109721;6533.0 229.0 109722;3265.0 60.0 109723;2492.0 51.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1824151.0;65778.0;1831836.0;84121.0;1718352.0;62762.0;1833795.0;95480.0;1.27349709375;1.01289578279;1.44391539612,3200.0 78.0 109728;7749.0 159.0 109697;12599.0 272.0 109667;4738.0 172.0 109734;2067.0 42.0 109735;971.0 19.0 109714;11587.0 602.0 109742;4811.0 192.0 109711;3298.0 60.0 109723;2282.0 69.0 109745;6866.0 328.0 109746;1463.0 41.0 109747;4098.0 188.0 109748;1845.0 60.0 109749;5333.0 159.0 109720;23770.0 1222.0 109721;6591.0 233.0 109722;4758.0 214.0 109743;2549.0 54.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1825189.0;65805.0;1832930.0;84152.0;1719422.0;62793.0;1834864.0;95531.0;1.27340781806;1.01292596174;1.44407381539,3251.0 78.0 109728;7782.0 159.0 109697;12650.0 273.0 109667;4769.0 172.0 109734;2142.0 45.0 109735;4865.0 193.0 109711;6912.0 329.0 109746;11666.0 607.0 109742;4820.0 216.0 109743;2341.0 72.0 109745;1024.0 20.0 109714;1500.0 41.0 109747;4171.0 194.0 109748;1890.0 60.0 109749;5393.0 159.0 109720;23863.0 1228.0 109721;6676.0 234.0 109722;3337.0 60.0 109723;2617.0 55.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1826246.0;65841.0;1833971.0;84182.0;1720476.0;62823.0;1835954.0;95579.0;1.27317949296;1.01282150049;1.44398787331,3279.0 78.0 109728;7820.0 159.0 109697;12679.0 273.0 109667;4869.0 218.0 109743;4808.0 173.0 109734;2206.0 45.0 109735;6943.0 329.0 109746;11787.0 613.0 109742;4916.0 195.0 109711;2399.0 72.0 109745;1055.0 20.0 109714;1527.0 41.0 109747;4288.0 202.0 109748;1938.0 63.0 109749;5440.0 161.0 109720;23985.0 1233.0 109721;6740.0 235.0 109722;3374.0 60.0 109723;2657.0 55.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1827290.0;65867.0;1835056.0;84219.0;1721560.0;62862.0;1837034.0;95612.0;1.27321091318;1.0129910891;1.44389230735,3323.0 79.0 109728;7844.0 160.0 109697;12715.0 274.0 109667;4843.0 175.0 109734;2248.0 45.0 109735;1092.0 20.0 109714;4946.0 223.0 109743;11935.0 621.0 109742;4938.0 195.0 109711;2436.0 73.0 109745;6984.0 331.0 109746;1540.0 41.0 109747;4440.0 207.0 109748;1999.0 66.0 109749;5490.0 162.0 109720;24119.0 1237.0 109721;6807.0 237.0 109722;3400.0 60.0 109723;2696.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1828353.0;65895.0;1836112.0;84257.0;1722619.0;62904.0;1838102.0;95658.0;1.27325212385;1.01320334752;1.44397367352,3348.0 79.0 109728;7862.0 161.0 109697;12742.0 274.0 109667;4893.0 177.0 109734;2286.0 46.0 109735;4968.0 195.0 109711;7024.0 334.0 109746;12100.0 623.0 109742;5090.0 234.0 109743;2468.0 73.0 109745;1112.0 20.0 109714;1561.0 41.0 109747;4575.0 214.0 109748;2072.0 69.0 109749;5524.0 165.0 109720;24206.0 1237.0 109721;6872.0 241.0 109722;3417.0 61.0 109723;2731.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1829403.0;65921.0;1837133.0;84303.0;1723616.0;62929.0;1839168.0;95696.0;1.27346798537;1.01320170898;1.44396937759,3367.0 79.0 109728;7876.0 161.0 109697;12765.0 274.0 109667;4930.0 179.0 109734;2311.0 46.0 109735;4994.0 196.0 109711;7063.0 336.0 109746;12262.0 640.0 109742;5240.0 239.0 109743;2497.0 73.0 109745;1129.0 20.0 109714;1580.0 41.0 109747;4683.0 217.0 109748;2136.0 72.0 109749;5600.0 171.0 109720;24274.0 1239.0 109721;6968.0 245.0 109722;3438.0 62.0 109723;2759.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1830387.0;65945.0;1838151.0;84334.0;1724638.0;62967.0;1840222.0;95746.0;1.27345195593;1.01338880281;1.44414722817,3385.0 80.0 109728;7897.0 161.0 109697;12783.0 274.0 109667;4968.0 179.0 109734;2329.0 46.0 109735;1149.0 21.0 109714;12508.0 653.0 109742;5366.0 240.0 109743;3455.0 62.0 109723;2515.0 73.0 109745;7110.0 338.0 109746;1595.0 41.0 109747;4806.0 224.0 109748;2207.0 74.0 109749;5669.0 171.0 109720;24322.0 1240.0 109721;7038.0 248.0 109722;5010.0 196.0 109711;2778.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1831440.0;65968.0;1839165.0;84364.0;1725694.0;62998.0;1841262.0;95790.0;1.27349090382;1.01349672765;1.44432178149,3410.0 80.0 109728;7916.0 161.0 109697;12804.0 275.0 109667;5456.0 243.0 109743;4990.0 179.0 109734;2351.0 47.0 109735;1161.0 21.0 109714;12762.0 657.0 109742;5030.0 196.0 109711;2527.0 73.0 109745;7169.0 340.0 109746;1609.0 41.0 109747;5011.0 236.0 109748;2271.0 76.0 109749;5708.0 171.0 109720;24366.0 1241.0 109721;7095.0 251.0 109722;3475.0 63.0 109723;2793.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1832463.0;66000.0;1840221.0;84423.0;1726724.0;63030.0;1842285.0;95847.0;1.27374378312;1.01348111511;1.44448483533,3428.0 80.0 109728;7935.0 161.0 109697;12819.0 275.0 109667;5010.0 179.0 109734;2382.0 47.0 109735;5046.0 197.0 109711;1177.0 22.0 109714;12998.0 674.0 109742;5562.0 249.0 109743;2550.0 74.0 109745;7255.0 347.0 109746;1629.0 41.0 109747;5188.0 246.0 109748;2322.0 78.0 109749;5746.0 172.0 109720;24413.0 1244.0 109721;7196.0 259.0 109722;3491.0 64.0 109723;2813.0 57.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1833525.0;66051.0;1841234.0;84462.0;1727799.0;63052.0;1843359.0;95907.0;1.27338524663;1.01300849504;1.44426810825,3440.0 80.0 109728;7947.0 161.0 109697;12840.0 275.0 109667;5683.0 257.0 109743;5028.0 179.0 109734;2396.0 47.0 109735;7312.0 349.0 109746;13213.0 682.0 109742;5063.0 197.0 109711;2565.0 74.0 109745;1189.0 22.0 109714;1651.0 41.0 109747;5403.0 259.0 109748;2368.0 78.0 109749;5770.0 173.0 109720;24496.0 1249.0 109721;7262.0 259.0 109722;3513.0 65.0 109723;2834.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
