
New Run at  01/29/2015 01:08:36
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,952.0;34.0;950.0;29.0;967.0;23.0;1047.0;34.0;0.854736842105;0.665977249224;0.909264565425,26.0 0.0 109473;46.0 2.0 109506;43.0 0.0 109508;61.0 3.0 109509;55.0 1.0 109510;43.0 2.0 109511;50.0 2.0 109512;50.0 3.0 109513;48.0 1.0 109514;44.0 0.0 109515;36.0 1.0 109484;42.0 0.0 109453;56.0 1.0 109492;70.0 5.0 109505;68.0 2.0 109494;34.0 2.0 109495;49.0 2.0 109498;46.0 0.0 109501;50.0 1.0 109502;33.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1893.0;65.0;1916.0;52.0;1876.0;59.0;2038.0;62.0;0.790396659708;0.915917664425;0.885981731713,65.0 2.0 109473;79.0 2.0 109506;82.0 0.0 109508;124.0 4.0 109509;116.0 5.0 109510;127.0 9.0 109505;94.0 2.0 109512;121.0 4.0 109513;109.0 4.0 109514;76.0 1.0 109515;86.0 2.0 109484;75.0 0.0 109453;13.0 0.0 109519;104.0 1.0 109492;127.0 4.0 109494;77.0 2.0 109495;115.0 6.0 109511;93.0 2.0 109498;80.0 0.0 109501;79.0 1.0 109502;74.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2876.0;94.0;2879.0;76.0;2902.0;78.0;3027.0;94.0;0.807668147185;0.822352889423;0.950115626032,106.0 2.0 109473;117.0 2.0 109506;113.0 0.0 109508;192.0 6.0 109509;187.0 7.0 109510;199.0 8.0 109511;150.0 8.0 109512;177.0 4.0 109513;179.0 4.0 109514;111.0 1.0 109515;136.0 5.0 109484;113.0 3.0 109453;41.0 0.0 109519;137.0 1.0 109492;199.0 6.0 109494;116.0 3.0 109495;138.0 2.0 109498;108.0 0.0 109501;112.0 2.0 109502;121.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3851.0;123.0;3869.0;109.0;3850.0;99.0;4044.0;128.0;0.882056034311;0.805087108014;0.99098534012,133.0 3.0 109473;138.0 2.0 109506;129.0 0.0 109508;258.0 8.0 109509;271.0 11.0 109510;313.0 13.0 109511;289.0 13.0 109512;247.0 10.0 109513;233.0 5.0 109514;138.0 1.0 109515;203.0 6.0 109484;156.0 5.0 109453;64.0 1.0 109519;162.0 1.0 109492;252.0 6.0 109494;160.0 5.0 109495;165.0 2.0 109498;129.0 0.0 109501;149.0 4.0 109502;153.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4900.0;152.0;4910.0;127.0;4805.0;117.0;5077.0;155.0;0.833824632865;0.784955364478;0.98418564631,179.0 4.0 109473;159.0 2.0 109506;161.0 1.0 109508;327.0 9.0 109509;366.0 15.0 109510;428.0 14.0 109511;397.0 14.0 109512;346.0 13.0 109513;279.0 7.0 109514;158.0 1.0 109515;253.0 6.0 109484;235.0 6.0 109453;84.0 1.0 109519;188.0 1.0 109492;293.0 7.0 109494;208.0 5.0 109495;199.0 2.0 109498;148.0 0.0 109501;185.0 5.0 109502;190.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5875.0;175.0;5901.0;161.0;5868.0;147.0;6093.0;185.0;0.915946449754;0.84100204499;1.01931959391,219.0 6.0 109473;186.0 2.0 109506;190.0 2.0 109508;371.0 9.0 109509;469.0 20.0 109510;521.0 17.0 109511;508.0 20.0 109512;441.0 14.0 109513;352.0 11.0 109514;174.0 1.0 109515;315.0 9.0 109484;295.0 9.0 109453;97.0 1.0 109519;205.0 1.0 109492;341.0 8.0 109494;234.0 5.0 109495;217.0 2.0 109498;174.0 1.0 109501;228.0 6.0 109502;237.0 8.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6884.0;204.0;6886.0;193.0;6934.0;171.0;7081.0;219.0;0.945803648209;0.832190909245;1.04366282596,260.0 6.0 109473;198.0 2.0 109506;210.0 3.0 109508;408.0 9.0 109509;594.0 24.0 109510;631.0 23.0 109511;620.0 23.0 109512;503.0 16.0 109513;412.0 12.0 109514;188.0 1.0 109515;353.0 9.0 109484;345.0 11.0 109453;115.0 1.0 109519;225.0 2.0 109492;381.0 9.0 109494;259.0 5.0 109495;245.0 4.0 109498;189.0 1.0 109501;275.0 8.0 109502;348.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7923.0;239.0;7957.0;222.0;7939.0;195.0;8081.0;251.0;0.924901260594;0.814255244355;1.02967547722,293.0 7.0 109473;217.0 2.0 109506;249.0 5.0 109508;429.0 9.0 109509;712.0 30.0 109510;795.0 28.0 109511;719.0 26.0 109512;569.0 17.0 109513;458.0 13.0 109514;218.0 1.0 109515;388.0 9.0 109484;432.0 14.0 109453;133.0 1.0 109519;246.0 2.0 109492;424.0 10.0 109494;285.0 5.0 109495;268.0 4.0 109498;207.0 2.0 109501;319.0 8.0 109502;469.0 20.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8906.0;261.0;8916.0;255.0;8941.0;214.0;9055.0;287.0;0.975915698499;0.816713739838;1.08152266587,341.0 8.0 109473;234.0 2.0 109506;283.0 7.0 109508;442.0 9.0 109509;828.0 33.0 109510;927.0 35.0 109511;818.0 27.0 109512;622.0 19.0 109513;514.0 15.0 109514;234.0 1.0 109515;410.0 9.0 109484;509.0 18.0 109453;147.0 2.0 109519;257.0 3.0 109492;460.0 11.0 109494;308.0 6.0 109495;291.0 4.0 109498;225.0 2.0 109501;364.0 12.0 109502;575.0 23.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9945.0;292.0;9938.0;286.0;9917.0;231.0;10086.0;320.0;0.980141948574;0.793329497846;1.08057011075,388.0 11.0 109473;254.0 2.0 109506;318.0 7.0 109508;453.0 9.0 109509;945.0 38.0 109510;1072.0 38.0 109511;890.0 29.0 109512;690.0 22.0 109513;577.0 17.0 109514;252.0 2.0 109515;439.0 9.0 109484;594.0 21.0 109453;158.0 2.0 109519;271.0 3.0 109492;483.0 11.0 109494;336.0 7.0 109495;313.0 5.0 109498;250.0 2.0 109501;410.0 13.0 109502;718.0 29.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
