data,1241866500,1367650.0;61077.0;1425815.0;51380.0;1437372.0;76243.0;1407384.0;49364.0,5252.0 101.0 109728 0.0000 0.0000 0.0000 0.0000 0.0000;13822.0 308.0 109697 0.0000 0.0000 0.0000 0.0000 0.0000;20737.0 434.0 109667 0.0000 0.0000 0.0000 0.0000 0.0000;4081.0 240.0 109734 0.0000 0.0000 0.0000 0.0000 0.0000;4167.0 81.0 109735 0.0000 0.0000 0.0000 0.0000 0.0000;5627.0 272.0 109711 0.0000 0.0000 0.0000 0.0000 0.0000;1606.0 27.0 109714 0.0000 0.0000 0.0000 0.0000 0.0000;4096.0 252.0 109742 0.0000 0.0000 0.0000 0.0000 0.0000;3844.0 167.0 109743 0.0000 0.0000 0.0000 0.0000 0.0000;2848.0 72.0 109745 0.0000 0.0000 0.0000 0.0000 0.0000;4858.0 273.0 109746 0.0000 0.0000 0.0000 0.0000 0.0000;2839.0 62.0 109747 0.0000 0.0000 0.0000 0.0000 0.0000;4461.0 284.0 109748 0.0000 0.0000 0.0000 0.0000 0.0000;2278.0 99.0 109749 0.0000 0.0000 0.0000 0.0000 0.0000;8056.0 317.0 109720 0.0000 0.0000 0.0000 0.0000 0.0000;13226.0 858.0 109721 0.0000 0.0000 0.0000 0.0000 0.0000;7868.0 299.0 109722 0.0000 0.0000 0.0000 0.0000 0.0000;6117.0 83.0 109723 0.0000 0.0000 0.0000 0.0000 0.0000;5060.0 89.0 109726 0.0000 0.0000 0.0000 0.0000 0.0000,109728.0 2936;109697.0 2936;109667.0 2936;109734.0 2936;109735.0 2936;109711.0 2936;109714.0 2936;109742.0 2936;109743.0 2936;109745.0 2936;109746.0 2936;109747.0 2936;109748.0 2936;109749.0 2936;109720.0 2936;109721.0 2936;109722.0 2936;109723.0 2936;109726.0 2936,109728 166;109697 158;109667 152;109734 156;109735 159;109711 125;109714 163;109742 153;109743 146;109745 137;109746 164;109747 144;109748 146;109749 178;109720 162;109721 167;109722 164;109723 162;109726 134
data,1241867100,1368501.0;61098.0;1426735.0;51404.0;1438283.0;76283.0;1408292.0;49385.0,5261.0 102.0 109728 -0.0474 -0.0535 -0.0037 0.3032 -0.0104;13864.0 309.0 109697 -0.0079 -0.0095 -0.0013 -0.0012 0.0310;20795.0 434.0 109667 0.0000 0.0000 0.0000 0.0000 0.0000;4151.0 241.0 109734 -0.0584 -0.0362 -0.0144 0.1202 -0.0003;4254.0 83.0 109735 0.0092 0.0201 -0.0125 0.0527 0.0350;1606.0 27.0 109714 0.0000 0.0000 0.0000 0.0000 0.0000;4119.0 253.0 109742 -0.0579 -0.0535 -0.0449 0.2073 -0.0017;5645.0 273.0 109711 0.2298 0.0090 0.0089 -0.0558 -0.0052;6160.0 84.0 109723 -0.0394 -0.0091 0.1331 0.0737 -0.0064;2958.0 73.0 109745 0.1496 -0.0103 0.0095 -0.0012 -0.0018;4958.0 274.0 109746 -0.0156 -0.0244 -0.0026 0.0884 -0.0003;2879.0 63.0 109747 -0.0465 -0.0051 0.0443 0.1275 -0.0014;4494.0 286.0 109748 -0.0550 -0.0056 0.1664 0.0060 -0.0022;2294.0 100.0 109749 -0.0198 0.2389 0.0029 -0.0208 0.0000;8069.0 319.0 109720 -0.0839 0.2219 0.2283 0.1311 0.0146;13241.0 859.0 109721 0.0421 -0.0195 0.1792 0.1048 -0.0005;7896.0 301.0 109722 0.1084 0.3270 -0.0077 0.0208 -0.0009;3907.0 168.0 109743 -0.0499 -0.0221 -0.0159 0.1624 -0.0022;5143.0 90.0 109726 -0.0142 -0.0144 -0.0007 0.0361 0.0183,109728.0 17064;109697.0 17064;109667.0 17064;109734.0 17064;109735.0 17064;109711.0 17064;109714.0 17064;109742.0 17064;109743.0 17064;109745.0 17064;109746.0 17064;109747.0 17064;109748.0 17064;109749.0 17064;109720.0 17064;109721.0 17064;109722.0 17064;109723.0 17064;109726.0 17064,109728 864;109697 905;109667 847;109734 891;109735 908;109714 877;109742 929;109711 860;109723 914;109745 905;109746 978;109747 914;109748 949;109749 874;109720 895;109721 904;109722 861;109743 906;109726 883
data,1241867700,1369564.0;61132.0;1427792.0;51431.0;1439331.0;76312.0;1409340.0;49404.0,5318.0 104.0 109728 -0.0502 0.0091 -0.0790 0.2122 0.0559;13937.0 310.0 109697 0.0118 0.0070 -0.0065 0.0343 0.0295;20847.0 435.0 109667 -0.0166 -0.0027 0.0482 0.0367 -0.0011;4165.0 242.0 109734 -0.0850 0.1427 -0.0073 0.1034 -0.0010;4389.0 84.0 109735 0.0095 0.0242 0.0271 0.0374 0.0004;4598.0 287.0 109748 0.0385 0.0070 0.1469 0.0127 -0.0103;4958.0 274.0 109746 -0.0156 -0.0244 -0.0026 0.0884 -0.0003;4168.0 256.0 109742 0.0483 -0.0002 -0.0400 0.1228 -0.0024;5724.0 276.0 109711 0.2176 0.0357 -0.0471 -0.0304 0.0149;2971.0 74.0 109745 0.1303 -0.0246 0.0040 0.0089 -0.0013;1730.0 30.0 109714 -0.0342 0.0021 0.1947 0.0086 0.0152;2925.0 66.0 109747 -0.1710 0.0941 0.0472 0.1702 -0.0025;6215.0 84.0 109723 -0.0394 -0.0091 0.1331 0.0737 -0.0064;2412.0 101.0 109749 -0.0449 0.1997 0.0432 0.0515 -0.0014;8144.0 324.0 109720 -0.0718 0.1882 0.1449 0.0347 0.1458;13280.0 863.0 109721 -0.1151 0.0130 0.1513 0.1948 -0.0177;7926.0 305.0 109722 0.0014 0.2517 0.0128 0.1748 -0.0170;3907.0 168.0 109743 -0.0499 -0.0221 -0.0159 0.1624 -0.0022;5143.0 90.0 109726 -0.0142 -0.0144 -0.0007 0.0361 0.0183,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1062;109697 1012;109667 1037;109734 1069;109735 1048;109748 1072;109746 1064;109742 1048;109711 1078;109745 1028;109714 1014;109747 1119;109723 1031;109749 1015;109720 1102;109721 1064;109722 1011;109743 1062;109726 1064
data,1241868600,1370556.0;61155.0;1428823.0;51458.0;1440387.0;76347.0;1410377.0;49422.0,5381.0 105.0 109728 -0.0813 0.0627 -0.0578 0.1579 0.0560;13982.0 311.0 109697 0.0134 0.0007 -0.0080 0.0456 0.0309;6234.0 85.0 109723 -0.0434 -0.0152 0.0113 0.1123 -0.0045;4182.0 243.0 109734 -0.0178 0.1527 -0.0186 0.1100 -0.0023;4404.0 85.0 109735 0.0016 0.0197 0.0246 0.0690 0.0001;20860.0 437.0 109667 -0.0005 -0.0068 0.0697 0.0836 -0.0034;1812.0 31.0 109714 -0.0041 -0.0127 0.0265 0.0314 0.0168;4208.0 256.0 109742 0.0483 -0.0002 -0.0400 0.1228 -0.0024;5764.0 278.0 109711 0.1443 -0.0110 -0.0496 0.0483 0.0151;3048.0 75.0 109745 0.1147 -0.0188 0.0055 0.0065 -0.0011;4958.0 274.0 109746 -0.0156 -0.0244 -0.0026 0.0884 -0.0003;2958.0 68.0 109747 -0.1588 0.0958 0.0525 0.1099 -0.0018;4747.0 288.0 109748 0.0240 -0.0099 0.1452 0.0325 0.0019;2436.0 102.0 109749 -0.0056 0.1886 0.0322 0.0520 -0.0020;8289.0 325.0 109720 -0.0530 0.1506 0.1119 0.0434 0.0249;13428.0 866.0 109721 -0.0751 -0.0173 0.1122 0.1306 0.0062;7976.0 308.0 109722 0.0463 0.2605 0.0113 0.0937 -0.0200;3939.0 169.0 109743 -0.0292 -0.0205 -0.0179 0.0727 0.0099;5143.0 90.0 109726 -0.0142 -0.0144 -0.0007 0.0361 0.0183,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 985;109697 1043;109723 1067;109734 1043;109735 1037;109667 1040;109714 1123;109742 1060;109711 1050;109745 1039;109746 1025;109747 1059;109748 1079;109749 1068;109720 1058;109721 1066;109722 1019;109743 1092;109726 1047
data,1241869200,1371631.0;61177.0;1429912.0;51487.0;1441430.0;76380.0;1411421.0;49439.0,5429.0 107.0 109728 0.0330 -0.0134 -0.0679 0.1344 0.0119;13982.0 311.0 109697 0.0134 0.0007 -0.0080 0.0456 0.0309;20873.0 438.0 109667 0.0432 -0.0087 0.0498 0.0798 -0.0041;4222.0 244.0 109734 0.0251 0.1604 -0.0070 0.0294 -0.0027;4404.0 85.0 109735 0.0016 0.0197 0.0246 0.0690 0.0001;1812.0 31.0 109714 -0.0041 -0.0127 0.0265 0.0314 0.0168;4505.0 257.0 109742 0.0619 0.0083 -0.0181 0.1058 -0.0031;5796.0 279.0 109711 0.1402 -0.0395 -0.0046 0.0507 0.0147;6257.0 86.0 109723 -0.0306 -0.0109 0.0148 0.0796 -0.0038;3048.0 75.0 109745 0.1147 -0.0188 0.0055 0.0065 -0.0011;5025.0 276.0 109746 -0.0259 -0.0203 -0.0099 0.0683 -0.0006;3054.0 69.0 109747 -0.0421 0.0762 0.0008 0.1076 -0.0033;4779.0 289.0 109748 -0.0159 -0.0014 0.1084 0.0306 0.0026;2473.0 104.0 109749 0.0738 0.1170 0.0313 0.0127 -0.0025;8342.0 327.0 109720 -0.0494 0.1525 0.0246 0.0684 0.0256;13492.0 869.0 109721 0.0191 0.0745 0.0688 0.1193 0.0057;8194.0 310.0 109722 0.0211 0.1624 -0.0246 0.1449 0.0006;3947.0 170.0 109743 0.0607 -0.0400 -0.0145 0.0606 0.0091;5190.0 91.0 109726 -0.0330 -0.0467 -0.0191 0.1182 0.0170,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 999;109667 1034;109734 1109;109735 1044;109714 1082;109742 1103;109711 1042;109723 1019;109745 1061;109746 1022;109747 1108;109748 1037;109749 1030;109720 1013;109721 1051;109722 1104;109743 1005;109726 1060
data,1241869800,1372718.0;61227.0;1430955.0;51529.0;1442460.0;76421.0;1412497.0;49458.0,5453.0 109.0 109728 0.0728 -0.0118 -0.0685 0.1117 0.0107;14273.0 311.0 109697 0.0134 0.0007 -0.0080 0.0456 0.0309;20949.0 441.0 109667 0.0207 -0.0010 0.0440 0.0852 -0.0042;4002.0 174.0 109743 0.0471 0.0906 -0.0140 0.0804 0.0046;4258.0 248.0 109734 -0.0013 0.1943 0.0472 0.0279 -0.0045;4407.0 85.0 109735 0.0016 0.0197 0.0246 0.0690 0.0001;1812.0 31.0 109714 -0.0041 -0.0127 0.0265 0.0314 0.0168;4650.0 264.0 109742 0.0272 -0.0287 -0.0223 0.1869 -0.0003;5859.0 284.0 109711 0.1221 0.0037 0.0081 0.0668 0.0137;3083.0 76.0 109745 0.0782 -0.0147 0.0034 0.0138 -0.0008;5025.0 276.0 109746 -0.0259 -0.0203 -0.0099 0.0683 -0.0006;3060.0 69.0 109747 -0.0421 0.0762 0.0008 0.1076 -0.0033;4797.0 290.0 109748 -0.0100 -0.0000 0.1007 0.0181 0.0028;2566.0 113.0 109749 0.1324 0.0711 0.0399 0.0597 -0.0045;8342.0 327.0 109720 -0.0494 0.1525 0.0246 0.0684 0.0256;13593.0 879.0 109721 -0.0025 0.0125 0.1591 0.1002 0.0044;8240.0 312.0 109722 0.0336 0.1008 0.0062 0.1124 0.0013;6296.0 87.0 109723 -0.0314 -0.0114 0.0142 0.0791 0.0198;5246.0 92.0 109726 -0.0121 -0.0354 -0.0150 0.0490 0.0176,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1020;109697 1016;109667 1071;109743 1043;109734 1144;109735 1076;109714 1050;109742 1011;109711 1062;109745 1059;109746 1037;109747 1115;109748 1033;109749 1044;109720 1031;109721 1049;109722 1084;109723 998;109726 1057
data,1241870400,1373759.0;61253.0;1432027.0;51561.0;1443494.0;76461.0;1413557.0;49483.0,5598.0 112.0 109728 0.0148 0.0003 0.0068 0.1027 0.0102;14322.0 312.0 109697 0.0143 0.0014 -0.0081 0.0438 0.0051;21014.0 442.0 109667 0.0353 0.0199 0.0486 0.0320 -0.0029;4264.0 248.0 109734 -0.0013 0.1943 0.0472 0.0279 -0.0045;4423.0 86.0 109735 0.0054 0.0203 0.0286 0.0594 -0.0000;5151.0 283.0 109746 0.1228 0.0360 -0.0216 0.0513 -0.0046;4039.0 176.0 109743 0.0245 0.0761 -0.0282 0.1248 0.0031;4659.0 265.0 109742 0.0341 -0.0142 -0.0158 0.1309 0.0003;5901.0 285.0 109711 0.1174 -0.0153 0.0068 0.0534 0.0140;3083.0 76.0 109745 0.0782 -0.0147 0.0034 0.0138 -0.0008;1812.0 31.0 109714 -0.0041 -0.0127 0.0265 0.0314 0.0168;3354.0 70.0 109747 -0.0283 0.0730 0.0013 0.1040 -0.0001;4821.0 292.0 109748 -0.0341 -0.0033 0.0922 0.0768 0.0024;2598.0 114.0 109749 0.0946 0.0858 0.0336 0.0541 -0.0037;8363.0 327.0 109720 -0.0494 0.1525 0.0246 0.0684 0.0256;13649.0 880.0 109721 0.0117 0.0117 0.1009 0.0935 0.0054;8264.0 314.0 109722 0.0153 0.1131 0.0042 0.1231 0.0010;6324.0 88.0 109723 0.0057 0.0135 0.0112 0.0661 0.0216;5313.0 93.0 109726 -0.0212 -0.0065 0.0454 0.0401 0.0159,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1038;109697 993;109667 996;109734 1031;109735 1060;109746 1024;109743 1084;109742 1022;109711 1032;109745 1041;109714 1055;109747 1099;109748 1077;109749 1093;109720 1075;109721 1030;109722 1096;109723 1111;109726 1043
data,1241871000,1374820.0;61284.0;1433085.0;51586.0;1444516.0;76494.0;1414572.0;49497.0,5607.0 113.0 109728 0.0091 -0.0044 0.0061 0.1191 0.0095;14373.0 313.0 109697 0.0145 0.0086 -0.0082 0.0312 0.0052;21065.0 442.0 109667 0.0353 0.0199 0.0486 0.0320 -0.0029;4314.0 249.0 109734 -0.0101 0.1625 0.0463 0.0369 -0.0052;4423.0 86.0 109735 0.0054 0.0203 0.0286 0.0594 -0.0000;4876.0 296.0 109748 -0.0379 0.0012 0.0975 0.0592 0.0025;5168.0 285.0 109746 0.0524 0.0460 0.0274 0.0494 -0.0035;4698.0 268.0 109742 0.0530 -0.0196 -0.0199 0.1297 0.0001;4159.0 179.0 109743 0.0234 0.0747 0.0308 0.0853 -0.0016;3149.0 80.0 109745 0.0646 -0.0227 0.0103 0.0743 -0.0015;2069.0 32.0 109714 -0.0092 -0.0122 0.0266 0.0308 0.0324;3364.0 70.0 109747 -0.0283 0.0730 0.0013 0.1040 -0.0001;6368.0 90.0 109723 0.0068 0.0016 0.0107 0.0645 0.0370;2665.0 115.0 109749 0.1031 0.0510 0.0262 0.0619 -0.0038;8402.0 329.0 109720 -0.0084 0.0603 0.0178 0.0789 0.0257;13688.0 882.0 109721 -0.0149 0.0167 0.1077 0.0938 0.0056;8322.0 316.0 109722 0.0375 0.0804 0.0048 0.0932 0.0017;5942.0 286.0 109711 0.0870 -0.0059 0.0109 0.0594 0.0121;5361.0 94.0 109726 -0.0227 -0.0064 0.0307 0.0427 0.0085,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1034;109697 1046;109667 1057;109734 1102;109735 1015;109748 1050;109746 1014;109742 1080;109743 1069;109745 1065;109714 1050;109747 1065;109723 1106;109749 1041;109720 1081;109721 1003;109722 1069;109711 1013;109726 1040
data,1241871600,1375867.0;61314.0;1434090.0;51605.0;1445543.0;76524.0;1415620.0;49527.0,5651.0 118.0 109728 -0.0015 -0.0113 0.0037 0.1434 0.0079;14378.0 313.0 109697 0.0145 0.0086 -0.0082 0.0312 0.0052;21107.0 443.0 109667 0.0186 0.0063 0.0493 0.0388 -0.0027;4380.0 252.0 109734 0.0114 0.1338 0.0170 0.0626 -0.0089;4423.0 86.0 109735 0.0054 0.0203 0.0286 0.0594 -0.0000;5223.0 286.0 109746 0.0513 0.0444 0.0164 0.0559 -0.0041;4721.0 268.0 109742 0.0530 -0.0196 -0.0199 0.1297 0.0001;4230.0 184.0 109743 0.0295 0.0757 0.0511 0.0875 -0.0022;6395.0 91.0 109723 0.0095 -0.0040 0.0112 0.0559 0.0363;3159.0 80.0 109745 0.0646 -0.0227 0.0103 0.0743 -0.0015;2430.0 32.0 109714 -0.0092 -0.0122 0.0266 0.0308 0.0324;3416.0 72.0 109747 -0.0335 0.0798 0.0027 0.0982 -0.0001;4945.0 296.0 109748 -0.0379 0.0012 0.0975 0.0592 0.0025;2690.0 116.0 109749 0.0768 0.0573 0.0127 0.0631 -0.0034;8429.0 332.0 109720 -0.0250 0.0516 0.0111 0.1122 0.0255;13786.0 888.0 109721 -0.0145 0.0159 0.0870 0.0965 0.0059;8366.0 318.0 109722 0.0338 0.0760 0.0056 0.0951 0.0019;5970.0 286.0 109711 0.0870 -0.0059 0.0109 0.0594 0.0121;5361.0 94.0 109726 -0.0227 -0.0064 0.0307 0.0427 0.0085,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1069;109697 1041;109667 1024;109734 1042;109735 1048;109746 1051;109742 1032;109743 1089;109723 1086;109745 1047;109714 999;109747 1072;109748 1067;109749 1067;109720 1087;109721 1050;109722 1021;109711 1029;109726 1079
data,1241871900,1376920.0;61353.0;1435119.0;51637.0;1446634.0;76581.0;1416694.0;49549.0,5728.0 119.0 109728 0.0186 -0.0056 0.0089 0.0963 0.0189;14406.0 315.0 109697 0.0113 0.0505 -0.0075 0.0306 0.0053;21117.0 443.0 109667 0.0186 0.0063 0.0493 0.0388 -0.0027;4475.0 257.0 109734 0.0433 0.1253 0.0139 0.0530 -0.0111;2503.0 33.0 109714 -0.0086 -0.0048 0.0266 0.0271 0.0042;4465.0 86.0 109735 0.0054 0.0203 0.0286 0.0594 -0.0000;4381.0 195.0 109743 0.0044 0.0684 0.1114 0.0775 0.0020;4803.0 277.0 109742 0.0614 -0.0274 -0.0209 0.1339 0.0000;6050.0 288.0 109711 0.0635 0.0220 0.0076 0.0596 0.0091;3211.0 81.0 109745 0.0548 -0.0220 0.0104 0.0794 -0.0018;5227.0 286.0 109746 0.0513 0.0444 0.0164 0.0559 -0.0041;3448.0 72.0 109747 -0.0335 0.0798 0.0027 0.0982 -0.0001;4993.0 299.0 109748 -0.0479 0.0027 0.0924 0.0612 0.0026;2706.0 117.0 109749 0.0819 0.0621 0.0117 0.0596 -0.0035;8467.0 334.0 109720 -0.0038 0.0527 0.0078 0.1074 0.0248;13797.0 888.0 109721 -0.0145 0.0159 0.0870 0.0965 0.0059;8366.0 318.0 109722 0.0338 0.0760 0.0056 0.0951 0.0019;6609.0 92.0 109723 0.0100 -0.0046 0.0115 0.0563 0.0137;5361.0 94.0 109726 -0.0227 -0.0064 0.0307 0.0427 0.0085,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1044;109697 1056;109667 997;109734 1079;109714 1025;109735 1074;109743 1081;109742 1050;109711 1079;109745 1065;109746 1096;109747 1033;109748 1001;109749 1074;109720 1021;109721 1060;109722 1046;109723 1040;109726 1079
data,1241872500,1378016.0;61392.0;1436134.0;51662.0;1447705.0;76648.0;1417747.0;49571.0,6061.0 119.0 109728 0.0186 -0.0056 0.0089 0.0963 0.0189;14438.0 319.0 109697 -0.0021 0.0553 0.0761 0.0220 0.0049;21129.0 444.0 109667 0.0173 0.0069 0.0545 0.0377 -0.0034;4517.0 261.0 109734 0.0353 0.1381 0.0148 0.0513 -0.0133;4613.0 87.0 109735 0.0017 0.0245 0.0052 0.0502 0.0006;5237.0 286.0 109746 0.0513 0.0444 0.0164 0.0559 -0.0041;4391.0 197.0 109743 0.0254 0.0365 0.0904 0.0769 0.0022;4867.0 277.0 109742 0.0614 -0.0274 -0.0209 0.1339 0.0000;6079.0 289.0 109711 0.0647 0.0210 0.0069 0.0612 0.0087;3247.0 82.0 109745 0.0614 -0.0175 0.0150 0.0441 -0.0022;2505.0 33.0 109714 -0.0086 -0.0048 0.0266 0.0271 0.0042;3478.0 73.0 109747 -0.0130 0.0415 0.0062 0.0682 0.0004;5049.0 307.0 109748 -0.0612 -0.0050 0.0979 0.1061 0.0021;2778.0 119.0 109749 0.0727 0.0522 0.0175 0.0462 -0.0033;8494.0 338.0 109720 -0.0082 0.0468 0.0030 0.1348 0.0244;13902.0 894.0 109721 0.0348 0.0181 0.0835 0.0730 0.0049;8454.0 322.0 109722 0.0334 0.0472 0.0014 0.1003 0.0021;6609.0 92.0 109723 0.0100 -0.0046 0.0115 0.0563 0.0137;5361.0 94.0 109726 -0.0227 -0.0064 0.0307 0.0427 0.0085,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1066;109697 1012;109667 1034;109734 1091;109735 1053;109746 1055;109743 1026;109742 1069;109711 1073;109745 1089;109714 1099;109747 1025;109748 1075;109749 1037;109720 1044;109721 1030;109722 1026;109723 1071;109726 1025
