
New Run at  01/16/2015 19:43:12
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks; exp3LearnAccess; exp3Clicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1517234.0;89141.0;1583660.0;56371.0;1593704.0;84168.0;1561759.0;52923.0,2261.0 23.0 109760 0.0100 -0.0038 0.0198 0.0287 0.0031;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;6965.0 333.0 109762 0.0098 0.0279 0.0669 0.0879 0.0049;7580.0 601.0 109763 -0.0581 0.0972 0.0041 0.1190 -0.0058;2590.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7417.0 327.0 109766 0.0213 0.0678 0.0353 0.0834 0.0058;8243.0 369.0 109761 0.0180 0.0549 0.0665 0.0739 0.0087;8122.0 430.0 109769 0.0215 0.0690 0.0322 0.1022 0.0086;7377.0 286.0 109767 0.0081 0.0708 0.0215 0.0967 -0.0002;11925.0 806.0 109740 -0.0528 0.0369 0.0763 0.1191 0.0248;2062.0 32.0 109741 0.0030 -0.0006 0.0421 0.0135 0.0090;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13629.0 1069.0 109746 -0.0473 0.0552 0.0749 0.1200 -0.0014;4272.0 184.0 109731 0.0008 0.0307 0.0604 0.0896 0.0016;17672.0 1034.0 109684 0.0124 0.0598 0.0725 0.0989 0.0045;4105.0 144.0 109755 0.0144 0.0463 0.0373 0.0790 0.0112;2778.0 56.0 109686 0.0143 0.0429 0.0195 0.0407 0.0047;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2634.0 63.0 109756 0.0151 0.0374 0.0284 0.0556 0.0013;3106.0 101.0 109758 -0.0066 0.0348 0.0584 0.0569 0.0092,109760.0 19926;109697.0 19926;109762.0 19926;109763.0 19926;109764.0 19926;109766.0 19926;109767.0 19926;109769.0 19926;109761.0 19926;109740.0 19926;109741.0 19926;109745.0 19926;109746.0 19926;109731.0 19926;109684.0 19926;109755.0 19926;109686.0 19926;109723.0 19926;109756.0 19926;109758.0 19926,109760 999;109697 994;109762 1000;109763 980;109764 938;109766 997;109761 1045;109769 1043;109767 989;109740 998;109741 937;109745 1015;109746 1000;109731 1009;109684 957;109755 1010;109686 1004;109723 986;109756 1010;109758 1015
data,1241940300,1518216.0;89177.0;1584664.0;56401.0;1594696.0;84198.0;1562766.0;52938.0,2271.0 23.0 109760 0.0100 -0.0038 0.0198 0.0287 0.0031;8300.0 370.0 109761 0.0180 0.0546 0.0665 0.0740 0.0078;7119.0 336.0 109762 0.0089 0.0285 0.0666 0.0877 0.0077;4197.0 147.0 109755 0.0145 0.0463 0.0385 0.0788 0.0118;2594.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;4283.0 185.0 109731 0.0007 0.0306 0.0591 0.0901 0.0016;7422.0 327.0 109766 0.0213 0.0678 0.0353 0.0834 0.0058;7377.0 286.0 109767 0.0081 0.0708 0.0215 0.0967 -0.0002;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;8371.0 439.0 109769 0.0220 0.0678 0.0318 0.1014 0.0086;12125.0 815.0 109740 -0.0528 0.0368 0.0759 0.1189 0.0253;2065.0 32.0 109741 0.0030 -0.0006 0.0421 0.0135 0.0090;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13636.0 1069.0 109746 -0.0473 0.0552 0.0749 0.1200 -0.0014;7689.0 611.0 109763 -0.0583 0.0959 0.0037 0.1200 -0.0065;17739.0 1034.0 109684 0.0124 0.0598 0.0725 0.0989 0.0045;2792.0 56.0 109686 0.0143 0.0429 0.0195 0.0407 0.0047;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2634.0 63.0 109756 0.0151 0.0374 0.0284 0.0556 0.0013;3106.0 101.0 109758 -0.0066 0.0348 0.0584 0.0569 0.0092,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 979;109761 1012;109762 979;109755 977;109764 1016;109731 990;109766 967;109767 1012;109697 940;109769 973;109740 997;109741 1013;109745 1040;109746 1038;109763 1016;109684 991;109686 1016;109723 1007;109756 1021;109758 1016
data,1241941200,1519256.0;89215.0;1585641.0;56422.0;1595715.0;84230.0;1563814.0;52959.0,2280.0 23.0 109760 0.0100 -0.0038 0.0198 0.0287 0.0031;8310.0 370.0 109761 0.0180 0.0546 0.0665 0.0740 0.0078;7132.0 336.0 109762 0.0089 0.0285 0.0666 0.0877 0.0077;7786.0 616.0 109763 -0.0577 0.0951 0.0039 0.1198 -0.0068;2595.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7454.0 329.0 109766 0.0213 0.0683 0.0367 0.0831 0.0058;7388.0 286.0 109767 0.0081 0.0708 0.0215 0.0967 -0.0002;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;8670.0 444.0 109769 0.0207 0.0677 0.0320 0.1014 0.0084;12384.0 830.0 109740 -0.0540 0.0362 0.0756 0.1202 0.0250;2158.0 33.0 109741 0.0030 -0.0006 0.0419 0.0135 0.0099;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13655.0 1074.0 109746 -0.0478 0.0553 0.0754 0.1200 -0.0014;4287.0 185.0 109731 0.0007 0.0306 0.0591 0.0901 0.0016;17842.0 1039.0 109684 0.0123 0.0601 0.0717 0.0985 0.0083;4269.0 147.0 109755 0.0145 0.0463 0.0385 0.0788 0.0118;2808.0 56.0 109686 0.0143 0.0429 0.0195 0.0407 0.0047;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2634.0 63.0 109756 0.0151 0.0374 0.0284 0.0556 0.0013;3108.0 101.0 109758 -0.0066 0.0348 0.0584 0.0569 0.0092,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1025;109761 974;109762 992;109763 931;109764 972;109766 1027;109767 980;109697 1028;109769 1028;109740 1004;109741 981;109745 942;109746 967;109731 1043;109684 987;109755 1050;109686 1019;109723 1048;109756 1002;109758 1000
data,1241942100,1520242.0;89246.0;1586634.0;56439.0;1596716.0;84262.0;1564797.0;52980.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;8315.0 371.0 109761 0.0183 0.0542 0.0664 0.0740 0.0078;7144.0 336.0 109762 0.0089 0.0285 0.0666 0.0877 0.0077;7869.0 619.0 109763 -0.0575 0.0943 0.0039 0.1197 -0.0069;2608.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7488.0 329.0 109766 0.0213 0.0683 0.0367 0.0831 0.0058;7402.0 286.0 109767 0.0081 0.0708 0.0215 0.0967 -0.0002;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;8850.0 451.0 109769 0.0195 0.0666 0.0328 0.1013 0.0084;12596.0 838.0 109740 -0.0538 0.0359 0.0756 0.1196 0.0253;2184.0 34.0 109741 0.0030 -0.0006 0.0419 0.0135 0.0101;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13702.0 1077.0 109746 -0.0481 0.0554 0.0754 0.1200 -0.0014;4308.0 185.0 109731 0.0007 0.0306 0.0591 0.0901 0.0016;17996.0 1045.0 109684 0.0130 0.0597 0.0716 0.0983 0.0086;2813.0 57.0 109686 0.0124 0.0429 0.0199 0.0415 0.0045;4445.0 147.0 109755 0.0145 0.0463 0.0385 0.0788 0.0118;2634.0 63.0 109756 0.0151 0.0374 0.0284 0.0556 0.0013;3110.0 101.0 109758 -0.0066 0.0348 0.0584 0.0569 0.0092,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 997;109761 966;109762 1011;109763 1030;109764 998;109766 954;109767 1043;109697 1041;109769 992;109740 1021;109741 931;109723 983;109745 1037;109746 1026;109731 1012;109684 1005;109686 1006;109755 953;109756 989;109758 1005
data,1241943000,1521252.0;89274.0;1587645.0;56462.0;1597731.0;84286.0;1565772.0;52994.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;7168.0 336.0 109762 0.0089 0.0285 0.0666 0.0877 0.0077;7961.0 624.0 109763 -0.0565 0.0924 0.0037 0.1198 -0.0073;2627.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7522.0 330.0 109766 0.0214 0.0669 0.0355 0.0837 0.0057;7419.0 287.0 109767 0.0083 0.0697 0.0206 0.0969 -0.0002;9005.0 457.0 109769 0.0195 0.0665 0.0327 0.1005 0.0082;8330.0 371.0 109761 0.0183 0.0542 0.0664 0.0740 0.0078;12789.0 845.0 109740 -0.0535 0.0356 0.0753 0.1191 0.0256;2186.0 34.0 109741 0.0030 -0.0006 0.0419 0.0135 0.0101;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13756.0 1081.0 109746 -0.0477 0.0552 0.0751 0.1202 -0.0014;4524.0 186.0 109731 0.0005 0.0302 0.0591 0.0894 0.0023;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2813.0 57.0 109686 0.0124 0.0429 0.0199 0.0415 0.0045;18044.0 1046.0 109684 0.0131 0.0597 0.0716 0.0983 0.0085;4497.0 148.0 109755 0.0144 0.0463 0.0385 0.0789 0.0095;2682.0 63.0 109756 0.0151 0.0374 0.0284 0.0556 0.0013;3151.0 102.0 109758 -0.0066 0.0348 0.0583 0.0569 0.0100,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1021;109697 999;109762 963;109763 1032;109764 1003;109766 1023;109767 971;109769 1034;109761 997;109740 949;109741 1026;109745 1016;109746 1003;109731 1019;109723 975;109686 1005;109684 994;109755 1003;109756 974;109758 993
data,1241944200,1522221.0;89305.0;1588632.0;56478.0;1598726.0;84310.0;1566769.0;53007.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;7245.0 337.0 109762 0.0089 0.0283 0.0652 0.0883 0.0070;8042.0 630.0 109763 -0.0564 0.0932 0.0038 0.1195 -0.0072;2652.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7541.0 330.0 109766 0.0214 0.0669 0.0355 0.0837 0.0057;7436.0 288.0 109767 0.0079 0.0694 0.0208 0.0979 -0.0002;9124.0 461.0 109769 0.0208 0.0661 0.0324 0.0996 0.0081;8352.0 372.0 109761 0.0185 0.0538 0.0663 0.0741 0.0077;12975.0 855.0 109740 -0.0542 0.0347 0.0750 0.1202 0.0254;2187.0 34.0 109741 0.0030 -0.0006 0.0419 0.0135 0.0101;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13803.0 1084.0 109746 -0.0478 0.0552 0.0749 0.1202 -0.0014;4528.0 186.0 109731 0.0005 0.0302 0.0591 0.0894 0.0023;18120.0 1047.0 109684 0.0130 0.0597 0.0715 0.0982 0.0092;4501.0 148.0 109755 0.0144 0.0463 0.0385 0.0789 0.0095;2813.0 57.0 109686 0.0124 0.0429 0.0199 0.0415 0.0045;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2799.0 64.0 109756 0.0150 0.0374 0.0284 0.0556 0.0023;3325.0 105.0 109758 -0.0066 0.0348 0.0583 0.0568 0.0117,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 976;109697 976;109762 989;109763 1021;109764 1026;109766 1007;109767 978;109769 975;109761 978;109740 1007;109741 1024;109745 1000;109746 1032;109731 1056;109684 988;109755 969;109686 978;109723 997;109756 1005;109758 1018
data,1241945100,1523202.0;89337.0;1589618.0;56496.0;1599718.0;84327.0;1567758.0;53024.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;7250.0 337.0 109762 0.0089 0.0283 0.0652 0.0883 0.0070;8118.0 636.0 109763 -0.0556 0.0918 0.0035 0.1198 -0.0081;2670.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7591.0 331.0 109766 0.0211 0.0663 0.0356 0.0840 0.0059;7452.0 288.0 109767 0.0079 0.0694 0.0208 0.0979 -0.0002;9241.0 465.0 109769 0.0195 0.0664 0.0328 0.0991 0.0079;8368.0 372.0 109761 0.0185 0.0538 0.0663 0.0741 0.0077;13224.0 866.0 109740 -0.0543 0.0340 0.0751 0.1205 0.0254;2318.0 37.0 109741 0.0029 -0.0007 0.0415 0.0135 0.0119;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13846.0 1087.0 109746 -0.0474 0.0551 0.0747 0.1203 -0.0014;4543.0 186.0 109731 0.0005 0.0302 0.0591 0.0894 0.0023;18199.0 1050.0 109684 0.0126 0.0596 0.0714 0.0988 0.0085;2813.0 57.0 109686 0.0124 0.0429 0.0199 0.0415 0.0045;4511.0 148.0 109755 0.0144 0.0463 0.0385 0.0789 0.0095;2799.0 64.0 109756 0.0150 0.0374 0.0284 0.0556 0.0023;3481.0 106.0 109758 -0.0066 0.0348 0.0583 0.0569 0.0106,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 977;109697 1066;109762 979;109763 969;109764 1002;109766 1042;109767 982;109769 928;109761 968;109740 1052;109741 965;109723 989;109745 1006;109746 1002;109731 1033;109684 1034;109686 996;109755 1005;109756 1015;109758 990
data,1241946300,1524232.0;89371.0;1590604.0;56522.0;1600706.0;84350.0;1568789.0;53035.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;8393.0 373.0 109761 0.0181 0.0545 0.0661 0.0743 0.0077;7269.0 339.0 109762 0.0089 0.0284 0.0652 0.0880 0.0092;8182.0 642.0 109763 -0.0562 0.0920 0.0034 0.1200 -0.0084;2683.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7650.0 333.0 109766 0.0204 0.0661 0.0355 0.0856 0.0063;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;9354.0 472.0 109769 0.0198 0.0661 0.0327 0.0996 0.0079;7465.0 289.0 109767 0.0085 0.0693 0.0209 0.0963 -0.0002;13607.0 879.0 109740 -0.0546 0.0332 0.0747 0.1209 0.0256;2534.0 38.0 109741 0.0029 -0.0006 0.0415 0.0136 0.0106;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;13878.0 1088.0 109746 -0.0467 0.0550 0.0745 0.1203 -0.0014;4552.0 186.0 109731 0.0005 0.0302 0.0591 0.0894 0.0023;18268.0 1050.0 109684 0.0126 0.0596 0.0714 0.0988 0.0085;2813.0 57.0 109686 0.0124 0.0429 0.0199 0.0415 0.0045;2517.0 37.0 109752 0.0132 0.0140 -0.0073 0.0552 0.0026;4518.0 148.0 109755 0.0144 0.0463 0.0385 0.0789 0.0095;2799.0 64.0 109756 0.0150 0.0374 0.0284 0.0556 0.0023;3481.0 106.0 109758 -0.0066 0.0348 0.0583 0.0569 0.0106,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 18600;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 6872;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109761 960;109762 993;109763 1003;109764 999;109766 1046;109697 976;109769 1039;109767 944;109740 1030;109741 1020;109723 1031;109745 1014;109746 923;109731 1015;109684 1047;109686 888;109752 87;109755 997;109756 979;109758 997
data,1241947200,1525288.0;89399.0;1591551.0;56545.0;1601708.0;84375.0;1569835.0;53051.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;8405.0 373.0 109761 0.0181 0.0545 0.0661 0.0743 0.0077;7400.0 341.0 109762 0.0097 0.0279 0.0652 0.0877 0.0091;8272.0 648.0 109763 -0.0561 0.0916 0.0036 0.1199 -0.0090;2687.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;7769.0 335.0 109766 0.0204 0.0660 0.0355 0.0854 0.0076;7478.0 290.0 109767 0.0084 0.0700 0.0208 0.0962 -0.0002;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;9505.0 478.0 109769 0.0198 0.0660 0.0328 0.0995 0.0077;13842.0 887.0 109740 -0.0541 0.0327 0.0744 0.1207 0.0250;2534.0 38.0 109741 0.0029 -0.0006 0.0415 0.0136 0.0106;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;4558.0 187.0 109731 0.0019 0.0285 0.0586 0.0889 0.0023;18319.0 1052.0 109684 0.0123 0.0598 0.0713 0.0989 0.0084;4523.0 148.0 109755 0.0144 0.0463 0.0385 0.0789 0.0095;2990.0 57.0 109686 0.0124 0.0429 0.0199 0.0415 0.0045;2577.0 37.0 109752 0.0132 0.0140 -0.0073 0.0552 0.0026;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2799.0 64.0 109756 0.0150 0.0374 0.0284 0.0556 0.0023;3483.0 106.0 109758 -0.0066 0.0348 0.0583 0.0569 0.0106,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1021;109761 1006;109762 1014;109763 1027;109764 987;109766 1016;109767 1024;109697 963;109769 992;109740 961;109741 1025;109745 949;109731 1049;109684 974;109755 977;109686 1032;109752 1006;109723 1046;109756 932;109758 999
data,1241948400,1526317.0;89428.0;1592519.0;56563.0;1602725.0;84395.0;1570777.0;53066.0,2282.0 24.0 109760 0.0086 -0.0036 0.0195 0.0295 0.0031;3312.0 36.0 109697 0.0081 0.0094 0.0195 0.0343 0.0070;7586.0 343.0 109762 0.0096 0.0278 0.0651 0.0876 0.0101;4526.0 148.0 109755 0.0144 0.0463 0.0385 0.0789 0.0095;2696.0 26.0 109764 -0.0029 0.0463 0.0035 0.0379 0.0012;4566.0 187.0 109731 0.0019 0.0285 0.0586 0.0889 0.0023;7798.0 337.0 109766 0.0200 0.0659 0.0354 0.0867 0.0076;7484.0 290.0 109767 0.0084 0.0700 0.0208 0.0962 -0.0002;9646.0 483.0 109769 0.0197 0.0658 0.0326 0.0998 0.0076;8433.0 375.0 109761 0.0176 0.0575 0.0661 0.0739 0.0074;14167.0 895.0 109740 -0.0538 0.0327 0.0742 0.1202 0.0250;2534.0 38.0 109741 0.0029 -0.0006 0.0415 0.0136 0.0106;4386.0 73.0 109745 0.0083 0.0123 0.0114 0.0625 0.0138;8366.0 655.0 109763 -0.0562 0.0917 0.0081 0.1197 -0.0095;18453.0 1054.0 109684 0.0124 0.0598 0.0711 0.0987 0.0078;3000.0 58.0 109686 0.0124 0.0429 0.0199 0.0415 0.0047;2633.0 37.0 109752 0.0132 0.0140 -0.0073 0.0552 0.0026;2488.0 27.0 109723 0.0007 0.0028 0.0010 0.0582 0.0040;2799.0 64.0 109756 0.0150 0.0374 0.0284 0.0556 0.0023;3483.0 106.0 109758 -0.0066 0.0348 0.0583 0.0569 0.0106,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1007;109697 1011;109762 1014;109755 993;109764 1024;109731 1025;109766 1049;109767 1044;109769 1010;109761 972;109740 998;109741 1015;109745 994;109763 1079;109684 958;109686 943;109752 969;109723 942;109756 969;109758 984
