
New Run at  01/16/2015 12:52:58
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks; exp3LearnAccess; exp3Clicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241593200,668071.0;39680.0;696409.0;25846.0;698943.0;37993.0;686209.0;27312.0,5287.0 113.0 109601 0.0000 0.0000 0.0000 0.0000 0.0000;4285.0 33.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;5120.0 246.0 109616 0.0000 0.0000 0.0000 0.0000 0.0000;2150.0 44.0 109624 0.0000 0.0000 0.0000 0.0000 0.0000;4332.0 293.0 109625 0.0000 0.0000 0.0000 0.0000 0.0000;1766.0 20.0 109627 0.0000 0.0000 0.0000 0.0000 0.0000;2686.0 28.0 109628 0.0000 0.0000 0.0000 0.0000 0.0000;2397.0 53.0 109629 0.0000 0.0000 0.0000 0.0000 0.0000;13153.0 1057.0 109631 0.0000 0.0000 0.0000 0.0000 0.0000;17543.0 2002.0 109632 0.0000 0.0000 0.0000 0.0000 0.0000;1570.0 14.0 109633 0.0000 0.0000 0.0000 0.0000 0.0000;1687.0 21.0 109634 0.0000 0.0000 0.0000 0.0000 0.0000;15231.0 918.0 109635 0.0000 0.0000 0.0000 0.0000 0.0000;1643.0 27.0 109636 0.0000 0.0000 0.0000 0.0000 0.0000;2056.0 71.0 109637 0.0000 0.0000 0.0000 0.0000 0.0000;18292.0 1356.0 109638 0.0000 0.0000 0.0000 0.0000 0.0000;10200.0 747.0 109641 0.0000 0.0000 0.0000 0.0000 0.0000;1620.0 28.0 109644 -0.0606 -0.0217 0.0856 0.2315 -0.0016;8415.0 638.0 109646 -0.1015 0.0624 -0.0433 0.3665 0.0418;2645.0 77.0 109647 0.0000 0.0000 0.0000 0.0000 0.0000;2585.0 64.0 109650 0.0000 0.0000 0.0000 0.0000 0.0000;4865.0 280.0 109652 0.0000 0.0000 0.0000 0.0000 0.0000;1771.0 31.0 109653 0.0000 0.0000 0.0000 0.0000 0.0000,109601.0 3852;109613.0 3852;109616.0 3852;109624.0 3852;109625.0 3852;109627.0 3852;109628.0 3852;109629.0 3852;109631.0 3852;109632.0 3852;109633.0 3852;109634.0 3852;109635.0 3852;109636.0 3852;109637.0 3852;109638.0 3852;109641.0 3852;109644.0 3852;109646.0 3852;109647.0 3852;109650.0 3852;109652.0 3852;109653.0 3852,109601 184;109613 187;109616 167;109624 195;109625 168;109627 160;109628 176;109629 167;109631 154;109632 164;109633 157;109634 175;109635 148;109636 166;109637 182;109638 184;109641 171;109644 151;109646 153;109647 154;109650 138;109652 179;109653 172
data,1241593800,668925.0;39702.0;697249.0;25862.0;699851.0;38023.0;686974.0;27319.0,5287.0 113.0 109601 0.0000 0.0000 0.0000 0.0000 0.0000;4285.0 33.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;5120.0 246.0 109616 0.0000 0.0000 0.0000 0.0000 0.0000;2172.0 45.0 109624 -0.0017 -0.0008 -0.0035 -0.0154 0.0649;4380.0 294.0 109625 -0.0303 0.3370 0.0031 -0.0156 -0.0011;1903.0 21.0 109627 -0.0298 -0.0130 -0.0003 0.1655 -0.0027;2703.0 29.0 109628 -0.0027 0.0008 -0.0012 -0.0077 0.0883;2445.0 54.0 109629 0.0329 0.0008 0.2424 -0.0336 -0.0059;13207.0 1058.0 109631 0.0004 -0.0031 -0.0091 -0.0001 0.0285;17543.0 2002.0 109632 0.0000 0.0000 0.0000 0.0000 0.0000;1623.0 14.0 109633 0.0000 0.0000 0.0000 0.0000 0.0000;1764.0 23.0 109634 -0.0745 -0.0580 0.1617 0.2043 -0.0054;15251.0 920.0 109635 -0.1265 -0.0548 0.2763 0.2454 0.0034;1713.0 28.0 109636 -0.0420 -0.0172 0.0091 0.1676 -0.0047;2087.0 73.0 109637 -0.0508 -0.0357 0.1896 0.3112 0.0180;18292.0 1356.0 109638 0.0000 0.0000 0.0000 0.0000 0.0000;10273.0 749.0 109641 0.0422 -0.0209 0.0222 0.0478 -0.0152;1651.0 28.0 109644 -0.0606 -0.0217 0.0856 0.2315 -0.0016;8415.0 638.0 109646 -0.1015 0.0624 -0.0433 0.3665 0.0418;2669.0 78.0 109647 0.0915 -0.0061 -0.0366 -0.0132 -0.0006;2656.0 65.0 109650 -0.0567 0.0068 -0.0767 0.1763 -0.0002;4895.0 282.0 109652 0.0810 0.3425 -0.0198 0.1255 -0.0054;1801.0 33.0 109653 0.1483 0.2540 0.0082 0.0576 0.0017;18.0 1.0 109654 -0.0419 -0.0063 -0.0156 0.3247 -0.0030,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 4919,109601 872;109613 913;109616 875;109624 785;109625 851;109627 865;109628 876;109629 851;109631 878;109632 871;109633 843;109634 876;109635 876;109636 945;109637 802;109638 898;109641 871;109644 890;109646 818;109647 851;109650 826;109652 867;109653 876;109654 124
data,1241594700,669810.0;39720.0;698122.0;25881.0;700754.0;38043.0;687836.0;27351.0,5378.0 114.0 109601 -0.0178 0.1191 0.0137 -0.0134 0.0002;4367.0 34.0 109613 0.0964 -0.0207 0.0044 0.0110 -0.0008;5173.0 247.0 109616 -0.0162 -0.0234 0.0082 0.1328 -0.0021;2172.0 45.0 109624 -0.0017 -0.0008 -0.0035 -0.0154 0.0649;4396.0 295.0 109625 -0.0440 0.5216 0.0050 -0.0289 -0.0016;1903.0 21.0 109627 -0.0298 -0.0130 -0.0003 0.1655 -0.0027;2787.0 30.0 109628 -0.0354 -0.0134 0.0263 0.0903 0.0195;2445.0 54.0 109629 0.0329 0.0008 0.2424 -0.0336 -0.0059;13207.0 1058.0 109631 0.0004 -0.0031 -0.0091 -0.0001 0.0285;17596.0 2004.0 109632 0.0140 -0.0255 0.0175 0.2378 -0.0055;1625.0 15.0 109633 -0.0359 -0.0252 -0.0321 0.1047 0.0114;1809.0 24.0 109634 -0.0754 -0.0704 0.0059 0.2484 -0.0053;15271.0 921.0 109635 -0.1350 -0.0514 0.3086 0.2300 0.0257;1713.0 28.0 109636 -0.0420 -0.0172 0.0091 0.1676 -0.0047;2104.0 75.0 109637 0.2104 -0.0638 0.1927 0.0873 0.0150;18482.0 1357.0 109638 0.0036 -0.0102 0.0263 0.0429 -0.0013;10353.0 750.0 109641 0.0408 -0.0216 0.0203 0.0495 0.0109;1722.0 29.0 109644 -0.0786 -0.0799 -0.0083 0.2312 0.0030;8432.0 638.0 109646 -0.1015 0.0624 -0.0433 0.3665 0.0418;2669.0 78.0 109647 0.0915 -0.0061 -0.0366 -0.0132 -0.0006;2656.0 65.0 109650 -0.0567 0.0068 -0.0767 0.1763 -0.0002;4924.0 283.0 109652 0.0579 0.0528 0.0286 0.1099 -0.0064;1822.0 34.0 109653 0.0123 0.2019 0.0689 0.0932 0.0031;32.0 2.0 109654 -0.1026 -0.0247 0.0572 0.2699 -0.0055,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 3409;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 19678;109631.0 19678;109632.0 20000;109633.0 19678;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 19678;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000,109601 928;109613 955;109616 856;109624 49;109625 883;109627 934;109628 879;109629 643;109631 653;109632 942;109633 748;109634 878;109635 895;109636 903;109637 691;109638 915;109641 862;109644 878;109646 953;109647 936;109650 899;109652 896;109653 962;109654 862
data,1241595300,670874.0;39738.0;699177.0;25903.0;701809.0;38078.0;688878.0;27386.0,17708.0 2006.0 109632 -0.0470 0.1254 0.0409 0.0931 -0.0022;5378.0 114.0 109601 -0.0178 0.1191 0.0137 -0.0134 0.0002;1823.0 26.0 109634 -0.0845 0.0352 0.0077 0.2449 -0.0074;15309.0 922.0 109635 -0.0952 -0.0234 0.1067 0.1083 0.0216;1733.0 28.0 109636 -0.0420 -0.0172 0.0091 0.1676 -0.0047;18482.0 1357.0 109638 0.0036 -0.0102 0.0263 0.0429 -0.0013;10353.0 750.0 109641 0.0408 -0.0216 0.0203 0.0495 0.0109;1788.0 31.0 109644 -0.0874 0.0632 0.0052 0.0897 0.0037;4441.0 34.0 109613 0.0964 -0.0207 0.0044 0.0110 -0.0008;8491.0 640.0 109646 -0.1101 -0.0528 -0.0539 0.2348 0.0330;2669.0 78.0 109647 0.0915 -0.0061 -0.0366 -0.0132 -0.0006;5199.0 248.0 109616 0.0063 -0.0315 0.0030 0.1426 -0.0022;2668.0 65.0 109650 -0.0567 0.0068 -0.0767 0.1763 -0.0002;5401.0 283.0 109652 0.0579 0.0528 0.0286 0.1099 -0.0064;1852.0 35.0 109653 -0.0033 0.1116 0.0456 0.1483 0.0016;88.0 5.0 109654 -0.0136 0.0420 0.0544 0.1524 0.0298;4438.0 297.0 109625 -0.0892 0.2233 0.0407 -0.0274 -0.0029;1926.0 22.0 109627 -0.0269 -0.0101 -0.0034 0.1349 -0.0022;2802.0 31.0 109628 -0.0379 -0.0223 0.0173 0.1003 0.0190,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1055;109601 957;109634 1077;109635 1084;109636 1064;109638 1061;109641 1107;109644 998;109613 1104;109646 1014;109647 1095;109616 1072;109650 1070;109652 1007;109653 1070;109654 1042;109625 1061;109627 1057;109628 1005
data,1241596200,671907.0;39764.0;700247.0;25933.0;702892.0;38095.0;689912.0;27413.0,17718.0 2007.0 109632 -0.0470 0.1288 0.0423 0.0859 -0.0023;5378.0 114.0 109601 -0.0178 0.1191 0.0137 -0.0134 0.0002;1848.0 28.0 109634 -0.0868 0.0039 0.0109 0.2140 -0.0103;15447.0 926.0 109635 0.0210 -0.0242 0.0976 0.0900 0.0228;1784.0 29.0 109636 -0.0311 0.0147 -0.0091 0.0736 -0.0022;18503.0 1358.0 109638 -0.0130 -0.0077 0.0593 0.0454 -0.0016;10353.0 750.0 109641 0.0408 -0.0216 0.0203 0.0495 0.0109;1788.0 31.0 109644 -0.0874 0.0632 0.0052 0.0897 0.0037;4482.0 35.0 109613 0.0237 -0.0118 -0.0087 0.0488 -0.0009;8564.0 646.0 109646 -0.1104 -0.0722 -0.0250 0.2013 0.0472;2669.0 78.0 109647 0.0915 -0.0061 -0.0366 -0.0132 -0.0006;5236.0 249.0 109616 0.0098 -0.0366 -0.0135 0.1263 -0.0026;2687.0 67.0 109650 -0.0592 0.0985 -0.0361 0.0973 0.0012;5630.0 284.0 109652 0.0969 0.0600 -0.0299 0.0480 -0.0021;1918.0 37.0 109653 -0.0215 0.1197 0.0527 0.1006 0.0102;193.0 8.0 109654 0.0781 0.0462 0.0948 0.1144 0.0312;4606.0 297.0 109625 -0.0892 0.2233 0.0407 -0.0274 -0.0029;1934.0 22.0 109627 -0.0269 -0.0101 -0.0034 0.1349 -0.0022;2844.0 32.0 109628 -0.0259 0.0198 0.0114 0.1007 0.0182,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1045;109601 1033;109634 1099;109635 1056;109636 1044;109638 1069;109641 1035;109644 1015;109613 1071;109646 1054;109647 1051;109616 1100;109650 1061;109652 1053;109653 1013;109654 1034;109625 1071;109627 1051;109628 1045
data,1241596800,673002.0;39790.0;701309.0;25952.0;704004.0;38127.0;691019.0;27459.0,17718.0 2007.0 109632 -0.0470 0.1288 0.0423 0.0859 -0.0023;5455.0 115.0 109601 -0.0139 0.0574 0.0391 -0.0191 -0.0012;1948.0 29.0 109634 -0.0907 -0.0128 0.0112 0.2204 0.0012;15471.0 927.0 109635 0.0477 -0.0283 0.1082 0.0710 0.0222;1850.0 30.0 109636 -0.0373 0.0033 0.0198 0.0712 -0.0025;18503.0 1358.0 109638 -0.0130 -0.0077 0.0593 0.0454 -0.0016;10378.0 753.0 109641 0.0904 -0.0330 0.0148 0.0610 0.0187;1788.0 31.0 109644 -0.0874 0.0632 0.0052 0.0897 0.0037;4636.0 35.0 109613 0.0237 -0.0118 -0.0087 0.0488 -0.0009;8717.0 648.0 109646 -0.1112 -0.0750 -0.0249 0.2064 0.0239;2686.0 78.0 109647 0.0915 -0.0061 -0.0366 -0.0132 -0.0006;5374.0 250.0 109616 0.0051 0.0587 -0.0125 0.1214 -0.0031;2830.0 69.0 109650 -0.0907 0.1063 0.1689 0.0811 0.0012;5656.0 286.0 109652 0.0964 0.0634 -0.0386 0.0550 -0.0022;1941.0 39.0 109653 -0.0402 0.1328 0.0549 0.1292 0.0074;260.0 14.0 109654 -0.0503 0.0228 0.1126 0.1640 0.0208;4662.0 300.0 109625 -0.1289 0.1927 0.0324 0.0832 -0.0015;1951.0 23.0 109627 -0.0412 -0.0269 0.0057 0.1165 -0.0022;2853.0 32.0 109628 -0.0259 0.0198 0.0114 0.1007 0.0182,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1071;109601 1001;109634 1077;109635 1087;109636 1090;109638 1115;109641 1039;109644 1076;109613 1029;109646 1000;109647 992;109616 1064;109650 1047;109652 981;109653 1061;109654 1107;109625 1037;109627 1068;109628 1058
data,1241597700,674096.0;39811.0;702367.0;25977.0;705025.0;38162.0;692115.0;27492.0,17721.0 2007.0 109632 -0.0470 0.1288 0.0423 0.0859 -0.0023;5456.0 115.0 109601 -0.0139 0.0574 0.0391 -0.0191 -0.0012;1969.0 31.0 109634 -0.1149 0.0194 0.0126 0.2044 0.0016;15548.0 927.0 109635 0.0477 -0.0283 0.1082 0.0710 0.0222;1850.0 30.0 109636 -0.0373 0.0033 0.0198 0.0712 -0.0025;18503.0 1358.0 109638 -0.0130 -0.0077 0.0593 0.0454 -0.0016;10396.0 753.0 109641 0.0904 -0.0330 0.0148 0.0610 0.0187;1788.0 31.0 109644 -0.0874 0.0632 0.0052 0.0897 0.0037;5266.0 35.0 109613 0.0237 -0.0118 -0.0087 0.0488 -0.0009;8789.0 652.0 109646 -0.1544 0.2344 -0.0020 0.1770 0.0226;2727.0 79.0 109647 0.0792 -0.0131 -0.0218 -0.0116 -0.0020;5399.0 251.0 109616 0.0154 0.0164 -0.0134 0.1172 -0.0031;2903.0 76.0 109650 0.1052 0.0555 0.0345 0.0835 -0.0011;5673.0 287.0 109652 0.1161 0.0830 -0.0395 0.0415 -0.0023;1964.0 40.0 109653 -0.0438 0.1091 0.0546 0.1347 0.0051;290.0 15.0 109654 -0.0504 0.0241 0.1179 0.1590 0.0212;4675.0 301.0 109625 -0.1336 0.1698 0.0328 0.0835 -0.0016;1979.0 24.0 109627 -0.0262 -0.0298 0.0113 0.1208 -0.0028;2875.0 33.0 109628 -0.0388 0.0239 0.0698 0.0903 0.0136,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1094;109601 1069;109634 1015;109635 1075;109636 975;109638 1037;109641 1055;109644 1049;109613 1032;109646 1099;109647 1074;109616 1032;109650 1109;109652 1059;109653 1026;109654 1096;109625 1009;109627 1062;109628 1033
data,1241598600,675159.0;39833.0;703449.0;26003.0;706019.0;38185.0;693194.0;27525.0,17761.0 2008.0 109632 -0.0339 0.0830 0.0446 0.0650 -0.0053;5553.0 116.0 109601 -0.0126 0.0568 0.0384 -0.0206 0.0061;1980.0 31.0 109634 -0.1149 0.0194 0.0126 0.2044 0.0016;15590.0 929.0 109635 -0.0022 -0.0117 0.0840 0.0433 0.0219;1857.0 30.0 109636 -0.0373 0.0033 0.0198 0.0712 -0.0025;18516.0 1359.0 109638 0.0545 -0.0113 0.0478 0.0225 -0.0020;10510.0 754.0 109641 0.0511 -0.0163 0.0173 0.0609 0.0074;1892.0 32.0 109644 -0.0867 0.0630 0.0050 0.0889 0.0077;5341.0 36.0 109613 0.0314 -0.0040 -0.0065 0.0088 0.0008;8835.0 655.0 109646 -0.1724 0.1062 -0.0105 0.2211 0.0203;2729.0 79.0 109647 0.0792 -0.0131 -0.0218 -0.0116 -0.0020;5451.0 258.0 109616 0.0210 0.0149 0.0555 0.1526 -0.0023;2923.0 76.0 109650 0.1052 0.0555 0.0345 0.0835 -0.0011;5717.0 288.0 109652 0.0878 0.0983 -0.0297 0.0431 -0.0021;2274.0 42.0 109653 -0.0654 0.1142 0.0519 0.1153 0.0223;339.0 16.0 109654 -0.0431 0.0146 0.0700 0.1663 0.0173;4675.0 301.0 109625 -0.1336 0.1698 0.0328 0.0835 -0.0016;1987.0 24.0 109627 -0.0262 -0.0298 0.0113 0.1208 -0.0028;2904.0 33.0 109628 -0.0388 0.0239 0.0698 0.0903 0.0136,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1065;109601 1087;109634 989;109635 1039;109636 1083;109638 1004;109641 1051;109644 1037;109613 1080;109646 1050;109647 1133;109616 1012;109650 1094;109652 1054;109653 1054;109654 1079;109625 1040;109627 1044;109628 1005
data,1241599200,676146.0;39851.0;704463.0;26034.0;707072.0;38204.0;694294.0;27566.0,17902.0 2008.0 109632 -0.0339 0.0830 0.0446 0.0650 -0.0053;5572.0 117.0 109601 -0.0315 0.0493 0.0307 0.0710 0.0052;1983.0 32.0 109634 -0.0932 0.0353 0.0133 0.1680 0.0021;15590.0 929.0 109635 -0.0022 -0.0117 0.0840 0.0433 0.0219;1922.0 32.0 109636 0.0298 -0.0034 0.0141 0.0615 0.0049;18521.0 1359.0 109638 0.0545 -0.0113 0.0478 0.0225 -0.0020;10510.0 754.0 109641 0.0511 -0.0163 0.0173 0.0609 0.0074;1921.0 33.0 109644 -0.0242 0.0523 0.0021 0.0878 0.0072;5341.0 36.0 109613 0.0314 -0.0040 -0.0065 0.0088 0.0008;8844.0 657.0 109646 -0.1682 0.1146 -0.0060 0.2048 0.0206;3117.0 80.0 109647 0.0789 -0.0141 -0.0222 -0.0112 0.0014;5495.0 259.0 109616 -0.0086 0.0230 0.0540 0.1385 -0.0021;2947.0 79.0 109650 0.1266 0.0543 0.0303 0.0532 -0.0018;5836.0 288.0 109652 0.0878 0.0983 -0.0297 0.0431 -0.0021;2311.0 44.0 109653 -0.0606 0.1268 0.0302 0.1083 0.0068;376.0 17.0 109654 -0.0402 0.0765 0.0784 0.1291 0.0136;4680.0 302.0 109625 -0.1383 0.1751 0.0330 0.0846 -0.0016;2000.0 25.0 109627 -0.0415 0.0438 0.0148 0.1151 -0.0029;2953.0 34.0 109628 -0.0344 0.0283 0.0460 0.0521 0.0126,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1032;109601 1013;109634 1014;109635 1047;109636 1039;109638 1047;109641 1055;109644 1015;109613 1026;109646 1025;109647 1046;109616 1070;109650 1040;109652 1078;109653 1130;109654 1100;109625 1061;109627 1096;109628 1066
data,1241600100,677186.0;39877.0;705478.0;26060.0;708139.0;38228.0;695312.0;27593.0,17934.0 2009.0 109632 -0.0341 0.0824 0.0424 0.0643 0.0017;5586.0 118.0 109601 -0.0066 0.0511 0.0305 0.0414 0.0049;2116.0 33.0 109634 -0.0880 -0.0027 0.0129 0.1666 0.0045;15678.0 930.0 109635 -0.0017 -0.0123 0.0824 0.0444 0.0197;2031.0 33.0 109636 0.0253 -0.0032 0.0141 0.0621 0.0069;18560.0 1361.0 109638 0.0292 -0.0042 0.0792 0.0163 -0.0033;10537.0 754.0 109641 0.0511 -0.0163 0.0173 0.0609 0.0074;1924.0 33.0 109644 -0.0242 0.0523 0.0021 0.0878 0.0072;5341.0 36.0 109613 0.0314 -0.0040 -0.0065 0.0088 0.0008;8880.0 660.0 109646 -0.1568 0.1070 -0.0066 0.1854 0.0189;3117.0 80.0 109647 0.0789 -0.0141 -0.0222 -0.0112 0.0014;5515.0 260.0 109616 -0.0113 0.0215 0.0561 0.1471 -0.0027;2998.0 81.0 109650 0.1038 0.0430 0.0484 0.0753 -0.0022;5862.0 289.0 109652 0.0868 0.0338 -0.0114 0.0357 -0.0020;2311.0 44.0 109653 -0.0606 0.1268 0.0302 0.1083 0.0068;540.0 20.0 109654 -0.0426 0.0559 0.0780 0.1358 0.0142;4707.0 303.0 109625 -0.0621 0.1194 0.0284 0.0949 -0.0021;2172.0 31.0 109627 -0.0789 0.0327 0.0133 0.1702 0.0085;3052.0 36.0 109628 -0.0363 0.0283 0.0466 0.0518 0.0165,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1028;109601 1088;109634 1039;109635 1039;109636 1029;109638 1041;109641 1011;109644 1047;109613 1096;109646 1050;109647 1041;109616 1073;109650 1032;109652 1084;109653 1090;109654 1018;109625 1048;109627 1083;109628 1063
