
New Run at  02/18/2015 01:23:31
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,844241.0;30464.0;845831.0;33440.0;800766.0;34554.0;847684.0;40608.0;1.09562563077;1.19583763359;1.32756907536,1818.0 65.0 109601;1490.0 81.0 109603;57896.0 1711.0 109476;1605.0 111.0 109605;1471.0 61.0 109608;1009.0 45.0 109610;686.0 31.0 109611;632.0 46.0 109612;5469.0 177.0 109517;764.0 39.0 109614;1037.0 19.0 109613;765.0 47.0 109617;536.0 15.0 109618;209.0 5.0 109619;2774.0 127.0 109594;880.0 45.0 109615;2493.0 117.0 109596;2205.0 105.0 109598;2111.0 92.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,845328.0;30498.0;846883.0;33457.0;801826.0;34592.0;848733.0;40650.0;1.09500846272;1.19577489719;1.32752697862,1836.0 66.0 109601;1505.0 81.0 109603;58654.0 1722.0 109476;1615.0 111.0 109605;1489.0 61.0 109608;1025.0 46.0 109610;701.0 32.0 109611;648.0 46.0 109612;5486.0 177.0 109517;780.0 40.0 109614;1052.0 19.0 109613;784.0 48.0 109617;555.0 15.0 109618;224.0 5.0 109619;2792.0 127.0 109594;896.0 46.0 109615;2510.0 117.0 109596;2224.0 105.0 109598;2126.0 92.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,846439.0;30518.0;847936.0;33478.0;802884.0;34627.0;849844.0;40691.0;1.09505524003;1.19619411207;1.32800205517,1849.0 66.0 109601;1523.0 82.0 109603;59406.0 1735.0 109476;1633.0 111.0 109605;1504.0 62.0 109608;1049.0 46.0 109610;721.0 32.0 109611;667.0 46.0 109612;5501.0 177.0 109517;790.0 40.0 109614;908.0 47.0 109615;1070.0 19.0 109613;806.0 50.0 109617;571.0 15.0 109618;237.0 6.0 109619;2809.0 127.0 109594;2524.0 118.0 109596;2241.0 106.0 109598;2146.0 92.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,847508.0;30540.0;849012.0;33501.0;803930.0;34663.0;850922.0;40717.0;1.0950115899;1.19652750249;1.32788600413,1865.0 66.0 109601;1543.0 83.0 109603;60195.0 1751.0 109476;1652.0 111.0 109605;1527.0 62.0 109608;1065.0 46.0 109610;734.0 33.0 109611;688.0 47.0 109612;1082.0 19.0 109613;812.0 40.0 109614;922.0 48.0 109615;820.0 52.0 109617;584.0 15.0 109618;250.0 6.0 109619;2823.0 127.0 109594;2535.0 119.0 109596;5522.0 177.0 109517;2255.0 106.0 109598;2157.0 92.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,848513.0;30560.0;850044.0;33520.0;805018.0;34681.0;852018.0;40741.0;1.09488310503;1.1961652209;1.32766365142,1878.0 66.0 109601;1557.0 83.0 109603;60923.0 1766.0 109476;1673.0 111.0 109605;1543.0 62.0 109608;1078.0 46.0 109610;752.0 34.0 109611;708.0 47.0 109612;1099.0 19.0 109613;822.0 40.0 109614;943.0 49.0 109615;837.0 52.0 109617;606.0 15.0 109618;269.0 6.0 109619;2841.0 128.0 109594;2552.0 119.0 109596;5538.0 177.0 109517;2267.0 107.0 109598;2177.0 92.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,849619.0;30591.0;851082.0;33541.0;806071.0;34726.0;853080.0;40773.0;1.09454883506;1.19649807992;1.32743556396,1887.0 67.0 109601;1576.0 83.0 109603;61661.0 1780.0 109476;1692.0 111.0 109605;1561.0 62.0 109608;1100.0 47.0 109610;772.0 34.0 109611;724.0 47.0 109612;1112.0 19.0 109613;840.0 41.0 109614;960.0 49.0 109615;849.0 52.0 109617;620.0 16.0 109618;279.0 6.0 109619;2857.0 130.0 109594;2574.0 120.0 109596;5557.0 177.0 109517;2286.0 107.0 109598;2194.0 92.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,850668.0;30608.0;852169.0;33556.0;807127.0;34755.0;854211.0;40805.0;1.09438365376;1.1967420762;1.32761871489,1914.0 67.0 109601;1595.0 83.0 109603;62419.0 1787.0 109476;1709.0 111.0 109605;1578.0 63.0 109608;1120.0 48.0 109610;790.0 34.0 109611;744.0 47.0 109612;1132.0 19.0 109613;850.0 41.0 109614;5580.0 178.0 109517;870.0 52.0 109617;642.0 16.0 109618;292.0 6.0 109619;2877.0 132.0 109594;969.0 51.0 109615;2594.0 120.0 109596;2302.0 107.0 109598;2211.0 93.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
data,1241512500,851680.0;30632.0;853222.0;33577.0;808159.0;34783.0;855218.0;40828.0;1.09416027013;1.19666149918;1.32734056947,1932.0 68.0 109601;1610.0 84.0 109603;63170.0 1800.0 109476;1142.0 19.0 109613;1594.0 63.0 109608;1134.0 48.0 109610;807.0 34.0 109611;755.0 47.0 109612;5596.0 178.0 109517;871.0 42.0 109614;997.0 53.0 109615;889.0 52.0 109617;657.0 16.0 109618;307.0 6.0 109619;2895.0 132.0 109594;2612.0 123.0 109596;1728.0 111.0 109605;2315.0 107.0 109598;2230.0 93.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1017;109603 1089;109476 1080;109613 1053;109608 1015;109610 1047;109611 1055;109612 1052;109517 1093;109614 1049;109615 1101;109617 1003;109618 1081;109619 1034;109594 1067;109596 1054;109605 1000;109598 1032;109599 1078
data,1241513400,852670.0;30657.0;854236.0;33590.0;809238.0;34810.0;856187.0;40849.0;1.09366285805;1.19640738345;1.32697924203,1947.0 69.0 109601;1634.0 84.0 109603;63888.0 1808.0 109476;1743.0 111.0 109605;1606.0 63.0 109608;5613.0 178.0 109517;833.0 35.0 109611;778.0 47.0 109612;1155.0 19.0 109613;884.0 43.0 109614;1015.0 53.0 109615;899.0 52.0 109617;670.0 16.0 109618;323.0 6.0 109619;2910.0 133.0 109594;2632.0 123.0 109596;1152.0 48.0 109610;2325.0 108.0 109598;2248.0 93.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1070;109603 1042;109476 1005;109605 968;109608 1092;109517 1080;109611 1067;109612 1083;109613 1025;109614 1034;109615 1092;109617 1017;109618 1075;109619 1049;109594 1068;109596 1046;109610 1036;109598 1077;109599 1074
data,1241514300,853696.0;30679.0;855254.0;33611.0;810287.0;34837.0;857271.0;40886.0;1.09357448021;1.19636562045;1.32714550013,1962.0 69.0 109601;1649.0 84.0 109603;64610.0 1820.0 109476;1765.0 112.0 109605;1619.0 63.0 109608;1167.0 48.0 109610;842.0 35.0 109611;791.0 48.0 109612;5626.0 178.0 109517;912.0 44.0 109614;1174.0 19.0 109613;919.0 52.0 109617;688.0 16.0 109618;333.0 7.0 109619;2932.0 136.0 109594;1035.0 53.0 109615;2647.0 124.0 109596;2335.0 108.0 109598;2267.0 94.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1040;109603 1056;109476 1024;109605 985;109608 1061;109610 1065;109611 1087;109612 1100;109517 988;109614 1046;109613 1066;109617 1133;109618 1015;109619 1005;109594 1047;109615 1057;109596 1094;109598 1045;109599 1086
