
New Run at  02/21/2015 07:51:26
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334000,2557957.0;90888.0;2562264.0;96373.0;2433943.0;107749.0;2574851.0;131599.0;1.0585666229;1.24591822213;1.4384248568,2903.0 93.0 109568;12266.0 152.0 109536;2281.0 113.0 109571;121549.0 3536.0 109476;3729.0 135.0 109541;8194.0 310.0 109542;3336.0 101.0 109569;6208.0 242.0 109551;4406.0 125.0 109553;575630.0 22228.0 109524;4018.0 131.0 109557;3946.0 114.0 109560;4984.0 200.0 109561;3689.0 101.0 109562;3503.0 99.0 109563;2645.0 46.0 109564;3483.0 100.0 109565;3084.0 81.0 109566;2703.0 80.0 109567,109536.0 6430;109568.0 6430;109571.0 6430;109476.0 6430;109541.0 6430;109542.0 6430;109569.0 6430;109551.0 6430;109553.0 6430;109524.0 6430;109557.0 6430;109560.0 6430;109561.0 6430;109562.0 6430;109563.0 6430;109564.0 6430;109565.0 6430;109566.0 6430;109567.0 6430,109568 331;109536 321;109571 363;109476 337;109541 349;109542 343;109569 337;109551 329;109553 346;109524 337;109557 303;109560 322;109561 362;109562 326;109563 339;109564 325;109565 338;109566 343;109567 379
data,1241334900,2559005.0;90923.0;2563289.0;96396.0;2435042.0;107802.0;2575928.0;131652.0;1.05842189877;1.24599913098;1.43843790512,12277.0 152.0 109536;3357.0 101.0 109569;2294.0 114.0 109571;121563.0 3536.0 109476;3743.0 135.0 109541;2926.0 93.0 109568;6223.0 243.0 109551;4423.0 125.0 109553;576380.0 22247.0 109524;4029.0 131.0 109557;5002.0 200.0 109561;3957.0 114.0 109560;8213.0 310.0 109542;3711.0 102.0 109562;3520.0 99.0 109563;2654.0 46.0 109564;3498.0 100.0 109565;3095.0 81.0 109566;2717.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1077;109569 1055;109571 1099;109476 1041;109541 1013;109568 1097;109551 1089;109553 1061;109524 1038;109557 1000;109561 1064;109560 1102;109542 1046;109562 1091;109563 992;109564 1007;109565 1042;109566 1047;109567 1039
data,1241335800,2560079.0;90957.0;2564305.0;96428.0;2436114.0;107866.0;2576982.0;131709.0;1.05840216479;1.24624722956;1.43853789458,12292.0 152.0 109536;3375.0 102.0 109569;2309.0 115.0 109571;121579.0 3536.0 109476;3755.0 135.0 109541;8236.0 312.0 109542;2942.0 94.0 109568;6245.0 243.0 109551;4437.0 125.0 109553;577098.0 22271.0 109524;4044.0 132.0 109557;3975.0 114.0 109560;5020.0 201.0 109561;3726.0 102.0 109562;3539.0 99.0 109563;2668.0 46.0 109564;3515.0 101.0 109565;3110.0 81.0 109566;2733.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1093;109569 1062;109571 1072;109476 999;109541 1061;109542 1061;109568 1040;109551 1040;109553 1135;109524 992;109557 1117;109560 1063;109561 1034;109562 1002;109563 1049;109564 1015;109565 1071;109566 1054;109567 1040
data,1241336700,2561115.0;90981.0;2565314.0;96449.0;2437222.0;107922.0;2578087.0;131758.0;1.05836524924;1.24650283071;1.43865877403,2952.0 94.0 109568;3399.0 103.0 109569;2325.0 115.0 109571;121597.0 3536.0 109476;3765.0 137.0 109541;8248.0 312.0 109542;6261.0 243.0 109551;4462.0 126.0 109553;577809.0 22287.0 109524;4059.0 132.0 109557;12311.0 152.0 109536;3994.0 114.0 109560;5031.0 201.0 109561;3740.0 102.0 109562;3564.0 100.0 109563;2685.0 46.0 109564;3532.0 101.0 109565;3122.0 81.0 109566;2751.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1060;109569 1065;109571 1108;109476 1031;109541 1020;109542 1076;109551 1057;109553 1065;109524 1009;109557 1040;109536 1091;109560 1035;109561 1075;109562 1033;109563 1062;109564 1080;109565 1056;109566 1018;109567 1019
data,1241337600,2562139.0;91002.0;2566339.0;96481.0;2438317.0;107981.0;2579156.0;131813.0;1.05847236151;1.24683483831;1.4389058668,12328.0 153.0 109536;3412.0 103.0 109569;2340.0 116.0 109571;121612.0 3536.0 109476;3785.0 138.0 109541;8261.0 312.0 109542;2979.0 95.0 109568;6278.0 243.0 109551;4483.0 126.0 109553;578518.0 22313.0 109524;4069.0 133.0 109557;4017.0 114.0 109560;5054.0 201.0 109561;3758.0 102.0 109562;3585.0 100.0 109563;2701.0 46.0 109564;3548.0 101.0 109565;3143.0 81.0 109566;2761.0 82.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 983;109569 1061;109571 1095;109476 1025;109541 1046;109542 1029;109568 1102;109551 1062;109553 1048;109524 1021;109557 1099;109560 1093;109561 1072;109562 1020;109563 1054;109564 1026;109565 1076;109566 1037;109567 1051
data,1241338500,2563178.0;91020.0;2567414.0;96509.0;2439391.0;108033.0;2580231.0;131861.0;1.05855601969;1.24714501404;1.43912895743,2994.0 97.0 109568;3431.0 103.0 109569;2353.0 118.0 109571;121624.0 3536.0 109476;3800.0 138.0 109541;8276.0 312.0 109542;4034.0 115.0 109560;6298.0 243.0 109551;4504.0 126.0 109553;579302.0 22335.0 109524;4078.0 133.0 109557;12346.0 153.0 109536;5072.0 201.0 109561;3775.0 103.0 109562;3608.0 100.0 109563;2712.0 46.0 109564;3566.0 101.0 109565;3155.0 81.0 109566;2779.0 82.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1031;109569 1053;109571 1074;109476 1111;109541 1103;109542 1086;109560 1076;109551 1013;109553 1037;109524 1044;109557 1029;109536 1038;109561 1120;109562 1041;109563 1051;109564 1084;109565 973;109566 987;109567 1049
data,1241339700,2564255.0;91029.0;2568479.0;96534.0;2440449.0;108084.0;2581330.0;131912.0;1.05873122538;1.24759352384;1.43953495662,3005.0 97.0 109568;12369.0 153.0 109536;2365.0 118.0 109571;121641.0 3536.0 109476;3812.0 139.0 109541;8301.0 312.0 109542;3445.0 104.0 109569;6321.0 244.0 109551;4515.0 126.0 109553;580073.0 22354.0 109524;4102.0 133.0 109557;4047.0 115.0 109560;5091.0 201.0 109561;3785.0 103.0 109562;3626.0 100.0 109563;2730.0 46.0 109564;3575.0 103.0 109565;3170.0 82.0 109566;2799.0 82.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1036;109536 1078;109571 1058;109476 1040;109541 1056;109542 1077;109569 1087;109551 1046;109553 1061;109524 1077;109557 1041;109560 1071;109561 1103;109562 993;109563 1023;109564 1023;109565 1044;109566 1033;109567 1053
data,1241340600,2565280.0;91051.0;2569552.0;96564.0;2441512.0;108137.0;2582409.0;131957.0;1.05878527252;1.24785898104;1.43965179179,3019.0 97.0 109568;3465.0 104.0 109569;2381.0 120.0 109571;12381.0 153.0 109536;3828.0 140.0 109541;8318.0 312.0 109542;6332.0 245.0 109551;4536.0 126.0 109553;121656.0 3536.0 109476;580862.0 22375.0 109524;4113.0 134.0 109557;4064.0 116.0 109560;5108.0 201.0 109561;3804.0 104.0 109562;3638.0 100.0 109563;2744.0 46.0 109564;3595.0 104.0 109565;3188.0 83.0 109566;2813.0 82.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1072;109569 1021;109571 1063;109536 1050;109541 1085;109542 1046;109551 1067;109553 1053;109476 968;109524 1072;109557 1077;109560 1049;109561 1022;109562 1068;109563 1047;109564 1084;109565 1042;109566 1047;109567 1067
data,1241341800,2566340.0;91071.0;2570614.0;96592.0;2442602.0;108183.0;2583479.0;131995.0;1.05885959844;1.24807418382;1.43974849223,12391.0 153.0 109536;3482.0 104.0 109569;2396.0 120.0 109571;121679.0 3537.0 109476;3844.0 140.0 109541;8337.0 313.0 109542;3034.0 99.0 109568;6345.0 245.0 109551;4552.0 126.0 109553;581628.0 22397.0 109524;4131.0 135.0 109557;4086.0 116.0 109560;5123.0 201.0 109561;3822.0 104.0 109562;3654.0 100.0 109563;2757.0 46.0 109564;3607.0 104.0 109565;3208.0 83.0 109566;2831.0 83.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1081;109569 1061;109571 1090;109476 998;109541 1025;109542 1089;109568 1074;109551 1075;109553 1054;109524 1051;109557 999;109560 1080;109561 1053;109562 1025;109563 1045;109564 1049;109565 1044;109566 1060;109567 1047
data,1241342700,2567419.0;91094.0;2571678.0;96614.0;2443617.0;108237.0;2584463.0;132039.0;1.05884027377;1.24838800403;1.43992172976,3051.0 100.0 109568;3501.0 105.0 109569;2413.0 121.0 109571;121698.0 3537.0 109476;3862.0 142.0 109541;8352.0 313.0 109542;6358.0 245.0 109551;4565.0 126.0 109553;582376.0 22411.0 109524;4148.0 136.0 109557;12418.0 153.0 109536;4099.0 116.0 109560;5143.0 201.0 109561;3836.0 104.0 109562;3676.0 100.0 109563;2772.0 46.0 109564;3631.0 104.0 109565;3224.0 84.0 109566;2848.0 84.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1101;109569 1072;109571 1015;109476 1033;109541 1038;109542 1076;109551 1015;109553 1070;109524 1063;109557 1053;109536 1049;109560 1057;109561 1037;109562 1050;109563 1063;109564 1011;109565 1103;109566 1022;109567 1072
data,1241343900,2568474.0;91121.0;2572713.0;96634.0;2444664.0;108292.0;2585529.0;132086.0;1.05875460522;1.24863037031;1.44000523791,12435.0 153.0 109536;3064.0 100.0 109568;2422.0 121.0 109571;121718.0 3537.0 109476;3871.0 142.0 109541;8363.0 313.0 109542;3517.0 105.0 109569;6374.0 245.0 109551;4587.0 127.0 109553;583139.0 22430.0 109524;4164.0 136.0 109557;4112.0 116.0 109560;5158.0 201.0 109561;3853.0 104.0 109562;3692.0 100.0 109563;2789.0 46.0 109564;3647.0 104.0 109565;3240.0 84.0 109566;2861.0 84.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 996;109571 1047;109476 1030;109541 1099;109542 1080;109569 1071;109551 1040;109553 1101;109524 1069;109557 1027;109560 997;109561 1070;109562 1089;109563 1013;109564 1113;109565 1020;109566 1031;109567 1035
