
New Run at  02/22/2015 01:54:33
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,7825697.0;279102.0;4804156.0;176458.0;7533291.0;367014.0;7852165.0;406664.0;1.02987456227;1.36602285983;1.45213298728,5097.0 127.0 109680;7863.0 270.0 109666;188007.0 3607.0 109667;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5476.0 105.0 109648;6685.0 318.0 109681;4821.0 168.0 109682;640178.0 28162.0 109635;17345.0 710.0 109652;10285.0 354.0 109656;10652.0 396.0 109683;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 18946;109666.0 18946;109635.0 18946;109668.0 18946;109670.0 18946;109628.0 18946;109674.0 18946;109676.0 18946;109678.0 18946;109679.0 18946;109680.0 18946;109681.0 18946;109682.0 18946;109683.0 18946;109652.0 18946;109656.0 18946;109667.0 18946;109660.0 18946;109661.0 18946;109663.0 18946,109680 989;109666 974;109667 964;109668 907;109670 951;109660 945;109674 974;109676 968;109678 962;109679 950;109648 969;109681 890;109682 919;109635 938;109652 955;109656 835;109683 970;109628 968;109661 946;109663 972
data,1241680800,7826660.0;279122.0;4804156.0;176458.0;7534307.0;367046.0;7853136.0;406698.0;1.0299274917;1.36602794165;1.45214946013,5476.0 105.0 109648;7863.0 270.0 109666;640178.0 28162.0 109635;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5097.0 127.0 109680;6685.0 318.0 109681;4821.0 168.0 109682;10652.0 396.0 109683;17345.0 710.0 109652;10285.0 354.0 109656;188007.0 3607.0 109667;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1041;109666 1028;109635 1034;109668 985;109670 978;109660 982;109674 1004;109676 959;109678 1019;109679 988;109680 978;109681 960;109682 947;109683 1004;109652 1026;109656 1044;109667 1001;109628 1013;109661 940;109663 1069
data,1241681400,7827671.0;279142.0;4804156.0;176458.0;7535299.0;367072.0;7854173.0;406728.0;1.02998672953;1.3660234234;1.4521483514,5476.0 105.0 109648;7863.0 270.0 109666;640178.0 28162.0 109635;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5097.0 127.0 109680;6685.0 318.0 109681;4821.0 168.0 109682;188007.0 3607.0 109667;17345.0 710.0 109652;10285.0 354.0 109656;10652.0 396.0 109683;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1014;109666 1002;109635 1002;109668 976;109670 1035;109660 1026;109674 1034;109676 1011;109678 964;109679 974;109680 1028;109681 1053;109682 953;109667 959;109652 992;109656 994;109683 1019;109628 1026;109661 950;109663 988
data,1241682300,7828664.0;279164.0;4804156.0;176458.0;7536238.0;367098.0;7855145.0;406768.0;1.03003621105;1.36601558562;1.45218121761,5097.0 127.0 109680;7863.0 270.0 109666;640178.0 28162.0 109635;7678.0 251.0 109668;6147.0 372.0 109670;20794.0 534.0 109628;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5476.0 105.0 109648;6685.0 318.0 109681;4821.0 168.0 109682;10652.0 396.0 109683;17345.0 710.0 109652;10285.0 354.0 109656;188007.0 3607.0 109667;15063.0 170.0 109660;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 938;109666 949;109635 1026;109668 978;109670 1000;109628 1048;109674 992;109676 946;109678 992;109679 1005;109648 1049;109681 1026;109682 991;109683 1012;109652 979;109656 1054;109667 1040;109660 946;109661 1017;109663 1012
data,1241682900,7829681.0;279182.0;4804156.0;176458.0;7537161.0;367123.0;7856135.0;406807.0;1.03010360094;1.36603068649;1.45223243939,5476.0 105.0 109648;7863.0 270.0 109666;188007.0 3607.0 109667;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5097.0 127.0 109680;6685.0 318.0 109681;4821.0 168.0 109682;640178.0 28162.0 109635;17345.0 710.0 109652;10285.0 354.0 109656;10652.0 396.0 109683;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1001;109666 987;109667 1012;109668 972;109670 1024;109660 989;109674 971;109676 969;109678 1034;109679 1048;109680 989;109681 991;109682 974;109635 1022;109652 1008;109656 1027;109683 913;109628 1025;109661 1010;109663 1034
data,1241683800,7830678.0;279207.0;4804156.0;176458.0;7538202.0;367161.0;7857122.0;406843.0;1.03014252368;1.36603503131;1.45223338084,5097.0 127.0 109680;7863.0 270.0 109666;188007.0 3607.0 109667;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5476.0 105.0 109648;6685.0 318.0 109681;4821.0 168.0 109682;640178.0 28162.0 109635;17345.0 710.0 109652;10285.0 354.0 109656;10652.0 396.0 109683;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1053;109666 961;109667 987;109668 989;109670 1033;109660 983;109674 1008;109676 1029;109678 1004;109679 971;109648 1021;109681 992;109682 1030;109635 1062;109652 917;109656 1011;109683 966;109628 991;109661 981;109663 1011
data,1241684700,7831680.0;279228.0;4804156.0;176458.0;7539205.0;367197.0;7858142.0;406883.0;1.03019685472;1.36605926221;1.45226423094,5476.0 105.0 109648;7863.0 270.0 109666;640178.0 28162.0 109635;7678.0 251.0 109668;6147.0 372.0 109670;20794.0 534.0 109628;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5097.0 127.0 109680;6685.0 318.0 109681;4821.0 168.0 109682;188007.0 3607.0 109667;17345.0 710.0 109652;10285.0 354.0 109656;10652.0 396.0 109683;15063.0 170.0 109660;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 973;109666 999;109635 949;109668 1008;109670 1003;109628 998;109674 995;109676 1037;109678 1054;109679 1028;109680 959;109681 989;109682 969;109667 982;109652 978;109656 1000;109683 1047;109660 973;109661 1034;109663 1025
data,1241685300,7832630.0;279250.0;4804156.0;176458.0;7540237.0;367235.0;7859119.0;406908.0;1.03024064858;1.36607171462;1.45223464602,5097.0 127.0 109680;7863.0 270.0 109666;188007.0 3607.0 109667;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5476.0 105.0 109648;6685.0 318.0 109681;4821.0 168.0 109682;10652.0 396.0 109683;17345.0 710.0 109652;640178.0 28162.0 109635;10285.0 354.0 109656;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1041;109667 1001;109668 1022;109670 1037;109660 997;109674 1053;109676 979;109678 982;109679 1017;109648 987;109681 1030;109682 988;109683 953;109652 977;109635 1005;109656 1011;109628 958;109661 979;109663 1001
data,1241686200,7833633.0;279271.0;4804156.0;176458.0;7541166.0;367269.0;7860108.0;406938.0;1.03029509541;1.36610208087;1.45223571793,5476.0 105.0 109648;7863.0 270.0 109666;640178.0 28162.0 109635;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5097.0 127.0 109680;6685.0 318.0 109681;4821.0 168.0 109682;188007.0 3607.0 109667;17345.0 710.0 109652;10285.0 354.0 109656;10652.0 396.0 109683;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 979;109666 1014;109635 1009;109668 991;109670 1013;109660 1044;109674 966;109676 964;109678 990;109679 1046;109680 982;109681 945;109682 1051;109667 915;109652 1029;109656 1044;109683 959;109628 1015;109661 980;109663 1064
data,1241687100,7834596.0;279289.0;4804156.0;176458.0;7542241.0;367309.0;7861143.0;406985.0;1.03035534106;1.36613601225;1.45229713949,5097.0 127.0 109680;7863.0 270.0 109666;640178.0 28162.0 109635;7678.0 251.0 109668;6147.0 372.0 109670;15063.0 170.0 109660;7384.0 295.0 109674;4995.0 341.0 109676;3750.0 76.0 109678;6053.0 267.0 109679;5476.0 105.0 109648;6685.0 318.0 109681;4821.0 168.0 109682;10652.0 396.0 109683;17345.0 710.0 109652;10285.0 354.0 109656;188007.0 3607.0 109667;20794.0 534.0 109628;8521.0 310.0 109661;8435.0 341.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1030;109666 1021;109635 1031;109668 974;109670 968;109660 1006;109674 964;109676 1061;109678 1004;109679 968;109648 989;109681 1018;109682 987;109683 1006;109652 975;109656 995;109667 1024;109628 1013;109661 971;109663 995
