
New Run at  02/16/2015 10:33:04
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241248200,220981.0;9106.0;220912.0;11351.0;207440.0;9547.0;223290.0;12744.0;1.24693008886;1.1168676386;1.38504466141,1207.0 20.0 109536;1104.0 35.0 109542;4989.0 222.0 109510;962.0 22.0 109543;810.0 36.0 109544;1122.0 51.0 109417;655.0 17.0 109546;620.0 23.0 109547;591.0 14.0 109548;391.0 7.0 109550;119.0 6.0 109552;2193.0 113.0 109524;2099.0 102.0 109525;723.0 23.0 109545;1753.0 36.0 109529;1790.0 51.0 109530;1303.0 44.0 109531;1516.0 31.0 109533;1498.0 69.0 109534,109536.0 18008;109542.0 18008;109510.0 18008;109543.0 18008;109544.0 18008;109417.0 18008;109546.0 18008;109547.0 18008;109548.0 18008;109550.0 18008;109552.0 18008;109524.0 18008;109525.0 18008;109545.0 18008;109529.0 18008;109530.0 18008;109531.0 18008;109533.0 18008;109534.0 18008,109536 951;109542 942;109510 954;109543 975;109544 1019;109417 902;109546 948;109547 912;109548 968;109550 914;109552 945;109524 957;109525 890;109545 957;109529 954;109530 953;109531 979;109533 974;109534 914
data,1241249100,222033.0;9124.0;221976.0;11375.0;208501.0;9570.0;224331.0;12780.0;1.24703210477;1.11695594978;1.3863529531,1225.0 20.0 109536;1119.0 35.0 109542;5751.0 240.0 109510;974.0 22.0 109543;828.0 36.0 109544;1138.0 51.0 109417;665.0 17.0 109546;641.0 24.0 109547;611.0 16.0 109548;405.0 7.0 109550;136.0 6.0 109552;2204.0 113.0 109524;2118.0 102.0 109525;749.0 23.0 109545;1764.0 36.0 109529;1814.0 51.0 109530;1320.0 44.0 109531;1528.0 32.0 109533;1519.0 71.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1083;109542 1084;109510 1079;109543 1024;109544 1066;109417 1008;109546 1052;109547 1077;109548 1011;109550 1087;109552 1075;109524 1034;109525 1041;109545 1051;109529 1033;109530 1098;109531 1027;109533 980;109534 1090
data,1241249700,223051.0;9144.0;223072.0;11405.0;209493.0;9591.0;225344.0;12800.0;1.24714854913;1.11676638279;1.38558102702,1252.0 20.0 109536;6526.0 263.0 109510;1141.0 36.0 109542;991.0 22.0 109543;853.0 37.0 109544;1151.0 51.0 109417;681.0 17.0 109546;658.0 25.0 109547;622.0 16.0 109548;422.0 7.0 109550;153.0 8.0 109552;2219.0 113.0 109524;2132.0 103.0 109525;767.0 24.0 109545;1786.0 36.0 109529;1826.0 51.0 109530;1339.0 44.0 109531;1546.0 32.0 109533;1540.0 71.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1045;109510 1043;109542 1069;109543 989;109544 1076;109417 1118;109546 1088;109547 1085;109548 1051;109550 1069;109552 1027;109524 1021;109525 993;109545 1018;109529 1023;109530 1029;109531 1103;109533 1086;109534 1067
data,1241250900,224118.0;9165.0;224088.0;11422.0;210516.0;9618.0;226477.0;12824.0;1.24642980157;1.11723345573;1.38466168407,1269.0 20.0 109536;7260.0 275.0 109510;1152.0 37.0 109542;1008.0 22.0 109543;869.0 37.0 109544;783.0 24.0 109545;693.0 17.0 109546;672.0 25.0 109547;640.0 17.0 109548;437.0 7.0 109550;172.0 9.0 109552;2230.0 113.0 109524;2154.0 104.0 109525;1169.0 51.0 109417;1801.0 36.0 109529;1844.0 52.0 109530;1358.0 44.0 109531;1558.0 32.0 109533;1552.0 71.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1095;109510 1020;109542 1027;109543 1046;109544 1019;109545 1048;109546 1090;109547 1012;109548 1054;109550 1034;109552 1038;109524 1086;109525 1119;109417 1082;109529 1052;109530 1036;109531 1039;109533 1072;109534 1031
data,1241251800,225171.0;9179.0;225207.0;11455.0;211568.0;9635.0;227489.0;12848.0;1.24775780419;1.11716886885;1.38545432584,1291.0 20.0 109536;8059.0 299.0 109510;1172.0 39.0 109542;1025.0 22.0 109543;885.0 37.0 109544;1186.0 51.0 109417;709.0 19.0 109546;695.0 25.0 109547;653.0 18.0 109548;455.0 7.0 109550;189.0 10.0 109552;2253.0 115.0 109524;2168.0 104.0 109525;806.0 25.0 109545;1820.0 36.0 109529;1857.0 52.0 109530;1374.0 44.0 109531;1574.0 32.0 109533;1569.0 71.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1003;109510 1089;109542 1044;109543 1095;109544 1018;109417 991;109546 1053;109547 1047;109548 1056;109550 1020;109552 1055;109524 1060;109525 1022;109545 1121;109529 1073;109530 1078;109531 1079;109533 1045;109534 1051
data,1241252700,226272.0;9205.0;226260.0;11474.0;212602.0;9666.0;228528.0;12883.0;1.24656257891;1.11760019222;1.38574911743,1312.0 21.0 109536;8791.0 312.0 109510;1183.0 39.0 109542;1045.0 22.0 109543;903.0 37.0 109544;827.0 25.0 109545;728.0 19.0 109546;715.0 27.0 109547;666.0 18.0 109548;473.0 7.0 109550;209.0 10.0 109552;2273.0 115.0 109524;2185.0 105.0 109525;1204.0 52.0 109417;1841.0 37.0 109529;1873.0 52.0 109530;1387.0 44.0 109531;1587.0 32.0 109533;1591.0 71.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1016;109542 1027;109543 1048;109544 1074;109545 1089;109546 1061;109547 1031;109548 1004;109550 1052;109552 1004;109524 1116;109525 1070;109417 1050;109529 1073;109530 1066;109531 1059;109533 1056;109534 1070
data,1241253600,227280.0;9225.0;227340.0;11505.0;213635.0;9689.0;229577.0;12917.0;1.24682532019;1.11738129448;1.38620713223,1331.0 21.0 109536;1199.0 39.0 109542;9577.0 337.0 109510;1061.0 22.0 109543;924.0 38.0 109544;1226.0 53.0 109417;738.0 19.0 109546;726.0 28.0 109547;685.0 18.0 109548;490.0 7.0 109550;219.0 11.0 109552;2289.0 115.0 109524;2204.0 105.0 109525;837.0 25.0 109545;1853.0 37.0 109529;1893.0 53.0 109530;1405.0 44.0 109531;1609.0 33.0 109533;1607.0 71.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1076;109542 1071;109510 1070;109543 1106;109544 1054;109417 1009;109546 1092;109547 1110;109548 1034;109550 1036;109552 988;109524 1027;109525 1056;109545 1014;109529 1051;109530 1042;109531 1057;109533 1029;109534 1078
data,1241254800,228312.0;9244.0;228453.0;11534.0;214697.0;9711.0;230609.0;12940.0;1.24695816479;1.11713788416;1.3858838231,1347.0 22.0 109536;1218.0 40.0 109542;10375.0 358.0 109510;1073.0 22.0 109543;938.0 38.0 109544;852.0 25.0 109545;754.0 20.0 109546;741.0 28.0 109547;705.0 18.0 109548;516.0 7.0 109550;235.0 12.0 109552;2317.0 115.0 109524;2229.0 107.0 109525;1232.0 53.0 109417;1870.0 38.0 109529;1914.0 53.0 109530;1416.0 44.0 109531;1623.0 33.0 109533;1631.0 72.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1055;109542 1071;109510 1104;109543 1048;109544 1010;109545 1039;109546 1026;109547 1058;109548 1031;109550 1049;109552 1093;109524 1070;109525 1081;109417 1097;109529 1013;109530 1013;109531 1014;109533 1093;109534 1035
data,1241255700,229312.0;9267.0;229554.0;11566.0;215770.0;9732.0;231669.0;12966.0;1.2467688478;1.11608856312;1.38492326953,1365.0 22.0 109536;11190.0 387.0 109510;1235.0 40.0 109542;1078.0 22.0 109543;953.0 38.0 109544;867.0 25.0 109545;773.0 20.0 109546;756.0 28.0 109547;720.0 19.0 109548;531.0 7.0 109550;259.0 12.0 109552;2335.0 115.0 109524;2244.0 108.0 109525;1254.0 53.0 109417;1881.0 38.0 109529;1927.0 53.0 109530;1431.0 44.0 109531;1640.0 33.0 109533;1648.0 73.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1070;109510 1074;109542 1094;109543 1001;109544 1103;109545 1100;109546 1042;109547 1072;109548 1019;109550 1072;109552 1074;109524 1084;109525 1067;109417 1057;109529 999;109530 1034;109531 1003;109533 1032;109534 1003
data,1241256900,230364.0;9283.0;230609.0;11595.0;216875.0;9758.0;232780.0;12992.0;1.24773041278;1.11654847344;1.38502179794,1378.0 23.0 109536;11949.0 406.0 109510;1250.0 42.0 109542;1099.0 22.0 109543;966.0 39.0 109544;890.0 25.0 109545;787.0 20.0 109546;771.0 28.0 109547;739.0 20.0 109548;553.0 7.0 109550;272.0 14.0 109552;2349.0 116.0 109524;2264.0 108.0 109525;1270.0 53.0 109417;1897.0 38.0 109529;1942.0 55.0 109530;1447.0 44.0 109531;1658.0 33.0 109533;1661.0 73.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1031;109510 1041;109542 1059;109543 1103;109544 1042;109545 1028;109546 1009;109547 1052;109548 1064;109550 1080;109552 1016;109524 1050;109525 1096;109417 1072;109529 1067;109530 1067;109531 1011;109533 1070;109534 1042
data,1241257800,231424.0;9305.0;231664.0;11629.0;217956.0;9778.0;233821.0;13012.0;1.24846346609;1.11576625422;1.38405248483,1388.0 23.0 109536;12705.0 435.0 109510;1276.0 42.0 109542;1118.0 22.0 109543;983.0 39.0 109544;1281.0 53.0 109417;801.0 20.0 109546;791.0 29.0 109547;756.0 21.0 109548;573.0 7.0 109550;291.0 14.0 109552;2362.0 116.0 109524;2278.0 109.0 109525;909.0 25.0 109545;1908.0 39.0 109529;1962.0 55.0 109530;1469.0 44.0 109531;1672.0 34.0 109533;1674.0 73.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1044;109510 1045;109542 1068;109543 1085;109544 1009;109417 1069;109546 1042;109547 1049;109548 1007;109550 1149;109552 1015;109524 1037;109525 1065;109545 1066;109529 1029;109530 1105;109531 985;109533 1082;109534 1049
data,1241259000,232417.0;9328.0;232688.0;11653.0;218942.0;9801.0;234868.0;13044.0;1.2477946331;1.11537437308;1.3837775938,1406.0 23.0 109536;1290.0 43.0 109542;13438.0 451.0 109510;1131.0 22.0 109543;1000.0 41.0 109544;926.0 26.0 109545;819.0 20.0 109546;804.0 30.0 109547;777.0 21.0 109548;583.0 7.0 109550;306.0 15.0 109552;2378.0 116.0 109524;2292.0 109.0 109525;1304.0 53.0 109417;1927.0 40.0 109529;1978.0 56.0 109530;1486.0 44.0 109531;1686.0 34.0 109533;1690.0 73.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1076;109542 1095;109510 1027;109543 1035;109544 1045;109545 1062;109546 1039;109547 1092;109548 1086;109550 1041;109552 932;109524 1120;109525 1075;109417 1084;109529 1042;109530 1044;109531 1092;109533 1043;109534 970
data,1241259900,233487.0;9348.0;233699.0;11669.0;219986.0;9819.0;235980.0;13086.0;1.24715601937;1.11484943574;1.38508274999,1422.0 23.0 109536;14149.0 463.0 109510;1309.0 43.0 109542;1147.0 22.0 109543;1017.0 41.0 109544;1320.0 53.0 109417;836.0 20.0 109546;820.0 30.0 109547;789.0 21.0 109548;595.0 7.0 109550;319.0 15.0 109552;2391.0 116.0 109524;2312.0 110.0 109525;952.0 26.0 109545;1947.0 41.0 109529;1994.0 57.0 109530;1500.0 44.0 109531;1701.0 34.0 109533;1712.0 74.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1060;109510 996;109542 1072;109543 1048;109544 1004;109417 1069;109546 1026;109547 1057;109548 1078;109550 990;109552 1115;109524 1049;109525 1067;109545 1106;109529 1053;109530 992;109531 1054;109533 1042;109534 1122
