
New Run at  02/27/2015 02:23:30
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,586978.0;20400.0;590545.0;24712.0;558892.0;22022.0;590767.0;27949.0;1.20405563688;1.13375841072;1.36126194156,6583.0 89.0 109536;2202.0 83.0 109572;1714.0 61.0 109574;1695.0 81.0 109575;1612.0 69.0 109576;1434.0 49.0 109577;1454.0 43.0 109578;1290.0 35.0 109580;1744.0 48.0 109517;1186.0 59.0 109582;1302.0 41.0 109581;531.0 24.0 109584;920.0 26.0 109585;898.0 12.0 109586;302.0 8.0 109587;80.0 3.0 109588;89.0 4.0 109589;4353.0 147.0 109476;921.0 16.0 109583;202767.0 7354.0 109524,109536.0 11950;109476.0 11950;109574.0 11950;109575.0 11950;109576.0 11950;109580.0 11950;109578.0 11950;109581.0 11950;109517.0 11950;109582.0 11950;109583.0 11950;109584.0 11950;109585.0 11950;109586.0 11950;109587.0 11950;109588.0 11950;109589.0 11950;109577.0 11950;109524.0 11950;109572.0 11950,109536 597;109572 617;109574 633;109575 587;109576 626;109577 611;109578 627;109580 563;109517 587;109582 595;109581 616;109584 576;109585 598;109586 601;109587 571;109588 544;109589 597;109476 617;109583 584;109524 603
data,1241421300,587972.0;20413.0;591498.0;24732.0;559893.0;22033.0;591739.0;27971.0;1.20435845713;1.13349186082;1.36153123544,6597.0 89.0 109536;4367.0 147.0 109476;1734.0 61.0 109574;1712.0 82.0 109575;1626.0 69.0 109576;1445.0 49.0 109577;1469.0 43.0 109578;1307.0 35.0 109580;1315.0 41.0 109581;1196.0 59.0 109582;938.0 17.0 109583;547.0 24.0 109584;930.0 26.0 109585;900.0 12.0 109586;313.0 8.0 109587;93.0 3.0 109588;104.0 5.0 109589;203463.0 7371.0 109524;1758.0 48.0 109517;2216.0 83.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 963;109476 1080;109574 1002;109575 1045;109576 994;109577 1002;109578 986;109580 1036;109581 1048;109582 979;109583 980;109584 1045;109585 976;109586 954;109587 970;109588 974;109589 989;109524 984;109517 1024;109572 969
data,1241421900,588981.0;20425.0;592477.0;24742.0;560943.0;22044.0;592714.0;27989.0;1.20421082463;1.13321128139;1.36169993434,6610.0 89.0 109536;2228.0 83.0 109572;1747.0 61.0 109574;1721.0 83.0 109575;1637.0 69.0 109576;1461.0 49.0 109577;1487.0 43.0 109578;1322.0 35.0 109580;1330.0 41.0 109581;1203.0 59.0 109582;1776.0 48.0 109517;567.0 24.0 109584;941.0 26.0 109585;913.0 12.0 109586;327.0 8.0 109587;204181.0 7379.0 109524;118.0 5.0 109589;112.0 3.0 109588;948.0 17.0 109583;4380.0 148.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1013;109572 1039;109574 984;109575 912;109576 1032;109577 947;109578 1065;109580 1018;109581 1027;109582 1014;109517 1047;109584 1018;109585 969;109586 999;109587 935;109524 1013;109589 1015;109588 1032;109583 1003;109476 918
data,1241422800,589914.0;20445.0;593451.0;24776.0;562000.0;22062.0;593722.0;27999.0;1.2046140231;1.13268761759;1.36069555792,6629.0 89.0 109536;2241.0 84.0 109572;1767.0 61.0 109574;1739.0 85.0 109575;1654.0 69.0 109576;1477.0 49.0 109577;1506.0 44.0 109578;1338.0 36.0 109580;1790.0 48.0 109517;1213.0 59.0 109582;956.0 18.0 109583;581.0 24.0 109584;949.0 26.0 109585;927.0 12.0 109586;339.0 8.0 109587;134.0 4.0 109588;132.0 5.0 109589;204876.0 7406.0 109524;4390.0 148.0 109476;1345.0 41.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1009;109572 981;109574 1056;109575 1047;109576 932;109577 1025;109578 1007;109580 958;109517 1003;109582 995;109583 936;109584 1029;109585 1010;109586 999;109587 1010;109588 1035;109589 997;109524 981;109476 1004;109581 986
data,1241423400,590920.0;20467.0;594498.0;24798.0;563000.0;22080.0;594709.0;28011.0;1.204316835;1.13230955936;1.35987378643,6641.0 89.0 109536;2252.0 84.0 109572;1785.0 62.0 109574;1754.0 85.0 109575;1673.0 69.0 109576;1489.0 50.0 109577;1523.0 44.0 109578;1352.0 36.0 109580;1359.0 41.0 109581;1236.0 61.0 109582;964.0 18.0 109583;602.0 25.0 109584;970.0 27.0 109585;943.0 12.0 109586;356.0 8.0 109587;149.0 4.0 109588;150.0 5.0 109589;205621.0 7421.0 109524;4403.0 149.0 109476;1808.0 48.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 992;109572 1004;109574 1008;109575 982;109576 975;109577 1028;109578 1001;109580 1006;109581 1027;109582 1021;109583 1032;109584 977;109585 1019;109586 962;109587 946;109588 1028;109589 966;109524 1016;109476 984;109517 1026
data,1241424300,591957.0;20474.0;595535.0;24818.0;564007.0;22091.0;595736.0;28024.0;1.2048887557;1.13244819297;1.36007776546,6656.0 89.0 109536;2272.0 84.0 109572;1797.0 62.0 109574;1771.0 85.0 109575;1686.0 69.0 109576;1507.0 51.0 109577;1533.0 44.0 109578;1370.0 37.0 109580;1374.0 41.0 109581;1255.0 62.0 109582;973.0 18.0 109583;623.0 25.0 109584;987.0 28.0 109585;962.0 12.0 109586;372.0 8.0 109587;206348.0 7436.0 109524;170.0 5.0 109589;163.0 4.0 109588;4422.0 150.0 109476;1826.0 48.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 1048;109574 992;109575 968;109576 953;109577 1061;109578 929;109580 943;109581 1016;109582 1033;109583 977;109584 1012;109585 981;109586 1044;109587 976;109524 1034;109589 1021;109588 954;109476 991;109517 1062
data,1241425200,592974.0;20496.0;596539.0;24839.0;565009.0;22103.0;596753.0;28038.0;1.20465255087;1.13178099497;1.35931140074,6667.0 89.0 109536;2285.0 84.0 109572;1813.0 63.0 109574;1786.0 86.0 109575;1702.0 70.0 109576;1521.0 52.0 109577;1542.0 44.0 109578;1384.0 37.0 109580;1841.0 48.0 109517;1274.0 63.0 109582;990.0 20.0 109583;640.0 26.0 109584;1000.0 28.0 109585;974.0 12.0 109586;388.0 8.0 109587;207071.0 7449.0 109524;181.0 5.0 109589;182.0 4.0 109588;4436.0 150.0 109476;1394.0 41.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1003;109572 1019;109574 1004;109575 1029;109576 1002;109577 997;109578 964;109580 967;109517 1014;109582 1017;109583 1024;109584 1061;109585 969;109586 1007;109587 974;109524 1002;109589 1034;109588 973;109476 978;109581 962
data,1241425800,594023.0;20511.0;597502.0;24855.0;566017.0;22122.0;597697.0;28062.0;1.20473306553;1.1319085462;1.35973404156,6690.0 89.0 109536;4453.0 150.0 109476;1821.0 63.0 109574;1797.0 86.0 109575;1715.0 70.0 109576;1533.0 52.0 109577;1555.0 44.0 109578;1399.0 38.0 109580;1861.0 48.0 109517;1288.0 63.0 109582;1001.0 20.0 109583;662.0 27.0 109584;1010.0 28.0 109585;984.0 12.0 109586;406.0 8.0 109587;194.0 4.0 109588;193.0 5.0 109589;2303.0 84.0 109572;207758.0 7463.0 109524;1411.0 41.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1037;109476 1024;109574 976;109575 992;109576 1021;109577 1021;109578 1014;109580 1042;109517 985;109582 951;109583 937;109584 1008;109585 1006;109586 1070;109587 1014;109588 961;109589 964;109572 992;109524 991;109581 994
data,1241426700,595090.0;20533.0;598501.0;24878.0;567030.0;22137.0;598760.0;28085.0;1.20470532032;1.13146981754;1.35941448672,6702.0 89.0 109536;2315.0 86.0 109572;1839.0 63.0 109574;1810.0 86.0 109575;1726.0 72.0 109576;1538.0 52.0 109577;1565.0 44.0 109578;1418.0 38.0 109580;1873.0 48.0 109517;1304.0 63.0 109582;1013.0 20.0 109583;677.0 28.0 109584;1021.0 28.0 109585;998.0 12.0 109586;426.0 8.0 109587;208504.0 7480.0 109524;209.0 5.0 109589;204.0 4.0 109588;4462.0 150.0 109476;1429.0 42.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 985;109574 964;109575 957;109576 990;109577 1024;109578 961;109580 969;109517 992;109582 1053;109583 1043;109584 1044;109585 994;109586 1002;109587 1000;109524 1012;109589 999;109588 1008;109476 1020;109581 979
data,1241427600,596077.0;20545.0;599497.0;24897.0;568058.0;22154.0;599759.0;28094.0;1.20491448186;1.13150294851;1.35904245364,6714.0 89.0 109536;2327.0 86.0 109572;1855.0 63.0 109574;1822.0 86.0 109575;1453.0 42.0 109581;1550.0 52.0 109577;1576.0 44.0 109578;1437.0 38.0 109580;1883.0 48.0 109517;1323.0 63.0 109582;1022.0 20.0 109583;688.0 28.0 109584;1038.0 28.0 109585;1015.0 12.0 109586;441.0 8.0 109587;217.0 4.0 109588;223.0 5.0 109589;1736.0 72.0 109576;209233.0 7499.0 109524;4476.0 150.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1049;109572 1017;109574 1002;109575 994;109581 963;109577 1012;109578 991;109580 1053;109517 1012;109582 944;109583 994;109584 993;109585 985;109586 972;109587 996;109588 968;109589 1039;109576 1002;109524 1016;109476 998
