
New Run at  02/23/2015 05:07:41
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,843160.0;30309.0;847119.0;33471.0;802072.0;34612.0;850970.0;42289.0;1.09916439679;1.20047114859;1.38245674978,1909.0 57.0 109601;1467.0 75.0 109603;59800.0 1780.0 109476;1563.0 111.0 109605;1487.0 55.0 109608;1058.0 40.0 109610;679.0 30.0 109611;604.0 48.0 109612;5629.0 191.0 109517;743.0 39.0 109614;1020.0 20.0 109613;801.0 36.0 109617;531.0 17.0 109618;213.0 5.0 109619;2769.0 143.0 109594;921.0 45.0 109615;2493.0 108.0 109596;2143.0 100.0 109598;2118.0 81.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,844202.0;30333.0;848170.0;33485.0;803161.0;34650.0;852030.0;42338.0;1.09874878437;1.20069206013;1.38294995214,1922.0 57.0 109601;1489.0 77.0 109603;60557.0 1787.0 109476;1575.0 111.0 109605;1508.0 55.0 109608;1068.0 40.0 109610;695.0 31.0 109611;623.0 50.0 109612;5644.0 191.0 109517;758.0 39.0 109614;1037.0 20.0 109613;814.0 36.0 109617;540.0 17.0 109618;232.0 5.0 109619;2784.0 143.0 109594;945.0 45.0 109615;2510.0 108.0 109596;2161.0 101.0 109598;2137.0 82.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,845241.0;30358.0;849237.0;33512.0;804238.0;34676.0;853129.0;42373.0;1.09869927619;1.20047135958;1.38287175599,1938.0 57.0 109601;1517.0 77.0 109603;61314.0 1806.0 109476;1591.0 111.0 109605;1518.0 55.0 109608;1083.0 40.0 109610;712.0 33.0 109611;641.0 50.0 109612;5664.0 191.0 109517;772.0 41.0 109614;958.0 46.0 109615;1050.0 20.0 109613;829.0 36.0 109617;554.0 17.0 109618;253.0 6.0 109619;2808.0 145.0 109594;2527.0 108.0 109596;2176.0 101.0 109598;2161.0 82.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,846367.0;30381.0;850354.0;33535.0;805310.0;34712.0;854234.0;42405.0;1.09863949859;1.20080697591;1.38291940783,1953.0 57.0 109601;1526.0 77.0 109603;62121.0 1821.0 109476;1603.0 111.0 109605;1534.0 55.0 109608;1104.0 40.0 109610;728.0 35.0 109611;658.0 51.0 109612;1074.0 20.0 109613;792.0 42.0 109614;974.0 46.0 109615;844.0 37.0 109617;565.0 17.0 109618;271.0 6.0 109619;2827.0 146.0 109594;2540.0 108.0 109596;5686.0 191.0 109517;2195.0 101.0 109598;2188.0 84.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,847419.0;30405.0;851379.0;33555.0;806316.0;34725.0;855255.0;42429.0;1.09846822506;1.20030099476;1.38267580587,1966.0 57.0 109601;1542.0 78.0 109603;62860.0 1836.0 109476;1615.0 111.0 109605;1553.0 57.0 109608;1116.0 40.0 109610;741.0 35.0 109611;675.0 51.0 109612;1090.0 20.0 109613;811.0 43.0 109614;990.0 46.0 109615;862.0 37.0 109617;580.0 18.0 109618;286.0 6.0 109619;2850.0 146.0 109594;2556.0 108.0 109596;5704.0 191.0 109517;2204.0 101.0 109598;2207.0 84.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,848413.0;30427.0;852436.0;33576.0;807355.0;34755.0;856329.0;42448.0;1.09828576239;1.20033075448;1.38218049734,1983.0 57.0 109601;1558.0 79.0 109603;63618.0 1848.0 109476;1632.0 112.0 109605;1572.0 58.0 109608;1132.0 40.0 109610;757.0 36.0 109611;692.0 52.0 109612;1110.0 20.0 109613;832.0 44.0 109614;1009.0 47.0 109615;877.0 37.0 109617;595.0 18.0 109618;299.0 6.0 109619;2868.0 146.0 109594;2568.0 108.0 109596;5718.0 191.0 109517;2222.0 103.0 109598;2223.0 84.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,849493.0;30457.0;853487.0;33592.0;808371.0;34790.0;857395.0;42482.0;1.09777069316;1.20037346085;1.3819638709,1994.0 57.0 109601;1570.0 79.0 109603;64386.0 1856.0 109476;1651.0 113.0 109605;1587.0 60.0 109608;1150.0 41.0 109610;770.0 36.0 109611;707.0 52.0 109612;1128.0 20.0 109613;845.0 44.0 109614;5735.0 192.0 109517;891.0 37.0 109617;609.0 18.0 109618;311.0 6.0 109619;2883.0 146.0 109594;1037.0 48.0 109615;2583.0 108.0 109596;2240.0 103.0 109598;2239.0 86.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
data,1241512500,850580.0;30480.0;854521.0;33614.0;809351.0;34811.0;858392.0;42511.0;1.09773537508;1.20027233366;1.38202488718,2010.0 59.0 109601;1588.0 79.0 109603;65145.0 1868.0 109476;1140.0 20.0 109613;1600.0 61.0 109608;1162.0 41.0 109610;781.0 36.0 109611;725.0 53.0 109612;5747.0 192.0 109517;860.0 44.0 109614;1058.0 48.0 109615;903.0 39.0 109617;628.0 19.0 109618;329.0 6.0 109619;2905.0 147.0 109594;2599.0 109.0 109596;1663.0 113.0 109605;2255.0 103.0 109598;2252.0 87.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1017;109603 1089;109476 1080;109613 1053;109608 1015;109610 1047;109611 1055;109612 1052;109517 1093;109614 1049;109615 1101;109617 1003;109618 1081;109619 1034;109594 1067;109596 1054;109605 1000;109598 1032;109599 1078
data,1241513400,851676.0;30499.0;855577.0;33629.0;810392.0;34842.0;859400.0;42534.0;1.09759889522;1.20059558083;1.38206887512,2029.0 59.0 109601;1603.0 79.0 109603;65891.0 1879.0 109476;1679.0 113.0 109605;1616.0 61.0 109608;5764.0 192.0 109517;804.0 36.0 109611;743.0 53.0 109612;1154.0 20.0 109613;882.0 47.0 109614;1076.0 48.0 109615;920.0 39.0 109617;651.0 19.0 109618;338.0 6.0 109619;2921.0 148.0 109594;2618.0 109.0 109596;1178.0 41.0 109610;2268.0 103.0 109598;2271.0 87.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1070;109603 1042;109476 1005;109605 968;109608 1092;109517 1080;109611 1067;109612 1083;109613 1025;109614 1034;109615 1092;109617 1017;109618 1075;109619 1049;109594 1068;109596 1046;109610 1036;109598 1077;109599 1074
data,1241514300,852758.0;30525.0;856592.0;33646.0;811459.0;34883.0;860439.0;42565.0;1.09731055395;1.20092912163;1.38198293592,2044.0 60.0 109601;1620.0 79.0 109603;66611.0 1889.0 109476;1688.0 113.0 109605;1635.0 61.0 109608;1191.0 41.0 109610;815.0 36.0 109611;763.0 54.0 109612;5779.0 192.0 109517;902.0 48.0 109614;1169.0 20.0 109613;934.0 39.0 109617;667.0 19.0 109618;358.0 7.0 109619;2945.0 150.0 109594;1089.0 48.0 109615;2639.0 109.0 109596;2288.0 104.0 109598;2284.0 87.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1040;109603 1056;109476 1024;109605 985;109608 1061;109610 1065;109611 1087;109612 1100;109517 988;109614 1046;109613 1066;109617 1133;109618 1015;109619 1005;109594 1047;109615 1057;109596 1094;109598 1045;109599 1086
data,1241515200,853805.0;30547.0;857586.0;33664.0;812523.0;34919.0;861499.0;42606.0;1.09718071231;1.20120259989;1.38231211466,2061.0 61.0 109601;1637.0 79.0 109603;67339.0 1898.0 109476;1704.0 114.0 109605;1652.0 62.0 109608;5790.0 192.0 109517;828.0 36.0 109611;782.0 55.0 109612;1181.0 20.0 109613;913.0 48.0 109614;1103.0 48.0 109615;946.0 40.0 109617;680.0 20.0 109618;369.0 7.0 109619;2958.0 151.0 109594;2651.0 109.0 109596;1214.0 41.0 109610;2303.0 106.0 109598;2304.0 87.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1013;109603 1066;109476 1047;109605 1047;109608 1054;109517 1067;109611 1041;109612 1049;109613 1008;109614 1001;109615 1152;109617 1071;109618 1020;109619 1049;109594 1066;109596 1057;109610 1065;109598 1027;109599 1100
