
New Run at  02/23/2015 22:03:52
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241248200,221563.0;8900.0;221332.0;11512.0;207516.0;9519.0;222343.0;12572.0;1.29483312983;1.1419496864;1.40762879218,1280.0 12.0 109536;1066.0 38.0 109542;36068.0 1611.0 109510;903.0 14.0 109543;822.0 36.0 109544;1120.0 56.0 109417;670.0 30.0 109546;644.0 35.0 109547;574.0 15.0 109548;373.0 16.0 109550;71.0 2.0 109552;2196.0 98.0 109524;2117.0 103.0 109525;750.0 15.0 109545;1788.0 57.0 109529;1754.0 53.0 109530;1361.0 48.0 109531;1464.0 38.0 109533;1471.0 65.0 109534,109536.0 18008;109542.0 18008;109510.0 18008;109543.0 18008;109544.0 18008;109417.0 18008;109546.0 18008;109547.0 18008;109548.0 18008;109550.0 18008;109552.0 18008;109524.0 18008;109525.0 18008;109545.0 18008;109529.0 18008;109530.0 18008;109531.0 18008;109533.0 18008;109534.0 18008,109536 951;109542 942;109510 954;109543 975;109544 1019;109417 902;109546 948;109547 912;109548 968;109550 914;109552 945;109524 957;109525 890;109545 957;109529 954;109530 953;109531 979;109533 974;109534 914
data,1241249100,222569.0;8918.0;222397.0;11549.0;208582.0;9548.0;223419.0;12607.0;1.29602286399;1.14243839244;1.40827949453,1291.0 12.0 109536;1083.0 38.0 109542;36846.0 1642.0 109510;915.0 15.0 109543;833.0 36.0 109544;1133.0 56.0 109417;685.0 30.0 109546;660.0 37.0 109547;591.0 15.0 109548;394.0 16.0 109550;88.0 3.0 109552;2216.0 98.0 109524;2135.0 104.0 109525;765.0 15.0 109545;1808.0 58.0 109529;1767.0 53.0 109530;1377.0 48.0 109531;1477.0 38.0 109533;1493.0 65.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1083;109542 1084;109510 1079;109543 1024;109544 1066;109417 1008;109546 1052;109547 1077;109548 1011;109550 1087;109552 1075;109524 1034;109525 1041;109545 1051;109529 1033;109530 1098;109531 1027;109533 980;109534 1090
data,1241249700,223643.0;8938.0;223402.0;11579.0;209603.0;9572.0;224467.0;12634.0;1.2968775017;1.14266823513;1.40832642864,1308.0 12.0 109536;37566.0 1664.0 109510;1099.0 39.0 109542;928.0 16.0 109543;844.0 36.0 109544;1151.0 56.0 109417;706.0 32.0 109546;669.0 38.0 109547;606.0 16.0 109548;414.0 16.0 109550;109.0 3.0 109552;2231.0 98.0 109524;2145.0 104.0 109525;781.0 16.0 109545;1825.0 58.0 109529;1780.0 53.0 109530;1387.0 48.0 109531;1498.0 39.0 109533;1515.0 65.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1045;109510 1043;109542 1069;109543 989;109544 1076;109417 1118;109546 1088;109547 1085;109548 1051;109550 1069;109552 1027;109524 1021;109525 993;109545 1018;109529 1023;109530 1029;109531 1103;109533 1086;109534 1067
data,1241250900,224747.0;8967.0;224442.0;11603.0;210679.0;9591.0;225524.0;12659.0;1.29572517172;1.14100980457;1.4068680524,1323.0 12.0 109536;38312.0 1683.0 109510;1120.0 39.0 109542;941.0 16.0 109543;861.0 36.0 109544;793.0 16.0 109545;723.0 32.0 109546;682.0 39.0 109547;624.0 17.0 109548;435.0 16.0 109550;125.0 4.0 109552;2244.0 99.0 109524;2162.0 104.0 109525;1172.0 56.0 109417;1845.0 59.0 109529;1797.0 53.0 109530;1401.0 48.0 109531;1520.0 39.0 109533;1522.0 65.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1095;109510 1020;109542 1027;109543 1046;109544 1019;109545 1048;109546 1090;109547 1012;109548 1054;109550 1034;109552 1038;109524 1086;109525 1119;109417 1082;109529 1052;109530 1036;109531 1039;109533 1072;109534 1031
data,1241251800,225763.0;8982.0;225510.0;11632.0;211632.0;9608.0;226525.0;12683.0;1.29648741459;1.14112015181;1.40729637868,1342.0 12.0 109536;39072.0 1706.0 109510;1139.0 40.0 109542;957.0 17.0 109543;886.0 36.0 109544;1183.0 57.0 109417;740.0 32.0 109546;704.0 40.0 109547;642.0 17.0 109548;459.0 16.0 109550;143.0 4.0 109552;2250.0 99.0 109524;2181.0 104.0 109525;813.0 17.0 109545;1858.0 59.0 109529;1814.0 53.0 109530;1411.0 48.0 109531;1540.0 40.0 109533;1536.0 65.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1003;109510 1089;109542 1044;109543 1095;109544 1018;109417 991;109546 1053;109547 1047;109548 1056;109550 1020;109552 1055;109524 1060;109525 1022;109545 1121;109529 1073;109530 1078;109531 1079;109533 1045;109534 1051
data,1241252700,226723.0;9003.0;226559.0;11652.0;212698.0;9627.0;227591.0;12715.0;1.2951721172;1.13981900751;1.40692066888,1365.0 12.0 109536;39798.0 1719.0 109510;1160.0 40.0 109542;972.0 17.0 109543;903.0 36.0 109544;832.0 17.0 109545;756.0 32.0 109546;724.0 41.0 109547;671.0 17.0 109548;472.0 17.0 109550;157.0 4.0 109552;2264.0 100.0 109524;2196.0 105.0 109525;1198.0 58.0 109417;1888.0 60.0 109529;1826.0 53.0 109530;1427.0 48.0 109531;1553.0 40.0 109533;1557.0 66.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1016;109542 1027;109543 1048;109544 1074;109545 1089;109546 1061;109547 1031;109548 1004;109550 1052;109552 1004;109524 1116;109525 1070;109417 1050;109529 1073;109530 1066;109531 1059;109533 1056;109534 1070
data,1241253600,227743.0;9018.0;227598.0;11688.0;213769.0;9651.0;228617.0;12738.0;1.29690023141;1.14015106226;1.40710831465,1385.0 12.0 109536;1180.0 41.0 109542;40546.0 1749.0 109510;995.0 17.0 109543;918.0 37.0 109544;1218.0 59.0 109417;764.0 32.0 109546;732.0 41.0 109547;688.0 17.0 109548;490.0 18.0 109550;172.0 4.0 109552;2278.0 100.0 109524;2205.0 105.0 109525;851.0 17.0 109545;1901.0 61.0 109529;1841.0 54.0 109530;1443.0 48.0 109531;1573.0 40.0 109533;1578.0 66.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1076;109542 1071;109510 1070;109543 1106;109544 1054;109417 1009;109546 1092;109547 1110;109548 1034;109550 1036;109552 988;109524 1027;109525 1056;109545 1014;109529 1051;109530 1042;109531 1057;109533 1029;109534 1078
data,1241254800,228809.0;9040.0;228706.0;11716.0;214819.0;9666.0;229690.0;12773.0;1.29660137345;1.13888211488;1.40752298933,1398.0 12.0 109536;1202.0 41.0 109542;41322.0 1771.0 109510;1017.0 17.0 109543;937.0 37.0 109544;872.0 17.0 109545;776.0 32.0 109546;750.0 42.0 109547;709.0 17.0 109548;511.0 19.0 109550;189.0 4.0 109552;2297.0 100.0 109524;2223.0 106.0 109525;1238.0 60.0 109417;1917.0 61.0 109529;1859.0 54.0 109530;1462.0 48.0 109531;1591.0 42.0 109533;1596.0 66.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1055;109542 1071;109510 1104;109543 1048;109544 1010;109545 1039;109546 1026;109547 1058;109548 1031;109550 1049;109552 1093;109524 1070;109525 1081;109417 1097;109529 1013;109530 1013;109531 1014;109533 1093;109534 1035
data,1241255700,229845.0;9053.0;229755.0;11748.0;215849.0;9686.0;230733.0;12794.0;1.29819970679;1.1392970268;1.40779420717,1419.0 12.0 109536;42079.0 1793.0 109510;1212.0 42.0 109542;1031.0 17.0 109543;947.0 38.0 109544;890.0 17.0 109545;791.0 32.0 109546;765.0 43.0 109547;723.0 18.0 109548;526.0 19.0 109550;216.0 5.0 109552;2310.0 101.0 109524;2249.0 106.0 109525;1252.0 61.0 109417;1934.0 63.0 109529;1879.0 55.0 109530;1482.0 48.0 109531;1599.0 42.0 109533;1611.0 66.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1070;109510 1074;109542 1094;109543 1001;109544 1103;109545 1100;109546 1042;109547 1072;109548 1019;109550 1072;109552 1074;109524 1084;109525 1067;109417 1057;109529 999;109530 1034;109531 1003;109533 1032;109534 1003
data,1241256900,230869.0;9068.0;230803.0;11776.0;216925.0;9711.0;231804.0;12826.0;1.29900390861;1.13974700163;1.40871915546,1434.0 12.0 109536;42820.0 1812.0 109510;1233.0 42.0 109542;1051.0 19.0 109543;960.0 39.0 109544;906.0 17.0 109545;806.0 32.0 109546;781.0 44.0 109547;741.0 18.0 109548;540.0 21.0 109550;230.0 5.0 109552;2326.0 103.0 109524;2264.0 106.0 109525;1270.0 61.0 109417;1950.0 63.0 109529;1902.0 55.0 109530;1499.0 49.0 109531;1622.0 42.0 109533;1628.0 66.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1031;109510 1041;109542 1059;109543 1103;109544 1042;109545 1028;109546 1009;109547 1052;109548 1064;109550 1080;109552 1016;109524 1050;109525 1096;109417 1072;109529 1067;109530 1067;109531 1011;109533 1070;109534 1042
data,1241257800,231897.0;9092.0;231861.0;11810.0;217990.0;9741.0;232897.0;12861.0;1.29914580784;1.13973182464;1.40846658202,1459.0 12.0 109536;43575.0 1844.0 109510;1253.0 42.0 109542;1068.0 19.0 109543;978.0 39.0 109544;1283.0 61.0 109417;828.0 32.0 109546;791.0 44.0 109547;756.0 18.0 109548;556.0 21.0 109550;239.0 5.0 109552;2335.0 103.0 109524;2288.0 106.0 109525;927.0 17.0 109545;1966.0 63.0 109529;1919.0 55.0 109530;1513.0 49.0 109531;1639.0 43.0 109533;1648.0 67.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1044;109510 1045;109542 1068;109543 1085;109544 1009;109417 1069;109546 1042;109547 1049;109548 1007;109550 1149;109552 1015;109524 1037;109525 1065;109545 1066;109529 1029;109530 1105;109531 985;109533 1082;109534 1049
