
New Run at  02/25/2015 13:34:47
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1982650.0;71141.0;1980451.0;74221.0;1.04445272798,1239.0 16.0 109760;73723.0 1627.0 109697;970.0 53.0 109762;981.0 30.0 109763;727.0 12.0 109764;746.0 36.0 109766;1196.0 47.0 109761;221.0 11.0 109769;726.0 28.0 109767;769.0 41.0 109740;1172.0 36.0 109741;3119.0 92.0 109745;3200.0 154.0 109746;555.0 20.0 109731;1544.0 72.0 109684;1523.0 62.0 109755;1832.0 72.0 109686;4440.0 73.0 109723;1504.0 44.0 109756;1395.0 41.0 109758,109760.0 18239;109697.0 18239;109762.0 18239;109763.0 18239;109764.0 18239;109766.0 18239;109767.0 18239;109769.0 18239;109761.0 18239;109740.0 18239;109741.0 18239;109745.0 18239;109746.0 18239;109731.0 18239;109684.0 18239;109755.0 18239;109686.0 18239;109723.0 18239;109756.0 18239;109758.0 18239,109760 914;109697 909;109762 913;109763 901;109764 897;109766 922;109761 961;109769 950;109767 888;109740 908;109741 866;109745 910;109746 927;109731 910;109684 880;109755 912;109686 918;109723 903;109756 924;109758 926
data,1241940300,1983645.0;71159.0;1981419.0;74235.0;1.0443991395,1259.0 16.0 109760;74403.0 1634.0 109697;986.0 55.0 109762;570.0 20.0 109731;735.0 12.0 109764;757.0 36.0 109766;738.0 28.0 109767;233.0 11.0 109769;1218.0 48.0 109761;784.0 42.0 109740;1194.0 36.0 109741;4455.0 73.0 109723;3139.0 93.0 109745;3218.0 154.0 109746;992.0 30.0 109763;1558.0 73.0 109684;1847.0 72.0 109686;1534.0 63.0 109755;1521.0 44.0 109756;1409.0 41.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 978;109697 958;109762 991;109731 1011;109764 958;109766 960;109767 1033;109769 978;109761 1008;109740 1014;109741 1002;109723 1014;109745 1064;109746 1025;109763 1004;109684 967;109686 1021;109755 990;109756 1002;109758 1022
data,1241941200,1984636.0;71182.0;1982427.0;74250.0;1.04426310142,1271.0 16.0 109760;75136.0 1641.0 109697;1001.0 57.0 109762;582.0 20.0 109731;746.0 12.0 109764;774.0 36.0 109766;1232.0 48.0 109761;243.0 11.0 109769;758.0 28.0 109767;793.0 43.0 109740;1206.0 36.0 109741;4470.0 73.0 109723;3154.0 93.0 109745;3232.0 154.0 109746;1007.0 31.0 109763;1572.0 73.0 109684;1862.0 73.0 109686;1552.0 63.0 109755;1540.0 44.0 109756;1427.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1027;109697 1015;109762 999;109731 1024;109764 1003;109766 1026;109761 971;109769 1025;109767 995;109740 993;109741 989;109723 1031;109745 954;109746 950;109763 928;109684 998;109686 1015;109755 1051;109756 1002;109758 1004
data,1241942100,1985672.0;71200.0;1983475.0;74263.0;1.04417496571,1288.0 16.0 109760;1249.0 48.0 109761;1017.0 57.0 109762;1033.0 31.0 109763;754.0 12.0 109764;789.0 36.0 109766;75892.0 1650.0 109697;263.0 11.0 109769;776.0 29.0 109767;806.0 43.0 109740;1218.0 36.0 109741;4481.0 73.0 109723;3172.0 93.0 109745;3248.0 155.0 109746;600.0 20.0 109731;1586.0 73.0 109684;1875.0 73.0 109686;1562.0 64.0 109755;1555.0 45.0 109756;1442.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1005;109761 967;109762 986;109763 1040;109764 983;109766 948;109697 1039;109769 1001;109767 1022;109740 1011;109741 935;109723 985;109745 1021;109746 1052;109731 1032;109684 996;109686 1018;109755 962;109756 1004;109758 993
data,1241943000,1986659.0;71219.0;1984479.0;74279.0;1.04411178683,1302.0 17.0 109760;1266.0 48.0 109761;1029.0 58.0 109762;623.0 20.0 109731;767.0 12.0 109764;806.0 36.0 109766;791.0 29.0 109767;76606.0 1661.0 109697;276.0 11.0 109769;821.0 43.0 109740;1233.0 37.0 109741;3184.0 93.0 109745;3266.0 155.0 109746;1049.0 31.0 109763;1602.0 73.0 109684;1577.0 66.0 109755;1887.0 73.0 109686;4494.0 73.0 109723;1568.0 45.0 109756;1463.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1020;109761 1014;109762 989;109731 1013;109764 1011;109766 1025;109767 969;109697 995;109769 1026;109740 952;109741 1005;109745 1020;109746 992;109763 1011;109684 1003;109755 1017;109686 987;109723 987;109756 978;109758 986
data,1241943900,1987610.0;71240.0;1985470.0;74295.0;1.04400726295,1325.0 17.0 109760;1283.0 49.0 109761;1045.0 58.0 109762;1070.0 31.0 109763;783.0 12.0 109764;824.0 36.0 109766;804.0 29.0 109767;77303.0 1675.0 109697;289.0 11.0 109769;832.0 43.0 109740;1245.0 37.0 109741;4509.0 73.0 109723;3199.0 93.0 109745;3290.0 156.0 109746;634.0 20.0 109731;1614.0 73.0 109684;1904.0 73.0 109686;1592.0 66.0 109755;1582.0 45.0 109756;1474.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 975;109761 955;109762 982;109763 1045;109764 995;109766 1008;109767 996;109697 981;109769 965;109740 1010;109741 1035;109723 1002;109745 1005;109746 1023;109731 1059;109684 1001;109686 990;109755 937;109756 998;109758 1038
data,1241945100,1988623.0;71264.0;1986491.0;74316.0;1.04394588561,1339.0 17.0 109760;1303.0 50.0 109761;1063.0 58.0 109762;644.0 21.0 109731;798.0 12.0 109764;835.0 36.0 109766;828.0 29.0 109767;78055.0 1690.0 109697;304.0 11.0 109769;845.0 43.0 109740;1258.0 37.0 109741;3216.0 95.0 109745;3302.0 156.0 109746;1086.0 32.0 109763;1620.0 73.0 109684;1615.0 66.0 109755;1915.0 73.0 109686;4514.0 73.0 109723;1595.0 46.0 109756;1487.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 973;109761 968;109762 975;109731 1022;109764 1031;109766 1031;109767 978;109697 1061;109769 941;109740 1060;109741 957;109745 987;109746 1025;109763 974;109684 1018;109755 1010;109686 1006;109723 981;109756 1018;109758 984
data,1241946000,1989616.0;71280.0;1987464.0;74332.0;1.04394620814,1349.0 17.0 109760;1305.0 50.0 109761;1075.0 58.0 109762;1634.0 67.0 109755;814.0 12.0 109764;659.0 22.0 109731;853.0 36.0 109766;78775.0 1702.0 109697;323.0 12.0 109769;839.0 29.0 109767;859.0 43.0 109740;1268.0 37.0 109741;3235.0 95.0 109745;3317.0 156.0 109746;1095.0 32.0 109763;1633.0 73.0 109684;1928.0 73.0 109686;1280.0 32.0 109752;4532.0 74.0 109723;1605.0 46.0 109756;1497.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 5185;109723.0 20000;109756.0 20000;109758.0 20000,109760 1009;109761 978;109762 980;109755 1015;109764 999;109731 1017;109766 1061;109697 987;109769 1035;109767 956;109740 1028;109741 1024;109745 1028;109746 976;109763 983;109684 1041;109686 873;109752 8;109723 1029;109756 988;109758 985
data,1241947200,1990568.0;71296.0;1988450.0;74351.0;1.0439603212,1366.0 17.0 109760;79475.0 1716.0 109697;1095.0 58.0 109762;1105.0 33.0 109763;825.0 12.0 109764;870.0 37.0 109766;859.0 29.0 109767;347.0 13.0 109769;1323.0 50.0 109761;874.0 43.0 109740;1284.0 37.0 109741;3248.0 95.0 109745;3318.0 156.0 109746;671.0 22.0 109731;1645.0 73.0 109684;1649.0 68.0 109755;1947.0 74.0 109686;1292.0 32.0 109752;4541.0 74.0 109723;1615.0 46.0 109756;1512.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 287;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1022;109697 961;109762 1022;109763 1018;109764 971;109766 1015;109767 1013;109769 1001;109761 995;109740 977;109741 1028;109745 941;109746 21;109731 1049;109684 986;109755 959;109686 1019;109752 1006;109723 1044;109756 947;109758 1005
data,1241948400,1991563.0;71320.0;1989485.0;74364.0;1.04376994615,1383.0 17.0 109760;1341.0 50.0 109761;1107.0 58.0 109762;687.0 22.0 109731;836.0 12.0 109764;885.0 38.0 109766;80214.0 1726.0 109697;368.0 13.0 109769;877.0 29.0 109767;888.0 43.0 109740;1301.0 38.0 109741;3256.0 95.0 109745;1117.0 33.0 109763;1659.0 73.0 109684;1669.0 69.0 109755;1959.0 74.0 109686;1310.0 32.0 109752;4560.0 74.0 109723;1631.0 46.0 109756;1530.0 44.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 993;109761 987;109762 994;109731 1028;109764 1029;109766 1041;109697 1014;109769 1010;109767 1049;109740 988;109741 996;109745 1004;109763 1089;109684 973;109755 990;109686 964;109752 967;109723 931;109756 957;109758 996
