
New Run at  02/25/2015 11:29:03
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,586945.0;20290.0;589748.0;24615.0;1.20739319469,6463.0 70.0 109536;2239.0 74.0 109572;1753.0 59.0 109574;1737.0 65.0 109575;1584.0 66.0 109576;1485.0 56.0 109577;1396.0 37.0 109578;1351.0 46.0 109580;1792.0 64.0 109517;1129.0 44.0 109582;1194.0 36.0 109581;562.0 22.0 109584;870.0 33.0 109585;884.0 8.0 109586;333.0 6.0 109587;86.0 2.0 109588;98.0 3.0 109589;4329.0 157.0 109476;950.0 20.0 109583;202392.0 7400.0 109524,109536.0 11950;109476.0 11950;109574.0 11950;109575.0 11950;109576.0 11950;109580.0 11950;109578.0 11950;109581.0 11950;109517.0 11950;109582.0 11950;109583.0 11950;109584.0 11950;109585.0 11950;109586.0 11950;109587.0 11950;109588.0 11950;109589.0 11950;109577.0 11950;109524.0 11950;109572.0 11950,109536 597;109572 617;109574 633;109575 587;109576 626;109577 611;109578 627;109580 563;109517 587;109582 595;109581 616;109584 576;109585 598;109586 601;109587 571;109588 544;109589 597;109476 617;109583 584;109524 603
data,1241421300,587918.0;20311.0;590704.0;24640.0;1.20741409835,6474.0 70.0 109536;4346.0 157.0 109476;1766.0 59.0 109574;1753.0 66.0 109575;1601.0 66.0 109576;1499.0 57.0 109577;1406.0 37.0 109578;1361.0 46.0 109580;1206.0 36.0 109581;1142.0 45.0 109582;961.0 21.0 109583;574.0 22.0 109584;883.0 33.0 109585;897.0 8.0 109586;342.0 6.0 109587;100.0 3.0 109588;115.0 3.0 109589;203090.0 7420.0 109524;1812.0 64.0 109517;2255.0 74.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 963;109476 1080;109574 1002;109575 1045;109576 994;109577 1002;109578 986;109580 1036;109581 1048;109582 979;109583 980;109584 1045;109585 976;109586 954;109587 970;109588 974;109589 989;109524 984;109517 1024;109572 969
data,1241421900,588913.0;20330.0;591726.0;24653.0;1.20687665337,6486.0 70.0 109536;2270.0 75.0 109572;1788.0 59.0 109574;1771.0 67.0 109575;1612.0 67.0 109576;1516.0 57.0 109577;1419.0 37.0 109578;1377.0 46.0 109580;1224.0 37.0 109581;1156.0 45.0 109582;1832.0 65.0 109517;582.0 22.0 109584;896.0 33.0 109585;920.0 8.0 109586;356.0 6.0 109587;203821.0 7428.0 109524;125.0 3.0 109589;117.0 3.0 109588;978.0 21.0 109583;4359.0 157.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1013;109572 1039;109574 984;109575 912;109576 1032;109577 947;109578 1065;109580 1018;109581 1027;109582 1014;109517 1047;109584 1018;109585 969;109586 999;109587 935;109524 1013;109589 1015;109588 1032;109583 1003;109476 918
data,1241422800,589920.0;20347.0;592710.0;24680.0;1.2072456132,6502.0 70.0 109536;2287.0 75.0 109572;1802.0 60.0 109574;1784.0 67.0 109575;1630.0 68.0 109576;1531.0 57.0 109577;1437.0 37.0 109578;1394.0 47.0 109580;1843.0 65.0 109517;1177.0 45.0 109582;989.0 21.0 109583;594.0 22.0 109584;913.0 33.0 109585;932.0 8.0 109586;371.0 6.0 109587;125.0 3.0 109588;141.0 3.0 109589;204524.0 7452.0 109524;4377.0 157.0 109476;1236.0 37.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1009;109572 981;109574 1056;109575 1047;109576 932;109577 1025;109578 1007;109580 958;109517 1003;109582 995;109583 936;109584 1029;109585 1010;109586 999;109587 1010;109588 1035;109589 997;109524 981;109476 1004;109581 986
data,1241423400,590870.0;20362.0;593726.0;24697.0;1.20706217603,6518.0 70.0 109536;2307.0 75.0 109572;1818.0 61.0 109574;1797.0 67.0 109575;1649.0 68.0 109576;1539.0 57.0 109577;1454.0 37.0 109578;1407.0 47.0 109580;1253.0 37.0 109581;1191.0 45.0 109582;1009.0 23.0 109583;603.0 22.0 109584;925.0 33.0 109585;952.0 8.0 109586;384.0 6.0 109587;141.0 3.0 109588;162.0 3.0 109589;205250.0 7466.0 109524;4394.0 157.0 109476;1852.0 65.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 992;109572 1004;109574 1008;109575 982;109576 975;109577 1028;109578 1001;109580 1006;109581 1027;109582 1021;109583 1032;109584 977;109585 1019;109586 962;109587 946;109588 1028;109589 966;109524 1016;109476 984;109517 1026
data,1241424300,591892.0;20378.0;594780.0;24715.0;1.20693858171,6529.0 70.0 109536;2328.0 76.0 109572;1836.0 61.0 109574;1812.0 68.0 109575;1660.0 68.0 109576;1552.0 57.0 109577;1470.0 37.0 109578;1418.0 47.0 109580;1262.0 37.0 109581;1209.0 45.0 109582;1025.0 23.0 109583;617.0 22.0 109584;938.0 33.0 109585;963.0 8.0 109586;398.0 6.0 109587;206017.0 7482.0 109524;187.0 3.0 109589;155.0 3.0 109588;4417.0 157.0 109476;1866.0 65.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 1048;109574 992;109575 968;109576 953;109577 1061;109578 929;109580 943;109581 1016;109582 1033;109583 977;109584 1012;109585 981;109586 1044;109587 976;109524 1034;109589 1021;109588 954;109476 991;109517 1062
data,1241425200,592874.0;20393.0;595773.0;24737.0;1.20711180613,6546.0 70.0 109536;2343.0 76.0 109572;1849.0 61.0 109574;1833.0 68.0 109575;1669.0 69.0 109576;1559.0 57.0 109577;1489.0 37.0 109578;1427.0 48.0 109580;1881.0 65.0 109517;1217.0 45.0 109582;1049.0 23.0 109583;629.0 22.0 109584;954.0 34.0 109585;977.0 10.0 109586;415.0 6.0 109587;206752.0 7499.0 109524;197.0 3.0 109589;164.0 3.0 109588;4428.0 157.0 109476;1274.0 37.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1003;109572 1019;109574 1004;109575 1029;109576 1002;109577 997;109578 964;109580 967;109517 1014;109582 1017;109583 1024;109584 1061;109585 969;109586 1007;109587 974;109524 1002;109589 1034;109588 973;109476 978;109581 962
data,1241425800,593846.0;20403.0;596758.0;24747.0;1.20699122995,6563.0 70.0 109536;4451.0 157.0 109476;1862.0 61.0 109574;1847.0 68.0 109575;1682.0 69.0 109576;1581.0 57.0 109577;1505.0 37.0 109578;1441.0 48.0 109580;1895.0 65.0 109517;1232.0 45.0 109582;1060.0 23.0 109583;646.0 22.0 109584;964.0 34.0 109585;991.0 10.0 109586;430.0 6.0 109587;178.0 3.0 109588;212.0 3.0 109589;2357.0 76.0 109572;207449.0 7509.0 109524;1291.0 37.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1037;109476 1024;109574 976;109575 992;109576 1021;109577 1021;109578 1014;109580 1042;109517 985;109582 951;109583 937;109584 1008;109585 1006;109586 1070;109587 1014;109588 961;109589 964;109572 992;109524 991;109581 994
data,1241426700,594823.0;20426.0;597789.0;24771.0;1.20670203603,6575.0 70.0 109536;2371.0 76.0 109572;1875.0 61.0 109574;1867.0 68.0 109575;1696.0 69.0 109576;1594.0 57.0 109577;1519.0 37.0 109578;1453.0 48.0 109580;1910.0 65.0 109517;1251.0 46.0 109582;1076.0 23.0 109583;665.0 22.0 109584;976.0 34.0 109585;1002.0 10.0 109586;444.0 6.0 109587;208206.0 7530.0 109524;224.0 3.0 109589;199.0 4.0 109588;4461.0 157.0 109476;1304.0 38.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 985;109574 964;109575 957;109576 990;109577 1024;109578 961;109580 969;109517 992;109582 1053;109583 1043;109584 1044;109585 994;109586 1002;109587 1000;109524 1012;109589 999;109588 1008;109476 1020;109581 979
data,1241427600,595853.0;20444.0;598824.0;24793.0;1.20671063555,6596.0 70.0 109536;2381.0 76.0 109572;1886.0 61.0 109574;1886.0 68.0 109575;1315.0 38.0 109581;1611.0 57.0 109577;1531.0 37.0 109578;1473.0 48.0 109580;1923.0 65.0 109517;1264.0 46.0 109582;1087.0 23.0 109583;675.0 22.0 109584;993.0 34.0 109585;1023.0 10.0 109586;450.0 6.0 109587;222.0 5.0 109588;247.0 3.0 109589;1712.0 69.0 109576;208951.0 7551.0 109524;4477.0 157.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1049;109572 1017;109574 1002;109575 994;109581 963;109577 1012;109578 991;109580 1053;109517 1012;109582 944;109583 994;109584 993;109585 985;109586 972;109587 996;109588 968;109589 1039;109576 1002;109524 1016;109476 998
