
New Run at  02/24/2015 02:16:06
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,1344576.0;49552.0;1340453.0;51753.0;1277734.0;58969.0;1351918.0;70521.0;1.04763043299;1.2522973995;1.41544265335,624.0 23.0 109680;1568.0 55.0 109666;1703.0 35.0 109667;1612.0 49.0 109668;1442.0 99.0 109670;2225.0 24.0 109660;1159.0 56.0 109674;850.0 54.0 109676;814.0 17.0 109678;636.0 20.0 109679;1090.0 22.0 109648;514.0 19.0 109681;409.0 22.0 109682;50292.0 2037.0 109635;3805.0 152.0 109652;3074.0 123.0 109656;265.0 7.0 109683;5661.0 163.0 109628;2233.0 71.0 109661;2111.0 100.0 109663,109648.0 14595;109666.0 14595;109635.0 14595;109668.0 14595;109670.0 14595;109628.0 14595;109674.0 14595;109676.0 14595;109678.0 14595;109679.0 14595;109680.0 14595;109681.0 14595;109682.0 14595;109683.0 14595;109652.0 14595;109656.0 14595;109667.0 14595;109660.0 14595;109661.0 14595;109663.0 14595,109680 783;109666 751;109667 741;109668 696;109670 734;109660 728;109674 757;109676 744;109678 737;109679 746;109648 738;109681 686;109682 698;109635 710;109652 747;109656 657;109683 747;109628 755;109661 713;109663 727
data,1241680500,1345587.0;49576.0;1341498.0;51776.0;1278748.0;59002.0;1352897.0;70560.0;1.04755965894;1.25233946085;1.41557908673,635.0 24.0 109680;1578.0 55.0 109666;1715.0 35.0 109667;1622.0 50.0 109668;1458.0 100.0 109670;5679.0 164.0 109628;1184.0 56.0 109674;868.0 54.0 109676;824.0 17.0 109678;653.0 20.0 109679;1107.0 22.0 109648;527.0 19.0 109681;424.0 22.0 109682;276.0 7.0 109683;3816.0 152.0 109652;51063.0 2053.0 109635;3093.0 125.0 109656;2243.0 24.0 109660;2244.0 71.0 109661;2123.0 101.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1038;109667 989;109668 987;109670 973;109628 993;109674 999;109676 973;109678 1022;109679 987;109648 1044;109681 957;109682 960;109683 1014;109652 1019;109635 1047;109656 982;109660 978;109661 967;109663 1089
data,1241681400,1346564.0;49601.0;1342444.0;51805.0;1279718.0;59036.0;1353892.0;70587.0;1.04763998839;1.25238890835;1.41539373718,660.0 24.0 109680;1595.0 55.0 109666;1725.0 35.0 109667;1638.0 50.0 109668;1472.0 100.0 109670;5693.0 164.0 109628;1198.0 57.0 109674;882.0 54.0 109676;839.0 18.0 109678;666.0 20.0 109679;1126.0 22.0 109648;537.0 20.0 109681;442.0 22.0 109682;51736.0 2076.0 109635;3827.0 152.0 109652;3103.0 125.0 109656;292.0 7.0 109683;2257.0 24.0 109660;2256.0 72.0 109661;2134.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1002;109666 985;109667 982;109668 965;109670 1033;109628 1063;109674 1053;109676 1010;109678 974;109679 977;109648 1019;109681 1026;109682 943;109635 981;109652 965;109656 1024;109683 1015;109660 1043;109661 946;109663 994
data,1241682000,1347583.0;49621.0;1343451.0;51833.0;1280748.0;59060.0;1354853.0;70626.0;1.04779066812;1.25233283537;1.41567135375,1145.0 22.0 109648;1605.0 56.0 109666;52472.0 2096.0 109635;1649.0 50.0 109668;1493.0 104.0 109670;5705.0 164.0 109628;1210.0 57.0 109674;891.0 54.0 109676;857.0 18.0 109678;680.0 20.0 109679;671.0 24.0 109680;550.0 20.0 109681;454.0 23.0 109682;1744.0 35.0 109667;3838.0 153.0 109652;3119.0 125.0 109656;301.0 7.0 109683;2274.0 25.0 109660;2274.0 72.0 109661;2153.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1049;109666 970;109635 1049;109668 985;109670 1023;109628 1002;109674 966;109676 949;109678 996;109679 979;109680 929;109681 1027;109682 1008;109667 1023;109652 1019;109656 1032;109683 1012;109660 962;109661 1000;109663 1020
data,1241682900,1348593.0;49642.0;1344453.0;51857.0;1281704.0;59085.0;1355805.0;70661.0;1.0478361923;1.25233676684;1.415840004,1159.0 22.0 109648;1622.0 56.0 109666;53193.0 2112.0 109635;1665.0 50.0 109668;1510.0 105.0 109670;2287.0 26.0 109660;1224.0 58.0 109674;904.0 56.0 109676;868.0 18.0 109678;694.0 20.0 109679;683.0 24.0 109680;566.0 22.0 109681;472.0 23.0 109682;1757.0 35.0 109667;3853.0 153.0 109652;3130.0 125.0 109656;320.0 7.0 109683;5724.0 164.0 109628;2286.0 73.0 109661;2170.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 998;109666 1003;109635 999;109668 973;109670 1030;109660 968;109674 978;109676 935;109678 1005;109679 1053;109680 1012;109681 1024;109682 953;109667 1007;109652 1019;109656 1044;109683 927;109628 1040;109661 1025;109663 1007
data,1241683500,1349577.0;49671.0;1345489.0;51879.0;1282725.0;59113.0;1356862.0;70701.0;1.04762585805;1.25211496474;1.41574371199,1172.0 22.0 109648;1642.0 56.0 109666;53954.0 2130.0 109635;1674.0 51.0 109668;1524.0 105.0 109670;2299.0 26.0 109660;1237.0 59.0 109674;917.0 56.0 109676;880.0 18.0 109678;711.0 21.0 109679;701.0 24.0 109680;578.0 22.0 109681;489.0 23.0 109682;1780.0 35.0 109667;3866.0 153.0 109652;3142.0 126.0 109656;336.0 7.0 109683;5737.0 164.0 109628;2293.0 73.0 109661;2191.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 990;109666 953;109635 1070;109668 992;109670 1007;109660 971;109674 992;109676 1066;109678 1043;109679 1001;109680 1025;109681 962;109682 1033;109667 1019;109652 896;109656 1023;109683 960;109628 1022;109661 992;109663 983
data,1241684400,1350593.0;49688.0;1346454.0;51906.0;1283708.0;59136.0;1357893.0;70738.0;1.04784976372;1.25215668292;1.41599006237,1191.0 22.0 109648;1658.0 56.0 109666;54634.0 2153.0 109635;1688.0 52.0 109668;1536.0 105.0 109670;5754.0 164.0 109628;1255.0 59.0 109674;926.0 56.0 109676;894.0 19.0 109678;734.0 22.0 109679;718.0 24.0 109680;588.0 22.0 109681;505.0 23.0 109682;353.0 7.0 109683;3878.0 153.0 109652;3155.0 126.0 109656;1793.0 35.0 109667;2313.0 26.0 109660;2307.0 74.0 109661;2208.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1026;109666 974;109635 973;109668 981;109670 987;109628 989;109674 1019;109676 1028;109678 1018;109679 994;109680 970;109681 1003;109682 990;109683 1017;109652 964;109656 966;109667 991;109660 991;109661 1026;109663 1093
data,1241685300,1351580.0;49712.0;1347453.0;51927.0;1284683.0;59154.0;1358857.0;70766.0;1.04775593062;1.25189717828;1.41589618936,1207.0 22.0 109648;1669.0 58.0 109666;1804.0 35.0 109667;1708.0 52.0 109668;1562.0 106.0 109670;5770.0 164.0 109628;1269.0 59.0 109674;939.0 56.0 109676;909.0 19.0 109678;750.0 23.0 109679;733.0 24.0 109680;602.0 22.0 109681;522.0 23.0 109682;55354.0 2168.0 109635;3892.0 153.0 109652;3168.0 126.0 109656;366.0 7.0 109683;2324.0 27.0 109660;2321.0 75.0 109661;2218.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 972;109666 1052;109667 973;109668 1049;109670 1057;109628 953;109674 1049;109676 975;109678 998;109679 1029;109680 992;109681 1020;109682 960;109635 998;109652 974;109656 1027;109683 984;109660 984;109661 963;109663 991
data,1241686200,1352633.0;49733.0;1348458.0;51964.0;1285662.0;59182.0;1359823.0;70796.0;1.04809457001;1.25198219016;1.415994802,750.0 24.0 109680;1692.0 59.0 109666;56075.0 2199.0 109635;1719.0 53.0 109668;1576.0 107.0 109670;5783.0 164.0 109628;1286.0 60.0 109674;950.0 56.0 109676;926.0 19.0 109678;761.0 23.0 109679;1218.0 22.0 109648;619.0 22.0 109681;541.0 23.0 109682;377.0 7.0 109683;3910.0 153.0 109652;3184.0 126.0 109656;1813.0 36.0 109667;2345.0 28.0 109660;2332.0 75.0 109661;2235.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 998;109666 1020;109635 985;109668 982;109670 1020;109628 999;109674 974;109676 982;109678 986;109679 1035;109648 970;109681 971;109682 1049;109683 950;109652 1055;109656 1055;109667 936;109660 1033;109661 988;109663 1012
data,1241686800,1353616.0;49750.0;1349489.0;51992.0;1286676.0;59211.0;1360824.0;70845.0;1.04826133979;1.25209012298;1.41647736398,765.0 24.0 109680;1701.0 59.0 109666;56828.0 2220.0 109635;1729.0 53.0 109668;1589.0 109.0 109670;5794.0 164.0 109628;1301.0 60.0 109674;965.0 57.0 109676;941.0 19.0 109678;785.0 24.0 109679;1229.0 22.0 109648;628.0 22.0 109681;555.0 23.0 109682;390.0 7.0 109683;3929.0 153.0 109652;3202.0 126.0 109656;1831.0 36.0 109667;2359.0 28.0 109660;2350.0 77.0 109661;2252.0 104.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1013;109666 1007;109635 1061;109668 960;109670 961;109628 1015;109674 976;109676 1027;109678 1023;109679 985;109648 977;109681 1005;109682 994;109683 1019;109652 1002;109656 965;109667 1003;109660 1001;109661 966;109663 1040
