
New Run at  02/25/2015 13:52:45
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,398325.0;14709.0;400404.0;18020.0;1.21873924469,498.0 23.0 109568;3781.0 49.0 109536;211.0 15.0 109571;1643.0 56.0 109476;1426.0 39.0 109541;3729.0 149.0 109542;331.0 9.0 109569;1959.0 61.0 109551;1976.0 57.0 109553;66586.0 2596.0 109524;1559.0 49.0 109557;1277.0 49.0 109560;1114.0 43.0 109561;1119.0 31.0 109562;1110.0 28.0 109563;835.0 17.0 109564;763.0 31.0 109565;720.0 14.0 109566;706.0 20.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,399317.0;14732.0;401411.0;18054.0;1.21910260193,515.0 25.0 109568;3795.0 49.0 109536;228.0 16.0 109571;1656.0 56.0 109476;1446.0 40.0 109541;3741.0 149.0 109542;347.0 10.0 109569;1973.0 61.0 109551;1990.0 57.0 109553;67310.0 2618.0 109524;1576.0 50.0 109557;1297.0 49.0 109560;1130.0 44.0 109561;1131.0 31.0 109562;1126.0 30.0 109563;851.0 17.0 109564;778.0 31.0 109565;737.0 15.0 109566;723.0 22.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,400364.0;14759.0;402461.0;18082.0;1.2187671776,3808.0 49.0 109536;535.0 28.0 109568;245.0 16.0 109571;1681.0 57.0 109476;1462.0 42.0 109541;3762.0 150.0 109542;367.0 10.0 109569;1987.0 61.0 109551;2013.0 57.0 109553;68034.0 2636.0 109524;1596.0 51.0 109557;1310.0 49.0 109560;1145.0 44.0 109561;1145.0 32.0 109562;1146.0 30.0 109563;873.0 18.0 109564;795.0 31.0 109565;757.0 15.0 109566;739.0 22.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,401469.0;14774.0;403497.0;18110.0;1.21964113032,3825.0 49.0 109536;553.0 28.0 109568;266.0 17.0 109571;1695.0 57.0 109476;1476.0 42.0 109541;3773.0 151.0 109542;379.0 10.0 109569;2001.0 61.0 109551;2030.0 57.0 109553;68774.0 2659.0 109524;1615.0 51.0 109557;1328.0 50.0 109560;1162.0 45.0 109561;1157.0 32.0 109562;1165.0 30.0 109563;889.0 18.0 109564;816.0 31.0 109565;773.0 15.0 109566;759.0 23.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,402593.0;14797.0;404533.0;18143.0;1.22024683807,574.0 29.0 109568;391.0 11.0 109569;283.0 17.0 109571;3838.0 49.0 109536;1494.0 43.0 109541;3788.0 153.0 109542;2014.0 62.0 109551;2045.0 58.0 109553;1713.0 57.0 109476;69522.0 2684.0 109524;1635.0 51.0 109557;1343.0 50.0 109560;1181.0 45.0 109561;1167.0 32.0 109562;1175.0 30.0 109563;909.0 18.0 109564;831.0 32.0 109565;793.0 15.0 109566;776.0 23.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,403663.0;14816.0;405614.0;18170.0;1.22047802711,3853.0 49.0 109536;405.0 11.0 109569;299.0 18.0 109571;1731.0 57.0 109476;1511.0 43.0 109541;3801.0 154.0 109542;588.0 29.0 109568;2031.0 62.0 109551;2060.0 58.0 109553;70306.0 2704.0 109524;1656.0 51.0 109557;1365.0 52.0 109560;1199.0 47.0 109561;1182.0 32.0 109562;1198.0 30.0 109563;930.0 18.0 109564;842.0 32.0 109565;808.0 15.0 109566;788.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,404708.0;14830.0;406640.0;18199.0;1.22134417821,3863.0 49.0 109536;426.0 11.0 109569;324.0 18.0 109571;1745.0 57.0 109476;1531.0 43.0 109541;601.0 30.0 109568;3822.0 154.0 109542;2050.0 62.0 109551;2078.0 58.0 109553;71043.0 2730.0 109524;1665.0 51.0 109557;1388.0 53.0 109560;1215.0 47.0 109561;1194.0 33.0 109562;1214.0 30.0 109563;948.0 18.0 109564;851.0 32.0 109565;822.0 15.0 109566;799.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,405797.0;14854.0;407680.0;18227.0;1.22140923602,615.0 30.0 109568;448.0 11.0 109569;334.0 19.0 109571;1762.0 57.0 109476;1552.0 43.0 109541;3841.0 156.0 109542;2064.0 63.0 109551;2100.0 58.0 109553;71802.0 2754.0 109524;1677.0 51.0 109557;3879.0 49.0 109536;1400.0 53.0 109560;1228.0 47.0 109561;1210.0 33.0 109562;1229.0 30.0 109563;968.0 18.0 109564;861.0 32.0 109565;832.0 15.0 109566;817.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,406842.0;14874.0;408748.0;18248.0;1.22111800561,628.0 30.0 109568;469.0 11.0 109569;347.0 22.0 109571;1774.0 57.0 109476;1577.0 43.0 109541;3854.0 156.0 109542;1416.0 54.0 109560;2077.0 63.0 109551;2119.0 58.0 109553;72577.0 2770.0 109524;1687.0 51.0 109557;3891.0 49.0 109536;1247.0 47.0 109561;1228.0 33.0 109562;1248.0 30.0 109563;985.0 18.0 109564;879.0 32.0 109565;849.0 16.0 109566;835.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,407862.0;14893.0;409864.0;18275.0;1.22109278871,3907.0 49.0 109536;640.0 30.0 109568;373.0 24.0 109571;1793.0 57.0 109476;1597.0 43.0 109541;3870.0 158.0 109542;483.0 11.0 109569;2095.0 63.0 109551;2136.0 58.0 109553;73367.0 2788.0 109524;1706.0 51.0 109557;1433.0 54.0 109560;1268.0 48.0 109561;1246.0 33.0 109562;1266.0 31.0 109563;998.0 19.0 109564;906.0 32.0 109565;863.0 16.0 109566;856.0 26.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
