
New Run at  02/27/2015 01:05:13
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241248200,221594.0;9011.0;221552.0;11405.0;207579.0;9400.0;222241.0;12460.0;1.26591522204;1.11360057241;1.37872886197,1234.0 19.0 109536;1124.0 33.0 109542;38512.0 1724.0 109510;953.0 14.0 109543;814.0 40.0 109544;1036.0 43.0 109417;662.0 20.0 109546;641.0 23.0 109547;589.0 9.0 109548;418.0 7.0 109550;84.0 2.0 109552;2344.0 124.0 109524;2170.0 124.0 109525;649.0 9.0 109545;1742.0 50.0 109529;1747.0 69.0 109530;1415.0 45.0 109531;1394.0 38.0 109533;1540.0 77.0 109534,109536.0 18008;109542.0 18008;109510.0 18008;109543.0 18008;109544.0 18008;109417.0 18008;109546.0 18008;109547.0 18008;109548.0 18008;109550.0 18008;109552.0 18008;109524.0 18008;109525.0 18008;109545.0 18008;109529.0 18008;109530.0 18008;109531.0 18008;109533.0 18008;109534.0 18008,109536 951;109542 942;109510 954;109543 975;109544 1019;109417 902;109546 948;109547 912;109548 968;109550 914;109552 945;109524 957;109525 890;109545 957;109529 954;109530 953;109531 979;109533 974;109534 914
data,1241249100,222636.0;9036.0;222605.0;11433.0;208666.0;9432.0;223329.0;12495.0;1.26544844633;1.11370782099;1.37851122722,1253.0 19.0 109536;1139.0 34.0 109542;39286.0 1745.0 109510;968.0 14.0 109543;829.0 40.0 109544;1047.0 43.0 109417;680.0 21.0 109546;659.0 23.0 109547;606.0 10.0 109548;435.0 7.0 109550;98.0 2.0 109552;2360.0 125.0 109524;2182.0 125.0 109525;662.0 9.0 109545;1755.0 50.0 109529;1759.0 71.0 109530;1433.0 45.0 109531;1414.0 38.0 109533;1556.0 77.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1083;109542 1084;109510 1079;109543 1024;109544 1066;109417 1008;109546 1052;109547 1077;109548 1011;109550 1087;109552 1075;109524 1034;109525 1041;109545 1051;109529 1033;109530 1098;109531 1027;109533 980;109534 1090
data,1241249700,223638.0;9052.0;223668.0;11466.0;209679.0;9452.0;224359.0;12524.0;1.26651149974;1.11370413125;1.37911543065,1269.0 19.0 109536;40032.0 1769.0 109510;1161.0 35.0 109542;987.0 14.0 109543;843.0 40.0 109544;1067.0 45.0 109417;699.0 22.0 109546;680.0 24.0 109547;620.0 10.0 109548;454.0 7.0 109550;112.0 2.0 109552;2377.0 126.0 109524;2199.0 127.0 109525;677.0 9.0 109545;1776.0 50.0 109529;1780.0 72.0 109530;1448.0 45.0 109531;1427.0 38.0 109533;1576.0 77.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1045;109510 1043;109542 1069;109543 989;109544 1076;109417 1118;109546 1088;109547 1085;109548 1051;109550 1069;109552 1027;109524 1021;109525 993;109545 1018;109529 1023;109530 1029;109531 1103;109533 1086;109534 1067
data,1241250900,224723.0;9077.0;224701.0;11484.0;210738.0;9495.0;225415.0;12563.0;1.26529958953;1.11546848168;1.37979871437,1283.0 19.0 109536;40766.0 1783.0 109510;1169.0 35.0 109542;1007.0 14.0 109543;864.0 40.0 109544;692.0 10.0 109545;724.0 23.0 109546;696.0 24.0 109547;637.0 11.0 109548;469.0 7.0 109550;123.0 2.0 109552;2392.0 126.0 109524;2212.0 127.0 109525;1081.0 45.0 109417;1790.0 51.0 109529;1800.0 72.0 109530;1471.0 45.0 109531;1444.0 38.0 109533;1597.0 77.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1095;109510 1020;109542 1027;109543 1046;109544 1019;109545 1048;109546 1090;109547 1012;109548 1054;109550 1034;109552 1038;109524 1086;109525 1119;109417 1082;109529 1052;109530 1036;109531 1039;109533 1072;109534 1031
data,1241251800,225752.0;9097.0;225774.0;11514.0;211757.0;9509.0;226429.0;12585.0;1.26556865408;1.11437274992;1.37928681018,1298.0 19.0 109536;41550.0 1805.0 109510;1185.0 35.0 109542;1025.0 14.0 109543;882.0 42.0 109544;1100.0 47.0 109417;739.0 23.0 109546;715.0 25.0 109547;647.0 11.0 109548;484.0 7.0 109550;132.0 2.0 109552;2408.0 127.0 109524;2224.0 127.0 109525;713.0 11.0 109545;1804.0 52.0 109529;1814.0 72.0 109530;1490.0 45.0 109531;1465.0 38.0 109533;1615.0 77.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1003;109510 1089;109542 1044;109543 1095;109544 1018;109417 991;109546 1053;109547 1047;109548 1056;109550 1020;109552 1055;109524 1060;109525 1022;109545 1121;109529 1073;109530 1078;109531 1079;109533 1045;109534 1051
data,1241252700,226745.0;9123.0;226794.0;11535.0;212763.0;9533.0;227519.0;12617.0;1.2641135377;1.11361105077;1.37828324619,1318.0 19.0 109536;42270.0 1819.0 109510;1201.0 35.0 109542;1043.0 14.0 109543;900.0 43.0 109544;726.0 11.0 109545;759.0 23.0 109546;734.0 25.0 109547;661.0 11.0 109548;500.0 7.0 109550;146.0 2.0 109552;2426.0 128.0 109524;2237.0 129.0 109525;1115.0 47.0 109417;1825.0 52.0 109529;1827.0 73.0 109530;1509.0 45.0 109531;1481.0 39.0 109533;1632.0 78.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1016;109542 1027;109543 1048;109544 1074;109545 1089;109546 1061;109547 1031;109548 1004;109550 1052;109552 1004;109524 1116;109525 1070;109417 1050;109529 1073;109530 1066;109531 1059;109533 1056;109534 1070
data,1241253600,227789.0;9140.0;227839.0;11566.0;213854.0;9560.0;228598.0;12638.0;1.26514899389;1.11410742014;1.37781997572,1330.0 19.0 109536;1218.0 36.0 109542;43026.0 1844.0 109510;1056.0 14.0 109543;920.0 43.0 109544;1130.0 47.0 109417;780.0 23.0 109546;749.0 26.0 109547;675.0 11.0 109548;518.0 7.0 109550;166.0 2.0 109552;2441.0 128.0 109524;2247.0 129.0 109525;750.0 12.0 109545;1842.0 52.0 109529;1846.0 74.0 109530;1519.0 46.0 109531;1495.0 39.0 109533;1647.0 79.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1076;109542 1071;109510 1070;109543 1106;109544 1054;109417 1009;109546 1092;109547 1110;109548 1034;109550 1036;109552 988;109524 1027;109525 1056;109545 1014;109529 1051;109530 1042;109531 1057;109533 1029;109534 1078
data,1241254800,228836.0;9163.0;228946.0;11588.0;214929.0;9582.0;229640.0;12672.0;1.26404369736;1.11339126482;1.37811127935,1348.0 19.0 109536;1243.0 37.0 109542;43833.0 1863.0 109510;1074.0 14.0 109543;941.0 45.0 109544;769.0 12.0 109545;795.0 23.0 109546;771.0 26.0 109547;691.0 11.0 109548;530.0 7.0 109550;178.0 2.0 109552;2458.0 128.0 109524;2265.0 129.0 109525;1147.0 47.0 109417;1856.0 52.0 109529;1863.0 74.0 109530;1534.0 46.0 109531;1507.0 39.0 109533;1659.0 79.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1055;109542 1071;109510 1104;109543 1048;109544 1010;109545 1039;109546 1026;109547 1058;109548 1031;109550 1049;109552 1093;109524 1070;109525 1081;109417 1097;109529 1013;109530 1013;109531 1014;109533 1093;109534 1035
data,1241255700,229868.0;9185.0;230000.0;11618.0;215942.0;9603.0;230659.0;12701.0;1.26416246905;1.11293337416;1.37805600442,1362.0 19.0 109536;44607.0 1890.0 109510;1258.0 38.0 109542;1093.0 14.0 109543;963.0 45.0 109544;783.0 12.0 109545;813.0 23.0 109546;785.0 26.0 109547;708.0 11.0 109548;540.0 7.0 109550;190.0 2.0 109552;2474.0 129.0 109524;2282.0 129.0 109525;1162.0 47.0 109417;1873.0 52.0 109529;1877.0 74.0 109530;1548.0 47.0 109531;1525.0 39.0 109533;1673.0 79.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1070;109510 1074;109542 1094;109543 1001;109544 1103;109545 1100;109546 1042;109547 1072;109548 1019;109550 1072;109552 1074;109524 1084;109525 1067;109417 1057;109529 999;109530 1034;109531 1003;109533 1032;109534 1003
data,1241256900,230929.0;9205.0;231052.0;11642.0;216999.0;9623.0;231728.0;12728.0;1.2640741345;1.11251899651;1.37795912592,1384.0 19.0 109536;45365.0 1909.0 109510;1278.0 38.0 109542;1114.0 14.0 109543;984.0 45.0 109544;800.0 12.0 109545;818.0 23.0 109546;804.0 26.0 109547;726.0 11.0 109548;552.0 7.0 109550;209.0 4.0 109552;2486.0 130.0 109524;2307.0 129.0 109525;1169.0 47.0 109417;1892.0 53.0 109529;1892.0 74.0 109530;1565.0 48.0 109531;1539.0 39.0 109533;1684.0 79.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1031;109510 1041;109542 1059;109543 1103;109544 1042;109545 1028;109546 1009;109547 1052;109548 1064;109550 1080;109552 1016;109524 1050;109525 1096;109417 1072;109529 1067;109530 1067;109531 1011;109533 1070;109534 1042
