
New Run at  02/17/2015 23:24:10
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420400,4908051.0;173916.0;2989108.0;123794.0;4694161.0;216833.0;4936059.0;251700.0;1.16876586124;1.30357771129;1.43903846307,23183.0 333.0 109536;7205.0 267.0 109572;7499.0 260.0 109574;8251.0 290.0 109575;6621.0 273.0 109576;9742.0 367.0 109577;8621.0 178.0 109578;8436.0 268.0 109580;17314.0 584.0 109517;88463.0 4926.0 109582;8139.0 305.0 109581;7436.0 297.0 109584;5794.0 187.0 109585;5724.0 82.0 109586;1983.0 27.0 109587;4374.0 114.0 109588;1015.0 4.0 109589;22955.0 745.0 109476;5005.0 95.0 109583;292245.0 10305.0 109524,109536.0 8184;109476.0 8184;109574.0 8184;109575.0 8184;109576.0 8184;109580.0 8184;109578.0 8184;109581.0 8184;109517.0 8184;109582.0 8184;109583.0 8184;109584.0 8184;109585.0 8184;109586.0 8184;109587.0 8184;109588.0 8184;109589.0 8184;109577.0 8184;109524.0 8184;109572.0 8184,109536 406;109572 415;109574 423;109575 414;109576 428;109577 419;109578 424;109580 386;109517 404;109582 423;109581 411;109584 384;109585 411;109586 414;109587 387;109588 360;109589 403;109476 409;109583 424;109524 439
data,1241421300,4909080.0;173935.0;2989403.0;123796.0;4695177.0;216849.0;4937065.0;251717.0;1.16878673597;1.30352265256;1.43898686621,23191.0 333.0 109536;22972.0 745.0 109476;7515.0 260.0 109574;8263.0 290.0 109575;6633.0 273.0 109576;9761.0 367.0 109577;8636.0 178.0 109578;8452.0 268.0 109580;8157.0 305.0 109581;88475.0 4926.0 109582;5024.0 95.0 109583;7450.0 297.0 109584;5805.0 187.0 109585;5738.0 83.0 109586;2001.0 27.0 109587;4387.0 115.0 109588;1025.0 4.0 109589;7222.0 267.0 109572;292260.0 10305.0 109524;17333.0 584.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 977;109476 1078;109574 1049;109575 1021;109576 988;109577 1007;109578 991;109580 1012;109581 1058;109582 957;109583 957;109584 1023;109585 983;109586 976;109587 964;109588 947;109589 1018;109572 1007;109524 977;109517 1010
data,1241421900,4910097.0;173952.0;2989719.0;123801.0;4696198.0;216875.0;4938060.0;251734.0;1.16883828044;1.30353812696;1.43895151107,23204.0 333.0 109536;22985.0 745.0 109476;7531.0 260.0 109574;8280.0 290.0 109575;6651.0 273.0 109576;9774.0 367.0 109577;8646.0 178.0 109578;8468.0 268.0 109580;8174.0 306.0 109581;88489.0 4927.0 109582;17347.0 585.0 109517;7470.0 298.0 109584;5822.0 187.0 109585;5755.0 83.0 109586;2014.0 28.0 109587;4400.0 115.0 109588;1038.0 4.0 109589;292276.0 10305.0 109524;5049.0 95.0 109583;7243.0 267.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1008;109476 955;109574 968;109575 910;109576 1026;109577 956;109578 1033;109580 1032;109581 1062;109582 1022;109517 1073;109584 1041;109585 971;109586 989;109587 946;109588 1030;109589 991;109524 986;109583 999;109572 1002
data,1241422500,4911110.0;173970.0;2990048.0;123806.0;4697260.0;216898.0;4939118.0;251752.0;1.16887704639;1.30351563885;1.43889407947,23224.0 333.0 109536;22998.0 745.0 109476;7550.0 261.0 109574;8299.0 291.0 109575;6665.0 273.0 109576;9794.0 368.0 109577;8659.0 178.0 109578;8492.0 268.0 109580;8184.0 306.0 109581;88499.0 4927.0 109582;5068.0 95.0 109583;7486.0 298.0 109584;5840.0 187.0 109585;5769.0 83.0 109586;2030.0 29.0 109587;292292.0 10305.0 109524;1050.0 4.0 109589;7256.0 267.0 109572;17374.0 585.0 109517;4416.0 116.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109476 976;109574 1046;109575 1034;109576 987;109577 1021;109578 1062;109580 948;109581 977;109582 1018;109583 944;109584 1037;109585 989;109586 983;109587 1008;109524 1010;109589 985;109572 973;109517 971;109588 1026
data,1241423400,4912109.0;173991.0;2990341.0;123813.0;4698223.0;216914.0;4940084.0;251761.0;1.16892525655;1.30345237428;1.43878311471,23241.0 333.0 109536;23011.0 745.0 109476;7565.0 261.0 109574;8309.0 291.0 109575;8199.0 307.0 109581;9807.0 368.0 109577;8673.0 178.0 109578;8510.0 269.0 109580;17390.0 585.0 109517;88516.0 4928.0 109582;5078.0 96.0 109583;7497.0 298.0 109584;5855.0 187.0 109585;5786.0 83.0 109586;2046.0 29.0 109587;4433.0 116.0 109588;1063.0 5.0 109589;6679.0 274.0 109576;7272.0 267.0 109572;292308.0 10306.0 109524,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 995;109476 991;109574 1023;109575 1013;109581 990;109577 1008;109578 993;109580 1025;109517 1013;109582 998;109583 1010;109584 968;109585 1022;109586 954;109587 968;109588 1059;109589 1008;109576 932;109572 1040;109524 990
data,1241424300,4913145.0;174009.0;2990660.0;123818.0;4699237.0;216930.0;4941144.0;251778.0;1.16897335696;1.3034072666;1.43872615543,23259.0 333.0 109536;7281.0 267.0 109572;7579.0 263.0 109574;8330.0 292.0 109575;6701.0 274.0 109576;9828.0 368.0 109577;8687.0 178.0 109578;8525.0 269.0 109580;8215.0 307.0 109581;88533.0 4928.0 109582;17410.0 586.0 109517;7514.0 299.0 109584;5874.0 187.0 109585;5801.0 83.0 109586;2058.0 29.0 109587;4445.0 116.0 109588;1080.0 5.0 109589;23030.0 745.0 109476;5089.0 96.0 109583;292318.0 10306.0 109524,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 997;109572 1029;109574 997;109575 978;109576 967;109577 1053;109578 946;109580 962;109581 1024;109582 1033;109517 1064;109584 1006;109585 996;109586 1025;109587 944;109588 967;109589 989;109476 994;109583 1006;109524 1023
data,1241424900,4914171.0;174023.0;2990957.0;123825.0;4700209.0;216948.0;4942150.0;251796.0;1.16907340445;1.30341313886;1.43872078397,23276.0 333.0 109536;5105.0 96.0 109583;7289.0 267.0 109572;7595.0 263.0 109574;8350.0 294.0 109575;6709.0 274.0 109576;9852.0 369.0 109577;8702.0 178.0 109578;8543.0 269.0 109580;17420.0 586.0 109517;88550.0 4930.0 109582;8220.0 307.0 109581;7529.0 300.0 109584;5887.0 187.0 109585;5814.0 83.0 109586;2074.0 29.0 109587;292330.0 10306.0 109524;1097.0 5.0 109589;4459.0 116.0 109588;23053.0 746.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 991;109583 1004;109572 1025;109574 1003;109575 1014;109576 976;109577 1020;109578 935;109580 948;109517 1043;109582 1020;109581 990;109584 1059;109585 962;109586 1034;109587 972;109524 1019;109589 1025;109588 963;109476 997
data,1241425800,4915188.0;174032.0;2991227.0;123828.0;4701274.0;216959.0;4943111.0;251816.0;1.16917766068;1.30338623309;1.43877863678,23281.0 333.0 109536;7299.0 267.0 109572;7604.0 263.0 109574;8361.0 294.0 109575;6728.0 275.0 109576;9868.0 369.0 109577;8712.0 178.0 109578;8562.0 270.0 109580;17435.0 587.0 109517;88563.0 4930.0 109582;8232.0 307.0 109581;7543.0 300.0 109584;5903.0 187.0 109585;5822.0 83.0 109586;2090.0 29.0 109587;4477.0 116.0 109588;1109.0 5.0 109589;23064.0 746.0 109476;5124.0 96.0 109583;292347.0 10306.0 109524,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1038;109572 979;109574 967;109575 988;109576 1025;109577 1025;109578 1033;109580 1040;109517 1001;109582 945;109581 961;109584 1003;109585 1016;109586 1054;109587 1028;109588 970;109589 971;109476 1003;109583 957;109524 996
data,1241426700,4916189.0;174046.0;2991509.0;123834.0;4702260.0;216974.0;4944121.0;251833.0;1.16926812799;1.30336357873;1.43875906295,23302.0 333.0 109536;7312.0 267.0 109572;7616.0 263.0 109574;8369.0 294.0 109575;6743.0 277.0 109576;9882.0 369.0 109577;8726.0 178.0 109578;8576.0 271.0 109580;8250.0 307.0 109581;88576.0 4930.0 109582;5141.0 97.0 109583;7557.0 301.0 109584;5911.0 187.0 109585;5834.0 83.0 109586;2104.0 29.0 109587;4490.0 116.0 109588;1124.0 6.0 109589;23082.0 746.0 109476;292358.0 10306.0 109524;17453.0 587.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1023;109572 994;109574 945;109575 962;109576 1002;109577 1026;109578 960;109580 964;109581 993;109582 1035;109583 1025;109584 1058;109585 987;109586 1042;109587 983;109588 1003;109589 1013;109476 1036;109524 983;109517 966
data,1241427300,4917176.0;174066.0;2991790.0;123835.0;4703270.0;216988.0;4945117.0;251849.0;1.1692681125;1.3032796371;1.438684164,23318.0 333.0 109536;23093.0 746.0 109476;7632.0 263.0 109574;8384.0 294.0 109575;6755.0 277.0 109576;9894.0 369.0 109577;88588.0 4930.0 109582;8263.0 308.0 109581;17472.0 587.0 109517;8586.0 271.0 109580;5155.0 97.0 109583;7564.0 301.0 109584;5925.0 187.0 109585;5855.0 83.0 109586;2121.0 29.0 109587;292371.0 10306.0 109524;1137.0 6.0 109589;4507.0 116.0 109588;8739.0 178.0 109578;7328.0 267.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1047;109476 997;109574 1003;109575 976;109576 1026;109577 986;109582 975;109581 990;109517 1000;109580 1044;109583 987;109584 986;109585 967;109586 976;109587 992;109524 1038;109589 1049;109588 986;109578 973;109572 1002
