
New Run at  02/16/2015 07:40:18
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241766300,1588239.0;58450.0;1586189.0;61510.0;1508437.0;69667.0;1599404.0;85923.0;1.05371250447;1.25496401634;1.45976381759,2008.0 55.0 109697;1943.0 58.0 109698;263084.0 11376.0 109635;1641.0 74.0 109699;1493.0 43.0 109701;1348.0 25.0 109702;1275.0 52.0 109704;2707.0 101.0 109673;1086.0 39.0 109706;1037.0 42.0 109675;638.0 29.0 109708;606.0 21.0 109709;475.0 23.0 109710;668.0 19.0 109707;1966.0 56.0 109651;56.0 1.0 109716;2784.0 107.0 109689;2499.0 87.0 109690;5012.0 130.0 109667;5653.0 83.0 109660,109697.0 11555;109635.0 11555;109667.0 11555;109699.0 11555;109701.0 11555;109702.0 11555;109704.0 11555;109673.0 11555;109706.0 11555;109707.0 11555;109708.0 11555;109709.0 11555;109710.0 11555;109651.0 11555;109716.0 11555;109698.0 11555;109689.0 11555;109690.0 11555;109675.0 11555;109660.0 11555,109697 568;109698 594;109635 570;109699 570;109701 602;109702 549;109704 602;109673 571;109706 581;109675 561;109708 589;109709 604;109710 584;109707 559;109651 581;109716 592;109689 590;109690 578;109667 555;109660 555
data,1241766900,1589266.0;58480.0;1587217.0;61532.0;1509396.0;69685.0;1600387.0;85941.0;1.05354709381;1.25465793634;1.45936731848,2026.0 55.0 109697;1955.0 59.0 109698;5024.0 130.0 109667;1661.0 74.0 109699;1503.0 43.0 109701;1363.0 26.0 109702;1282.0 52.0 109704;2725.0 101.0 109673;1098.0 39.0 109706;1050.0 42.0 109675;652.0 29.0 109708;628.0 21.0 109709;495.0 23.0 109710;1982.0 56.0 109651;682.0 19.0 109707;263836.0 11394.0 109635;2795.0 107.0 109689;75.0 3.0 109716;2508.0 87.0 109690;5667.0 83.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1003;109698 1008;109667 1045;109699 1015;109701 986;109702 979;109704 958;109673 963;109706 998;109675 976;109708 1020;109709 1037;109710 1035;109651 976;109707 1038;109635 1023;109689 940;109716 1023;109690 985;109660 992
data,1241767800,1590298.0;58504.0;1588220.0;61559.0;1510374.0;69702.0;1601413.0;85972.0;1.05359535668;1.2544509685;1.45930688896,2048.0 56.0 109697;1975.0 59.0 109698;5045.0 131.0 109667;1513.0 43.0 109701;1377.0 26.0 109702;1300.0 52.0 109704;2738.0 103.0 109673;1105.0 39.0 109706;699.0 19.0 109707;665.0 29.0 109708;638.0 22.0 109709;508.0 24.0 109710;1993.0 56.0 109651;1672.0 75.0 109699;91.0 3.0 109716;264569.0 11413.0 109635;2812.0 107.0 109689;2515.0 88.0 109690;1064.0 42.0 109675;5683.0 83.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 993;109667 1018;109701 949;109702 959;109704 1026;109673 1025;109706 946;109707 996;109708 967;109709 1053;109710 1061;109651 967;109699 1031;109716 1000;109635 997;109689 1021;109690 963;109675 984;109660 1051
data,1241768700,1591315.0;58521.0;1589206.0;61582.0;1511392.0;69721.0;1602419.0;85999.0;1.05370250175;1.25438515652;1.45935763085,2058.0 57.0 109697;1981.0 59.0 109698;265281.0 11430.0 109635;1693.0 76.0 109699;1536.0 43.0 109701;1389.0 26.0 109702;1316.0 52.0 109704;2760.0 103.0 109673;1121.0 39.0 109706;717.0 19.0 109707;674.0 29.0 109708;647.0 22.0 109709;529.0 25.0 109710;2003.0 56.0 109651;106.0 3.0 109716;5060.0 131.0 109667;2824.0 107.0 109689;2520.0 89.0 109690;1082.0 43.0 109675;5699.0 84.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 969;109698 1042;109635 1001;109699 1001;109701 1055;109702 1029;109704 955;109673 1064;109706 1048;109707 1000;109708 1002;109709 955;109710 988;109651 967;109716 1003;109667 924;109689 979;109690 1021;109675 1016;109660 981
data,1241769300,1592299.0;58539.0;1590217.0;61609.0;1512407.0;69751.0;1603440.0;86026.0;1.05382158746;1.25447231893;1.45933950557,2073.0 57.0 109697;266009.0 11450.0 109635;1709.0 76.0 109699;1547.0 43.0 109701;1408.0 26.0 109702;1332.0 52.0 109704;2773.0 103.0 109673;1134.0 39.0 109706;732.0 19.0 109707;688.0 30.0 109708;667.0 23.0 109709;540.0 25.0 109710;2017.0 57.0 109651;125.0 3.0 109716;2001.0 60.0 109698;5070.0 131.0 109667;2838.0 107.0 109689;2533.0 90.0 109690;1101.0 44.0 109675;5710.0 85.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 974;109635 1019;109699 982;109701 989;109702 964;109704 1026;109673 993;109706 997;109707 971;109708 1024;109709 1028;109710 1000;109651 1008;109716 932;109698 987;109667 952;109689 986;109690 1072;109675 994;109660 1102
data,1241770200,1593294.0;58564.0;1591273.0;61642.0;1513395.0;69779.0;1604495.0;86064.0;1.053894689;1.25440459217;1.45931265148,2087.0 57.0 109697;266785.0 11480.0 109635;1720.0 76.0 109699;1567.0 43.0 109701;1418.0 26.0 109702;1349.0 52.0 109704;2789.0 103.0 109673;1146.0 39.0 109706;1111.0 44.0 109675;709.0 30.0 109708;678.0 25.0 109709;566.0 25.0 109710;743.0 19.0 109707;2029.0 57.0 109651;138.0 3.0 109716;2017.0 60.0 109698;2853.0 107.0 109689;2546.0 91.0 109690;5087.0 131.0 109667;5725.0 85.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1020;109635 1058;109699 1001;109701 965;109702 1021;109704 1029;109673 968;109706 948;109675 990;109708 1004;109709 1007;109710 969;109707 1065;109651 1012;109716 983;109698 1043;109689 913;109690 996;109667 1022;109660 986
data,1241771100,1594314.0;58588.0;1592316.0;61671.0;1514388.0;69799.0;1605563.0;86091.0;1.05394250178;1.25423012519;1.4591353798,2103.0 57.0 109697;2033.0 60.0 109698;1740.0 76.0 109699;1579.0 43.0 109701;1440.0 26.0 109702;1370.0 53.0 109704;2799.0 104.0 109673;1162.0 39.0 109706;1124.0 44.0 109675;726.0 31.0 109708;689.0 25.0 109709;582.0 26.0 109710;758.0 19.0 109707;267530.0 11501.0 109635;5104.0 131.0 109667;155.0 4.0 109716;2044.0 57.0 109651;2865.0 108.0 109689;2564.0 93.0 109690;5739.0 85.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 989;109698 1033;109699 1022;109701 997;109702 1020;109704 1028;109673 955;109706 1013;109675 993;109708 952;109709 982;109710 962;109707 960;109635 1040;109667 985;109716 1003;109651 948;109689 1090;109690 1018;109660 1010
data,1241772000,1595342.0;58607.0;1593325.0;61693.0;1515388.0;69819.0;1606572.0;86106.0;1.05398838964;1.25416330021;1.45894032713,2119.0 57.0 109697;2049.0 60.0 109698;774.0 19.0 109707;1756.0 76.0 109699;1592.0 44.0 109701;1457.0 26.0 109702;1385.0 53.0 109704;2820.0 104.0 109673;1179.0 41.0 109706;1139.0 45.0 109675;740.0 31.0 109708;710.0 27.0 109709;596.0 26.0 109710;2064.0 57.0 109651;163.0 4.0 109716;268246.0 11515.0 109635;2878.0 109.0 109689;2577.0 93.0 109690;5118.0 132.0 109667;5753.0 85.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1006;109698 1027;109707 987;109699 959;109701 998;109702 1028;109704 1031;109673 972;109706 1051;109675 958;109708 1042;109709 989;109710 1011;109651 928;109716 1013;109635 1003;109689 1015;109690 999;109667 1018;109660 965
data,1241772900,1596365.0;58632.0;1594269.0;61718.0;1516415.0;69833.0;1607587.0;86135.0;1.05401728097;1.25383421428;1.45882319944,2136.0 57.0 109697;2063.0 60.0 109698;268912.0 11535.0 109635;1608.0 45.0 109701;1469.0 26.0 109702;1162.0 45.0 109675;1407.0 53.0 109704;2831.0 104.0 109673;1195.0 41.0 109706;785.0 19.0 109707;754.0 31.0 109708;722.0 28.0 109709;610.0 28.0 109710;1769.0 76.0 109699;181.0 5.0 109716;2077.0 57.0 109651;2896.0 109.0 109689;2590.0 93.0 109690;5126.0 132.0 109667;5766.0 85.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 972;109698 1031;109635 988;109701 978;109702 958;109675 996;109704 1083;109673 994;109706 981;109707 991;109708 1001;109709 987;109710 975;109699 1008;109716 1034;109651 1012;109689 1003;109690 975;109667 983;109660 1050
data,1241773800,1597376.0;58649.0;1595280.0;61738.0;1517369.0;69843.0;1608580.0;86150.0;1.05405234654;1.25365553341;1.45867708538,2156.0 57.0 109697;2074.0 61.0 109698;269609.0 11549.0 109635;1784.0 77.0 109699;1625.0 46.0 109701;1488.0 26.0 109702;1427.0 53.0 109704;2845.0 104.0 109673;1215.0 42.0 109706;803.0 19.0 109707;771.0 31.0 109708;733.0 28.0 109709;624.0 29.0 109710;2090.0 57.0 109651;200.0 5.0 109716;5142.0 132.0 109667;2913.0 110.0 109689;2608.0 93.0 109690;1181.0 45.0 109675;5782.0 85.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 943;109698 1024;109635 987;109699 987;109701 958;109702 974;109704 1040;109673 998;109706 1017;109707 997;109708 1023;109709 1005;109710 1012;109651 1012;109716 974;109667 945;109689 1006;109690 1087;109675 1007;109660 1004
