
New Run at  02/05/2015 01:08:41
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,970.0;24.0;952.0;36.0;984.0;30.0;974.0;17.0;1.52836134454;1.23221544715;0.705424366872,59.0 3.0 109473;66.0 4.0 109506;72.0 4.0 109508;47.0 2.0 109509;50.0 1.0 109510;36.0 2.0 109511;42.0 2.0 109512;49.0 2.0 109513;29.0 0.0 109514;40.0 1.0 109515;34.0 0.0 109484;45.0 2.0 109453;47.0 1.0 109492;55.0 4.0 109505;46.0 1.0 109494;34.0 1.0 109495;38.0 0.0 109498;58.0 2.0 109501;47.0 2.0 109502;58.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1986.0;60.0;1945.0;65.0;1985.0;65.0;1977.0;35.0;1.10616966581;1.0838790932;0.585988872028,131.0 5.0 109473;153.0 9.0 109506;135.0 7.0 109508;119.0 3.0 109509;90.0 2.0 109510;84.0 5.0 109505;83.0 2.0 109512;90.0 3.0 109513;54.0 0.0 109514;75.0 1.0 109515;57.0 0.0 109484;93.0 3.0 109453;20.0 1.0 109519;91.0 1.0 109492;82.0 1.0 109494;81.0 2.0 109495;106.0 6.0 109511;70.0 1.0 109498;123.0 6.0 109501;77.0 2.0 109502;131.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2965.0;84.0;2951.0;90.0;3013.0;92.0;2999.0;59.0;1.07651159413;1.07778989458;0.694417980597,193.0 5.0 109473;255.0 10.0 109506;209.0 9.0 109508;161.0 4.0 109509;155.0 7.0 109510;187.0 10.0 109511;126.0 2.0 109512;131.0 4.0 109513;91.0 2.0 109514;102.0 1.0 109515;92.0 1.0 109484;132.0 3.0 109453;52.0 1.0 109519;132.0 2.0 109492;117.0 1.0 109494;123.0 2.0 109495;102.0 1.0 109498;190.0 7.0 109501;109.0 2.0 109502;208.0 11.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3958.0;111.0;3956.0;120.0;4053.0;118.0;4005.0;86.0;1.0816276337;1.03814547338;0.765682536469,224.0 5.0 109473;319.0 12.0 109506;288.0 9.0 109508;215.0 5.0 109509;247.0 9.0 109510;294.0 14.0 109511;154.0 2.0 109512;190.0 7.0 109513;120.0 3.0 109514;125.0 2.0 109515;115.0 1.0 109484;174.0 5.0 109453;73.0 1.0 109519;167.0 3.0 109492;143.0 1.0 109494;152.0 2.0 109495;132.0 3.0 109498;267.0 10.0 109501;140.0 3.0 109502;333.0 18.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4935.0;135.0;4891.0;143.0;5061.0;146.0;5059.0;104.0;1.0687884777;1.05455663132;0.751487997189,248.0 5.0 109473;374.0 14.0 109506;336.0 9.0 109508;249.0 5.0 109509;337.0 13.0 109510;389.0 15.0 109511;180.0 4.0 109512;251.0 8.0 109513;155.0 3.0 109514;148.0 2.0 109515;135.0 1.0 109484;222.0 7.0 109453;91.0 1.0 109519;189.0 3.0 109492;168.0 2.0 109494;179.0 3.0 109495;171.0 4.0 109498;328.0 10.0 109501;187.0 6.0 109502;470.0 23.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5958.0;163.0;5853.0;165.0;6098.0;164.0;6154.0;132.0;1.03042957363;0.983035773572;0.784023957683,274.0 5.0 109473;479.0 19.0 109506;358.0 9.0 109508;283.0 7.0 109509;418.0 14.0 109510;453.0 15.0 109511;204.0 4.0 109512;302.0 10.0 109513;185.0 3.0 109514;169.0 3.0 109515;155.0 1.0 109484;310.0 10.0 109453;113.0 1.0 109519;214.0 3.0 109492;202.0 3.0 109494;190.0 3.0 109495;204.0 4.0 109498;380.0 10.0 109501;237.0 7.0 109502;639.0 29.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6978.0;196.0;6860.0;189.0;7113.0;186.0;7174.0;152.0;0.980872553103;0.93096859157;0.754322582113,296.0 5.0 109473;554.0 19.0 109506;385.0 10.0 109508;329.0 8.0 109509;502.0 16.0 109510;519.0 18.0 109511;225.0 4.0 109512;373.0 14.0 109513;206.0 4.0 109514;211.0 4.0 109515;177.0 1.0 109484;376.0 10.0 109453;129.0 1.0 109519;239.0 3.0 109492;229.0 3.0 109494;216.0 4.0 109495;230.0 5.0 109498;440.0 11.0 109501;285.0 7.0 109502;855.0 37.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7861.0;212.0;7844.0;215.0;8153.0;210.0;8159.0;170.0;1.01634887379;0.955088878038;0.77259861202,323.0 5.0 109473;632.0 21.0 109506;415.0 10.0 109508;378.0 10.0 109509;586.0 19.0 109510;613.0 21.0 109511;263.0 5.0 109512;443.0 17.0 109513;228.0 5.0 109514;233.0 4.0 109515;193.0 1.0 109484;411.0 10.0 109453;141.0 1.0 109519;269.0 4.0 109492;252.0 4.0 109494;245.0 4.0 109495;257.0 5.0 109498;476.0 11.0 109501;316.0 7.0 109502;1086.0 46.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8834.0;241.0;8821.0;237.0;9172.0;231.0;9204.0;194.0;0.984851784759;0.923184036568;0.772619157105,342.0 5.0 109473;702.0 21.0 109506;448.0 10.0 109508;436.0 12.0 109509;658.0 20.0 109510;702.0 22.0 109511;288.0 6.0 109512;541.0 20.0 109513;253.0 7.0 109514;256.0 4.0 109515;208.0 1.0 109484;441.0 10.0 109453;158.0 1.0 109519;296.0 5.0 109492;268.0 4.0 109494;264.0 4.0 109495;270.0 6.0 109498;514.0 11.0 109501;345.0 8.0 109502;1347.0 55.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9841.0;273.0;9813.0;265.0;10225.0;255.0;10215.0;226.0;0.973465713606;0.898987076493;0.797529310305,363.0 7.0 109473;762.0 22.0 109506;469.0 11.0 109508;489.0 12.0 109509;733.0 23.0 109510;744.0 22.0 109511;321.0 7.0 109512;652.0 24.0 109513;277.0 7.0 109514;272.0 4.0 109515;229.0 1.0 109484;474.0 11.0 109453;170.0 1.0 109519;321.0 5.0 109492;306.0 6.0 109494;281.0 4.0 109495;288.0 6.0 109498;528.0 11.0 109501;377.0 9.0 109502;1673.0 67.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
