data,1241262000,236285.0;9460.0;236239.0;11253.0;220351.0;8497.0;237919.0;10354.0;1.18976650765;0.963153724574;1.08698625086,1926.0 28.0 109536;3903.0 154.0 109542;14708.0 709.0 109510;1536.0 27.0 109543;2404.0 81.0 109544;6725.0 302.0 109417;1206.0 23.0 109546;1381.0 35.0 109547;1181.0 19.0 109548;1046.0 24.0 109550;485.0 7.0 109552;10970.0 489.0 109524;13054.0 633.0 109525;1806.0 29.0 109545;3183.0 81.0 109529;5850.0 237.0 109530;3068.0 87.0 109531;2443.0 54.0 109533;5749.0 250.0 109534,109536.0 8635;109542.0 8635;109510.0 8635;109543.0 8635;109544.0 8635;109417.0 8635;109546.0 8635;109547.0 8635;109548.0 8635;109550.0 8635;109552.0 8635;109524.0 8635;109525.0 8635;109545.0 8635;109529.0 8635;109530.0 8635;109531.0 8635;109533.0 8635;109534.0 8635,109536 434;109542 463;109510 467;109543 444;109544 467;109417 457;109546 464;109547 434;109548 429;109550 497;109552 481;109524 476;109525 457;109545 448;109529 412;109530 448;109531 461;109533 458;109534 438
data,1241262300,236867.0;9469.0;236819.0;11267.0;220966.0;8513.0;238480.0;10371.0;1.19012394848;0.963734979742;1.087850246,1964.0 29.0 109536;3932.0 154.0 109542;14737.0 710.0 109510;1570.0 29.0 109543;2437.0 83.0 109544;6756.0 304.0 109417;1233.0 23.0 109546;1405.0 36.0 109547;1206.0 19.0 109548;1079.0 25.0 109550;510.0 8.0 109552;10998.0 489.0 109524;13085.0 635.0 109525;1843.0 29.0 109545;3210.0 81.0 109529;5886.0 237.0 109530;3104.0 88.0 109531;2468.0 54.0 109533;5781.0 250.0 109534,109536.0 11365;109542.0 11365;109510.0 11365;109543.0 11365;109544.0 11365;109417.0 11365;109546.0 11365;109547.0 11365;109548.0 11365;109550.0 11365;109552.0 11365;109524.0 11365;109525.0 11365;109545.0 11365;109529.0 11365;109530.0 11365;109531.0 11365;109533.0 11365;109534.0 11365,109536 598;109542 565;109510 616;109543 580;109544 586;109417 586;109546 574;109547 568;109548 619;109550 611;109552 594;109524 624;109525 587;109545 559;109529 600;109530 616;109531 635;109533 619;109534 628
data,1241263200,237870.0;9501.0;237851.0;11287.0;222014.0;8532.0;239493.0;10405.0;1.18807511078;0.962145692181;1.08772626347,2017.0 29.0 109536;14790.0 710.0 109510;3979.0 156.0 109542;1620.0 29.0 109543;2518.0 84.0 109544;6800.0 304.0 109417;1278.0 24.0 109546;1458.0 37.0 109547;1254.0 22.0 109548;1132.0 25.0 109550;573.0 9.0 109552;11060.0 492.0 109524;13186.0 640.0 109525;1898.0 29.0 109545;3257.0 83.0 109529;5926.0 238.0 109530;3160.0 88.0 109531;2504.0 54.0 109533;5826.0 250.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1056;109510 1055;109542 1033;109543 982;109544 1051;109417 1038;109546 1017;109547 1013;109548 1039;109550 1087;109552 1068;109524 1022;109525 1069;109545 1081;109529 1059;109530 1116;109531 1098;109533 1076;109534 1040
data,1241263800,238909.0;9527.0;238850.0;11311.0;223077.0;8559.0;240586.0;10436.0;1.18755054149;0.962153970261;1.08777748152,2068.0 29.0 109536;14845.0 712.0 109510;4022.0 158.0 109542;1670.0 29.0 109543;2580.0 86.0 109544;1945.0 30.0 109545;1323.0 26.0 109546;1506.0 39.0 109547;1321.0 22.0 109548;1185.0 27.0 109550;620.0 9.0 109552;11117.0 492.0 109524;13279.0 640.0 109525;6850.0 308.0 109417;3305.0 83.0 109529;5987.0 240.0 109530;3203.0 89.0 109531;2559.0 58.0 109533;5850.0 250.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1061;109510 1107;109542 999;109543 1057;109544 1001;109545 1075;109546 1015;109547 1093;109548 1070;109550 1080;109552 1008;109524 1037;109525 1067;109417 1021;109529 1068;109530 1035;109531 1063;109533 1094;109534 1049
data,1241264400,239949.0;9561.0;239920.0;11340.0;224116.0;8588.0;241654.0;10466.0;1.18621176727;0.961689333827;1.08693198359,2101.0 29.0 109536;4090.0 161.0 109542;14896.0 714.0 109510;1698.0 29.0 109543;2640.0 86.0 109544;6980.0 315.0 109417;1372.0 27.0 109546;1574.0 40.0 109547;1374.0 23.0 109548;1244.0 28.0 109550;645.0 9.0 109552;11149.0 492.0 109524;13354.0 642.0 109525;1984.0 31.0 109545;3356.0 85.0 109529;6076.0 244.0 109530;3252.0 90.0 109531;2642.0 60.0 109533;5878.0 251.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1043;109542 1109;109510 1050;109543 1077;109544 1048;109417 1061;109546 1050;109547 1068;109548 1042;109550 1016;109552 1057;109524 1111;109525 1047;109545 1026;109529 1024;109530 998;109531 1017;109533 1089;109534 1067
data,1241265000,241013.0;9586.0;240955.0;11376.0;225213.0;8617.0;242737.0;10505.0;1.18701630543;0.961979198626;1.08808574471,2151.0 32.0 109536;4175.0 163.0 109542;14936.0 715.0 109510;1730.0 29.0 109543;2683.0 87.0 109544;2019.0 32.0 109545;1432.0 28.0 109546;1621.0 41.0 109547;1407.0 23.0 109548;1289.0 29.0 109550;671.0 11.0 109552;11195.0 495.0 109524;13408.0 642.0 109525;7129.0 321.0 109417;3402.0 86.0 109529;6174.0 247.0 109530;3292.0 91.0 109531;2689.0 61.0 109533;5937.0 259.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1032;109542 983;109510 1096;109543 1054;109544 1025;109545 1048;109546 1064;109547 1083;109548 1074;109550 998;109552 1111;109524 1088;109525 1061;109417 1087;109529 1014;109530 1080;109531 1059;109533 993;109534 1050
data,1241265600,242069.0;9621.0;241968.0;11412.0;226260.0;8638.0;243754.0;10549.0;1.18665039906;0.960559736234;1.08887619302,2183.0 32.0 109536;4233.0 165.0 109542;14977.0 716.0 109510;1761.0 29.0 109543;2727.0 88.0 109544;2046.0 32.0 109545;1471.0 29.0 109546;1670.0 46.0 109547;1439.0 24.0 109548;1317.0 29.0 109550;732.0 13.0 109552;11236.0 495.0 109524;13458.0 644.0 109525;7327.0 336.0 109417;3452.0 88.0 109529;6232.0 247.0 109530;3330.0 92.0 109531;2737.0 61.0 109533;6025.0 262.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1075;109542 1017;109510 1022;109543 1110;109544 1073;109545 1042;109546 1087;109547 1017;109548 992;109550 1119;109552 1074;109524 1002;109525 1106;109417 1048;109529 1040;109530 1066;109531 1052;109533 1027;109534 1031
data,1241266200,243079.0;9649.0;243028.0;11459.0;227307.0;8661.0;244825.0;10590.0;1.18783342297;0.959887559413;1.0896959369,2205.0 33.0 109536;4288.0 167.0 109542;15025.0 719.0 109510;1778.0 29.0 109543;2774.0 91.0 109544;2064.0 32.0 109545;1499.0 29.0 109546;1749.0 51.0 109547;1466.0 24.0 109548;1348.0 29.0 109550;760.0 13.0 109552;11288.0 499.0 109524;13530.0 649.0 109525;7631.0 356.0 109417;3486.0 88.0 109529;6260.0 247.0 109530;3369.0 93.0 109531;2789.0 63.0 109533;6104.0 263.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1086;109542 1034;109510 1070;109543 988;109544 1047;109545 1028;109546 1018;109547 1071;109548 1080;109550 1083;109552 1059;109524 1056;109525 1036;109417 1082;109529 1043;109530 1025;109531 1103;109533 1053;109534 1038
data,1241266800,244169.0;9681.0;244107.0;11506.0;228333.0;8692.0;245888.0;10633.0;1.18881545028;0.960110765361;1.09065848849,2234.0 34.0 109536;15075.0 722.0 109510;4349.0 170.0 109542;1798.0 29.0 109543;2832.0 94.0 109544;8019.0 378.0 109417;1525.0 29.0 109546;1817.0 53.0 109547;1484.0 25.0 109548;1366.0 29.0 109550;784.0 14.0 109552;11351.0 502.0 109524;13601.0 655.0 109525;2088.0 33.0 109545;3510.0 88.0 109529;6291.0 247.0 109530;3390.0 93.0 109531;2827.0 64.0 109533;6151.0 263.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1069;109542 1081;109543 1008;109544 1027;109417 1080;109546 1101;109547 1063;109548 994;109550 1079;109552 1080;109524 1063;109525 1037;109545 1013;109529 1050;109530 1054;109531 1008;109533 1076;109534 1083
data,1241267400,245160.0;9699.0;245163.0;11555.0;229362.0;8727.0;246971.0;10683.0;1.19134535563;0.961758785899;1.09337696872,2260.0 34.0 109536;15133.0 724.0 109510;4393.0 172.0 109542;1821.0 29.0 109543;2875.0 97.0 109544;8381.0 398.0 109417;1541.0 30.0 109546;1881.0 56.0 109547;1506.0 25.0 109548;1381.0 30.0 109550;816.0 16.0 109552;11407.0 503.0 109524;13747.0 662.0 109525;2107.0 34.0 109545;3538.0 89.0 109529;6315.0 249.0 109530;3412.0 94.0 109531;2860.0 65.0 109533;6174.0 264.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1040;109510 1075;109542 1018;109543 1070;109544 1091;109417 1018;109546 1016;109547 1083;109548 1047;109550 1000;109552 1077;109524 1110;109525 1010;109545 1003;109529 1098;109530 1098;109531 1013;109533 1099;109534 1034
data,1241267700,246214.0;9727.0;246231.0;11596.0;230410.0;8765.0;248014.0;10725.0;1.19206326742;0.962907178481;1.09459871,2274.0 34.0 109536;4442.0 174.0 109542;15193.0 727.0 109510;1839.0 29.0 109543;2929.0 99.0 109544;8770.0 417.0 109417;1556.0 31.0 109546;1929.0 58.0 109547;1526.0 25.0 109548;1413.0 30.0 109550;853.0 17.0 109552;11460.0 506.0 109524;13882.0 669.0 109525;2129.0 34.0 109545;3561.0 89.0 109529;6340.0 249.0 109530;3431.0 94.0 109531;2896.0 66.0 109533;6193.0 264.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1032;109542 1084;109510 1054;109543 1080;109544 1058;109417 1063;109546 1068;109547 1043;109548 1059;109550 1065;109552 1059;109524 1087;109525 1076;109545 1043;109529 1052;109530 1033;109531 1046;109533 1052;109534 946
