data,1241395200,527593.0;18581.0;528908.0;22155.0;497191.0;16973.0;530598.0;20136.0;1.18938254277;0.969315804987;1.07755025829,5769.0 183.0 109569;2943.0 98.0 109572;3715.0 139.0 109573;3669.0 155.0 109574;2989.0 127.0 109575;3240.0 140.0 109576;2913.0 118.0 109577;967.0 21.0 109578;1607.0 67.0 109579;1107.0 32.0 109580;747.0 23.0 109581;3918.0 222.0 109582;116.0 1.0 109583;93.0 5.0 109585;79.0 1.0 109586;15741.0 606.0 109476;2882.0 106.0 109517;26694.0 1084.0 109524;8229.0 109.0 109536;3407.0 128.0 109539;13300.0 472.0 109551;12349.0 461.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,528082.0;18604.0;529382.0;22173.0;497651.0;16989.0;531080.0;20153.0;1.18891366939;0.96903166557;1.07714654314,5792.0 184.0 109569;2975.0 100.0 109572;3750.0 142.0 109573;3688.0 155.0 109574;3014.0 127.0 109575;3261.0 141.0 109576;2923.0 118.0 109577;989.0 23.0 109578;1624.0 67.0 109579;1137.0 34.0 109580;768.0 23.0 109581;3943.0 224.0 109582;140.0 1.0 109583;112.0 5.0 109585;99.0 1.0 109586;15757.0 606.0 109476;2896.0 106.0 109517;26716.0 1086.0 109524;8251.0 110.0 109536;3432.0 129.0 109539;13314.0 472.0 109551;12367.0 462.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,529002.0;18631.0;530305.0;22206.0;498548.0;17024.0;531953.0;20187.0;1.1889559421;0.969562434278;1.07750592932,5830.0 186.0 109569;3019.0 101.0 109572;3819.0 147.0 109573;3726.0 156.0 109574;3049.0 127.0 109575;3303.0 142.0 109576;2948.0 118.0 109577;1036.0 24.0 109578;1672.0 70.0 109579;1189.0 36.0 109580;805.0 24.0 109581;4009.0 228.0 109582;178.0 2.0 109583;142.0 8.0 109585;124.0 1.0 109586;15791.0 606.0 109476;2938.0 106.0 109517;26788.0 1091.0 109524;8289.0 111.0 109536;3458.0 129.0 109539;13352.0 474.0 109551;12406.0 462.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,529915.0;18671.0;531211.0;22236.0;499450.0;17057.0;532940.0;20219.0;1.18803227687;0.969280032148;1.07676266513,5865.0 186.0 109569;3061.0 104.0 109572;3891.0 149.0 109573;3751.0 157.0 109574;3079.0 128.0 109575;3339.0 143.0 109576;2978.0 120.0 109577;1074.0 24.0 109578;1726.0 71.0 109579;1252.0 38.0 109580;826.0 25.0 109581;4085.0 233.0 109582;203.0 2.0 109583;186.0 8.0 109585;140.0 1.0 109586;15830.0 611.0 109476;2966.0 106.0 109517;26876.0 1094.0 109524;8326.0 111.0 109536;3487.0 130.0 109539;13393.0 474.0 109551;12443.0 464.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,530820.0;18700.0;532118.0;22267.0;500340.0;17088.0;533885.0;20258.0;1.18784405968;0.969463990155;1.07709626224,5899.0 187.0 109569;3128.0 108.0 109572;3943.0 149.0 109573;3770.0 157.0 109574;3098.0 130.0 109575;3380.0 144.0 109576;3002.0 122.0 109577;1107.0 25.0 109578;1770.0 71.0 109579;1317.0 42.0 109580;849.0 26.0 109581;4205.0 239.0 109582;235.0 4.0 109583;214.0 8.0 109585;161.0 1.0 109586;15879.0 611.0 109476;2991.0 107.0 109517;26955.0 1096.0 109524;8350.0 111.0 109536;3519.0 132.0 109539;13423.0 474.0 109551;12489.0 466.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,531750.0;18730.0;532984.0;22299.0;501232.0;17123.0;534723.0;20286.0;1.18779347957;0.969863885924;1.07705350303,5932.0 188.0 109569;3190.0 110.0 109572;3980.0 150.0 109573;3793.0 158.0 109574;3152.0 134.0 109575;3412.0 144.0 109576;3026.0 122.0 109577;1132.0 25.0 109578;1821.0 74.0 109579;1386.0 45.0 109580;882.0 27.0 109581;4318.0 247.0 109582;258.0 4.0 109583;235.0 8.0 109585;169.0 1.0 109586;15922.0 613.0 109476;3013.0 108.0 109517;27004.0 1097.0 109524;8377.0 111.0 109536;3560.0 133.0 109539;13459.0 476.0 109551;12529.0 467.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,532657.0;18762.0;533935.0;22340.0;502110.0;17149.0;535656.0;20310.0;1.18785460495;0.969635342033;1.07644651638,5961.0 188.0 109569;3257.0 111.0 109572;4034.0 153.0 109573;3813.0 159.0 109574;3223.0 138.0 109575;3439.0 145.0 109576;3060.0 124.0 109577;1166.0 26.0 109578;1863.0 76.0 109579;1478.0 49.0 109580;906.0 29.0 109581;4454.0 254.0 109582;287.0 5.0 109583;254.0 9.0 109585;180.0 1.0 109586;15968.0 615.0 109476;3032.0 109.0 109517;27078.0 1100.0 109524;8400.0 113.0 109536;3602.0 136.0 109539;13484.0 476.0 109551;12562.0 467.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,533586.0;18791.0;534778.0;22373.0;503021.0;17177.0;536642.0;20346.0;1.18796931651;0.969651632729;1.07658646214,5974.0 188.0 109569;3303.0 112.0 109572;4074.0 154.0 109573;3835.0 160.0 109574;3281.0 141.0 109575;3470.0 148.0 109576;3099.0 127.0 109577;1190.0 27.0 109578;1895.0 76.0 109579;1582.0 56.0 109580;927.0 29.0 109581;4590.0 259.0 109582;316.0 6.0 109583;273.0 9.0 109585;188.0 1.0 109586;16009.0 617.0 109476;3052.0 110.0 109517;27114.0 1100.0 109524;8429.0 114.0 109536;3643.0 136.0 109539;13514.0 479.0 109551;12586.0 467.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,534471.0;18822.0;535681.0;22413.0;503927.0;17212.0;537569.0;20381.0;1.1880976176;0.969889116319;1.07658828401,6008.0 191.0 109569;3337.0 115.0 109572;4110.0 154.0 109573;3853.0 160.0 109574;3351.0 144.0 109575;3501.0 150.0 109576;3185.0 134.0 109577;1214.0 29.0 109578;1934.0 78.0 109579;1681.0 59.0 109580;955.0 32.0 109581;4725.0 263.0 109582;338.0 6.0 109583;295.0 10.0 109585;199.0 1.0 109586;16075.0 621.0 109476;3070.0 110.0 109517;27160.0 1102.0 109524;8447.0 114.0 109536;3674.0 137.0 109539;13539.0 479.0 109551;12596.0 467.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,535385.0;18852.0;536620.0;22433.0;504801.0;17236.0;538481.0;20410.0;1.18721471162;0.969672428343;1.07641908406,6037.0 191.0 109569;3398.0 116.0 109572;4143.0 156.0 109573;3869.0 160.0 109574;3422.0 144.0 109575;3553.0 152.0 109576;3272.0 135.0 109577;1241.0 29.0 109578;1969.0 78.0 109579;1762.0 60.0 109580;986.0 32.0 109581;4842.0 266.0 109582;361.0 6.0 109583;317.0 11.0 109585;213.0 1.0 109586;16125.0 621.0 109476;3105.0 112.0 109517;27208.0 1103.0 109524;8467.0 114.0 109536;3705.0 138.0 109539;13571.0 481.0 109551;12620.0 470.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,536274.0;18880.0;537544.0;22461.0;505718.0;17265.0;539427.0;20441.0;1.18686089524;0.969712341066;1.07635172093,6065.0 193.0 109569;3440.0 116.0 109572;4185.0 157.0 109573;3884.0 160.0 109574;3474.0 144.0 109575;3631.0 156.0 109576;3342.0 137.0 109577;1270.0 30.0 109578;1999.0 79.0 109579;1879.0 63.0 109580;1022.0 32.0 109581;4953.0 270.0 109582;370.0 6.0 109583;341.0 13.0 109585;224.0 1.0 109586;16175.0 623.0 109476;3143.0 114.0 109517;27243.0 1104.0 109524;8482.0 114.0 109536;3737.0 139.0 109539;13609.0 482.0 109551;12642.0 471.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
