data,1241749200,1553904.0;57194.0;1562607.0;73072.0;1458647.0;54118.0;1560051.0;62114.0;1.27050079861;1.00801094747;1.08174380095,3372.0 128.0 109696;2021.0 44.0 109697;2548.0 77.0 109698;4059.0 177.0 109699;2986.0 123.0 109700;1696.0 53.0 109701;1155.0 14.0 109702;15516.0 974.0 109703;3586.0 173.0 109704;1452.0 47.0 109706;287.0 4.0 109707;2395.0 122.0 109708;193.0 6.0 109709;28.0 2.0 109710;31583.0 1508.0 109635;2341.0 70.0 109651;6688.0 91.0 109660;6255.0 138.0 109667;5601.0 207.0 109673;1735.0 72.0 109675;7562.0 292.0 109683;4806.0 178.0 109689;3876.0 144.0 109690,109696.0 8333;109697.0 8333;109698.0 8333;109699.0 8333;109700.0 8333;109701.0 8333;109702.0 8333;109703.0 8333;109704.0 8333;109706.0 8333;109707.0 8333;109708.0 8333;109709.0 8333;109710.0 8333;109635.0 8333;109651.0 8333;109660.0 8333;109667.0 8333;109673.0 8333;109675.0 8333;109683.0 8333;109689.0 8333;109690.0 8333,109696 378;109697 376;109698 325;109699 357;109700 354;109701 333;109702 402;109703 371;109704 370;109706 377;109707 360;109708 358;109709 377;109710 365;109635 371;109651 363;109660 349;109667 340;109673 359;109675 359;109683 346;109689 377;109690 366
data,1241749500,1554382.0;57210.0;1563105.0;73092.0;1459155.0;54137.0;1560527.0;62134.0;1.27047903804;1.00804186388;1.08179217717,3387.0 129.0 109696;2037.0 44.0 109697;2572.0 77.0 109698;4079.0 178.0 109699;3006.0 123.0 109700;1726.0 56.0 109701;1179.0 14.0 109702;15541.0 974.0 109703;3611.0 173.0 109704;1476.0 47.0 109706;302.0 4.0 109707;2421.0 122.0 109708;213.0 9.0 109709;54.0 3.0 109710;31600.0 1508.0 109635;2357.0 70.0 109651;6708.0 92.0 109660;6271.0 139.0 109667;5637.0 209.0 109673;1751.0 73.0 109675;7586.0 295.0 109683;4826.0 179.0 109689;3899.0 146.0 109690,109696.0 11667;109697.0 11667;109698.0 11667;109699.0 11667;109700.0 11667;109701.0 11667;109702.0 11667;109703.0 11667;109704.0 11667;109706.0 11667;109707.0 11667;109708.0 11667;109709.0 11667;109710.0 11667;109635.0 11667;109651.0 11667;109660.0 11667;109667.0 11667;109673.0 11667;109675.0 11667;109683.0 11667;109689.0 11667;109690.0 11667,109696 462;109697 513;109698 510;109699 505;109700 505;109701 524;109702 483;109703 542;109704 496;109706 550;109707 492;109708 476;109709 509;109710 526;109635 523;109651 499;109660 507;109667 469;109673 498;109675 517;109683 510;109689 496;109690 555
data,1241749800,1555234.0;57236.0;1563948.0;73128.0;1460061.0;54169.0;1561401.0;62184.0;1.27053857127;1.00810619775;1.08215798562,3414.0 129.0 109696;2060.0 44.0 109697;2604.0 80.0 109698;4103.0 180.0 109699;3023.0 123.0 109700;1768.0 56.0 109701;1211.0 15.0 109702;15556.0 975.0 109703;3657.0 176.0 109704;1517.0 53.0 109706;333.0 5.0 109707;2463.0 124.0 109708;264.0 10.0 109709;111.0 8.0 109710;31634.0 1509.0 109635;2390.0 73.0 109651;6740.0 92.0 109660;6319.0 140.0 109667;5686.0 209.0 109673;1786.0 74.0 109675;7633.0 295.0 109683;4854.0 179.0 109689;3956.0 151.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 880;109698 912;109699 866;109700 852;109701 870;109702 855;109703 854;109704 834;109706 893;109707 859;109708 874;109709 903;109710 848;109635 895;109651 900;109660 829;109667 857;109673 882;109675 861;109683 891;109689 818;109690 886
data,1241750100,1556175.0;57265.0;1564786.0;73165.0;1460903.0;54201.0;1562296.0;62231.0;1.27062557961;1.00821948724;1.08246192192,3439.0 129.0 109696;2075.0 44.0 109697;2634.0 80.0 109698;4145.0 182.0 109699;3042.0 125.0 109700;1798.0 56.0 109701;1240.0 18.0 109702;15602.0 982.0 109703;3703.0 178.0 109704;1598.0 55.0 109706;357.0 5.0 109707;2493.0 125.0 109708;311.0 12.0 109709;160.0 10.0 109710;31660.0 1510.0 109635;2421.0 74.0 109651;6764.0 92.0 109660;6340.0 140.0 109667;5708.0 210.0 109673;1822.0 76.0 109675;7662.0 296.0 109683;4891.0 181.0 109689;4055.0 157.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 883;109697 855;109698 864;109699 837;109700 864;109701 804;109702 844;109703 895;109704 960;109706 848;109707 828;109708 895;109709 916;109710 875;109635 902;109651 849;109660 875;109667 887;109673 858;109675 846;109683 899;109689 845;109690 871
data,1241750400,1557023.0;57290.0;1565648.0;73193.0;1461761.0;54231.0;1563144.0;62279.0;1.27054960728;1.00829461498;1.08282643165,3462.0 129.0 109696;2092.0 44.0 109697;2671.0 81.0 109698;4198.0 185.0 109699;3074.0 126.0 109700;1826.0 58.0 109701;1283.0 18.0 109702;15682.0 985.0 109703;3744.0 180.0 109704;1675.0 60.0 109706;368.0 5.0 109707;2521.0 125.0 109708;353.0 14.0 109709;213.0 11.0 109710;31685.0 1510.0 109635;2458.0 76.0 109651;6783.0 92.0 109660;6363.0 141.0 109667;5730.0 210.0 109673;1861.0 77.0 109675;7696.0 297.0 109683;4921.0 182.0 109689;4123.0 159.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 900;109698 883;109699 897;109700 858;109701 899;109702 872;109703 894;109704 885;109706 821;109707 894;109708 848;109709 859;109710 872;109635 872;109651 884;109660 859;109667 832;109673 855;109675 881;109683 876;109689 848;109690 868
data,1241750700,1557906.0;57322.0;1566568.0;73221.0;1462629.0;54250.0;1564015.0;62319.0;1.27030006397;1.00805790027;1.082927736,3481.0 129.0 109696;2103.0 44.0 109697;2713.0 82.0 109698;4261.0 187.0 109699;3126.0 128.0 109700;1879.0 60.0 109701;1315.0 18.0 109702;15754.0 987.0 109703;3793.0 180.0 109704;1733.0 60.0 109706;385.0 6.0 109707;2548.0 126.0 109708;437.0 23.0 109709;251.0 13.0 109710;31710.0 1510.0 109635;2496.0 77.0 109651;6803.0 92.0 109660;6383.0 141.0 109667;5753.0 211.0 109673;1903.0 78.0 109675;7729.0 298.0 109683;4953.0 182.0 109689;4193.0 161.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 829;109697 888;109698 849;109699 863;109700 886;109701 852;109702 866;109703 866;109704 914;109706 849;109707 920;109708 871;109709 916;109710 825;109635 928;109651 829;109660 859;109667 844;109673 903;109675 830;109683 845;109689 879;109690 889
data,1241751000,1558785.0;57355.0;1567419.0;73251.0;1463494.0;54276.0;1564829.0;62371.0;1.27011599386;1.0079333645;1.08325513157,3492.0 129.0 109696;2112.0 44.0 109697;2740.0 82.0 109698;4318.0 191.0 109699;3200.0 131.0 109700;1912.0 61.0 109701;1338.0 18.0 109702;15837.0 991.0 109703;3824.0 180.0 109704;1771.0 60.0 109706;404.0 7.0 109707;2569.0 127.0 109708;546.0 29.0 109709;288.0 14.0 109710;31734.0 1510.0 109635;2525.0 77.0 109651;6818.0 92.0 109660;6404.0 142.0 109667;5774.0 211.0 109673;1925.0 78.0 109675;7764.0 300.0 109683;4974.0 183.0 109689;4284.0 166.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 875;109697 863;109698 882;109699 885;109700 918;109701 823;109702 903;109703 895;109704 846;109706 909;109707 882;109708 814;109709 848;109710 859;109635 809;109651 865;109660 900;109667 908;109673 886;109675 877;109683 838;109689 865;109690 850
data,1241751300,1559675.0;57372.0;1568302.0;73280.0;1464381.0;54309.0;1565707.0;62415.0;1.2702519946;1.00821195289;1.08370880703,3508.0 129.0 109696;2124.0 44.0 109697;2764.0 82.0 109698;4402.0 195.0 109699;3243.0 133.0 109700;1946.0 61.0 109701;1364.0 18.0 109702;15931.0 997.0 109703;3856.0 181.0 109704;1798.0 60.0 109706;431.0 8.0 109707;2608.0 130.0 109708;642.0 31.0 109709;352.0 18.0 109710;31743.0 1510.0 109635;2559.0 78.0 109651;6836.0 92.0 109660;6426.0 143.0 109667;5788.0 211.0 109673;1958.0 78.0 109675;7798.0 301.0 109683;4998.0 184.0 109689;4361.0 168.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 845;109698 872;109699 797;109700 869;109701 872;109702 895;109703 906;109704 909;109706 888;109707 905;109708 878;109709 869;109710 859;109635 822;109651 878;109660 877;109667 827;109673 827;109675 897;109683 854;109689 924;109690 868
data,1241751600,1560588.0;57406.0;1569179.0;73318.0;1465246.0;54334.0;1566595.0;62456.0;1.27019119719;1.00807329609;1.08379815341,3525.0 131.0 109696;2139.0 44.0 109697;2783.0 82.0 109698;4489.0 199.0 109699;3280.0 134.0 109700;1967.0 61.0 109701;1383.0 18.0 109702;16075.0 1007.0 109703;3911.0 185.0 109704;1820.0 60.0 109706;456.0 11.0 109707;2635.0 131.0 109708;739.0 34.0 109709;425.0 22.0 109710;31755.0 1510.0 109635;2591.0 79.0 109651;6846.0 92.0 109660;6449.0 143.0 109667;5812.0 214.0 109673;1974.0 78.0 109675;7829.0 302.0 109683;5013.0 184.0 109689;4417.0 169.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 888;109698 872;109699 875;109700 855;109701 840;109702 863;109703 894;109704 881;109706 901;109707 824;109708 888;109709 904;109710 848;109635 870;109651 917;109660 809;109667 848;109673 899;109675 843;109683 901;109689 844;109690 893
data,1241751900,1561475.0;57441.0;1570028.0;73340.0;1466133.0;54356.0;1567433.0;62495.0;1.2698328306;1.00782972721;1.08385036894,3546.0 132.0 109696;2146.0 44.0 109697;2794.0 82.0 109698;4586.0 205.0 109699;3298.0 134.0 109700;1987.0 61.0 109701;1402.0 18.0 109702;16206.0 1010.0 109703;3962.0 185.0 109704;1849.0 60.0 109706;499.0 12.0 109707;2678.0 133.0 109708;807.0 37.0 109709;493.0 24.0 109710;31770.0 1511.0 109635;2612.0 79.0 109651;6857.0 92.0 109660;6470.0 143.0 109667;5834.0 214.0 109673;1992.0 78.0 109675;7860.0 303.0 109683;5032.0 185.0 109689;4482.0 170.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 910;109697 864;109698 844;109699 927;109700 794;109701 895;109702 922;109703 863;109704 801;109706 925;109707 857;109708 838;109709 825;109710 863;109635 929;109651 902;109660 844;109667 879;109673 869;109675 832;109683 890;109689 887;109690 840
data,1241752200,1562346.0;57465.0;1570855.0;73371.0;1467022.0;54383.0;1568328.0;62538.0;1.26987843576;1.00786031165;1.08412884777,3569.0 132.0 109696;2152.0 44.0 109697;2809.0 82.0 109698;4696.0 209.0 109699;3318.0 134.0 109700;2010.0 62.0 109701;1419.0 18.0 109702;16334.0 1018.0 109703;3998.0 187.0 109704;1862.0 60.0 109706;531.0 13.0 109707;2728.0 135.0 109708;900.0 43.0 109709;570.0 26.0 109710;31777.0 1511.0 109635;2631.0 79.0 109651;6867.0 92.0 109660;6484.0 143.0 109667;5855.0 215.0 109673;2017.0 79.0 109675;7893.0 305.0 109683;5052.0 185.0 109689;4517.0 171.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 833;109697 843;109698 841;109699 869;109700 897;109701 843;109702 897;109703 889;109704 886;109706 867;109707 883;109708 895;109709 844;109710 841;109635 860;109651 857;109660 856;109667 868;109673 886;109675 879;109683 907;109689 877;109690 882
