data,1241757000,1572820.0;57814.0;1581461.0;73778.0;1477448.0;54691.0;1578940.0;62984.0;1.26915421539;1.00704682544;1.08520207695,4028.0 151.0 109696;2275.0 46.0 109697;2962.0 84.0 109698;5777.0 251.0 109699;3519.0 137.0 109700;2201.0 68.0 109701;1576.0 22.0 109702;18653.0 1133.0 109703;4529.0 210.0 109704;2030.0 66.0 109706;800.0 18.0 109707;3571.0 177.0 109708;1826.0 74.0 109709;1299.0 53.0 109710;32005.0 1522.0 109635;2787.0 85.0 109651;7003.0 93.0 109660;6640.0 148.0 109667;6286.0 232.0 109673;2643.0 105.0 109675;8187.0 312.0 109683;5216.0 187.0 109689;4782.0 176.0 109690,109696.0 1921;109697.0 1921;109698.0 1921;109699.0 1921;109700.0 1921;109701.0 1921;109702.0 1921;109703.0 1921;109704.0 1921;109706.0 1921;109707.0 1921;109708.0 1921;109709.0 1921;109710.0 1921;109635.0 1921;109651.0 1921;109660.0 1921;109667.0 1921;109673.0 1921;109675.0 1921;109683.0 1921;109689.0 1921;109690.0 1921,109696 78;109697 97;109698 89;109699 116;109700 72;109701 73;109702 82;109703 79;109704 84;109706 73;109707 78;109708 96;109709 82;109710 72;109635 78;109651 92;109660 90;109667 74;109673 101;109675 75;109683 76;109689 78;109690 86
data,1241757300,1573637.0;57836.0;1582269.0;73801.0;1478275.0;54714.0;1579743.0;63010.0;1.26907776888;1.0070465432;1.08524888739,4073.0 154.0 109696;2301.0 46.0 109697;2995.0 84.0 109698;5817.0 254.0 109699;3548.0 138.0 109700;2231.0 68.0 109701;1605.0 22.0 109702;18693.0 1135.0 109703;4569.0 210.0 109704;2090.0 68.0 109706;836.0 18.0 109707;3620.0 180.0 109708;1855.0 74.0 109709;1338.0 56.0 109710;32049.0 1524.0 109635;2822.0 85.0 109651;7032.0 93.0 109660;6670.0 148.0 109667;6311.0 233.0 109673;2673.0 105.0 109675;8210.0 312.0 109683;5251.0 189.0 109689;4814.0 177.0 109690,109696.0 18079;109697.0 18079;109698.0 18079;109699.0 18079;109700.0 18079;109701.0 18079;109702.0 18079;109703.0 18079;109704.0 18079;109706.0 18079;109707.0 18079;109708.0 18079;109709.0 18079;109710.0 18079;109635.0 18079;109651.0 18079;109660.0 18079;109667.0 18079;109673.0 18079;109675.0 18079;109683.0 18079;109689.0 18079;109690.0 18079,109696 792;109697 752;109698 762;109699 798;109700 749;109701 804;109702 787;109703 812;109704 864;109706 837;109707 801;109708 799;109709 781;109710 784;109635 804;109651 794;109660 741;109667 776;109673 769;109675 741;109683 760;109689 796;109690 776
data,1241757900,1574492.0;57868.0;1583157.0;73828.0;1479117.0;54751.0;1580649.0;63041.0;1.26881733521;1.00714386761;1.08514965893,4136.0 157.0 109696;2328.0 47.0 109697;3021.0 84.0 109698;5885.0 258.0 109699;3575.0 139.0 109700;2253.0 68.0 109701;1630.0 22.0 109702;18724.0 1135.0 109703;4595.0 211.0 109704;2149.0 70.0 109706;868.0 19.0 109707;3670.0 182.0 109708;1876.0 74.0 109709;1401.0 58.0 109710;32105.0 1527.0 109635;2851.0 85.0 109651;7059.0 93.0 109660;6702.0 148.0 109667;6356.0 235.0 109673;2709.0 106.0 109675;8262.0 315.0 109683;5290.0 190.0 109689;4846.0 177.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 906;109697 841;109698 876;109699 872;109700 861;109701 875;109702 849;109703 863;109704 923;109706 886;109707 875;109708 846;109709 840;109710 853;109635 889;109651 895;109660 889;109667 860;109673 818;109675 892;109683 832;109689 858;109690 901
data,1241758200,1575356.0;57893.0;1584000.0;73854.0;1480027.0;54776.0;1581545.0;63084.0;1.26873669528;1.00710170865;1.08540127093,4214.0 160.0 109696;2355.0 48.0 109697;3044.0 84.0 109698;5946.0 260.0 109699;3603.0 140.0 109700;2275.0 69.0 109701;1651.0 22.0 109702;18770.0 1138.0 109703;4613.0 211.0 109704;2191.0 71.0 109706;893.0 19.0 109707;3732.0 185.0 109708;1914.0 76.0 109709;1449.0 59.0 109710;32153.0 1527.0 109635;2875.0 86.0 109651;7085.0 93.0 109660;6729.0 148.0 109667;6395.0 236.0 109673;2730.0 108.0 109675;8315.0 318.0 109683;5320.0 190.0 109689;4882.0 178.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 896;109697 871;109698 916;109699 885;109700 899;109701 880;109702 842;109703 882;109704 879;109706 873;109707 880;109708 790;109709 896;109710 818;109635 876;109651 836;109660 825;109667 861;109673 875;109675 871;109683 861;109689 897;109690 891
data,1241758800,1576223.0;57915.0;1584872.0;73882.0;1480890.0;54804.0;1582383.0;63109.0;1.26873537852;1.00720078799;1.08544116927,4271.0 160.0 109696;2380.0 48.0 109697;3062.0 85.0 109698;6023.0 263.0 109699;3643.0 142.0 109700;2309.0 70.0 109701;1674.0 22.0 109702;18812.0 1138.0 109703;4638.0 213.0 109704;2234.0 73.0 109706;941.0 23.0 109707;3821.0 190.0 109708;1952.0 78.0 109709;1475.0 60.0 109710;32191.0 1527.0 109635;2904.0 87.0 109651;7104.0 93.0 109660;6753.0 149.0 109667;6436.0 238.0 109673;2756.0 108.0 109675;8368.0 319.0 109683;5337.0 190.0 109689;4922.0 178.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 838;109697 853;109698 854;109699 918;109700 908;109701 881;109702 822;109703 904;109704 843;109706 828;109707 899;109708 889;109709 850;109710 900;109635 890;109651 839;109660 852;109667 876;109673 893;109675 839;109683 904;109689 826;109690 894
data,1241759400,1577085.0;57945.0;1585781.0;73919.0;1481785.0;54827.0;1583265.0;63127.0;1.26867974669;1.00704394547;1.08517723216,4310.0 161.0 109696;2404.0 48.0 109697;3083.0 85.0 109698;6104.0 265.0 109699;3711.0 146.0 109700;2324.0 70.0 109701;1699.0 22.0 109702;18856.0 1143.0 109703;4673.0 214.0 109704;2283.0 76.0 109706;979.0 24.0 109707;3927.0 197.0 109708;1995.0 80.0 109709;1526.0 60.0 109710;32215.0 1527.0 109635;2938.0 90.0 109651;7121.0 93.0 109660;6780.0 150.0 109667;6479.0 241.0 109673;2787.0 109.0 109675;8407.0 319.0 109683;5374.0 193.0 109689;4940.0 178.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 882;109697 882;109698 899;109699 926;109700 822;109701 830;109702 923;109703 850;109704 898;109706 838;109707 907;109708 896;109709 885;109710 881;109635 895;109651 873;109660 787;109667 855;109673 854;109675 898;109683 814;109689 906;109690 799
data,1241759700,1577961.0;57972.0;1586624.0;73946.0;1482666.0;54854.0;1584118.0;63154.0;1.26858230359;1.00703126761;1.08515385025,4355.0 163.0 109696;2422.0 49.0 109697;3102.0 86.0 109698;6159.0 265.0 109699;3789.0 150.0 109700;2344.0 71.0 109701;1709.0 22.0 109702;18911.0 1146.0 109703;4702.0 215.0 109704;2345.0 77.0 109706;1006.0 24.0 109707;4063.0 203.0 109708;2044.0 83.0 109709;1550.0 61.0 109710;32229.0 1527.0 109635;2972.0 91.0 109651;7135.0 93.0 109660;6802.0 150.0 109667;6517.0 242.0 109673;2808.0 109.0 109675;8435.0 319.0 109683;5405.0 194.0 109689;4954.0 178.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 853;109697 890;109698 830;109699 837;109700 887;109701 877;109702 883;109703 866;109704 857;109706 902;109707 888;109708 895;109709 810;109710 844;109635 864;109651 889;109660 909;109667 833;109673 832;109675 866;109683 903;109689 875;109690 910
data,1241760300,1578753.0;58001.0;1587503.0;73977.0;1483602.0;54879.0;1584987.0;63179.0;1.26841353643;1.00685628757;1.08499003779,4404.0 163.0 109696;2442.0 49.0 109697;3115.0 86.0 109698;6194.0 265.0 109699;3862.0 153.0 109700;2367.0 71.0 109701;1724.0 22.0 109702;18977.0 1148.0 109703;4734.0 217.0 109704;2405.0 79.0 109706;1054.0 26.0 109707;4196.0 210.0 109708;2099.0 85.0 109709;1568.0 61.0 109710;32249.0 1528.0 109635;3019.0 93.0 109651;7145.0 93.0 109660;6824.0 151.0 109667;6558.0 242.0 109673;2833.0 111.0 109675;8453.0 320.0 109683;5445.0 197.0 109689;4970.0 179.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 869;109697 861;109698 841;109699 850;109700 879;109701 827;109702 834;109703 881;109704 893;109706 840;109707 920;109708 865;109709 897;109710 874;109635 953;109651 884;109660 891;109667 900;109673 867;109675 869;109683 830;109689 849;109690 826
data,1241760900,1579655.0;58026.0;1588361.0;74001.0;1484419.0;54897.0;1585815.0;63199.0;1.2683175044;1.00677337133;1.0849189571,4435.0 164.0 109696;2458.0 49.0 109697;3129.0 86.0 109698;6225.0 266.0 109699;3935.0 154.0 109700;2379.0 72.0 109701;1733.0 22.0 109702;19047.0 1150.0 109703;4765.0 217.0 109704;2462.0 81.0 109706;1092.0 26.0 109707;4316.0 216.0 109708;2146.0 87.0 109709;1589.0 61.0 109710;32273.0 1529.0 109635;3058.0 93.0 109651;7156.0 93.0 109660;6844.0 151.0 109667;6598.0 242.0 109673;2882.0 114.0 109675;8485.0 321.0 109683;5501.0 200.0 109689;4987.0 179.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 828;109697 810;109698 901;109699 911;109700 883;109701 831;109702 876;109703 901;109704 901;109706 839;109707 878;109708 848;109709 886;109710 892;109635 902;109651 859;109660 859;109667 841;109673 852;109675 863;109683 834;109689 901;109690 904
data,1241761500,1580573.0;58053.0;1589290.0;74025.0;1485278.0;54926.0;1586629.0;63222.0;1.26813402895;1.00683919899;1.08488257483,4465.0 164.0 109696;2483.0 50.0 109697;3148.0 87.0 109698;6267.0 266.0 109699;3986.0 155.0 109700;2400.0 72.0 109701;1742.0 23.0 109702;19101.0 1150.0 109703;4811.0 218.0 109704;2549.0 86.0 109706;1123.0 27.0 109707;4500.0 221.0 109708;2194.0 87.0 109709;1614.0 61.0 109710;32295.0 1529.0 109635;3085.0 93.0 109651;7164.0 93.0 109660;6867.0 152.0 109667;6614.0 243.0 109673;2938.0 118.0 109675;8511.0 322.0 109683;5564.0 201.0 109689;5003.0 179.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 814;109697 875;109698 838;109699 909;109700 876;109701 866;109702 824;109703 909;109704 917;109706 915;109707 859;109708 888;109709 894;109710 844;109635 889;109651 849;109660 849;109667 848;109673 907;109675 871;109683 883;109689 852;109690 824
