data,1242005400,2116424.0;75421.0;2127567.0;94633.0;1992344.0;71335.0;2123756.0;80761.0;1.24815854392;1.00472852106;1.0671057507,16529.0 721.0 109762;8400.0 290.0 109731;3181.0 143.0 109780;5629.0 249.0 109765;8237.0 280.0 109763;63.0 1.0 109730;7534.0 233.0 109769;1973.0 26.0 109770;3965.0 132.0 109771;10454.0 386.0 109740;3008.0 105.0 109773;8534.0 412.0 109774;4613.0 201.0 109775;1769.0 49.0 109776;1575.0 45.0 109777;1293.0 31.0 109778;1731.0 62.0 109779;19530.0 911.0 109684;1048.0 38.0 109782;181.0 4.0 109783;11630.0 312.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2117247.0;75441.0;2128341.0;94658.0;1993203.0;71362.0;2124612.0;80781.0;1.24818857349;1.00479987098;1.06707190291,16563.0 722.0 109762;8436.0 291.0 109731;5668.0 251.0 109765;1769.0 64.0 109779;11666.0 313.0 109745;7565.0 233.0 109769;2002.0 26.0 109770;4003.0 134.0 109771;10487.0 386.0 109740;110.0 3.0 109730;8579.0 413.0 109774;3052.0 105.0 109773;1805.0 53.0 109776;1620.0 49.0 109777;1321.0 31.0 109778;8282.0 281.0 109763;19560.0 911.0 109684;1087.0 38.0 109782;205.0 4.0 109783;3205.0 143.0 109780;4666.0 205.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2118203.0;75473.0;2129295.0;94686.0;1994181.0;71394.0;2125565.0;80807.0;1.24803251875;1.00478491511;1.06696594729,16609.0 723.0 109762;8314.0 281.0 109763;8491.0 294.0 109731;1681.0 50.0 109777;7592.0 234.0 109769;2037.0 29.0 109770;4050.0 134.0 109771;10521.0 388.0 109740;150.0 3.0 109730;8606.0 413.0 109774;3090.0 106.0 109773;1883.0 54.0 109776;11704.0 314.0 109745;1368.0 34.0 109778;1862.0 71.0 109779;19595.0 911.0 109684;1117.0 38.0 109782;243.0 5.0 109783;3233.0 143.0 109780;4733.0 207.0 109775;5726.0 252.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2119146.0;75507.0;2130255.0;94723.0;1995168.0;71442.0;2126467.0;80844.0;1.24795094491;1.00495773362;1.06699604406,11744.0 316.0 109745;16701.0 732.0 109762;8532.0 294.0 109731;5781.0 255.0 109765;8337.0 281.0 109763;185.0 5.0 109730;7621.0 234.0 109769;2074.0 29.0 109770;4090.0 134.0 109771;10560.0 391.0 109740;3118.0 106.0 109773;8642.0 416.0 109774;4793.0 208.0 109775;1937.0 54.0 109776;1731.0 50.0 109777;1404.0 35.0 109778;1963.0 73.0 109779;19628.0 912.0 109684;1142.0 39.0 109782;306.0 11.0 109783;3276.0 146.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2120066.0;75537.0;2131294.0;94757.0;1996139.0;71485.0;2127434.0;80878.0;1.24783622417;1.00511045463;1.06699886181,16817.0 733.0 109762;8367.0 283.0 109763;5830.0 256.0 109765;11790.0 318.0 109745;7644.0 234.0 109769;2123.0 31.0 109770;4130.0 136.0 109771;10617.0 392.0 109740;3141.0 106.0 109773;8688.0 417.0 109774;4839.0 208.0 109775;1990.0 57.0 109776;1762.0 50.0 109777;1436.0 36.0 109778;2069.0 78.0 109779;19655.0 913.0 109684;1182.0 42.0 109782;388.0 13.0 109783;3343.0 150.0 109780;8560.0 295.0 109731;233.0 7.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2120974.0;75575.0;2132255.0;94784.0;1997066.0;71514.0;2128375.0;80919.0;1.24753598007;1.00497634884;1.06698802911,16892.0 737.0 109762;8599.0 297.0 109731;3403.0 150.0 109780;5864.0 257.0 109765;8399.0 284.0 109763;284.0 9.0 109730;7672.0 235.0 109769;2179.0 32.0 109770;4169.0 136.0 109771;10655.0 392.0 109740;3156.0 106.0 109773;8730.0 417.0 109774;4891.0 211.0 109775;2053.0 61.0 109776;1791.0 50.0 109777;1469.0 37.0 109778;2153.0 79.0 109779;19679.0 913.0 109684;1245.0 45.0 109782;440.0 13.0 109783;11842.0 321.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2121928.0;75595.0;2133224.0;94818.0;1998048.0;71553.0;2129326.0;80949.0;1.24764750259;1.00521625334;1.06710438185,17046.0 746.0 109762;8426.0 285.0 109763;5923.0 262.0 109765;349.0 12.0 109730;7689.0 235.0 109769;2208.0 33.0 109770;4187.0 136.0 109771;10700.0 394.0 109740;3174.0 107.0 109773;8771.0 418.0 109774;4927.0 211.0 109775;2113.0 62.0 109776;11880.0 322.0 109745;1503.0 37.0 109778;2238.0 83.0 109779;19702.0 914.0 109684;1304.0 45.0 109782;488.0 14.0 109783;3455.0 151.0 109780;8642.0 299.0 109731;1809.0 50.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2122873.0;75626.0;2134252.0;94847.0;1998979.0;71584.0;2130278.0;80969.0;1.24747193763;1.0052188265;1.06692864776,17208.0 751.0 109762;8460.0 285.0 109763;6022.0 267.0 109765;2336.0 87.0 109779;1838.0 51.0 109777;1531.0 37.0 109778;7708.0 236.0 109769;2239.0 34.0 109770;4208.0 137.0 109771;10748.0 395.0 109740;411.0 12.0 109730;8811.0 419.0 109774;4972.0 213.0 109775;2171.0 63.0 109776;11926.0 323.0 109745;3202.0 108.0 109773;8684.0 300.0 109731;3490.0 151.0 109780;1347.0 47.0 109782;527.0 14.0 109783;19723.0 915.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2123803.0;75655.0;2135266.0;94877.0;1999968.0;71615.0;2131232.0;81010.0;1.24734202134;1.00521172046;1.06704933165,458.0 14.0 109730;8720.0 300.0 109731;6139.0 272.0 109765;2431.0 88.0 109779;11973.0 323.0 109745;1562.0 37.0 109778;7728.0 238.0 109769;2274.0 34.0 109770;4235.0 140.0 109771;10792.0 395.0 109740;17347.0 756.0 109762;8847.0 420.0 109774;5027.0 214.0 109775;2219.0 64.0 109776;1851.0 51.0 109777;3222.0 108.0 109773;8498.0 288.0 109763;19739.0 915.0 109684;1410.0 50.0 109782;570.0 15.0 109783;3534.0 153.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2124733.0;75687.0;2136217.0;94905.0;2000911.0;71652.0;2132163.0;81042.0;1.24717328158;1.00527207146;1.06702063738,17493.0 760.0 109762;8553.0 292.0 109763;6243.0 273.0 109765;2493.0 89.0 109779;1870.0 51.0 109777;7765.0 239.0 109769;2294.0 34.0 109770;4276.0 142.0 109771;10828.0 396.0 109740;3238.0 108.0 109773;8877.0 420.0 109774;5072.0 217.0 109775;2272.0 69.0 109776;12011.0 324.0 109745;1582.0 37.0 109778;8756.0 301.0 109731;19757.0 916.0 109684;1459.0 50.0 109782;597.0 16.0 109783;3579.0 154.0 109780;512.0 15.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2125664.0;75717.0;2137115.0;94937.0;2001859.0;71684.0;2133116.0;81072.0;1.24712168399;1.00528676598;1.06698332629,575.0 19.0 109730;8776.0 302.0 109731;6338.0 274.0 109765;8628.0 296.0 109763;12045.0 324.0 109745;17677.0 770.0 109762;7792.0 239.0 109769;2305.0 34.0 109770;4329.0 143.0 109771;10848.0 396.0 109740;3249.0 108.0 109773;8896.0 420.0 109774;5108.0 217.0 109775;2331.0 72.0 109776;1882.0 51.0 109777;1589.0 37.0 109778;2551.0 91.0 109779;3609.0 157.0 109780;1512.0 53.0 109782;615.0 16.0 109783;19770.0 916.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
