data,1241954400,1994831.0;71318.0;2005430.0;89827.0;1881884.0;67604.0;2001026.0;76033.0;1.25287095485;1.00481589451;1.06281175213,3105.0 80.0 109760;8250.0 366.0 109761;6398.0 268.0 109762;2538.0 73.0 109763;1473.0 19.0 109764;6187.0 249.0 109766;3276.0 110.0 109767;12981.0 261.0 109697;3773.0 126.0 109769;4209.0 154.0 109740;2771.0 58.0 109741;7194.0 104.0 109723;8161.0 234.0 109745;2531.0 79.0 109731;10591.0 544.0 109684;7185.0 269.0 109686;2439.0 51.0 109752;7028.0 267.0 109755;3560.0 87.0 109756;5231.0 184.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1995444.0;71336.0;2005960.0;89838.0;1882487.0;67617.0;2001570.0;76050.0;1.25276207344;1.00474233837;1.06281879507,3124.0 80.0 109760;8274.0 366.0 109761;6427.0 268.0 109762;2565.0 81.0 109731;1494.0 19.0 109764;6211.0 249.0 109766;3307.0 111.0 109767;13001.0 261.0 109697;3799.0 126.0 109769;4245.0 156.0 109740;2800.0 59.0 109741;7212.0 104.0 109723;8194.0 235.0 109745;2558.0 73.0 109763;10619.0 545.0 109684;7223.0 270.0 109686;2461.0 51.0 109752;7055.0 267.0 109755;3591.0 89.0 109756;5251.0 184.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1996510.0;71359.0;2006975.0;89866.0;1883503.0;67651.0;2002597.0;76073.0;1.25278395663;1.00491803111;1.06281999571,3176.0 81.0 109760;13036.0 261.0 109697;6482.0 271.0 109762;2624.0 81.0 109731;1531.0 21.0 109764;6243.0 249.0 109766;8316.0 368.0 109761;3841.0 126.0 109769;3363.0 111.0 109767;4338.0 162.0 109740;2879.0 64.0 109741;8259.0 236.0 109745;2598.0 76.0 109763;10673.0 546.0 109684;7078.0 267.0 109755;7268.0 270.0 109686;2530.0 54.0 109752;7251.0 104.0 109723;3654.0 89.0 109756;5286.0 185.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1997483.0;71388.0;2007925.0;89895.0;1884472.0;67679.0;2003554.0;76107.0;1.25269668056;1.00489832195;1.06287312995,3239.0 84.0 109760;13063.0 261.0 109697;6539.0 272.0 109762;2640.0 76.0 109763;1570.0 21.0 109764;6274.0 250.0 109766;3417.0 112.0 109767;3874.0 126.0 109769;8346.0 369.0 109761;4483.0 170.0 109740;2955.0 66.0 109741;7280.0 106.0 109723;8296.0 236.0 109745;2662.0 81.0 109731;10722.0 548.0 109684;7310.0 272.0 109686;2589.0 57.0 109752;7097.0 267.0 109755;3695.0 90.0 109756;5325.0 187.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1998500.0;71414.0;2008891.0;89925.0;1885421.0;67714.0;2004620.0;76146.0;1.25269362354;1.00505753205;1.06300627671,3293.0 85.0 109760;8397.0 374.0 109761;6612.0 277.0 109762;2692.0 81.0 109731;1596.0 22.0 109764;6306.0 250.0 109766;3452.0 112.0 109767;13084.0 262.0 109697;3892.0 126.0 109769;4626.0 173.0 109740;3064.0 72.0 109741;7309.0 106.0 109723;8324.0 236.0 109745;2679.0 78.0 109763;10767.0 550.0 109684;7352.0 272.0 109686;2660.0 59.0 109752;7122.0 268.0 109755;3738.0 90.0 109756;5377.0 188.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1999534.0;71447.0;2009891.0;89955.0;1886354.0;67732.0;2005575.0;76173.0;1.25255728676;1.00488299685;1.0629355889,3338.0 85.0 109760;8469.0 375.0 109761;6676.0 277.0 109762;7139.0 269.0 109755;1627.0 22.0 109764;2718.0 82.0 109731;6330.0 252.0 109766;13109.0 262.0 109697;3914.0 126.0 109769;3483.0 115.0 109767;4736.0 177.0 109740;3168.0 77.0 109741;8351.0 236.0 109745;2763.0 83.0 109763;10845.0 552.0 109684;7390.0 273.0 109686;2738.0 60.0 109752;7336.0 106.0 109723;3775.0 92.0 109756;5437.0 190.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,2000470.0;71487.0;2010971.0;89994.0;1887427.0;67768.0;2006567.0;76208.0;1.25231250906;1.00475338084;1.06280079229,3367.0 86.0 109760;13126.0 262.0 109697;6747.0 282.0 109762;2873.0 87.0 109763;1657.0 23.0 109764;6363.0 253.0 109766;3535.0 116.0 109767;3941.0 128.0 109769;8546.0 377.0 109761;4866.0 183.0 109740;3287.0 78.0 109741;8373.0 237.0 109745;2758.0 85.0 109731;10925.0 557.0 109684;7167.0 269.0 109755;7425.0 273.0 109686;2791.0 60.0 109752;7359.0 107.0 109723;3810.0 93.0 109756;5506.0 194.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2001447.0;71509.0;2012032.0;90031.0;1888426.0;67792.0;2007574.0;76242.0;1.25239285053;1.00475890687;1.06293353026,3403.0 86.0 109760;8617.0 381.0 109761;6838.0 288.0 109762;7182.0 269.0 109755;1686.0 24.0 109764;6408.0 256.0 109766;13146.0 262.0 109697;3963.0 128.0 109769;2961.0 89.0 109763;3580.0 118.0 109767;5007.0 189.0 109740;3401.0 82.0 109741;8397.0 237.0 109745;2812.0 88.0 109731;11031.0 561.0 109684;7444.0 273.0 109686;2814.0 60.0 109752;7382.0 107.0 109723;3837.0 93.0 109756;5574.0 196.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2002465.0;71543.0;2013046.0;90059.0;1889450.0;67828.0;2008592.0;76271.0;1.25219281619;1.0047809542;1.06283414569,3426.0 87.0 109760;13165.0 262.0 109697;6935.0 290.0 109762;3035.0 92.0 109763;1710.0 24.0 109764;6460.0 257.0 109766;3624.0 119.0 109767;3997.0 130.0 109769;8691.0 383.0 109761;5166.0 194.0 109740;3484.0 84.0 109741;7404.0 107.0 109723;8413.0 237.0 109745;2869.0 91.0 109731;11125.0 565.0 109684;7459.0 273.0 109686;2837.0 60.0 109752;7199.0 270.0 109755;3862.0 93.0 109756;5636.0 197.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2003409.0;71576.0;2014057.0;90091.0;1890425.0;67858.0;2009617.0;76297.0;1.25202167163;1.00471711298;1.06266496367,3459.0 88.0 109760;13183.0 262.0 109697;7059.0 295.0 109762;7221.0 271.0 109755;1731.0 25.0 109764;6521.0 259.0 109766;3669.0 120.0 109767;4018.0 130.0 109769;3127.0 98.0 109763;5302.0 196.0 109740;3553.0 86.0 109741;8420.0 237.0 109745;2941.0 93.0 109731;11205.0 568.0 109684;7473.0 273.0 109686;2851.0 60.0 109752;8774.0 386.0 109761;7413.0 108.0 109723;3892.0 93.0 109756;5696.0 199.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2004401.0;71609.0;2015023.0;90129.0;1891382.0;67901.0;2010521.0;76330.0;1.25199197925;1.00487934725;1.06268279775,3486.0 88.0 109760;8867.0 392.0 109761;7169.0 299.0 109762;3006.0 95.0 109731;1756.0 26.0 109764;6582.0 262.0 109766;3696.0 121.0 109767;13202.0 262.0 109697;4036.0 130.0 109769;5400.0 199.0 109740;3625.0 88.0 109741;8434.0 237.0 109745;3226.0 103.0 109763;11313.0 575.0 109684;7243.0 272.0 109755;7489.0 275.0 109686;2872.0 61.0 109752;7427.0 108.0 109723;3907.0 93.0 109756;5738.0 199.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
