
New Run at  02/05/2015 03:00:25
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,397128.0;14451.0;401133.0;18106.0;376047.0;15123.0;391085.0;16078.0;1.24041420789;1.10516833058;1.12977893493,484.0 19.0 109568;3811.0 58.0 109536;228.0 24.0 109571;1622.0 65.0 109476;1384.0 45.0 109541;3655.0 143.0 109542;319.0 10.0 109569;1924.0 71.0 109551;1974.0 50.0 109553;80572.0 3148.0 109524;1384.0 40.0 109557;1219.0 40.0 109560;1109.0 38.0 109561;1111.0 30.0 109562;1051.0 26.0 109563;811.0 27.0 109564;800.0 18.0 109565;725.0 17.0 109566;700.0 22.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,398184.0;14481.0;402162.0;18134.0;377131.0;15183.0;392155.0;16101.0;1.23987479329;1.10700762132;1.12896465332,507.0 19.0 109568;3829.0 58.0 109536;249.0 25.0 109571;1636.0 65.0 109476;1403.0 46.0 109541;3668.0 143.0 109542;339.0 11.0 109569;1943.0 74.0 109551;1988.0 50.0 109553;81293.0 3168.0 109524;1401.0 40.0 109557;1238.0 40.0 109560;1126.0 38.0 109561;1124.0 30.0 109562;1067.0 27.0 109563;828.0 27.0 109564;821.0 18.0 109565;741.0 17.0 109566;711.0 23.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,399215.0;14504.0;403134.0;18163.0;378190.0;15234.0;393215.0;16123.0;1.24010144941;1.10872277819;1.12858646454,3841.0 58.0 109536;528.0 19.0 109568;263.0 26.0 109571;1650.0 66.0 109476;1421.0 47.0 109541;3683.0 143.0 109542;348.0 12.0 109569;1962.0 75.0 109551;2004.0 50.0 109553;81998.0 3190.0 109524;1417.0 40.0 109557;1250.0 40.0 109560;1138.0 38.0 109561;1140.0 30.0 109562;1086.0 27.0 109563;837.0 27.0 109564;836.0 19.0 109565;754.0 18.0 109566;728.0 23.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,400293.0;14525.0;404155.0;18193.0;379285.0;15285.0;394284.0;16150.0;1.24056126862;1.11061012912;1.12882138251,3860.0 58.0 109536;547.0 20.0 109568;288.0 26.0 109571;1664.0 66.0 109476;1434.0 48.0 109541;3704.0 143.0 109542;359.0 12.0 109569;1977.0 75.0 109551;2020.0 51.0 109553;82714.0 3213.0 109524;1433.0 42.0 109557;1267.0 40.0 109560;1155.0 39.0 109561;1156.0 30.0 109562;1103.0 27.0 109563;856.0 27.0 109564;850.0 19.0 109565;773.0 18.0 109566;745.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,401317.0;14549.0;405193.0;18221.0;380353.0;15333.0;395342.0;16174.0;1.24040836775;1.11197417933;1.12849307135,566.0 20.0 109568;380.0 12.0 109569;300.0 27.0 109571;3874.0 58.0 109536;1453.0 48.0 109541;3724.0 144.0 109542;1992.0 75.0 109551;2038.0 51.0 109553;1683.0 66.0 109476;83450.0 3235.0 109524;1448.0 43.0 109557;1275.0 40.0 109560;1172.0 41.0 109561;1182.0 30.0 109562;1114.0 28.0 109563;872.0 27.0 109564;873.0 19.0 109565;789.0 18.0 109566;758.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,402373.0;14573.0;406278.0;18238.0;381437.0;15384.0;396393.0;16191.0;1.23946358432;1.11359255648;1.12778824174,3897.0 58.0 109536;400.0 14.0 109569;325.0 27.0 109571;1701.0 66.0 109476;1478.0 48.0 109541;3743.0 144.0 109542;582.0 21.0 109568;2022.0 75.0 109551;2054.0 51.0 109553;84196.0 3248.0 109524;1459.0 43.0 109557;1285.0 40.0 109560;1187.0 41.0 109561;1201.0 30.0 109562;1126.0 28.0 109563;891.0 28.0 109564;898.0 19.0 109565;811.0 18.0 109566;772.0 24.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,403416.0;14589.0;407311.0;18273.0;382521.0;15408.0;397463.0;16210.0;1.2405415357;1.11382915596;1.12775277196,3917.0 59.0 109536;418.0 15.0 109569;341.0 29.0 109571;1715.0 66.0 109476;1491.0 49.0 109541;604.0 21.0 109568;3759.0 144.0 109542;2043.0 75.0 109551;2077.0 51.0 109553;84929.0 3276.0 109524;1471.0 43.0 109557;1304.0 40.0 109560;1201.0 42.0 109561;1216.0 30.0 109562;1140.0 28.0 109563;903.0 28.0 109564;912.0 19.0 109565;831.0 18.0 109566;789.0 25.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,404492.0;14615.0;408374.0;18305.0;383537.0;15429.0;398480.0;16232.0;1.24057426038;1.11337541972;1.12739634422,624.0 21.0 109568;436.0 15.0 109569;361.0 30.0 109571;1735.0 66.0 109476;1512.0 49.0 109541;3776.0 145.0 109542;2066.0 76.0 109551;2089.0 51.0 109553;85672.0 3305.0 109524;1493.0 43.0 109557;3930.0 59.0 109536;1318.0 40.0 109560;1219.0 42.0 109561;1230.0 30.0 109562;1155.0 28.0 109563;921.0 28.0 109564;936.0 19.0 109565;847.0 18.0 109566;804.0 25.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,405540.0;14639.0;409471.0;18328.0;384608.0;15460.0;399535.0;16250.0;1.23997866595;1.11355958924;1.12673249884,641.0 21.0 109568;456.0 15.0 109569;379.0 31.0 109571;1755.0 66.0 109476;1522.0 49.0 109541;3790.0 145.0 109542;1334.0 40.0 109560;2091.0 76.0 109551;2108.0 51.0 109553;86444.0 3321.0 109524;1503.0 43.0 109557;3953.0 60.0 109536;1239.0 42.0 109561;1246.0 30.0 109562;1175.0 28.0 109563;938.0 28.0 109564;952.0 20.0 109565;873.0 22.0 109566;822.0 25.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,406599.0;14658.0;410542.0;18354.0;385609.0;15484.0;400551.0;16271.0;1.24012288654;1.1138522586;1.12680304933,3971.0 60.0 109536;657.0 21.0 109568;402.0 31.0 109571;1773.0 67.0 109476;1549.0 49.0 109541;3805.0 146.0 109542;472.0 15.0 109569;2104.0 76.0 109551;2117.0 51.0 109553;87202.0 3339.0 109524;1517.0 44.0 109557;1355.0 40.0 109560;1251.0 43.0 109561;1264.0 30.0 109562;1190.0 29.0 109563;961.0 28.0 109564;967.0 21.0 109565;886.0 23.0 109566;849.0 26.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
