
New Run at  02/05/2015 01:10:16
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1015.0;20.0;1019.0;35.0;1019.0;31.0;1018.0;38.0;1.74313052012;1.54391560353;1.89440078585,51.0 2.0 109473;51.0 1.0 109506;60.0 4.0 109508;56.0 3.0 109509;53.0 1.0 109510;48.0 1.0 109511;55.0 2.0 109512;64.0 4.0 109513;42.0 0.0 109514;45.0 0.0 109515;42.0 1.0 109484;56.0 2.0 109453;49.0 1.0 109492;38.0 0.0 109505;65.0 5.0 109494;50.0 0.0 109495;58.0 3.0 109498;43.0 0.0 109501;36.0 0.0 109502;57.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,2000.0;50.0;2008.0;60.0;1953.0;62.0;1986.0;71.0;1.19521912351;1.26984126984;1.43001007049,109.0 4.0 109473;88.0 1.0 109506;146.0 11.0 109508;109.0 4.0 109509;96.0 2.0 109510;54.0 1.0 109505;102.0 2.0 109512;127.0 4.0 109513;88.0 1.0 109514;80.0 0.0 109515;79.0 3.0 109484;108.0 3.0 109453;18.0 0.0 109519;77.0 1.0 109492;142.0 6.0 109494;85.0 1.0 109495;83.0 1.0 109511;116.0 3.0 109498;69.0 0.0 109501;79.0 3.0 109502;153.0 9.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2985.0;70.0;2977.0;100.0;2944.0;91.0;2989.0;96.0;1.43241038438;1.31810461957;1.36959327056,167.0 6.0 109473;159.0 10.0 109506;260.0 13.0 109508;134.0 4.0 109509;142.0 4.0 109510;112.0 1.0 109511;146.0 5.0 109512;181.0 5.0 109513;124.0 2.0 109514;96.0 0.0 109515;126.0 6.0 109484;164.0 7.0 109453;33.0 0.0 109519;107.0 2.0 109492;215.0 7.0 109494;113.0 2.0 109495;158.0 4.0 109498;90.0 0.0 109501;126.0 6.0 109502;270.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3983.0;95.0;3968.0;129.0;3908.0;126.0;4039.0;128.0;1.36302790747;1.3517696493;1.32868740308,218.0 8.0 109473;272.0 14.0 109506;373.0 17.0 109508;158.0 4.0 109509;190.0 5.0 109510;124.0 1.0 109511;201.0 7.0 109512;233.0 6.0 109513;151.0 4.0 109514;124.0 1.0 109515;176.0 6.0 109484;220.0 9.0 109453;54.0 0.0 109519;134.0 2.0 109492;276.0 8.0 109494;140.0 2.0 109495;195.0 4.0 109498;112.0 2.0 109501;175.0 6.0 109502;388.0 22.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4954.0;118.0;4955.0;151.0;4844.0;148.0;5008.0;163.0;1.27940276044;1.28271914233;1.36646111984,278.0 10.0 109473;387.0 17.0 109506;465.0 18.0 109508;186.0 5.0 109509;223.0 5.0 109510;136.0 1.0 109511;264.0 8.0 109512;270.0 7.0 109513;215.0 6.0 109514;143.0 1.0 109515;238.0 8.0 109484;315.0 13.0 109453;74.0 0.0 109519;155.0 3.0 109492;302.0 8.0 109494;164.0 2.0 109495;218.0 4.0 109498;149.0 2.0 109501;202.0 6.0 109502;517.0 26.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5930.0;135.0;5913.0;181.0;5835.0;171.0;5985.0;191.0;1.34459539871;1.2872893459;1.40181317491,338.0 11.0 109473;482.0 21.0 109506;555.0 23.0 109508;210.0 6.0 109509;244.0 6.0 109510;154.0 1.0 109511;334.0 10.0 109512;300.0 7.0 109513;253.0 7.0 109514;161.0 1.0 109515;288.0 9.0 109484;397.0 14.0 109453;85.0 0.0 109519;181.0 3.0 109492;344.0 9.0 109494;188.0 2.0 109495;244.0 5.0 109498;185.0 2.0 109501;227.0 7.0 109502;689.0 36.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6927.0;157.0;6932.0;212.0;6865.0;189.0;6979.0;214.0;1.34934449668;1.21469375258;1.35290128803,411.0 13.0 109473;617.0 25.0 109506;652.0 27.0 109508;236.0 7.0 109509;285.0 7.0 109510;170.0 2.0 109511;393.0 12.0 109512;327.0 7.0 109513;303.0 7.0 109514;178.0 2.0 109515;333.0 12.0 109484;466.0 17.0 109453;91.0 0.0 109519;201.0 3.0 109492;384.0 10.0 109494;212.0 2.0 109495;266.0 5.0 109498;202.0 2.0 109501;257.0 8.0 109502;894.0 43.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7902.0;177.0;7934.0;242.0;7860.0;222.0;7994.0;239.0;1.3617172179;1.26093931945;1.33474258236,479.0 15.0 109473;733.0 26.0 109506;769.0 31.0 109508;262.0 7.0 109509;312.0 8.0 109510;197.0 3.0 109511;444.0 14.0 109512;349.0 7.0 109513;328.0 7.0 109514;198.0 2.0 109515;393.0 15.0 109484;544.0 19.0 109453;105.0 0.0 109519;215.0 3.0 109492;413.0 11.0 109494;233.0 4.0 109495;304.0 7.0 109498;221.0 5.0 109501;286.0 9.0 109502;1095.0 48.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8937.0;201.0;8979.0;273.0;8873.0;245.0;8986.0;271.0;1.35185582279;1.22769730744;1.34090675047,550.0 17.0 109473;821.0 27.0 109506;872.0 34.0 109508;284.0 7.0 109509;343.0 8.0 109510;220.0 4.0 109511;517.0 15.0 109512;384.0 11.0 109513;356.0 9.0 109514;217.0 2.0 109515;479.0 18.0 109484;644.0 27.0 109453;122.0 0.0 109519;233.0 3.0 109492;453.0 12.0 109494;261.0 4.0 109495;327.0 7.0 109498;248.0 5.0 109501;316.0 10.0 109502;1278.0 52.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9984.0;227.0;9967.0;298.0;9892.0;274.0;9984.0;296.0;1.31501443751;1.21827454571;1.30396475771,603.0 19.0 109473;895.0 27.0 109506;988.0 37.0 109508;295.0 7.0 109509;365.0 9.0 109510;245.0 5.0 109511;573.0 18.0 109512;412.0 11.0 109513;400.0 12.0 109514;231.0 2.0 109515;555.0 19.0 109484;760.0 28.0 109453;135.0 0.0 109519;252.0 3.0 109492;516.0 15.0 109494;269.0 4.0 109495;345.0 7.0 109498;267.0 5.0 109501;354.0 11.0 109502;1453.0 58.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
data,1241172000,10965.0;257.0;10962.0;330.0;10899.0;306.0;10992.0;324.0;1.28439810112;1.19787164995;1.25760369055,644.0 20.0 109473;945.0 28.0 109506;1081.0 40.0 109508;317.0 7.0 109509;389.0 9.0 109510;267.0 6.0 109511;634.0 19.0 109512;458.0 12.0 109513;461.0 17.0 109514;248.0 3.0 109515;614.0 21.0 109484;858.0 31.0 109453;157.0 0.0 109519;269.0 3.0 109492;571.0 16.0 109494;284.0 4.0 109495;363.0 7.0 109498;283.0 5.0 109501;390.0 12.0 109502;1675.0 69.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 965;109508 1002;109509 1028;109510 996;109511 996;109512 971;109513 1008;109514 1002;109515 1002;109484 1004;109453 968;109519 975;109492 998;109494 993;109495 1000;109498 983;109501 999;109502 1052;109503 1054
