data,1241490600,809831.0;28752.0;349654.0;13194.0;761910.0;27537.0;815940.0;39119.0;1.06283125282;1.01798010052;1.35037956677,4079.0 221.0 109594;3685.0 193.0 109596;3227.0 187.0 109597;1968.0 98.0 109598;2621.0 131.0 109599;2262.0 61.0 109600;3337.0 129.0 109601;2405.0 179.0 109602;1567.0 74.0 109603;9530.0 293.0 109476;2796.0 315.0 109605;1587.0 53.0 109606;1241.0 57.0 109608;1227.0 72.0 109609;1551.0 52.0 109610;1478.0 36.0 109611;947.0 108.0 109612;1749.0 31.0 109613;1185.0 85.0 109614;1480.0 91.0 109615;1286.0 91.0 109617;1121.0 23.0 109618;5948.0 190.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,810654.0;28794.0;350460.0;13231.0;762732.0;27575.0;816731.0;39166.0;1.06288858389;1.01783430315;1.3500930735,4111.0 223.0 109594;3712.0 193.0 109596;3275.0 191.0 109597;2027.0 102.0 109598;2655.0 132.0 109599;2293.0 61.0 109600;3365.0 129.0 109601;2438.0 180.0 109602;1610.0 77.0 109603;9575.0 295.0 109476;2826.0 316.0 109605;1630.0 56.0 109606;1283.0 61.0 109608;1244.0 72.0 109609;1593.0 55.0 109610;1504.0 37.0 109611;990.0 112.0 109612;1780.0 33.0 109613;1221.0 85.0 109614;1519.0 93.0 109615;1317.0 91.0 109617;1146.0 23.0 109618;5969.0 190.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,811494.0;28825.0;351311.0;13271.0;763598.0;27613.0;817658.0;39215.0;1.06347650095;1.01803991919;1.35019509585,4143.0 226.0 109594;3729.0 193.0 109596;3330.0 196.0 109597;2080.0 105.0 109598;2693.0 133.0 109599;2320.0 61.0 109600;3384.0 129.0 109601;2463.0 181.0 109602;1652.0 79.0 109603;9614.0 295.0 109476;2873.0 318.0 109605;1677.0 58.0 109606;1335.0 65.0 109608;1267.0 72.0 109609;1641.0 57.0 109610;1531.0 39.0 109611;1081.0 118.0 109612;1808.0 34.0 109613;1243.0 85.0 109614;1551.0 95.0 109615;1353.0 94.0 109617;1174.0 24.0 109618;5992.0 190.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,812371.0;28869.0;351547.0;13284.0;764475.0;27639.0;818510.0;39269.0;1.06333018347;1.01737651765;1.35004586595,4153.0 226.0 109594;3740.0 193.0 109596;3337.0 196.0 109597;2087.0 105.0 109598;2699.0 133.0 109599;2326.0 61.0 109600;3396.0 130.0 109601;2475.0 183.0 109602;1664.0 81.0 109603;9625.0 295.0 109476;2881.0 319.0 109605;1684.0 58.0 109606;1347.0 67.0 109608;1282.0 73.0 109609;1651.0 58.0 109610;1539.0 40.0 109611;1101.0 118.0 109612;1820.0 34.0 109613;1253.0 87.0 109614;1560.0 95.0 109615;1360.0 94.0 109617;1188.0 24.0 109618;6002.0 190.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,813189.0;28906.0;351804.0;13292.0;765373.0;27668.0;819423.0;39324.0;1.06290158949;1.01696996417;1.35005988982,4166.0 228.0 109594;3746.0 193.0 109596;3343.0 196.0 109597;2100.0 106.0 109598;2711.0 133.0 109599;2339.0 61.0 109600;3411.0 130.0 109601;2485.0 183.0 109602;1676.0 81.0 109603;9641.0 296.0 109476;2894.0 319.0 109605;1692.0 58.0 109606;1361.0 67.0 109608;1293.0 73.0 109609;1664.0 58.0 109610;1548.0 41.0 109611;1115.0 118.0 109612;1825.0 34.0 109613;1265.0 88.0 109614;1568.0 95.0 109615;1368.0 95.0 109617;1202.0 24.0 109618;6014.0 191.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,814023.0;28946.0;352052.0;13303.0;766254.0;27705.0;820279.0;39382.0;1.06265158264;1.01679527177;1.35015706314,4173.0 229.0 109594;3749.0 193.0 109596;3358.0 198.0 109597;2110.0 106.0 109598;2719.0 133.0 109599;2345.0 61.0 109600;3419.0 130.0 109601;2498.0 183.0 109602;1688.0 82.0 109603;9658.0 296.0 109476;2902.0 319.0 109605;1702.0 58.0 109606;1373.0 68.0 109608;1304.0 73.0 109609;1673.0 58.0 109610;1565.0 41.0 109611;1126.0 120.0 109612;1836.0 34.0 109613;1282.0 91.0 109614;1577.0 95.0 109615;1379.0 96.0 109617;1214.0 24.0 109618;6025.0 191.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,814870.0;28996.0;352315.0;13322.0;767162.0;27753.0;821143.0;39435.0;1.06264580866;1.01665380673;1.34962554056,4184.0 229.0 109594;3758.0 193.0 109596;3372.0 201.0 109597;2132.0 109.0 109598;2729.0 133.0 109599;2353.0 63.0 109600;3431.0 130.0 109601;2505.0 184.0 109602;1703.0 82.0 109603;9669.0 297.0 109476;2910.0 320.0 109605;1719.0 58.0 109606;1378.0 68.0 109608;1315.0 73.0 109609;1689.0 61.0 109610;1576.0 41.0 109611;1141.0 122.0 109612;1840.0 34.0 109613;1298.0 93.0 109614;1583.0 95.0 109615;1392.0 96.0 109617;1225.0 25.0 109618;6036.0 191.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,815734.0;29045.0;352579.0;13332.0;768090.0;27792.0;822087.0;39489.0;1.06197928801;1.0162132976;1.34907327427,4198.0 230.0 109594;3772.0 193.0 109596;3383.0 201.0 109597;2153.0 109.0 109598;2739.0 134.0 109599;2358.0 63.0 109600;3442.0 131.0 109601;2518.0 184.0 109602;1710.0 83.0 109603;9674.0 297.0 109476;2920.0 321.0 109605;1731.0 58.0 109606;1391.0 68.0 109608;1328.0 74.0 109609;1700.0 61.0 109610;1583.0 41.0 109611;1158.0 122.0 109612;1850.0 34.0 109613;1309.0 93.0 109614;1596.0 95.0 109615;1408.0 99.0 109617;1233.0 25.0 109618;6048.0 192.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,816595.0;29083.0;352835.0;13346.0;768980.0;27846.0;822909.0;39542.0;1.06205491849;1.01675258987;1.34919378742,4207.0 230.0 109594;3783.0 194.0 109596;3397.0 201.0 109597;2168.0 109.0 109598;2745.0 134.0 109599;2374.0 65.0 109600;3453.0 131.0 109601;2526.0 185.0 109602;1714.0 84.0 109603;9686.0 297.0 109476;2935.0 322.0 109605;1740.0 59.0 109606;1399.0 69.0 109608;1335.0 74.0 109609;1716.0 65.0 109610;1596.0 42.0 109611;1168.0 122.0 109612;1861.0 34.0 109613;1326.0 94.0 109614;1605.0 95.0 109615;1415.0 99.0 109617;1248.0 25.0 109618;6061.0 192.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,817439.0;29112.0;353088.0;13362.0;769888.0;27891.0;823760.0;39602.0;1.06260491641;1.01723160875;1.34989419949,4215.0 230.0 109594;3799.0 196.0 109596;3405.0 203.0 109597;2177.0 109.0 109598;2756.0 135.0 109599;2385.0 66.0 109600;3462.0 131.0 109601;2534.0 186.0 109602;1727.0 85.0 109603;9698.0 297.0 109476;2953.0 323.0 109605;1750.0 59.0 109606;1407.0 69.0 109608;1342.0 74.0 109609;1731.0 65.0 109610;1607.0 42.0 109611;1176.0 123.0 109612;1873.0 35.0 109613;1338.0 96.0 109614;1612.0 96.0 109615;1423.0 100.0 109617;1262.0 26.0 109618;6079.0 192.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,818258.0;29159.0;353342.0;13373.0;770739.0;27921.0;824618.0;39661.0;1.06206529051;1.01657931269;1.34967276341,4226.0 231.0 109594;3813.0 196.0 109596;3415.0 203.0 109597;2191.0 109.0 109598;2767.0 135.0 109599;2394.0 66.0 109600;3468.0 131.0 109601;2550.0 187.0 109602;1748.0 86.0 109603;9704.0 297.0 109476;2960.0 324.0 109605;1758.0 59.0 109606;1415.0 69.0 109608;1352.0 74.0 109609;1745.0 65.0 109610;1618.0 42.0 109611;1186.0 124.0 109612;1887.0 35.0 109613;1353.0 99.0 109614;1619.0 96.0 109615;1433.0 101.0 109617;1271.0 28.0 109618;6092.0 192.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
