data,1241736600,1514711.0;55519.0;667130.0;26118.0;1420047.0;53608.0;1519551.0;80454.0;1.06811395949;1.02994736418;1.4445098404,2261.0 78.0 109696;1731.0 40.0 109697;2440.0 80.0 109698;2291.0 153.0 109699;2228.0 102.0 109700;590.0 22.0 109701;1683.0 35.0 109702;694.0 58.0 109703;1254.0 96.0 109704;1351.0 46.0 109705;1374.0 46.0 109706;9249.0 426.0 109635;1840.0 48.0 109651;6254.0 76.0 109660;6191.0 142.0 109667;3347.0 132.0 109673;1145.0 68.0 109675;3799.0 137.0 109683;3040.0 125.0 109689;2848.0 104.0 109690;3138.0 297.0 109692;2685.0 75.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1515580.0;55554.0;667982.0;26153.0;1420891.0;53630.0;1520408.0;80492.0;1.06812058545;1.02969964884;1.44429565104,2313.0 80.0 109696;1768.0 42.0 109697;2483.0 82.0 109698;2320.0 153.0 109699;2259.0 104.0 109700;632.0 22.0 109701;1708.0 35.0 109702;738.0 61.0 109703;1300.0 99.0 109704;1396.0 49.0 109705;1408.0 47.0 109706;9294.0 432.0 109635;1876.0 48.0 109651;6289.0 76.0 109660;6231.0 143.0 109667;3367.0 132.0 109673;1190.0 70.0 109675;3840.0 138.0 109683;3074.0 126.0 109689;2878.0 106.0 109690;3197.0 301.0 109692;2724.0 75.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1516483.0;55583.0;668337.0;26165.0;1421861.0;53663.0;1521314.0;80538.0;1.06812184426;1.02970629696;1.44436694697,2332.0 80.0 109696;1789.0 43.0 109697;2498.0 83.0 109698;2334.0 155.0 109699;2277.0 106.0 109700;641.0 22.0 109701;1725.0 35.0 109702;757.0 62.0 109703;1322.0 101.0 109704;1408.0 49.0 109705;1422.0 47.0 109706;9312.0 432.0 109635;1892.0 49.0 109651;6308.0 76.0 109660;6241.0 143.0 109667;3378.0 132.0 109673;1210.0 70.0 109675;3852.0 138.0 109683;3089.0 126.0 109689;2892.0 106.0 109690;3223.0 301.0 109692;2738.0 77.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1517371.0;55622.0;668595.0;26178.0;1422798.0;53694.0;1522304.0;80585.0;1.06811623871;1.02950317723;1.4441024359,2348.0 80.0 109696;1797.0 43.0 109697;2508.0 83.0 109698;2347.0 155.0 109699;2291.0 106.0 109700;653.0 22.0 109701;1734.0 36.0 109702;771.0 62.0 109703;1334.0 102.0 109704;1421.0 50.0 109705;1431.0 49.0 109706;9316.0 432.0 109635;1906.0 49.0 109651;6320.0 79.0 109660;6252.0 143.0 109667;3387.0 133.0 109673;1223.0 70.0 109675;3866.0 139.0 109683;3097.0 126.0 109689;2909.0 107.0 109690;3234.0 302.0 109692;2753.0 78.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1518283.0;55660.0;668867.0;26187.0;1423694.0;53719.0;1523245.0;80627.0;1.06796127684;1.0292498019;1.44384398115,2365.0 81.0 109696;1810.0 43.0 109697;2521.0 83.0 109698;2356.0 155.0 109699;2298.0 106.0 109700;661.0 22.0 109701;1744.0 36.0 109702;784.0 62.0 109703;1351.0 103.0 109704;1435.0 51.0 109705;1446.0 49.0 109706;9331.0 432.0 109635;1915.0 49.0 109651;6334.0 79.0 109660;6261.0 143.0 109667;3396.0 134.0 109673;1236.0 71.0 109675;3880.0 140.0 109683;3108.0 127.0 109689;2927.0 107.0 109690;3248.0 303.0 109692;2763.0 79.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1519254.0;55701.0;669126.0;26197.0;1424615.0;53744.0;1524148.0;80666.0;1.06785196458;1.02896326438;1.44354649917,2373.0 81.0 109696;1821.0 43.0 109697;2530.0 84.0 109698;2363.0 155.0 109699;2311.0 106.0 109700;674.0 22.0 109701;1758.0 36.0 109702;797.0 64.0 109703;1365.0 103.0 109704;1447.0 53.0 109705;1459.0 49.0 109706;9340.0 432.0 109635;1929.0 50.0 109651;6351.0 79.0 109660;6272.0 145.0 109667;3406.0 134.0 109673;1249.0 72.0 109675;3894.0 140.0 109683;3115.0 128.0 109689;2940.0 107.0 109690;3261.0 303.0 109692;2774.0 79.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1520164.0;55741.0;669381.0;26207.0;1425529.0;53777.0;1525053.0;80712.0;1.06772550139;1.0288124285;1.44334070539,2384.0 81.0 109696;1829.0 43.0 109697;2541.0 84.0 109698;2374.0 156.0 109699;2323.0 106.0 109700;689.0 22.0 109701;1771.0 36.0 109702;810.0 64.0 109703;1374.0 103.0 109704;1457.0 53.0 109705;1470.0 49.0 109706;9355.0 434.0 109635;1939.0 50.0 109651;6359.0 79.0 109660;6281.0 146.0 109667;3420.0 135.0 109673;1260.0 73.0 109675;3901.0 140.0 109683;3128.0 129.0 109689;2950.0 107.0 109690;3277.0 304.0 109692;2792.0 81.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1521072.0;55776.0;669662.0;26215.0;1426442.0;53807.0;1525978.0;80746.0;1.06757061906;1.02869603877;1.44302930704,2400.0 81.0 109696;1838.0 43.0 109697;2561.0 84.0 109698;2390.0 157.0 109699;2334.0 107.0 109700;700.0 22.0 109701;1786.0 36.0 109702;818.0 64.0 109703;1387.0 104.0 109704;1470.0 54.0 109705;1484.0 49.0 109706;9362.0 434.0 109635;1957.0 50.0 109651;6371.0 79.0 109660;6293.0 146.0 109667;3434.0 135.0 109673;1277.0 75.0 109675;3909.0 140.0 109683;3138.0 130.0 109689;2967.0 108.0 109690;3286.0 304.0 109692;2803.0 81.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1521989.0;55817.0;669969.0;26224.0;1427324.0;53835.0;1526881.0;80778.0;1.06730673787;1.02845944733;1.44255681947,2413.0 81.0 109696;1852.0 43.0 109697;2578.0 84.0 109698;2401.0 158.0 109699;2351.0 108.0 109700;712.0 22.0 109701;1802.0 36.0 109702;832.0 67.0 109703;1399.0 104.0 109704;1481.0 54.0 109705;1508.0 49.0 109706;9374.0 434.0 109635;1966.0 50.0 109651;6383.0 79.0 109660;6301.0 146.0 109667;3449.0 136.0 109673;1289.0 76.0 109675;3925.0 140.0 109683;3149.0 130.0 109689;2982.0 109.0 109690;3303.0 304.0 109692;2822.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1522919.0;55848.0;670259.0;26237.0;1428257.0;53871.0;1527802.0;80832.0;1.06743318685;1.02853211359;1.44273122165,2429.0 81.0 109696;1865.0 43.0 109697;2592.0 84.0 109698;2420.0 159.0 109699;2369.0 110.0 109700;725.0 22.0 109701;1813.0 37.0 109702;845.0 68.0 109703;1411.0 105.0 109704;1490.0 54.0 109705;1514.0 49.0 109706;9393.0 435.0 109635;1978.0 51.0 109651;6394.0 79.0 109660;6310.0 146.0 109667;3466.0 137.0 109673;1303.0 77.0 109675;3934.0 140.0 109683;3161.0 132.0 109689;2994.0 110.0 109690;3321.0 304.0 109692;2835.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1523774.0;55878.0;670528.0;26245.0;1429120.0;53908.0;1528695.0;80873.0;1.0673561698;1.02864194187;1.44265476383,2439.0 82.0 109696;1873.0 43.0 109697;2601.0 84.0 109698;2429.0 161.0 109699;2380.0 110.0 109700;739.0 23.0 109701;1826.0 37.0 109702;868.0 70.0 109703;1425.0 105.0 109704;1496.0 55.0 109705;1527.0 49.0 109706;9414.0 435.0 109635;1989.0 51.0 109651;6404.0 79.0 109660;6323.0 146.0 109667;3478.0 137.0 109673;1314.0 77.0 109675;3945.0 140.0 109683;3172.0 133.0 109689;3007.0 110.0 109690;3334.0 304.0 109692;2848.0 82.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
