data,1241866500,1822071.0;65519.0;795741.0;30489.0;1714476.0;63195.0;1829412.0;93638.0;1.06553932041;1.02506013469;1.42343828101,3469.0 96.0 109728;6645.0 149.0 109697;10996.0 235.0 109667;1577.0 75.0 109734;2432.0 60.0 109735;2539.0 137.0 109711;1578.0 75.0 109746;1350.0 63.0 109742;1801.0 88.0 109743;1660.0 45.0 109745;950.0 20.0 109714;1648.0 42.0 109747;1842.0 90.0 109748;1109.0 55.0 109749;3933.0 114.0 109720;4801.0 314.0 109721;2898.0 97.0 109722;3738.0 74.0 109723;2888.0 53.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1822885.0;65535.0;796481.0;30506.0;1715272.0;63216.0;1830182.0;93652.0;1.06535859314;1.02513245112;1.42334029423,3525.0 99.0 109728;6680.0 149.0 109697;11032.0 235.0 109667;1604.0 75.0 109734;2487.0 62.0 109735;980.0 23.0 109714;1384.0 63.0 109742;2574.0 138.0 109711;3768.0 75.0 109723;1682.0 45.0 109745;1609.0 75.0 109746;1695.0 43.0 109747;1887.0 91.0 109748;1149.0 55.0 109749;3972.0 114.0 109720;4866.0 318.0 109721;2941.0 98.0 109722;1837.0 88.0 109743;2922.0 53.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1823925.0;65562.0;796822.0;30512.0;1716355.0;63244.0;1831227.0;93680.0;1.06528090408;1.02510179299;1.42317885213,3545.0 99.0 109728;6701.0 149.0 109697;11052.0 235.0 109667;1614.0 76.0 109734;2505.0 62.0 109735;2586.0 138.0 109711;1624.0 76.0 109746;1397.0 63.0 109742;1854.0 88.0 109743;1704.0 46.0 109745;1007.0 24.0 109714;1712.0 43.0 109747;1901.0 91.0 109748;1167.0 56.0 109749;3993.0 114.0 109720;4886.0 318.0 109721;2959.0 98.0 109722;3784.0 75.0 109723;2944.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1825001.0;65588.0;797155.0;30522.0;1717412.0;63265.0;1832295.0;93705.0;1.06539077577;1.02500914007;1.42300388993,3561.0 99.0 109728;6727.0 150.0 109697;11065.0 235.0 109667;1876.0 89.0 109743;1635.0 77.0 109734;2518.0 62.0 109735;1638.0 77.0 109746;1421.0 63.0 109742;2605.0 139.0 109711;1714.0 46.0 109745;1032.0 24.0 109714;1725.0 43.0 109747;1923.0 94.0 109748;1176.0 56.0 109749;4009.0 114.0 109720;4911.0 320.0 109721;2965.0 98.0 109722;3808.0 75.0 109723;2959.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1826000.0;65620.0;797481.0;30538.0;1718478.0;63292.0;1833287.0;93758.0;1.06557689022;1.02487143774;1.42312295187,3577.0 99.0 109728;6750.0 152.0 109697;11083.0 236.0 109667;1650.0 78.0 109734;2536.0 63.0 109735;1048.0 25.0 109714;1890.0 92.0 109743;1442.0 63.0 109742;2615.0 139.0 109711;1723.0 46.0 109745;1655.0 81.0 109746;1744.0 44.0 109747;1941.0 95.0 109748;1198.0 56.0 109749;4027.0 114.0 109720;4927.0 320.0 109721;2983.0 98.0 109722;3826.0 76.0 109723;2979.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1827040.0;65657.0;797809.0;30548.0;1719513.0;63325.0;1834337.0;93803.0;1.06549366336;1.02479442812;1.42299909053,3592.0 99.0 109728;6764.0 152.0 109697;11095.0 236.0 109667;1670.0 80.0 109734;2555.0 64.0 109735;2638.0 140.0 109711;1672.0 81.0 109746;1455.0 63.0 109742;1900.0 93.0 109743;1742.0 46.0 109745;1074.0 26.0 109714;1761.0 44.0 109747;1960.0 95.0 109748;1216.0 57.0 109749;4047.0 114.0 109720;4940.0 322.0 109721;3001.0 99.0 109722;3844.0 76.0 109723;2996.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1828098.0;65681.0;798111.0;30561.0;1720539.0;63353.0;1835430.0;93848.0;1.0657712031;1.02485489787;1.42313766533,3602.0 99.0 109728;6775.0 152.0 109697;11104.0 236.0 109667;1690.0 81.0 109734;2580.0 64.0 109735;2652.0 141.0 109711;1684.0 82.0 109746;1475.0 66.0 109742;1921.0 94.0 109743;1759.0 47.0 109745;1087.0 26.0 109714;1776.0 44.0 109747;1984.0 96.0 109748;1233.0 59.0 109749;4058.0 114.0 109720;4961.0 324.0 109721;3010.0 99.0 109722;3859.0 76.0 109723;3014.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1829156.0;65711.0;798448.0;30568.0;1721631.0;63390.0;1836470.0;93881.0;1.06569531578;1.02492797525;1.4230053677,3619.0 100.0 109728;6797.0 153.0 109697;11123.0 236.0 109667;1707.0 81.0 109734;2598.0 64.0 109735;1101.0 26.0 109714;1491.0 66.0 109742;1938.0 94.0 109743;3871.0 76.0 109723;1780.0 47.0 109745;1702.0 82.0 109746;1799.0 44.0 109747;1999.0 98.0 109748;1247.0 59.0 109749;4081.0 114.0 109720;4978.0 324.0 109721;3024.0 99.0 109722;2669.0 144.0 109711;3037.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1830234.0;65744.0;798767.0;30581.0;1722697.0;63417.0;1837556.0;93928.0;1.06581557769;1.02481928904;1.42300028429,3641.0 100.0 109728;6812.0 153.0 109697;11144.0 238.0 109667;1954.0 94.0 109743;1725.0 82.0 109734;2610.0 65.0 109735;1117.0 26.0 109714;1504.0 67.0 109742;2677.0 144.0 109711;1799.0 49.0 109745;1717.0 82.0 109746;1820.0 44.0 109747;2014.0 99.0 109748;1262.0 60.0 109749;4101.0 114.0 109720;4998.0 327.0 109721;3043.0 100.0 109722;3895.0 76.0 109723;3047.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1831237.0;65790.0;799071.0;30592.0;1723696.0;63454.0;1838585.0;93973.0;1.06563179354;1.02466758742;1.42266958576,3657.0 100.0 109728;6830.0 153.0 109697;11156.0 238.0 109667;1737.0 82.0 109734;2626.0 65.0 109735;2695.0 144.0 109711;1134.0 26.0 109714;1526.0 68.0 109742;1969.0 95.0 109743;1813.0 49.0 109745;1739.0 84.0 109746;1840.0 44.0 109747;2027.0 101.0 109748;1275.0 61.0 109749;4118.0 115.0 109720;5009.0 329.0 109721;3057.0 100.0 109722;3915.0 77.0 109723;3061.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1832265.0;65834.0;799415.0;30608.0;1724742.0;63488.0;1839615.0;94025.0;1.06561592545;1.02448487145;1.42250709969,3674.0 101.0 109728;6847.0 153.0 109697;11181.0 238.0 109667;1982.0 96.0 109743;1747.0 83.0 109734;2646.0 66.0 109735;1760.0 84.0 109746;1545.0 73.0 109742;2723.0 144.0 109711;1825.0 49.0 109745;1148.0 27.0 109714;1858.0 46.0 109747;2046.0 101.0 109748;1292.0 61.0 109749;4139.0 116.0 109720;5024.0 331.0 109721;3074.0 101.0 109722;3928.0 77.0 109723;3089.0 54.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
