data,1242005400,2115872.0;75110.0;916982.0;34513.0;1990817.0;72172.0;2124511.0;106405.0;1.06026281469;1.02124285085;1.41089495798,3434.0 137.0 109762;3584.0 120.0 109731;1159.0 45.0 109780;1938.0 73.0 109765;3257.0 105.0 109763;706.0 39.0 109730;2717.0 99.0 109769;2661.0 40.0 109770;1770.0 57.0 109771;3712.0 151.0 109740;1690.0 58.0 109773;2149.0 104.0 109774;2222.0 120.0 109775;1246.0 28.0 109776;1352.0 31.0 109777;1672.0 48.0 109778;1601.0 64.0 109779;4439.0 200.0 109684;924.0 43.0 109782;868.0 36.0 109783;6567.0 187.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2116761.0;75142.0;917832.0;34537.0;1991662.0;72198.0;2125376.0;106440.0;1.06001128911;1.02117131045;1.41077634423,3468.0 137.0 109762;3630.0 122.0 109731;1977.0 73.0 109765;1653.0 65.0 109779;6593.0 187.0 109745;2766.0 100.0 109769;2702.0 42.0 109770;1798.0 57.0 109771;3755.0 151.0 109740;751.0 41.0 109730;2185.0 104.0 109774;1729.0 59.0 109773;1272.0 28.0 109776;1397.0 32.0 109777;1702.0 49.0 109778;3299.0 105.0 109763;4469.0 201.0 109684;986.0 47.0 109782;901.0 37.0 109783;1205.0 48.0 109780;2280.0 124.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2117667.0;75166.0;918740.0;34567.0;1992601.0;72234.0;2126289.0;106477.0;1.0599986055;1.02130992;1.41081394337,3488.0 137.0 109762;3331.0 105.0 109763;3674.0 122.0 109731;1444.0 34.0 109777;2809.0 100.0 109769;2747.0 43.0 109770;1826.0 57.0 109771;3786.0 152.0 109740;789.0 44.0 109730;2221.0 104.0 109774;1768.0 61.0 109773;1321.0 31.0 109776;6626.0 189.0 109745;1741.0 49.0 109778;1688.0 65.0 109779;4513.0 202.0 109684;1080.0 54.0 109782;936.0 38.0 109783;1265.0 50.0 109780;2341.0 126.0 109775;2032.0 76.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2118659.0;75208.0;919049.0;34578.0;1993586.0;72282.0;2127257.0;106527.0;1.05988373061;1.02139142667;1.41070679362,6636.0 189.0 109745;3506.0 137.0 109762;3686.0 123.0 109731;2051.0 77.0 109765;3339.0 105.0 109763;803.0 44.0 109730;2820.0 100.0 109769;2763.0 44.0 109770;1835.0 57.0 109771;3806.0 154.0 109740;1779.0 63.0 109773;2235.0 104.0 109774;2366.0 127.0 109775;1334.0 31.0 109776;1466.0 36.0 109777;1764.0 49.0 109778;1698.0 65.0 109779;4526.0 202.0 109684;1100.0 55.0 109782;947.0 38.0 109783;1275.0 50.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2119594.0;75246.0;919307.0;34583.0;1994553.0;72310.0;2128219.0;106570.0;1.05967176057;1.02122642446;1.41054814104,3519.0 137.0 109762;3347.0 105.0 109763;2061.0 77.0 109765;6645.0 190.0 109745;2837.0 100.0 109769;2773.0 44.0 109770;1846.0 57.0 109771;3822.0 154.0 109740;1794.0 63.0 109773;2251.0 104.0 109774;2384.0 127.0 109775;1338.0 31.0 109776;1482.0 36.0 109777;1778.0 50.0 109778;1703.0 65.0 109779;4538.0 202.0 109684;1106.0 55.0 109782;966.0 38.0 109783;1288.0 51.0 109780;3701.0 125.0 109731;814.0 44.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2120552.0;75286.0;919585.0;34592.0;1995515.0;72348.0;2129218.0;106618.0;1.05954278136;1.02118925512;1.41040911454,3531.0 137.0 109762;3716.0 125.0 109731;1303.0 52.0 109780;2077.0 77.0 109765;3358.0 105.0 109763;827.0 44.0 109730;2857.0 100.0 109769;2788.0 44.0 109770;1860.0 58.0 109771;3838.0 155.0 109740;1805.0 65.0 109773;2263.0 104.0 109774;2393.0 127.0 109775;1351.0 31.0 109776;1496.0 36.0 109777;1784.0 50.0 109778;1721.0 66.0 109779;4548.0 203.0 109684;1120.0 56.0 109782;978.0 39.0 109783;6657.0 190.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2121516.0;75326.0;919903.0;34602.0;1996456.0;72385.0;2130196.0;106674.0;1.0594014723;1.02115164451;1.41039390021,3548.0 137.0 109762;3377.0 105.0 109763;2090.0 77.0 109765;844.0 47.0 109730;2870.0 101.0 109769;2803.0 45.0 109770;1877.0 59.0 109771;3854.0 155.0 109740;1815.0 65.0 109773;2276.0 104.0 109774;2409.0 127.0 109775;1362.0 31.0 109776;6673.0 190.0 109745;1800.0 50.0 109778;1740.0 66.0 109779;4564.0 203.0 109684;1137.0 57.0 109782;993.0 41.0 109783;1315.0 53.0 109780;3733.0 125.0 109731;1509.0 36.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2122507.0;75362.0;920199.0;34612.0;1997405.0;72420.0;2131129.0;106713.0;1.05935532456;1.02114896974;1.41027662003,3555.0 138.0 109762;3396.0 106.0 109763;2103.0 78.0 109765;1758.0 66.0 109779;1527.0 37.0 109777;1813.0 50.0 109778;2886.0 101.0 109769;2827.0 46.0 109770;1890.0 60.0 109771;3864.0 155.0 109740;856.0 47.0 109730;2286.0 105.0 109774;2426.0 127.0 109775;1377.0 31.0 109776;6688.0 190.0 109745;1824.0 65.0 109773;3743.0 125.0 109731;1334.0 53.0 109780;1157.0 59.0 109782;1002.0 41.0 109783;4573.0 204.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2123450.0;75397.0;920485.0;34620.0;1998353.0;72450.0;2132063.0;106754.0;1.05924963053;1.02106680246;1.41017203077,871.0 47.0 109730;3760.0 125.0 109731;2111.0 79.0 109765;1765.0 66.0 109779;6704.0 190.0 109745;1826.0 50.0 109778;2892.0 102.0 109769;2836.0 46.0 109770;1904.0 60.0 109771;3881.0 156.0 109740;3575.0 139.0 109762;2303.0 106.0 109774;2441.0 128.0 109775;1387.0 32.0 109776;1538.0 37.0 109777;1840.0 65.0 109773;3411.0 107.0 109763;4589.0 204.0 109684;1170.0 59.0 109782;1014.0 41.0 109783;1353.0 53.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2124339.0;75435.0;920809.0;34631.0;1999293.0;72478.0;2133048.0;106801.0;1.0591230126;1.02089407385;1.41002112126,3589.0 139.0 109762;3423.0 108.0 109763;2130.0 79.0 109765;1778.0 66.0 109779;1556.0 37.0 109777;2912.0 103.0 109769;2847.0 46.0 109770;1915.0 60.0 109771;3897.0 156.0 109740;1855.0 65.0 109773;2323.0 107.0 109774;2461.0 129.0 109775;1401.0 33.0 109776;6717.0 190.0 109745;1845.0 51.0 109778;3768.0 125.0 109731;4602.0 205.0 109684;1186.0 60.0 109782;1035.0 42.0 109783;1369.0 53.0 109780;886.0 49.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2125291.0;75465.0;921078.0;34648.0;2000237.0;72515.0;2134008.0;106846.0;1.05938687529;1.02098467067;1.41005174919,903.0 51.0 109730;3779.0 126.0 109731;2145.0 81.0 109765;3438.0 110.0 109763;6731.0 190.0 109745;3605.0 139.0 109762;2919.0 103.0 109769;2860.0 46.0 109770;1925.0 61.0 109771;3905.0 157.0 109740;1868.0 66.0 109773;2335.0 109.0 109774;2468.0 129.0 109775;1417.0 36.0 109776;1565.0 37.0 109777;1858.0 51.0 109778;1793.0 67.0 109779;1383.0 53.0 109780;1207.0 60.0 109782;1046.0 43.0 109783;4614.0 205.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
