data,1241954400,1994029.0;70991.0;864917.0;32704.0;1881033.0;68487.0;2001683.0;100819.0;1.06207360849;1.02268033367;1.41473553117,2127.0 42.0 109760;2233.0 104.0 109761;1390.0 55.0 109762;1257.0 35.0 109763;1577.0 28.0 109764;1940.0 81.0 109766;1582.0 61.0 109767;9342.0 210.0 109697;644.0 24.0 109769;1672.0 71.0 109740;2343.0 70.0 109741;6462.0 116.0 109723;4416.0 122.0 109745;1582.0 51.0 109731;2379.0 108.0 109684;2669.0 97.0 109686;1842.0 36.0 109752;2124.0 82.0 109755;2461.0 64.0 109756;2191.0 81.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1994635.0;71006.0;865361.0;32713.0;1881611.0;68501.0;2002253.0;100840.0;1.06191912473;1.02266985715;1.41475836748,2143.0 43.0 109760;2251.0 104.0 109761;1402.0 55.0 109762;1596.0 51.0 109731;1599.0 29.0 109764;1963.0 82.0 109766;1611.0 61.0 109767;9367.0 210.0 109697;671.0 24.0 109769;1685.0 71.0 109740;2368.0 70.0 109741;6503.0 117.0 109723;4445.0 122.0 109745;1284.0 36.0 109763;2404.0 109.0 109684;2679.0 97.0 109686;1864.0 37.0 109752;2139.0 82.0 109755;2488.0 66.0 109756;2215.0 81.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1995619.0;71036.0;865659.0;32726.0;1882559.0;68523.0;2003244.0;100885.0;1.06205060094;1.02255553554;1.41478966703,2157.0 44.0 109760;9385.0 210.0 109697;1417.0 59.0 109762;1613.0 52.0 109731;1612.0 29.0 109764;1977.0 82.0 109766;2267.0 104.0 109761;685.0 24.0 109769;1622.0 62.0 109767;1707.0 72.0 109740;2389.0 72.0 109741;4460.0 123.0 109745;1298.0 36.0 109763;2416.0 109.0 109684;2149.0 82.0 109755;2697.0 97.0 109686;1870.0 37.0 109752;6519.0 118.0 109723;2507.0 67.0 109756;2228.0 81.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1996645.0;71063.0;865960.0;32731.0;1883503.0;68543.0;2004257.0;100920.0;1.06198592173;1.02247832336;1.41475471488,2179.0 46.0 109760;9404.0 210.0 109697;1430.0 59.0 109762;1313.0 36.0 109763;1625.0 30.0 109764;1993.0 82.0 109766;1639.0 62.0 109767;707.0 24.0 109769;2284.0 105.0 109761;1720.0 72.0 109740;2403.0 72.0 109741;6526.0 118.0 109723;4478.0 123.0 109745;1627.0 53.0 109731;2425.0 109.0 109684;2712.0 97.0 109686;1884.0 37.0 109752;2160.0 82.0 109755;2520.0 67.0 109756;2247.0 81.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1997629.0;71092.0;866272.0;32743.0;1884494.0;68574.0;2005226.0;100951.0;1.06208259743;1.02248942716;1.41462523213,2196.0 46.0 109760;2305.0 107.0 109761;1449.0 60.0 109762;1641.0 54.0 109731;1646.0 30.0 109764;2007.0 82.0 109766;1652.0 62.0 109767;9415.0 210.0 109697;726.0 25.0 109769;1739.0 73.0 109740;2408.0 73.0 109741;6547.0 119.0 109723;4496.0 125.0 109745;1323.0 37.0 109763;2442.0 109.0 109684;2725.0 97.0 109686;1898.0 37.0 109752;2173.0 82.0 109755;2536.0 67.0 109756;2264.0 82.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1998603.0;71122.0;866565.0;32750.0;1885454.0;68602.0;2006262.0;100986.0;1.06202009501;1.02245313313;1.41447767459,2208.0 47.0 109760;2321.0 107.0 109761;1464.0 60.0 109762;2184.0 82.0 109755;1664.0 30.0 109764;1657.0 55.0 109731;2026.0 83.0 109766;9427.0 210.0 109697;740.0 25.0 109769;1664.0 63.0 109767;1757.0 75.0 109740;2420.0 73.0 109741;4513.0 126.0 109745;1336.0 37.0 109763;2452.0 109.0 109684;2746.0 97.0 109686;1916.0 37.0 109752;6560.0 119.0 109723;2544.0 67.0 109756;2282.0 82.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,1999556.0;71150.0;866844.0;32754.0;1886492.0;68640.0;2007311.0;101026.0;1.06189619433;1.02254157351;1.41441600046,2219.0 47.0 109760;9444.0 211.0 109697;1472.0 60.0 109762;1353.0 37.0 109763;1675.0 30.0 109764;2043.0 83.0 109766;1671.0 63.0 109767;757.0 26.0 109769;2336.0 107.0 109761;1769.0 76.0 109740;2427.0 73.0 109741;4529.0 126.0 109745;1676.0 55.0 109731;2466.0 109.0 109684;2197.0 83.0 109755;2764.0 97.0 109686;1929.0 37.0 109752;6573.0 119.0 109723;2563.0 67.0 109756;2297.0 82.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2000576.0;71168.0;867133.0;32757.0;1887509.0;68679.0;2008346.0;101065.0;1.06191241858;1.02283416288;1.41459636554,2233.0 47.0 109760;2352.0 107.0 109761;1482.0 60.0 109762;2208.0 83.0 109755;1687.0 30.0 109764;2063.0 83.0 109766;9458.0 211.0 109697;773.0 27.0 109769;1367.0 37.0 109763;1692.0 63.0 109767;1783.0 76.0 109740;2440.0 73.0 109741;4549.0 126.0 109745;1692.0 57.0 109731;2476.0 109.0 109684;2778.0 97.0 109686;1936.0 37.0 109752;6592.0 119.0 109723;2575.0 67.0 109756;2313.0 82.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2001574.0;71191.0;867417.0;32763.0;1888477.0;68705.0;2009381.0;101098.0;1.06194564944;1.02287650148;1.41457777466,2251.0 47.0 109760;9469.0 211.0 109697;1503.0 61.0 109762;1387.0 37.0 109763;1701.0 30.0 109764;2075.0 83.0 109766;1708.0 63.0 109767;783.0 27.0 109769;2366.0 107.0 109761;1797.0 77.0 109740;2453.0 73.0 109741;6605.0 119.0 109723;4563.0 127.0 109745;1702.0 57.0 109731;2497.0 110.0 109684;2788.0 97.0 109686;1944.0 37.0 109752;2227.0 84.0 109755;2588.0 67.0 109756;2326.0 83.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2002562.0;71219.0;867720.0;32774.0;1889501.0;68727.0;2010319.0;101127.0;1.06203771902;1.02275205396;1.4144651316,2260.0 47.0 109760;9488.0 213.0 109697;1516.0 61.0 109762;2248.0 85.0 109755;1712.0 30.0 109764;2089.0 83.0 109766;1726.0 65.0 109767;810.0 28.0 109769;1398.0 38.0 109763;1814.0 78.0 109740;2472.0 73.0 109741;4579.0 127.0 109745;1716.0 58.0 109731;2510.0 111.0 109684;2798.0 97.0 109686;1956.0 37.0 109752;2378.0 107.0 109761;6618.0 119.0 109723;2611.0 67.0 109756;2337.0 84.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2003577.0;71247.0;868011.0;32781.0;1890493.0;68759.0;2011309.0;101166.0;1.06202911845;1.02280756989;1.41447487372,2269.0 47.0 109760;2389.0 107.0 109761;1532.0 63.0 109762;1730.0 58.0 109731;1725.0 31.0 109764;2099.0 83.0 109766;1744.0 65.0 109767;9502.0 214.0 109697;832.0 28.0 109769;1827.0 78.0 109740;2484.0 73.0 109741;4599.0 127.0 109745;1410.0 39.0 109763;2530.0 111.0 109684;2263.0 86.0 109755;2813.0 97.0 109686;1969.0 38.0 109752;6636.0 119.0 109723;2622.0 67.0 109756;2352.0 84.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
