
New Run at  02/09/2015 03:37:52
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,843286.0;30602.0;326084.0;12413.0;801404.0;34650.0;850626.0;41782.0;1.04899240834;1.19145271903;1.35355420117,3515.0 130.0 109601;1775.0 81.0 109603;8814.0 289.0 109476;2878.0 299.0 109605;1527.0 57.0 109608;1970.0 69.0 109610;1882.0 65.0 109611;1394.0 136.0 109612;5814.0 208.0 109517;1684.0 110.0 109614;2029.0 34.0 109613;1647.0 99.0 109617;1629.0 29.0 109618;775.0 19.0 109619;3918.0 213.0 109594;1874.0 124.0 109615;3802.0 193.0 109596;3222.0 166.0 109598;2685.0 139.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,844361.0;30637.0;326401.0;12424.0;802453.0;34699.0;851674.0;41830.0;1.04903962047;1.19173387108;1.35361888353,3539.0 130.0 109601;1785.0 81.0 109603;8831.0 289.0 109476;2894.0 301.0 109605;1541.0 57.0 109608;1981.0 69.0 109610;1892.0 65.0 109611;1416.0 139.0 109612;5830.0 208.0 109517;1706.0 113.0 109614;2050.0 34.0 109613;1662.0 99.0 109617;1643.0 29.0 109618;797.0 19.0 109619;3934.0 214.0 109594;1891.0 125.0 109615;3822.0 194.0 109596;3239.0 166.0 109598;2698.0 139.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,845445.0;30670.0;326738.0;12435.0;803536.0;34737.0;852767.0;41858.0;1.04910202983;1.19167699071;1.35306815179,3560.0 130.0 109601;1802.0 81.0 109603;8842.0 289.0 109476;2914.0 302.0 109605;1561.0 57.0 109608;2000.0 69.0 109610;1915.0 65.0 109611;1442.0 142.0 109612;5853.0 209.0 109517;1722.0 116.0 109614;1902.0 125.0 109615;2065.0 34.0 109613;1675.0 99.0 109617;1662.0 29.0 109618;811.0 19.0 109619;3944.0 216.0 109594;3842.0 194.0 109596;3257.0 166.0 109598;2719.0 140.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,846499.0;30692.0;327066.0;12438.0;804572.0;34775.0;853843.0;41900.0;1.04885731822;1.19207473607;1.35343455531,3575.0 130.0 109601;1819.0 81.0 109603;8859.0 289.0 109476;2935.0 302.0 109605;1583.0 57.0 109608;2010.0 69.0 109610;1933.0 66.0 109611;1462.0 142.0 109612;2081.0 34.0 109613;1743.0 117.0 109614;1924.0 125.0 109615;1693.0 99.0 109617;1669.0 29.0 109618;827.0 19.0 109619;3956.0 216.0 109594;3860.0 194.0 109596;5870.0 209.0 109517;3272.0 166.0 109598;2745.0 141.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,847554.0;30718.0;327374.0;12446.0;805614.0;34797.0;854930.0;41924.0;1.04896271979;1.19176119476;1.35302741737,3599.0 130.0 109601;1841.0 82.0 109603;8874.0 289.0 109476;2950.0 303.0 109605;1596.0 57.0 109608;2027.0 69.0 109610;1950.0 67.0 109611;1472.0 142.0 109612;2102.0 35.0 109613;1754.0 118.0 109614;1939.0 125.0 109615;1706.0 100.0 109617;1684.0 30.0 109618;839.0 19.0 109619;3974.0 217.0 109594;3882.0 194.0 109596;5885.0 209.0 109517;3291.0 166.0 109598;2759.0 141.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,848613.0;30750.0;327716.0;12454.0;806708.0;34828.0;856024.0;41958.0;1.04875918262;1.1914524986;1.35267479599,3624.0 131.0 109601;1858.0 82.0 109603;8892.0 289.0 109476;2969.0 305.0 109605;1612.0 57.0 109608;2043.0 69.0 109610;1966.0 67.0 109611;1491.0 142.0 109612;2118.0 35.0 109613;1773.0 119.0 109614;1951.0 127.0 109615;1724.0 100.0 109617;1702.0 30.0 109618;857.0 19.0 109619;3994.0 218.0 109594;3901.0 195.0 109596;5909.0 209.0 109517;3309.0 166.0 109598;2773.0 141.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,849653.0;30766.0;328022.0;12460.0;807759.0;34860.0;857083.0;41996.0;1.04902449585;1.19183500459;1.35318010953,3636.0 131.0 109601;1874.0 82.0 109603;8910.0 289.0 109476;2987.0 306.0 109605;1626.0 57.0 109608;2062.0 69.0 109610;1981.0 67.0 109611;1502.0 143.0 109612;2135.0 35.0 109613;1793.0 120.0 109614;5931.0 209.0 109517;1736.0 100.0 109617;1718.0 30.0 109618;870.0 19.0 109619;4004.0 218.0 109594;1966.0 127.0 109615;3923.0 196.0 109596;3330.0 168.0 109598;2788.0 141.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
data,1241512500,850690.0;30799.0;328350.0;12468.0;808779.0;34875.0;858126.0;42026.0;1.04880436173;1.19102002059;1.35270067685,3647.0 132.0 109601;1890.0 82.0 109603;8934.0 290.0 109476;2151.0 35.0 109613;1641.0 58.0 109608;2074.0 69.0 109610;2002.0 67.0 109611;1524.0 144.0 109612;5946.0 209.0 109517;1809.0 120.0 109614;1984.0 128.0 109615;1767.0 100.0 109617;1743.0 30.0 109618;879.0 19.0 109619;4017.0 218.0 109594;3936.0 197.0 109596;3004.0 306.0 109605;3347.0 169.0 109598;2805.0 142.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1017;109603 1089;109476 1080;109613 1053;109608 1015;109610 1047;109611 1055;109612 1052;109517 1093;109614 1049;109615 1101;109617 1003;109618 1081;109619 1034;109594 1067;109596 1054;109605 1000;109598 1032;109599 1078
data,1241513400,851710.0;30823.0;328683.0;12475.0;809798.0;34899.0;859123.0;42049.0;1.04876974936;1.19083920208;1.35243738131,3666.0 133.0 109601;1910.0 83.0 109603;8950.0 290.0 109476;3016.0 306.0 109605;1666.0 59.0 109608;5974.0 209.0 109517;2019.0 67.0 109611;1536.0 144.0 109612;2174.0 35.0 109613;1823.0 121.0 109614;2001.0 129.0 109615;1780.0 100.0 109617;1765.0 31.0 109618;902.0 19.0 109619;4033.0 218.0 109594;3949.0 197.0 109596;2086.0 69.0 109610;3362.0 169.0 109598;2821.0 143.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1070;109603 1042;109476 1005;109605 968;109608 1092;109517 1080;109611 1067;109612 1083;109613 1025;109614 1034;109615 1092;109617 1017;109618 1075;109619 1049;109594 1068;109596 1046;109610 1036;109598 1077;109599 1074
data,1241514300,852788.0;30847.0;329011.0;12481.0;810847.0;34929.0;860185.0;42082.0;1.04873825974;1.19090024618;1.35248561328,3674.0 133.0 109601;1934.0 84.0 109603;8968.0 290.0 109476;3039.0 306.0 109605;1682.0 59.0 109608;2110.0 69.0 109610;2035.0 67.0 109611;1551.0 144.0 109612;5993.0 210.0 109517;1838.0 121.0 109614;2182.0 35.0 109613;1801.0 101.0 109617;1793.0 31.0 109618;914.0 19.0 109619;4050.0 219.0 109594;2012.0 131.0 109615;3967.0 197.0 109596;3379.0 169.0 109598;2839.0 143.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1040;109603 1056;109476 1024;109605 985;109608 1061;109610 1065;109611 1087;109612 1100;109517 988;109614 1046;109613 1066;109617 1133;109618 1015;109619 1005;109594 1047;109615 1057;109596 1094;109598 1045;109599 1086
