
New Run at  02/09/2015 09:57:32
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,991.0;26.0;870.0;20.0;1009.0;29.0;1025.0;33.0;0.876215738285;1.09548677289;1.22712945591,43.0 2.0 109473;34.0 0.0 109506;53.0 2.0 109508;43.0 0.0 109509;75.0 4.0 109510;42.0 2.0 109511;40.0 2.0 109512;29.0 0.0 109513;49.0 2.0 109514;36.0 0.0 109515;57.0 2.0 109484;44.0 1.0 109453;45.0 1.0 109492;38.0 0.0 109505;40.0 0.0 109494;38.0 0.0 109495;35.0 0.0 109498;41.0 0.0 109501;41.0 1.0 109502;47.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,2011.0;52.0;1506.0;34.0;1922.0;58.0;1985.0;56.0;0.873097354173;1.16703353878;1.09102887037,55.0 2.0 109473;45.0 1.0 109506;71.0 3.0 109508;59.0 0.0 109509;88.0 4.0 109510;44.0 1.0 109505;60.0 2.0 109512;39.0 1.0 109513;70.0 2.0 109514;53.0 0.0 109515;69.0 2.0 109484;53.0 1.0 109453;352.0 6.0 109519;61.0 1.0 109492;52.0 0.0 109494;58.0 0.0 109495;58.0 3.0 109511;51.0 0.0 109498;56.0 0.0 109501;52.0 2.0 109502;60.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,3001.0;74.0;2062.0;45.0;2914.0;80.0;2975.0;93.0;0.88503027761;1.11335769538;1.26774017715,72.0 3.0 109473;63.0 2.0 109506;90.0 3.0 109508;65.0 0.0 109509;97.0 4.0 109510;70.0 3.0 109511;70.0 2.0 109512;54.0 2.0 109513;81.0 2.0 109514;67.0 0.0 109515;77.0 2.0 109484;74.0 1.0 109453;637.0 10.0 109519;74.0 1.0 109492;67.0 0.0 109494;71.0 0.0 109495;64.0 0.0 109498;74.0 1.0 109501;66.0 3.0 109502;85.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,4034.0;104.0;2383.0;52.0;3876.0;95.0;3986.0;139.0;0.846412085606;0.950697586727;1.35263325485,90.0 3.0 109473;79.0 2.0 109506;107.0 3.0 109508;78.0 0.0 109509;113.0 5.0 109510;89.0 3.0 109511;87.0 3.0 109512;66.0 2.0 109513;92.0 2.0 109514;93.0 0.0 109515;98.0 3.0 109484;89.0 1.0 109453;650.0 11.0 109519;87.0 1.0 109492;85.0 1.0 109494;90.0 0.0 109495;78.0 0.0 109498;86.0 2.0 109501;77.0 3.0 109502;105.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,5063.0;133.0;2715.0;61.0;4822.0;116.0;4975.0;166.0;0.855295697808;0.915771386159;1.27019760456,108.0 3.0 109473;102.0 2.0 109506;126.0 3.0 109508;90.0 1.0 109509;128.0 6.0 109510;105.0 4.0 109511;105.0 4.0 109512;78.0 3.0 109513;114.0 4.0 109514;112.0 0.0 109515;115.0 3.0 109484;105.0 1.0 109453;665.0 11.0 109519;101.0 1.0 109492;105.0 1.0 109494;105.0 0.0 109495;92.0 0.0 109498;99.0 2.0 109501;95.0 4.0 109502;121.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,6032.0;160.0;3018.0;68.0;5830.0;138.0;6031.0;199.0;0.849436713055;0.892384219554;1.24395622616,123.0 4.0 109473;113.0 2.0 109506;141.0 3.0 109508;110.0 3.0 109509;141.0 7.0 109510;126.0 4.0 109511;123.0 4.0 109512;91.0 3.0 109513;133.0 4.0 109514;125.0 0.0 109515;129.0 3.0 109484;118.0 1.0 109453;676.0 11.0 109519;115.0 1.0 109492;119.0 2.0 109494;116.0 0.0 109495;106.0 1.0 109498;114.0 2.0 109501;113.0 5.0 109502;142.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,7031.0;184.0;3276.0;76.0;6875.0;173.0;7054.0;243.0;0.886480065828;0.961551778656;1.31634610643,143.0 4.0 109473;127.0 3.0 109506;160.0 3.0 109508;129.0 3.0 109509;149.0 9.0 109510;141.0 4.0 109511;132.0 5.0 109512;104.0 3.0 109513;142.0 4.0 109514;137.0 0.0 109515;136.0 4.0 109484;127.0 1.0 109453;695.0 11.0 109519;128.0 1.0 109492;131.0 2.0 109494;129.0 0.0 109495;119.0 1.0 109498;121.0 3.0 109501;125.0 5.0 109502;157.0 9.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,8029.0;208.0;3570.0;87.0;7915.0;206.0;8075.0;277.0;0.940695701357;1.00464915691;1.32414443915,165.0 6.0 109473;142.0 3.0 109506;175.0 4.0 109508;144.0 3.0 109509;170.0 10.0 109510;157.0 4.0 109511;152.0 8.0 109512;114.0 3.0 109513;150.0 4.0 109514;152.0 0.0 109515;150.0 5.0 109484;141.0 1.0 109453;706.0 11.0 109519;146.0 1.0 109492;147.0 3.0 109494;144.0 0.0 109495;128.0 1.0 109498;130.0 3.0 109501;144.0 6.0 109502;169.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,9036.0;233.0;3871.0;98.0;8871.0;225.0;9103.0;306.0;0.981800402021;0.983626544128;1.30363852128,176.0 6.0 109473;152.0 3.0 109506;190.0 4.0 109508;157.0 3.0 109509;182.0 13.0 109510;171.0 4.0 109511;167.0 8.0 109512;129.0 4.0 109513;171.0 4.0 109514;168.0 0.0 109515;165.0 5.0 109484;162.0 1.0 109453;717.0 11.0 109519;160.0 1.0 109492;165.0 3.0 109494;154.0 1.0 109495;145.0 1.0 109498;146.0 4.0 109501;163.0 9.0 109502;187.0 12.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10055.0;259.0;4144.0;102.0;9878.0;257.0;10075.0;340.0;0.955570504316;1.01005823166;1.31013537465,189.0 7.0 109473;165.0 3.0 109506;206.0 4.0 109508;169.0 3.0 109509;193.0 13.0 109510;194.0 4.0 109511;183.0 8.0 109512;138.0 4.0 109513;187.0 4.0 109514;188.0 1.0 109515;177.0 5.0 109484;174.0 1.0 109453;729.0 12.0 109519;172.0 2.0 109492;177.0 3.0 109494;167.0 1.0 109495;156.0 1.0 109498;156.0 4.0 109501;182.0 9.0 109502;198.0 12.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
