data,1241298600,325130.0;12232.0;170652.0;6632.0;302717.0;11367.0;328211.0;16485.0;1.03298188779;0.998087509907;1.33504342045,4014.0 56.0 109536;1929.0 80.0 109476;1079.0 43.0 109541;4583.0 166.0 109542;4347.0 171.0 109544;3204.0 60.0 109545;324.0 12.0 109561;3788.0 175.0 109547;1484.0 45.0 109518;1133.0 49.0 109551;1095.0 29.0 109553;2245.0 61.0 109554;2103.0 77.0 109555;6556.0 267.0 109524;1516.0 47.0 109557;534.0 14.0 109558;1472.0 35.0 109559;832.0 34.0 109560;1482.0 59.0 109556;311.0 12.0 109562;1392.0 43.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325665.0;12249.0;171211.0;6646.0;303273.0;11385.0;328752.0;16504.0;1.03204616605;0.998090080426;1.33472336519,4036.0 56.0 109536;1954.0 81.0 109476;1099.0 44.0 109541;4610.0 166.0 109542;4368.0 171.0 109544;3218.0 60.0 109545;349.0 13.0 109561;3808.0 175.0 109547;1508.0 46.0 109518;1157.0 50.0 109551;1139.0 31.0 109553;2283.0 62.0 109554;2140.0 78.0 109555;6578.0 267.0 109524;1541.0 48.0 109557;552.0 15.0 109558;1495.0 35.0 109559;855.0 34.0 109560;1519.0 60.0 109556;353.0 14.0 109562;1420.0 43.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326623.0;12283.0;172175.0;6672.0;304215.0;11420.0;329722.0;16550.0;1.03045316516;0.998223503829;1.33472681063,4082.0 58.0 109536;2013.0 83.0 109476;1137.0 45.0 109541;4644.0 166.0 109542;4402.0 172.0 109544;3254.0 61.0 109545;3841.0 175.0 109547;1574.0 47.0 109518;1209.0 51.0 109551;1198.0 36.0 109553;2323.0 64.0 109554;2189.0 78.0 109555;1578.0 62.0 109556;1579.0 49.0 109557;601.0 15.0 109558;1522.0 35.0 109559;907.0 37.0 109560;411.0 15.0 109561;406.0 15.0 109562;1462.0 44.0 109563;6614.0 267.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327602.0;12317.0;172430.0;6679.0;305102.0;11451.0;330638.0;16590.0;1.03024429501;0.998251480953;1.33455114975,4093.0 58.0 109536;2022.0 83.0 109476;1155.0 45.0 109541;4657.0 167.0 109542;4416.0 172.0 109544;3273.0 61.0 109545;424.0 17.0 109561;3848.0 176.0 109547;1587.0 47.0 109518;1220.0 51.0 109551;1207.0 36.0 109553;2329.0 64.0 109554;2198.0 78.0 109555;1593.0 62.0 109556;1594.0 49.0 109557;613.0 15.0 109558;1532.0 35.0 109559;919.0 38.0 109560;6627.0 268.0 109524;422.0 15.0 109562;1472.0 45.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,328517.0;12354.0;172687.0;6687.0;306051.0;11479.0;331621.0;16630.0;1.02972659524;0.997379653162;1.33352289331,4110.0 58.0 109536;2030.0 83.0 109476;1168.0 46.0 109541;4665.0 168.0 109542;4425.0 173.0 109544;3286.0 61.0 109545;3862.0 176.0 109547;1596.0 47.0 109518;1229.0 51.0 109551;1220.0 36.0 109553;2336.0 64.0 109554;2206.0 79.0 109555;1606.0 63.0 109556;1612.0 50.0 109557;627.0 15.0 109558;1545.0 35.0 109559;938.0 39.0 109560;437.0 17.0 109561;438.0 15.0 109562;1484.0 45.0 109563;6638.0 269.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,329546.0;12391.0;172958.0;6696.0;306982.0;11503.0;332551.0;16664.0;1.02963779984;0.996570199245;1.33269474863,4122.0 58.0 109536;2046.0 83.0 109476;1181.0 47.0 109541;4678.0 168.0 109542;4436.0 173.0 109544;3302.0 62.0 109545;3875.0 176.0 109547;1603.0 47.0 109518;1242.0 51.0 109551;1234.0 37.0 109553;2353.0 64.0 109554;2220.0 79.0 109555;1621.0 63.0 109556;1621.0 50.0 109557;636.0 16.0 109558;1561.0 36.0 109559;952.0 41.0 109560;446.0 17.0 109561;449.0 16.0 109562;1493.0 45.0 109563;6658.0 270.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,330480.0;12416.0;173234.0;6703.0;307908.0;11532.0;333513.0;16695.0;1.02991068543;0.996889769189;1.33240770209,4138.0 58.0 109536;2060.0 83.0 109476;1197.0 48.0 109541;4690.0 168.0 109542;4454.0 173.0 109544;3317.0 63.0 109545;3887.0 176.0 109547;1617.0 48.0 109518;1257.0 51.0 109551;1247.0 38.0 109553;2368.0 65.0 109554;2232.0 79.0 109555;1631.0 63.0 109556;1632.0 51.0 109557;648.0 16.0 109558;1574.0 36.0 109559;963.0 41.0 109560;457.0 17.0 109561;461.0 16.0 109562;1506.0 45.0 109563;6669.0 271.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,331431.0;12443.0;173505.0;6714.0;308842.0;11561.0;334515.0;16730.0;1.03071208549;0.997073264066;1.33213540287,4153.0 58.0 109536;2066.0 83.0 109476;1202.0 49.0 109541;4703.0 169.0 109542;4470.0 173.0 109544;3336.0 63.0 109545;3897.0 176.0 109547;1629.0 48.0 109518;1271.0 51.0 109551;1259.0 39.0 109553;2377.0 65.0 109554;2243.0 79.0 109555;1645.0 64.0 109556;1645.0 51.0 109557;672.0 19.0 109558;471.0 18.0 109561;983.0 42.0 109560;6677.0 271.0 109524;472.0 17.0 109562;1517.0 46.0 109563;1588.0 36.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,332344.0;12469.0;173797.0;6725.0;309833.0;11591.0;335377.0;16763.0;1.03135037481;0.997124647083;1.33221612838,4164.0 58.0 109536;2080.0 84.0 109476;1216.0 50.0 109541;4720.0 169.0 109542;4478.0 173.0 109544;3350.0 63.0 109545;3906.0 177.0 109547;1643.0 49.0 109518;1285.0 52.0 109551;1275.0 39.0 109553;2395.0 65.0 109554;2257.0 79.0 109555;6682.0 271.0 109524;1653.0 51.0 109557;686.0 19.0 109558;1601.0 36.0 109559;1004.0 43.0 109560;485.0 19.0 109561;486.0 18.0 109562;1538.0 49.0 109563;1664.0 64.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,333268.0;12502.0;174098.0;6738.0;310724.0;11630.0;336284.0;16800.0;1.0316950462;0.997743796839;1.33173311104,4178.0 58.0 109536;2090.0 85.0 109476;1227.0 50.0 109541;4732.0 169.0 109542;4491.0 173.0 109544;3375.0 63.0 109545;3931.0 181.0 109547;1658.0 50.0 109518;1301.0 55.0 109551;1290.0 39.0 109553;2413.0 65.0 109554;2269.0 79.0 109555;1681.0 65.0 109556;1665.0 51.0 109557;697.0 19.0 109558;1611.0 36.0 109559;1020.0 43.0 109560;499.0 21.0 109561;500.0 18.0 109562;1548.0 49.0 109563;6693.0 272.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,334213.0;12525.0;174392.0;6748.0;311647.0;11661.0;337244.0;16842.0;1.0325096511;0.998431901563;1.33258535319,4187.0 58.0 109536;2106.0 87.0 109476;1236.0 51.0 109541;4744.0 170.0 109542;4500.0 174.0 109544;3386.0 63.0 109545;3946.0 181.0 109547;1670.0 50.0 109518;1317.0 56.0 109551;1307.0 39.0 109553;2434.0 66.0 109554;2289.0 80.0 109555;6714.0 272.0 109524;1674.0 51.0 109557;709.0 19.0 109558;1625.0 36.0 109559;1031.0 43.0 109560;514.0 21.0 109561;517.0 20.0 109562;1558.0 49.0 109563;1699.0 65.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
