data,1241334900,398306.0;14497.0;204897.0;7763.0;372980.0;13520.0;402649.0;19553.0;1.04095677501;0.995932389568;1.33421397447,1955.0 105.0 109568;5219.0 76.0 109536;301.0 24.0 109571;3210.0 119.0 109476;2363.0 99.0 109541;5877.0 206.0 109542;1396.0 35.0 109569;2460.0 105.0 109551;2365.0 70.0 109553;7851.0 316.0 109524;2856.0 89.0 109557;2161.0 73.0 109560;1752.0 62.0 109561;1580.0 48.0 109562;2697.0 76.0 109563;2248.0 78.0 109564;1967.0 54.0 109565;1307.0 37.0 109566;1853.0 78.0 109567,109536.0 5597;109568.0 5597;109571.0 5597;109476.0 5597;109541.0 5597;109542.0 5597;109569.0 5597;109551.0 5597;109553.0 5597;109524.0 5597;109557.0 5597;109560.0 5597;109561.0 5597;109562.0 5597;109563.0 5597;109564.0 5597;109565.0 5597;109566.0 5597;109567.0 5597,109568 296;109536 299;109571 303;109476 271;109541 278;109542 304;109569 294;109551 300;109553 304;109524 308;109557 280;109560 340;109561 298;109562 327;109563 286;109564 259;109565 276;109566 289;109567 285
data,1241335500,399106.0;14514.0;205608.0;7778.0;373772.0;13538.0;403403.0;19576.0;1.0402292664;0.995976023129;1.33439980805,1991.0 108.0 109568;5266.0 76.0 109536;353.0 25.0 109571;3248.0 121.0 109476;2390.0 99.0 109541;5910.0 206.0 109542;1433.0 35.0 109569;2496.0 105.0 109551;2392.0 70.0 109553;7887.0 316.0 109524;2894.0 90.0 109557;2188.0 74.0 109560;1780.0 62.0 109561;1610.0 48.0 109562;2744.0 78.0 109563;2284.0 79.0 109564;2028.0 56.0 109565;1345.0 38.0 109566;1890.0 79.0 109567,109536.0 14403;109568.0 14403;109571.0 14403;109476.0 14403;109541.0 14403;109542.0 14403;109569.0 14403;109551.0 14403;109553.0 14403;109524.0 14403;109557.0 14403;109560.0 14403;109561.0 14403;109562.0 14403;109563.0 14403;109564.0 14403;109565.0 14403;109566.0 14403;109567.0 14403,109568 767;109536 789;109571 791;109476 747;109541 779;109542 715;109569 753;109551 773;109553 804;109524 720;109557 790;109560 735;109561 743;109562 718;109563 726;109564 759;109565 786;109566 770;109567 738
data,1241336400,400145.0;14536.0;206140.0;7789.0;374832.0;13557.0;404491.0;19594.0;1.04014027374;0.995633305691;1.33348065912,5289.0 77.0 109536;2023.0 108.0 109568;385.0 27.0 109571;3280.0 121.0 109476;2423.0 99.0 109541;5933.0 207.0 109542;1459.0 35.0 109569;2516.0 105.0 109551;2422.0 71.0 109553;7911.0 316.0 109524;2934.0 92.0 109557;2208.0 76.0 109560;1806.0 62.0 109561;1634.0 48.0 109562;2780.0 79.0 109563;2312.0 80.0 109564;2059.0 56.0 109565;1367.0 38.0 109566;1920.0 79.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,401208.0;14557.0;206462.0;7796.0;375915.0;13570.0;405593.0;19640.0;1.04070922103;0.994919388517;1.33459266797,5308.0 78.0 109536;2035.0 108.0 109568;408.0 28.0 109571;3302.0 121.0 109476;2440.0 100.0 109541;5950.0 207.0 109542;1471.0 35.0 109569;2532.0 105.0 109551;2442.0 71.0 109553;7928.0 316.0 109524;2948.0 92.0 109557;2225.0 76.0 109560;1827.0 63.0 109561;1650.0 48.0 109562;2799.0 79.0 109563;2321.0 80.0 109564;2081.0 58.0 109565;1379.0 38.0 109566;1937.0 80.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,402266.0;14580.0;206784.0;7807.0;376943.0;13594.0;406653.0;19686.0;1.04165295548;0.995009863608;1.33563965047,2051.0 108.0 109568;1491.0 36.0 109569;428.0 29.0 109571;5323.0 79.0 109536;2460.0 102.0 109541;5964.0 207.0 109542;2552.0 105.0 109551;2463.0 71.0 109553;3317.0 122.0 109476;7951.0 317.0 109524;2964.0 92.0 109557;2240.0 76.0 109560;1840.0 64.0 109561;1664.0 49.0 109562;2819.0 81.0 109563;2333.0 80.0 109564;2101.0 58.0 109565;1395.0 38.0 109566;1949.0 80.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,403326.0;14601.0;207100.0;7816.0;377962.0;13612.0;407705.0;19729.0;1.04250481643;0.994826671588;1.33669601566,5330.0 79.0 109536;1511.0 36.0 109569;450.0 31.0 109571;3337.0 122.0 109476;2481.0 103.0 109541;5982.0 208.0 109542;2070.0 108.0 109568;2566.0 107.0 109551;2472.0 71.0 109553;7965.0 317.0 109524;2987.0 93.0 109557;2249.0 76.0 109560;1861.0 65.0 109561;1682.0 50.0 109562;2836.0 81.0 109563;2349.0 80.0 109564;2116.0 58.0 109565;1414.0 38.0 109566;1963.0 80.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,404377.0;14617.0;207400.0;7821.0;379003.0;13630.0;408779.0;19771.0;1.0432340004;0.994904527518;1.33803741692,5348.0 79.0 109536;1527.0 37.0 109569;473.0 31.0 109571;3346.0 123.0 109476;2498.0 104.0 109541;2085.0 108.0 109568;6004.0 208.0 109542;2582.0 108.0 109551;2489.0 71.0 109553;7977.0 317.0 109524;3001.0 93.0 109557;2267.0 76.0 109560;1876.0 66.0 109561;1697.0 50.0 109562;2849.0 81.0 109563;2364.0 80.0 109564;2130.0 58.0 109565;1432.0 38.0 109566;1976.0 80.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,405445.0;14642.0;207720.0;7826.0;380011.0;13656.0;409802.0;19814.0;1.04326124884;0.995082036912;1.33884293612,2100.0 108.0 109568;1540.0 38.0 109569;487.0 31.0 109571;3371.0 123.0 109476;2516.0 104.0 109541;6030.0 208.0 109542;2598.0 108.0 109551;2506.0 71.0 109553;7997.0 317.0 109524;3015.0 94.0 109557;5359.0 79.0 109536;2277.0 76.0 109560;1891.0 67.0 109561;1718.0 51.0 109562;2862.0 81.0 109563;2384.0 80.0 109564;2146.0 58.0 109565;1448.0 38.0 109566;1996.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,406505.0;14665.0;208032.0;7836.0;381066.0;13676.0;410878.0;19860.0;1.0441144529;0.994815894012;1.33983148926,2125.0 109.0 109568;1559.0 38.0 109569;503.0 32.0 109571;3379.0 125.0 109476;2532.0 104.0 109541;6049.0 210.0 109542;2296.0 78.0 109560;2610.0 109.0 109551;2524.0 71.0 109553;8018.0 318.0 109524;3033.0 94.0 109557;5374.0 79.0 109536;1910.0 67.0 109561;1740.0 51.0 109562;2873.0 81.0 109563;2402.0 80.0 109564;2160.0 58.0 109565;1462.0 38.0 109566;2004.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,407546.0;14686.0;208326.0;7843.0;382127.0;13693.0;411894.0;19905.0;1.04474872765;0.994406591666;1.3410649974,5392.0 80.0 109536;2139.0 109.0 109568;514.0 33.0 109571;3402.0 125.0 109476;2548.0 104.0 109541;6066.0 210.0 109542;1579.0 38.0 109569;2632.0 109.0 109551;2542.0 72.0 109553;8034.0 318.0 109524;3047.0 94.0 109557;2314.0 79.0 109560;1921.0 68.0 109561;1759.0 51.0 109562;2884.0 82.0 109563;2410.0 80.0 109564;2171.0 58.0 109565;1471.0 39.0 109566;2022.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
data,1241344500,408593.0;14707.0;208638.0;7848.0;383236.0;13711.0;412953.0;19948.0;1.04503879498;0.993961726712;1.34204031932,5410.0 80.0 109536;1600.0 39.0 109569;528.0 34.0 109571;3423.0 125.0 109476;2561.0 105.0 109541;6084.0 211.0 109542;2156.0 109.0 109568;2643.0 109.0 109551;2549.0 72.0 109553;8052.0 318.0 109524;3064.0 94.0 109557;2334.0 79.0 109560;1935.0 68.0 109561;1784.0 51.0 109562;2894.0 82.0 109563;2422.0 80.0 109564;2184.0 58.0 109565;1499.0 40.0 109566;2037.0 81.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1057;109569 1111;109571 1033;109476 998;109541 1099;109542 1036;109568 1031;109551 1044;109553 1043;109524 1076;109557 1031;109560 1061;109561 1056;109562 1052;109563 1012;109564 1052;109565 1037;109566 1066;109567 1105
