
New Run at  02/09/2015 11:31:44
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,397813.0;14427.0;179595.0;6770.0;376023.0;15414.0;401449.0;20504.0;1.03943507219;1.13032643358;1.4083517966,1859.0 93.0 109568;4425.0 57.0 109536;1131.0 111.0 109571;2946.0 121.0 109476;2041.0 74.0 109541;4950.0 158.0 109542;1327.0 39.0 109569;1975.0 66.0 109551;1961.0 42.0 109553;6794.0 284.0 109524;2337.0 64.0 109557;2333.0 67.0 109560;1261.0 61.0 109561;1407.0 46.0 109562;2424.0 71.0 109563;2183.0 93.0 109564;1813.0 61.0 109565;1052.0 14.0 109566;1747.0 65.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,398885.0;14453.0;179899.0;6776.0;377121.0;15476.0;402536.0;20563.0;1.03952359283;1.13257691854;1.40984526864,1880.0 95.0 109568;4445.0 57.0 109536;1143.0 111.0 109571;2960.0 122.0 109476;2056.0 74.0 109541;4965.0 158.0 109542;1342.0 39.0 109569;1995.0 66.0 109551;1971.0 42.0 109553;6808.0 285.0 109524;2349.0 65.0 109557;2352.0 67.0 109560;1277.0 61.0 109561;1421.0 47.0 109562;2439.0 71.0 109563;2204.0 93.0 109564;1824.0 61.0 109565;1072.0 14.0 109566;1767.0 65.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,399956.0;14476.0;180217.0;6784.0;378171.0;15526.0;403612.0;20617.0;1.0400488191;1.13431846483;1.41131852719,4464.0 57.0 109536;1888.0 95.0 109568;1169.0 113.0 109571;2981.0 122.0 109476;2077.0 75.0 109541;4982.0 158.0 109542;1359.0 39.0 109569;2006.0 66.0 109551;1990.0 43.0 109553;6826.0 286.0 109524;2364.0 66.0 109557;2366.0 68.0 109560;1289.0 62.0 109561;1438.0 47.0 109562;2454.0 71.0 109563;2228.0 93.0 109564;1836.0 61.0 109565;1090.0 14.0 109566;1781.0 65.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,400963.0;14498.0;180543.0;6789.0;379276.0;15579.0;404687.0;20666.0;1.03997130728;1.13600545944;1.41232086369,4485.0 58.0 109536;1905.0 95.0 109568;1188.0 114.0 109571;2994.0 122.0 109476;2093.0 75.0 109541;5001.0 159.0 109542;1374.0 40.0 109569;2023.0 66.0 109551;2014.0 43.0 109553;6842.0 286.0 109524;2379.0 66.0 109557;2381.0 68.0 109560;1306.0 62.0 109561;1452.0 47.0 109562;2474.0 71.0 109563;2238.0 93.0 109564;1854.0 61.0 109565;1113.0 14.0 109566;1798.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,402047.0;14524.0;180869.0;6798.0;380341.0;15630.0;405782.0;20710.0;1.04041740397;1.13756551904;1.41279095615,1925.0 95.0 109568;1393.0 41.0 109569;1208.0 114.0 109571;4497.0 58.0 109536;2111.0 75.0 109541;5016.0 159.0 109542;2036.0 66.0 109551;2025.0 43.0 109553;3018.0 124.0 109476;6862.0 286.0 109524;2398.0 67.0 109557;2397.0 68.0 109560;1326.0 63.0 109561;1477.0 47.0 109562;2485.0 71.0 109563;2252.0 93.0 109564;1871.0 61.0 109565;1136.0 18.0 109566;1807.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,403125.0;14547.0;181184.0;6806.0;381427.0;15680.0;406813.0;20756.0;1.04097043364;1.1392024738;1.41388840359,4519.0 58.0 109536;1409.0 41.0 109569;1227.0 115.0 109571;3032.0 124.0 109476;2138.0 76.0 109541;5034.0 159.0 109542;1937.0 95.0 109568;2049.0 67.0 109551;2045.0 43.0 109553;6874.0 287.0 109524;2415.0 68.0 109557;2421.0 69.0 109560;1346.0 64.0 109561;1495.0 47.0 109562;2497.0 72.0 109563;2266.0 93.0 109564;1883.0 61.0 109565;1150.0 18.0 109566;1818.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,404135.0;14561.0;181498.0;6811.0;382490.0;15720.0;407858.0;20793.0;1.04153603133;1.14069022156;1.41495761393,4536.0 58.0 109536;1422.0 42.0 109569;1250.0 116.0 109571;3053.0 124.0 109476;2159.0 76.0 109541;1955.0 96.0 109568;5053.0 159.0 109542;2058.0 67.0 109551;2067.0 43.0 109553;6887.0 287.0 109524;2427.0 68.0 109557;2435.0 70.0 109560;1363.0 64.0 109561;1510.0 47.0 109562;2510.0 72.0 109563;2284.0 93.0 109564;1896.0 62.0 109565;1169.0 18.0 109566;1835.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,405183.0;14578.0;181824.0;6818.0;383519.0;15746.0;408890.0;20843.0;1.0422191745;1.14113396648;1.41679497845,1970.0 98.0 109568;1434.0 42.0 109569;1266.0 116.0 109571;3078.0 124.0 109476;2174.0 77.0 109541;5071.0 159.0 109542;2078.0 68.0 109551;2083.0 43.0 109553;6911.0 289.0 109524;2445.0 68.0 109557;4547.0 58.0 109536;2447.0 70.0 109560;1380.0 64.0 109561;1528.0 47.0 109562;2525.0 72.0 109563;2302.0 93.0 109564;1918.0 62.0 109565;1191.0 19.0 109566;1847.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,406180.0;14595.0;182159.0;6822.0;384552.0;15774.0;409957.0;20886.0;1.04225867255;1.14156645369;1.41785364244,1988.0 98.0 109568;1453.0 43.0 109569;1280.0 117.0 109571;3096.0 124.0 109476;2195.0 77.0 109541;5090.0 160.0 109542;2464.0 70.0 109560;2098.0 69.0 109551;2099.0 43.0 109553;6937.0 289.0 109524;2462.0 68.0 109557;4569.0 58.0 109536;1396.0 64.0 109561;1542.0 47.0 109562;2540.0 72.0 109563;2315.0 93.0 109564;1935.0 62.0 109565;1208.0 19.0 109566;1863.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,407290.0;14620.0;182476.0;6829.0;385638.0;15799.0;411033.0;20938.0;1.04257602799;1.14131664692;1.41910614032,4589.0 59.0 109536;2006.0 98.0 109568;1295.0 119.0 109571;3116.0 126.0 109476;2209.0 77.0 109541;5100.0 160.0 109542;1470.0 44.0 109569;2109.0 69.0 109551;2116.0 43.0 109553;6952.0 289.0 109524;2480.0 69.0 109557;2483.0 70.0 109560;1409.0 64.0 109561;1567.0 47.0 109562;2555.0 72.0 109563;2336.0 93.0 109564;1952.0 62.0 109565;1222.0 19.0 109566;1881.0 66.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
