
New Run at  02/09/2015 10:47:53
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241248200,220897.0;8991.0;107857.0;4712.0;208158.0;9499.0;222795.0;13066.0;1.07334358618;1.1211574349;1.44085087254,1887.0 27.0 109536;2431.0 88.0 109542;3102.0 170.0 109510;2246.0 41.0 109543;2477.0 125.0 109544;1276.0 61.0 109417;2103.0 54.0 109546;1853.0 120.0 109547;1703.0 21.0 109548;1622.0 31.0 109550;990.0 34.0 109552;4236.0 202.0 109524;4487.0 282.0 109525;1350.0 24.0 109545;3724.0 115.0 109529;3302.0 121.0 109530;3073.0 94.0 109531;1966.0 35.0 109533;3523.0 221.0 109534,109536.0 18008;109542.0 18008;109510.0 18008;109543.0 18008;109544.0 18008;109417.0 18008;109546.0 18008;109547.0 18008;109548.0 18008;109550.0 18008;109552.0 18008;109524.0 18008;109525.0 18008;109545.0 18008;109529.0 18008;109530.0 18008;109531.0 18008;109533.0 18008;109534.0 18008,109536 951;109542 942;109510 954;109543 975;109544 1019;109417 902;109546 948;109547 912;109548 968;109550 914;109552 945;109524 957;109525 890;109545 957;109529 954;109530 953;109531 979;109533 974;109534 914
data,1241249100,221921.0;9016.0;108185.0;4727.0;209250.0;9525.0;223880.0;13094.0;1.07548176332;1.12042815958;1.43959899908,1904.0 27.0 109536;2460.0 89.0 109542;3122.0 173.0 109510;2256.0 41.0 109543;2492.0 125.0 109544;1288.0 61.0 109417;2122.0 55.0 109546;1873.0 123.0 109547;1718.0 21.0 109548;1635.0 31.0 109550;1011.0 34.0 109552;4256.0 202.0 109524;4504.0 284.0 109525;1366.0 25.0 109545;3739.0 115.0 109529;3321.0 122.0 109530;3088.0 95.0 109531;1979.0 36.0 109533;3545.0 222.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1083;109542 1084;109510 1079;109543 1024;109544 1066;109417 1008;109546 1052;109547 1077;109548 1011;109550 1087;109552 1075;109524 1034;109525 1041;109545 1051;109529 1033;109530 1098;109531 1027;109533 980;109534 1090
data,1241249700,223024.0;9037.0;108474.0;4736.0;210391.0;9551.0;224940.0;13116.0;1.07749026992;1.12033784242;1.43900411435,1921.0 27.0 109536;3136.0 173.0 109510;2476.0 89.0 109542;2266.0 43.0 109543;2510.0 125.0 109544;1304.0 62.0 109417;2137.0 57.0 109546;1890.0 123.0 109547;1729.0 21.0 109548;1653.0 32.0 109550;1023.0 34.0 109552;4268.0 203.0 109524;4523.0 285.0 109525;1377.0 25.0 109545;3760.0 115.0 109529;3337.0 122.0 109530;3104.0 95.0 109531;1992.0 36.0 109533;3562.0 223.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1045;109510 1043;109542 1069;109543 989;109544 1076;109417 1118;109546 1088;109547 1085;109548 1051;109550 1069;109552 1027;109524 1021;109525 993;109545 1018;109529 1023;109530 1029;109531 1103;109533 1086;109534 1067
data,1241250900,224065.0;9052.0;108802.0;4743.0;211406.0;9575.0;226065.0;13154.0;1.07906032272;1.12111703435;1.44030340153,1939.0 27.0 109536;3156.0 173.0 109510;2495.0 90.0 109542;2282.0 43.0 109543;2527.0 125.0 109544;1387.0 25.0 109545;2162.0 58.0 109546;1903.0 123.0 109547;1750.0 22.0 109548;1672.0 32.0 109550;1037.0 34.0 109552;4288.0 204.0 109524;4535.0 286.0 109525;1325.0 62.0 109417;3776.0 116.0 109529;3357.0 122.0 109530;3121.0 95.0 109531;2007.0 37.0 109533;3577.0 223.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1095;109510 1020;109542 1027;109543 1046;109544 1019;109545 1048;109546 1090;109547 1012;109548 1054;109550 1034;109552 1038;109524 1086;109525 1119;109417 1082;109529 1052;109530 1036;109531 1039;109533 1072;109534 1031
data,1241251800,225136.0;9071.0;109110.0;4751.0;212481.0;9598.0;227081.0;13176.0;1.08071269573;1.1211156698;1.44009972298,1963.0 28.0 109536;3173.0 174.0 109510;2510.0 91.0 109542;2308.0 44.0 109543;2548.0 125.0 109544;1337.0 62.0 109417;2171.0 58.0 109546;1920.0 123.0 109547;1769.0 22.0 109548;1684.0 32.0 109550;1051.0 34.0 109552;4295.0 204.0 109524;4546.0 288.0 109525;1408.0 25.0 109545;3792.0 116.0 109529;3372.0 123.0 109530;3135.0 95.0 109531;2025.0 37.0 109533;3597.0 224.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1003;109510 1089;109542 1044;109543 1095;109544 1018;109417 991;109546 1053;109547 1047;109548 1056;109550 1020;109552 1055;109524 1060;109525 1022;109545 1121;109529 1073;109530 1078;109531 1079;109533 1045;109534 1051
data,1241252700,226182.0;9091.0;109435.0;4759.0;213441.0;9610.0;228128.0;13209.0;1.08194664551;1.12019059719;1.44058115536,1979.0 28.0 109536;3187.0 174.0 109510;2523.0 92.0 109542;2319.0 45.0 109543;2567.0 126.0 109544;1423.0 25.0 109545;2189.0 60.0 109546;1941.0 123.0 109547;1786.0 22.0 109548;1700.0 32.0 109550;1069.0 35.0 109552;4322.0 204.0 109524;4561.0 289.0 109525;1355.0 62.0 109417;3808.0 117.0 109529;3389.0 123.0 109530;3154.0 95.0 109531;2041.0 37.0 109533;3616.0 224.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1016;109542 1027;109543 1048;109544 1074;109545 1089;109546 1061;109547 1031;109548 1004;109550 1052;109552 1004;109524 1116;109525 1070;109417 1050;109529 1073;109530 1066;109531 1059;109533 1056;109534 1070
data,1241253600,227189.0;9104.0;109744.0;4764.0;214491.0;9621.0;229214.0;13240.0;1.08329320293;1.11935074217;1.44145767849,1996.0 28.0 109536;2536.0 92.0 109542;3204.0 174.0 109510;2336.0 45.0 109543;2586.0 126.0 109544;1373.0 62.0 109417;2201.0 60.0 109546;1954.0 125.0 109547;1805.0 22.0 109548;1719.0 32.0 109550;1082.0 35.0 109552;4343.0 204.0 109524;4575.0 289.0 109525;1438.0 26.0 109545;3829.0 117.0 109529;3395.0 123.0 109530;3169.0 96.0 109531;2059.0 38.0 109533;3638.0 224.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1076;109542 1071;109510 1070;109543 1106;109544 1054;109417 1009;109546 1092;109547 1110;109548 1034;109550 1036;109552 988;109524 1027;109525 1056;109545 1014;109529 1051;109530 1042;109531 1057;109533 1029;109534 1078
data,1241254800,228214.0;9120.0;110093.0;4773.0;215523.0;9633.0;230284.0;13267.0;1.08487367976;1.1184469291;1.44163862444,2009.0 28.0 109536;2550.0 94.0 109542;3226.0 174.0 109510;2347.0 45.0 109543;2604.0 126.0 109544;1460.0 26.0 109545;2219.0 60.0 109546;1971.0 127.0 109547;1829.0 22.0 109548;1742.0 33.0 109550;1103.0 35.0 109552;4356.0 204.0 109524;4589.0 289.0 109525;1393.0 66.0 109417;3842.0 117.0 109529;3418.0 123.0 109530;3191.0 96.0 109531;2080.0 38.0 109533;3658.0 224.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1055;109542 1071;109510 1104;109543 1048;109544 1010;109545 1039;109546 1026;109547 1058;109548 1031;109550 1049;109552 1093;109524 1070;109525 1081;109417 1097;109529 1013;109530 1013;109531 1014;109533 1093;109534 1035
data,1241255700,229268.0;9141.0;110442.0;4781.0;216527.0;9642.0;231305.0;13294.0;1.08576094139;1.11687559681;1.44151905367,2023.0 28.0 109536;3241.0 174.0 109510;2568.0 95.0 109542;2371.0 45.0 109543;2619.0 127.0 109544;1474.0 26.0 109545;2237.0 60.0 109546;1999.0 127.0 109547;1837.0 22.0 109548;1769.0 34.0 109550;1124.0 35.0 109552;4370.0 206.0 109524;4611.0 292.0 109525;1416.0 66.0 109417;3856.0 117.0 109529;3434.0 123.0 109530;3206.0 96.0 109531;2100.0 38.0 109533;3681.0 224.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1070;109510 1074;109542 1094;109543 1001;109544 1103;109545 1100;109546 1042;109547 1072;109548 1019;109550 1072;109552 1074;109524 1084;109525 1067;109417 1057;109529 999;109530 1034;109531 1003;109533 1032;109534 1003
data,1241256900,230294.0;9161.0;110774.0;4786.0;217607.0;9668.0;232385.0;13323.0;1.08611196012;1.1168723003;1.44123126942,2043.0 28.0 109536;3254.0 175.0 109510;2591.0 95.0 109542;2398.0 45.0 109543;2633.0 128.0 109544;1498.0 27.0 109545;2253.0 60.0 109546;2015.0 129.0 109547;1856.0 22.0 109548;1782.0 34.0 109550;1137.0 35.0 109552;4385.0 206.0 109524;4628.0 292.0 109525;1434.0 66.0 109417;3868.0 117.0 109529;3450.0 123.0 109530;3217.0 96.0 109531;2119.0 38.0 109533;3707.0 224.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1031;109510 1041;109542 1059;109543 1103;109544 1042;109545 1028;109546 1009;109547 1052;109548 1064;109550 1080;109552 1016;109524 1050;109525 1096;109417 1072;109529 1067;109530 1067;109531 1011;109533 1070;109534 1042
