data,1241584500,1080265.0;39618.0;793006.0;33081.0;1017904.0;38075.0;1085948.0;56347.0;1.13746990185;1.01993113328;1.41481457927,13527.0 480.0 109601;6078.0 111.0 109613;2193.0 141.0 109616;5749.0 239.0 109624;3086.0 135.0 109625;4452.0 106.0 109627;4834.0 131.0 109628;5180.0 221.0 109629;2755.0 195.0 109631;7158.0 496.0 109632;3868.0 70.0 109633;5132.0 102.0 109634;3368.0 244.0 109635;3275.0 133.0 109636;4161.0 157.0 109637;7002.0 534.0 109638;6001.0 435.0 109641;4849.0 165.0 109644;2109.0 106.0 109646;2952.0 109.0 109647;2929.0 125.0 109650;2983.0 148.0 109652;4017.0 109.0 109653,109601.0 11277;109613.0 11277;109616.0 11277;109624.0 11277;109625.0 11277;109627.0 11277;109628.0 11277;109629.0 11277;109631.0 11277;109632.0 11277;109633.0 11277;109634.0 11277;109635.0 11277;109636.0 11277;109637.0 11277;109638.0 11277;109641.0 11277;109644.0 11277;109646.0 11277;109647.0 11277;109650.0 11277;109652.0 11277;109653.0 11277,109601 485;109613 477;109616 488;109624 518;109625 482;109627 466;109628 520;109629 512;109631 474;109632 530;109633 476;109634 484;109635 495;109636 503;109637 512;109638 497;109641 457;109644 491;109646 498;109647 481;109650 483;109652 462;109653 486
data,1241584800,1080616.0;39631.0;793394.0;33088.0;1018277.0;38096.0;1086337.0;56353.0;1.13715055565;1.0201165802;1.41445401275,13547.0 482.0 109601;6097.0 111.0 109613;2215.0 141.0 109616;5764.0 239.0 109624;3098.0 135.0 109625;4466.0 106.0 109627;4848.0 131.0 109628;5197.0 221.0 109629;2776.0 196.0 109631;7171.0 497.0 109632;3887.0 70.0 109633;5149.0 102.0 109634;3381.0 244.0 109635;3292.0 133.0 109636;4177.0 157.0 109637;7015.0 535.0 109638;6025.0 436.0 109641;4865.0 166.0 109644;2132.0 106.0 109646;2966.0 109.0 109647;2938.0 125.0 109650;3005.0 148.0 109652;4035.0 109.0 109653,109601.0 8723;109613.0 8723;109616.0 8723;109624.0 8723;109625.0 8723;109627.0 8723;109628.0 8723;109629.0 8723;109631.0 8723;109632.0 8723;109633.0 8723;109634.0 8723;109635.0 8723;109636.0 8723;109637.0 8723;109638.0 8723;109641.0 8723;109644.0 8723;109646.0 8723;109647.0 8723;109650.0 8723;109652.0 8723;109653.0 8723,109601 380;109613 394;109616 389;109624 359;109625 382;109627 386;109628 381;109629 372;109631 374;109632 382;109633 398;109634 370;109635 362;109636 353;109637 380;109638 390;109641 393;109644 362;109646 394;109647 371;109650 363;109652 390;109653 398
data,1241585100,1081497.0;39660.0;794303.0;33117.0;1019113.0;38120.0;1087190.0;56392.0;1.13693960276;1.02000701737;1.41444041718,13590.0 482.0 109601;6138.0 111.0 109613;2250.0 143.0 109616;5793.0 240.0 109624;3135.0 135.0 109625;4491.0 106.0 109627;4887.0 132.0 109628;5245.0 225.0 109629;2883.0 205.0 109631;7226.0 499.0 109632;3905.0 70.0 109633;5185.0 103.0 109634;3404.0 244.0 109635;3319.0 133.0 109636;4208.0 157.0 109637;7069.0 539.0 109638;6053.0 436.0 109641;4907.0 167.0 109644;2162.0 106.0 109646;3001.0 110.0 109647;2989.0 128.0 109650;3047.0 148.0 109652;4068.0 109.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 867;109613 881;109616 859;109624 887;109625 856;109627 859;109628 857;109629 940;109631 885;109632 880;109633 876;109634 848;109635 902;109636 884;109637 817;109638 851;109641 865;109644 867;109646 822;109647 918;109650 873;109652 855;109653 851
data,1241585700,1082346.0;39688.0;795171.0;33150.0;1019973.0;38141.0;1088102.0;56431.0;1.13691998926;1.01978895106;1.41434396039,13619.0 483.0 109601;6175.0 111.0 109613;2281.0 143.0 109616;5820.0 241.0 109624;3164.0 137.0 109625;4502.0 106.0 109627;4925.0 133.0 109628;5291.0 226.0 109629;3014.0 215.0 109631;7270.0 502.0 109632;3925.0 70.0 109633;5218.0 103.0 109634;3427.0 244.0 109635;3355.0 135.0 109636;4227.0 157.0 109637;7143.0 544.0 109638;6092.0 437.0 109641;4950.0 168.0 109644;2186.0 107.0 109646;3054.0 114.0 109647;3034.0 128.0 109650;3066.0 148.0 109652;4085.0 109.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 828;109613 876;109616 845;109624 874;109625 881;109627 881;109628 906;109629 858;109631 927;109632 867;109633 845;109634 878;109635 887;109636 900;109637 914;109638 853;109641 855;109644 865;109646 833;109647 810;109650 887;109652 837;109653 893
data,1241586000,1083224.0;39719.0;796046.0;33192.0;1020884.0;38168.0;1088941.0;56457.0;1.13714337451;1.01963086676;1.41394792548,13643.0 483.0 109601;6193.0 111.0 109613;2295.0 143.0 109616;5856.0 242.0 109624;3183.0 137.0 109625;4519.0 106.0 109627;4951.0 133.0 109628;5347.0 229.0 109629;3166.0 222.0 109631;7318.0 503.0 109632;3946.0 71.0 109633;5235.0 104.0 109634;3455.0 245.0 109635;3382.0 135.0 109636;4252.0 158.0 109637;7277.0 554.0 109638;6121.0 438.0 109641;4967.0 168.0 109644;2213.0 112.0 109646;3106.0 114.0 109647;3083.0 133.0 109650;3080.0 149.0 109652;4110.0 113.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 891;109613 887;109616 861;109624 880;109625 833;109627 887;109628 849;109629 873;109631 952;109632 830;109633 916;109634 871;109635 857;109636 829;109637 896;109638 885;109641 818;109644 849;109646 833;109647 871;109650 867;109652 901;109653 864
data,1241586600,1084093.0;39738.0;796683.0;33210.0;1021729.0;38196.0;1089828.0;56482.0;1.13721835388;1.0198650267;1.41388028761,13661.0 483.0 109601;6204.0 111.0 109613;2308.0 144.0 109616;5871.0 242.0 109624;3197.0 137.0 109625;4534.0 107.0 109627;4963.0 133.0 109628;5383.0 231.0 109629;3267.0 225.0 109631;7348.0 505.0 109632;3963.0 71.0 109633;5260.0 105.0 109634;3471.0 245.0 109635;3396.0 136.0 109636;4266.0 159.0 109637;7358.0 555.0 109638;6140.0 438.0 109641;4988.0 168.0 109644;2251.0 114.0 109646;3131.0 115.0 109647;3130.0 134.0 109650;3105.0 149.0 109652;4140.0 114.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 858;109613 852;109616 830;109624 799;109625 889;109627 913;109628 891;109629 896;109631 855;109632 860;109633 828;109634 850;109635 908;109636 909;109637 850;109638 866;109641 899;109644 891;109646 909;109647 919;109650 881;109652 852;109653 795
data,1241587200,1084992.0;39762.0;796940.0;33220.0;1022570.0;38222.0;1090685.0;56501.0;1.13745000688;1.01994951521;1.41356280475,13673.0 483.0 109601;6215.0 111.0 109613;2316.0 145.0 109616;5878.0 242.0 109624;3201.0 137.0 109625;4550.0 107.0 109627;4975.0 133.0 109628;5397.0 232.0 109629;3278.0 225.0 109631;7354.0 506.0 109632;3978.0 71.0 109633;5274.0 105.0 109634;3477.0 246.0 109635;3408.0 137.0 109636;4282.0 159.0 109637;7368.0 556.0 109638;6153.0 438.0 109641;4996.0 168.0 109644;2261.0 116.0 109646;3145.0 115.0 109647;3138.0 135.0 109650;3119.0 149.0 109652;4156.0 115.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 877;109613 922;109616 855;109624 908;109625 894;109627 892;109628 885;109629 872;109631 859;109632 886;109633 854;109634 888;109635 809;109636 854;109637 848;109638 825;109641 848;109644 863;109646 915;109647 829;109650 859;109652 869;109653 889
data,1241587500,1085891.0;39785.0;797193.0;33222.0;1023417.0;38253.0;1091593.0;56531.0;1.13744175917;1.02018690565;1.41349018497,13689.0 483.0 109601;6223.0 111.0 109613;2331.0 145.0 109616;5894.0 242.0 109624;3220.0 138.0 109625;4562.0 107.0 109627;4984.0 133.0 109628;5409.0 232.0 109629;3291.0 225.0 109631;7364.0 506.0 109632;3988.0 71.0 109633;5282.0 106.0 109634;3487.0 246.0 109635;3417.0 137.0 109636;4292.0 159.0 109637;7379.0 556.0 109638;6160.0 438.0 109641;5002.0 168.0 109644;2275.0 116.0 109646;3154.0 115.0 109647;3146.0 135.0 109650;3133.0 149.0 109652;4163.0 115.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 857;109613 850;109616 894;109624 844;109625 901;109627 860;109628 823;109629 860;109631 856;109632 892;109633 925;109634 917;109635 893;109636 828;109637 884;109638 872;109641 895;109644 887;109646 819;109647 870;109650 885;109652 829;109653 859
data,1241588100,1086781.0;39812.0;797482.0;33238.0;1024276.0;38279.0;1092478.0;56569.0;1.13773740338;1.02016784013;1.4134935896,13703.0 484.0 109601;6233.0 112.0 109613;2346.0 147.0 109616;5905.0 242.0 109624;3234.0 139.0 109625;4581.0 109.0 109627;4997.0 134.0 109628;5427.0 232.0 109629;3307.0 225.0 109631;7373.0 506.0 109632;4002.0 72.0 109633;5294.0 107.0 109634;3501.0 246.0 109635;3428.0 137.0 109636;4302.0 159.0 109637;7390.0 559.0 109638;6172.0 438.0 109641;5010.0 168.0 109644;2285.0 117.0 109646;3165.0 115.0 109647;3157.0 135.0 109650;3148.0 149.0 109652;4174.0 117.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 881;109613 860;109616 922;109624 864;109625 884;109627 874;109628 864;109629 838;109631 842;109632 867;109633 883;109634 877;109635 902;109636 892;109637 812;109638 861;109641 841;109644 910;109646 866;109647 843;109650 857;109652 872;109653 888
data,1241588700,1087665.0;39838.0;797736.0;33247.0;1025126.0;38302.0;1093360.0;56605.0;1.1378654179;1.02009784405;1.41347860636,13719.0 485.0 109601;6248.0 112.0 109613;2357.0 150.0 109616;5916.0 242.0 109624;3246.0 139.0 109625;4591.0 109.0 109627;5012.0 134.0 109628;5439.0 233.0 109629;3317.0 225.0 109631;7384.0 506.0 109632;4013.0 72.0 109633;5305.0 107.0 109634;3507.0 246.0 109635;3440.0 137.0 109636;4306.0 159.0 109637;7398.0 559.0 109638;6182.0 439.0 109641;5026.0 168.0 109644;2293.0 118.0 109646;3175.0 115.0 109647;3170.0 136.0 109650;3166.0 150.0 109652;4178.0 117.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 848;109613 928;109616 841;109624 881;109625 879;109627 871;109628 887;109629 892;109631 861;109632 817;109633 857;109634 842;109635 913;109636 871;109637 869;109638 844;109641 868;109644 906;109646 877;109647 880;109650 885;109652 854;109653 829
data,1241589300,1088501.0;39860.0;797998.0;33256.0;1025997.0;38329.0;1094237.0;56632.0;1.1380458164;1.02017091059;1.41332500142,13732.0 485.0 109601;6263.0 112.0 109613;2371.0 151.0 109616;5927.0 243.0 109624;3252.0 139.0 109625;4599.0 110.0 109627;5024.0 135.0 109628;5455.0 233.0 109629;3324.0 226.0 109631;7392.0 507.0 109632;4023.0 72.0 109633;5316.0 107.0 109634;3522.0 247.0 109635;3451.0 137.0 109636;4313.0 159.0 109637;7412.0 559.0 109638;6192.0 439.0 109641;5037.0 168.0 109644;2305.0 118.0 109646;3190.0 116.0 109647;3182.0 137.0 109650;3178.0 150.0 109652;4190.0 117.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 929;109613 851;109616 882;109624 878;109625 863;109627 865;109628 891;109629 889;109631 863;109632 814;109633 851;109634 852;109635 901;109636 861;109637 824;109638 906;109641 917;109644 857;109646 889;109647 848;109650 893;109652 804;109653 872
