data,1241866500,1824114.0;65541.0;1353666.0;55987.0;1714347.0;62981.0;1834546.0;95274.0;1.1511040693;1.02246802004;1.44538887067,3988.0 109.0 109728;8689.0 183.0 109697;14825.0 381.0 109667;2118.0 111.0 109734;5244.0 142.0 109735;6888.0 412.0 109711;4843.0 289.0 109746;1723.0 80.0 109742;4771.0 215.0 109743;3422.0 94.0 109745;1391.0 29.0 109714;2752.0 75.0 109747;4656.0 260.0 109748;3987.0 254.0 109749;4453.0 128.0 109720;9544.0 637.0 109721;3465.0 121.0 109722;8059.0 129.0 109723;3046.0 64.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1824908.0;65559.0;1354494.0;56012.0;1715131.0;63001.0;1835332.0;95301.0;1.15109892712;1.02248936816;1.44541139933,4026.0 109.0 109728;8721.0 183.0 109697;14860.0 381.0 109667;2164.0 113.0 109734;5278.0 143.0 109735;1443.0 31.0 109714;1782.0 84.0 109742;6933.0 415.0 109711;8090.0 129.0 109723;3466.0 94.0 109745;4881.0 289.0 109746;2809.0 77.0 109747;4688.0 261.0 109748;4050.0 257.0 109749;4492.0 130.0 109720;9585.0 637.0 109721;3524.0 125.0 109722;4815.0 215.0 109743;3085.0 65.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1825965.0;65586.0;1355550.0;56031.0;1716211.0;63021.0;1836402.0;95330.0;1.15078485113;1.02234131749;1.44525053896,4073.0 109.0 109728;8756.0 183.0 109697;14892.0 381.0 109667;2207.0 113.0 109734;5348.0 145.0 109735;7018.0 417.0 109711;4948.0 291.0 109746;1887.0 88.0 109742;4852.0 215.0 109743;3512.0 95.0 109745;1487.0 31.0 109714;2868.0 78.0 109747;4728.0 263.0 109748;4119.0 258.0 109749;4564.0 130.0 109720;9629.0 638.0 109721;3608.0 127.0 109722;8125.0 130.0 109723;3127.0 65.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1827050.0;65619.0;1356565.0;56056.0;1717280.0;63046.0;1837449.0;95371.0;1.15054158822;1.02220323395;1.44517975034,4108.0 110.0 109728;8792.0 183.0 109697;14928.0 381.0 109667;4891.0 217.0 109743;2248.0 115.0 109734;5415.0 146.0 109735;5017.0 293.0 109746;1975.0 89.0 109742;7122.0 422.0 109711;3538.0 95.0 109745;1517.0 31.0 109714;2931.0 81.0 109747;4810.0 266.0 109748;4170.0 258.0 109749;4606.0 130.0 109720;9661.0 639.0 109721;3701.0 130.0 109722;8165.0 130.0 109723;3168.0 66.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1828050.0;65641.0;1356896.0;56070.0;1718338.0;63082.0;1838434.0;95398.0;1.15079210946;1.02237387019;1.44512065425,4129.0 111.0 109728;8809.0 185.0 109697;14950.0 383.0 109667;2268.0 117.0 109734;5427.0 146.0 109735;1526.0 31.0 109714;4909.0 217.0 109743;2002.0 90.0 109742;7140.0 422.0 109711;3553.0 95.0 109745;5034.0 294.0 109746;2946.0 81.0 109747;4830.0 267.0 109748;4186.0 259.0 109749;4612.0 130.0 109720;9681.0 640.0 109721;3719.0 131.0 109722;8183.0 130.0 109723;3190.0 67.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1829065.0;65663.0;1357232.0;56079.0;1719490.0;63126.0;1839526.0;95435.0;1.15094504789;1.02262648214;1.44514081135,4145.0 111.0 109728;8823.0 185.0 109697;14971.0 384.0 109667;2283.0 118.0 109734;5442.0 147.0 109735;7155.0 422.0 109711;5049.0 295.0 109746;2019.0 91.0 109742;4929.0 218.0 109743;3579.0 95.0 109745;1548.0 31.0 109714;2964.0 81.0 109747;4844.0 267.0 109748;4202.0 259.0 109749;4625.0 131.0 109720;9700.0 641.0 109721;3736.0 131.0 109722;8198.0 130.0 109723;3218.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1830088.0;65694.0;1357557.0;56091.0;1720436.0;63157.0;1840539.0;95473.0;1.15101604186;1.02265521689;1.44504646608,4161.0 111.0 109728;8839.0 185.0 109697;14991.0 385.0 109667;2297.0 119.0 109734;5460.0 148.0 109735;7168.0 423.0 109711;5065.0 295.0 109746;2036.0 91.0 109742;4946.0 218.0 109743;3599.0 96.0 109745;1564.0 32.0 109714;2981.0 82.0 109747;4865.0 267.0 109748;4226.0 260.0 109749;4636.0 132.0 109720;9723.0 642.0 109721;3749.0 132.0 109722;8217.0 131.0 109723;3232.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1831125.0;65727.0;1357874.0;56099.0;1721491.0;63191.0;1841617.0;95525.0;1.15098543774;1.02264442127;1.44508007518,4173.0 111.0 109728;8852.0 185.0 109697;15005.0 385.0 109667;2310.0 119.0 109734;5482.0 148.0 109735;1583.0 34.0 109714;2052.0 92.0 109742;4955.0 218.0 109743;8237.0 131.0 109723;3616.0 96.0 109745;5080.0 296.0 109746;2997.0 83.0 109747;4886.0 267.0 109748;4240.0 261.0 109749;4651.0 133.0 109720;9740.0 642.0 109721;3774.0 132.0 109722;7190.0 424.0 109711;3249.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1832194.0;65757.0;1358185.0;56106.0;1722541.0;63222.0;1842684.0;95571.0;1.15101197726;1.02265260238;1.44512272524,4192.0 111.0 109728;8870.0 185.0 109697;15028.0 385.0 109667;4969.0 220.0 109743;2322.0 119.0 109734;5499.0 148.0 109735;1593.0 34.0 109714;2065.0 93.0 109742;7208.0 425.0 109711;3631.0 96.0 109745;5096.0 299.0 109746;3012.0 83.0 109747;4901.0 267.0 109748;4263.0 261.0 109749;4673.0 133.0 109720;9753.0 642.0 109721;3782.0 132.0 109722;8261.0 131.0 109723;3265.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1833314.0;65798.0;1358514.0;56116.0;1723623.0;63253.0;1843729.0;95628.0;1.1509242749;1.02249927696;1.44514740728,4214.0 111.0 109728;8881.0 185.0 109697;15046.0 385.0 109667;2340.0 119.0 109734;5518.0 148.0 109735;7226.0 427.0 109711;1610.0 34.0 109714;2082.0 94.0 109742;4983.0 220.0 109743;3650.0 96.0 109745;5112.0 299.0 109746;3031.0 83.0 109747;4918.0 268.0 109748;4278.0 263.0 109749;4693.0 133.0 109720;9775.0 643.0 109721;3800.0 133.0 109722;8279.0 132.0 109723;3276.0 69.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1834291.0;65836.0;1358819.0;56124.0;1724705.0;63295.0;1844762.0;95679.0;1.15077867052;1.02249073254;1.44504403681,4224.0 111.0 109728;8901.0 185.0 109697;15064.0 385.0 109667;5005.0 220.0 109743;2363.0 119.0 109734;5527.0 148.0 109735;5122.0 299.0 109746;2091.0 94.0 109742;7249.0 428.0 109711;3664.0 96.0 109745;1628.0 34.0 109714;3048.0 83.0 109747;4935.0 270.0 109748;4288.0 264.0 109749;4711.0 134.0 109720;9787.0 644.0 109721;3819.0 134.0 109722;8295.0 132.0 109723;3296.0 70.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
