
New Run at  02/08/2015 23:39:19
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1027.0;38.0;968.0;35.0;982.0;30.0;969.0;33.0;0.977191170074;0.825651195198;0.92040084732,36.0 1.0 109473;33.0 0.0 109506;51.0 2.0 109508;53.0 1.0 109509;68.0 4.0 109510;40.0 2.0 109511;47.0 1.0 109512;51.0 5.0 109513;47.0 0.0 109514;56.0 2.0 109515;43.0 2.0 109484;37.0 0.0 109453;53.0 0.0 109492;77.0 7.0 109505;48.0 3.0 109494;39.0 1.0 109495;43.0 1.0 109498;71.0 2.0 109501;38.0 1.0 109502;37.0 0.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1977.0;62.0;1955.0;64.0;1895.0;61.0;1911.0;57.0;1.0438742678;1.02644480381;0.951106497189,59.0 3.0 109473;56.0 0.0 109506;84.0 2.0 109508;75.0 1.0 109509;112.0 6.0 109510;138.0 13.0 109505;79.0 3.0 109512;98.0 6.0 109513;76.0 1.0 109514;88.0 2.0 109515;80.0 4.0 109484;54.0 0.0 109453;362.0 7.0 109519;72.0 0.0 109492;97.0 6.0 109494;58.0 1.0 109495;79.0 4.0 109511;73.0 2.0 109498;97.0 2.0 109501;59.0 1.0 109502;59.0 0.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2933.0;91.0;2892.0;84.0;2904.0;85.0;2918.0;80.0;0.936163421641;0.943393727485;0.883640006327,70.0 3.0 109473;72.0 0.0 109506;101.0 3.0 109508;87.0 2.0 109509;125.0 6.0 109510;98.0 4.0 109511;93.0 3.0 109512;113.0 6.0 109513;85.0 1.0 109514;98.0 2.0 109515;94.0 5.0 109484;69.0 1.0 109453;1017.0 19.0 109519;88.0 0.0 109492;112.0 6.0 109494;77.0 1.0 109495;90.0 4.0 109498;114.0 2.0 109501;69.0 1.0 109502;82.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3912.0;115.0;3551.0;102.0;3914.0;106.0;3933.0;108.0;0.977125855546;0.921268134456;0.934116008357,79.0 4.0 109473;86.0 0.0 109506;111.0 5.0 109508;100.0 3.0 109509;140.0 6.0 109510;110.0 6.0 109511;104.0 5.0 109512;130.0 9.0 109513;94.0 2.0 109514;105.0 2.0 109515;113.0 5.0 109484;79.0 1.0 109453;1423.0 22.0 109519;103.0 0.0 109492;126.0 6.0 109494;94.0 3.0 109495;105.0 4.0 109498;126.0 3.0 109501;84.0 1.0 109502;101.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4907.0;140.0;3891.0;118.0;4883.0;129.0;4904.0;141.0;1.06294011822;0.925957403236;1.00775897227,94.0 4.0 109473;100.0 0.0 109506;124.0 5.0 109508;121.0 4.0 109509;151.0 7.0 109510;132.0 7.0 109511;119.0 5.0 109512;148.0 11.0 109513;107.0 3.0 109514;120.0 2.0 109515;129.0 5.0 109484;97.0 2.0 109453;1444.0 22.0 109519;121.0 0.0 109492;142.0 9.0 109494;115.0 3.0 109495;125.0 6.0 109498;146.0 3.0 109501;103.0 5.0 109502;115.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5885.0;159.0;4185.0;125.0;5910.0;156.0;5906.0;173.0;1.10551310085;0.976981770584;1.08418152737,111.0 5.0 109473;119.0 0.0 109506;137.0 5.0 109508;136.0 4.0 109509;166.0 7.0 109510;143.0 8.0 109511;137.0 6.0 109512;157.0 12.0 109513;124.0 4.0 109514;128.0 2.0 109515;142.0 6.0 109484;114.0 2.0 109453;1469.0 22.0 109519;138.0 0.0 109492;159.0 9.0 109494;124.0 3.0 109495;136.0 6.0 109498;163.0 3.0 109501;117.0 5.0 109502;127.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6905.0;186.0;4492.0;135.0;6927.0;185.0;6909.0;218.0;1.11569313188;0.991464753008;1.17136445061,122.0 5.0 109473;130.0 1.0 109506;155.0 6.0 109508;155.0 4.0 109509;182.0 7.0 109510;166.0 9.0 109511;157.0 8.0 109512;173.0 12.0 109513;138.0 5.0 109514;140.0 2.0 109515;157.0 8.0 109484;128.0 2.0 109453;1480.0 22.0 109519;157.0 0.0 109492;167.0 9.0 109494;139.0 3.0 109495;153.0 6.0 109498;178.0 3.0 109501;137.0 7.0 109502;140.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7912.0;209.0;4791.0;139.0;7967.0;222.0;7895.0;258.0;1.09831931682;1.05486807723;1.23710785398,142.0 5.0 109473;145.0 2.0 109506;172.0 6.0 109508;168.0 4.0 109509;200.0 7.0 109510;178.0 9.0 109511;169.0 8.0 109512;195.0 12.0 109513;160.0 6.0 109514;164.0 2.0 109515;168.0 8.0 109484;139.0 3.0 109453;1490.0 22.0 109519;177.0 0.0 109492;175.0 9.0 109494;154.0 3.0 109495;159.0 6.0 109498;187.0 4.0 109501;153.0 7.0 109502;158.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8954.0;229.0;5072.0;148.0;8963.0;238.0;8920.0;294.0;1.14094334164;1.03825771841;1.28873636595,154.0 5.0 109473;154.0 2.0 109506;187.0 6.0 109508;182.0 5.0 109509;219.0 7.0 109510;194.0 11.0 109511;185.0 10.0 109512;210.0 12.0 109513;171.0 7.0 109514;175.0 2.0 109515;181.0 8.0 109484;151.0 3.0 109453;1501.0 22.0 109519;186.0 0.0 109492;184.0 9.0 109494;176.0 3.0 109495;179.0 6.0 109498;203.0 5.0 109501;169.0 7.0 109502;173.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9995.0;259.0;5402.0;160.0;9963.0;267.0;9888.0;327.0;1.14300580794;1.03419912363;1.27621054654,165.0 6.0 109473;168.0 2.0 109506;208.0 6.0 109508;204.0 6.0 109509;228.0 7.0 109510;209.0 12.0 109511;207.0 11.0 109512;230.0 12.0 109513;185.0 8.0 109514;197.0 2.0 109515;202.0 8.0 109484;172.0 5.0 109453;1511.0 22.0 109519;208.0 0.0 109492;199.0 10.0 109494;190.0 3.0 109495;190.0 6.0 109498;217.0 6.0 109501;185.0 9.0 109502;189.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
