
New Run at  02/09/2015 23:33:46
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,942.0;27.0;982.0;27.0;945.0;20.0;1023.0;35.0;0.959266802444;0.738389182834;1.19365700011;0.41045751634,62.0 3.0 109473;54.0 2.0 109506;40.0 0.0 109508;43.0 1.0 109509;44.0 2.0 109510;54.0 2.0 109511;67.0 2.0 109512;50.0 2.0 109513;51.0 1.0 109514;53.0 1.0 109515;47.0 2.0 109484;52.0 1.0 109453;52.0 1.0 109492;45.0 0.0 109505;51.0 1.0 109494;46.0 2.0 109495;43.0 0.0 109498;41.0 1.0 109501;34.0 1.0 109502;53.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1969.0;48.0;1998.0;59.0;1905.0;48.0;1733.0;65.0;1.21132590924;1.03359580052;1.53857713022;0.491512730904,136.0 6.0 109473;106.0 4.0 109506;111.0 5.0 109508;83.0 2.0 109509;89.0 3.0 109510;67.0 0.0 109505;107.0 2.0 109512;100.0 4.0 109513;85.0 1.0 109514;90.0 1.0 109515;106.0 4.0 109484;97.0 3.0 109453;6.0 0.0 109519;95.0 2.0 109492;94.0 1.0 109494;109.0 5.0 109495;124.0 3.0 109511;88.0 1.0 109498;108.0 3.0 109501;81.0 3.0 109502;116.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2979.0;78.0;3029.0;81.0;2987.0;69.0;2754.0;106.0;1.02131955202;0.882246143545;1.47000167588;0.419975392818,210.0 8.0 109473;147.0 4.0 109506;168.0 6.0 109508;127.0 3.0 109509;135.0 3.0 109510;187.0 6.0 109511;146.0 3.0 109512;176.0 7.0 109513;108.0 1.0 109514;121.0 1.0 109515;170.0 6.0 109484;138.0 4.0 109453;39.0 1.0 109519;139.0 2.0 109492;131.0 2.0 109494;174.0 7.0 109495;131.0 2.0 109498;167.0 3.0 109501;154.0 6.0 109502;194.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3936.0;105.0;3981.0;112.0;3988.0;97.0;3771.0;137.0;1.05460939462;0.911763863018;1.36185172557;0.452657681941,279.0 10.0 109473;181.0 4.0 109506;260.0 11.0 109508;179.0 5.0 109509;160.0 4.0 109510;284.0 9.0 109511;168.0 3.0 109512;238.0 7.0 109513;132.0 3.0 109514;158.0 2.0 109515;235.0 8.0 109484;185.0 6.0 109453;58.0 2.0 109519;168.0 4.0 109492;156.0 2.0 109494;229.0 9.0 109495;174.0 3.0 109498;197.0 4.0 109501;204.0 6.0 109502;269.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4888.0;125.0;4997.0;148.0;4987.0;116.0;4776.0;158.0;1.15817330398;0.909577702025;1.29364154104;0.509498371336,356.0 12.0 109473;218.0 5.0 109506;359.0 13.0 109508;231.0 7.0 109509;191.0 5.0 109510;355.0 11.0 109511;200.0 4.0 109512;290.0 9.0 109513;164.0 4.0 109514;186.0 2.0 109515;333.0 15.0 109484;267.0 12.0 109453;89.0 2.0 109519;206.0 5.0 109492;175.0 2.0 109494;279.0 9.0 109495;202.0 3.0 109498;225.0 5.0 109501;253.0 11.0 109502;351.0 12.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5912.0;158.0;6007.0;177.0;6000.0;145.0;5744.0;188.0;1.10253649224;0.904261603376;1.22467472938;0.476375677122,416.0 15.0 109473;247.0 5.0 109506;426.0 16.0 109508;281.0 8.0 109509;219.0 6.0 109510;413.0 11.0 109511;234.0 5.0 109512;358.0 13.0 109513;194.0 4.0 109514;214.0 3.0 109515;438.0 17.0 109484;378.0 17.0 109453;113.0 2.0 109519;232.0 5.0 109492;192.0 2.0 109494;318.0 10.0 109495;228.0 4.0 109498;265.0 5.0 109501;324.0 11.0 109502;450.0 18.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6896.0;186.0;7001.0;208.0;6966.0;167.0;6721.0;219.0;1.10150777232;0.888827145058;1.20807675509;0.435483870968,491.0 17.0 109473;256.0 5.0 109506;500.0 18.0 109508;323.0 9.0 109509;267.0 9.0 109510;466.0 13.0 109511;266.0 6.0 109512;415.0 13.0 109513;216.0 5.0 109514;240.0 4.0 109515;525.0 21.0 109484;506.0 22.0 109453;129.0 2.0 109519;264.0 5.0 109492;210.0 3.0 109494;356.0 11.0 109495;251.0 4.0 109498;297.0 6.0 109501;377.0 12.0 109502;579.0 23.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7893.0;209.0;7964.0;233.0;7974.0;198.0;7708.0;258.0;1.10489367224;0.9377450398;1.26407783624;0.405773198121,541.0 19.0 109473;271.0 5.0 109506;556.0 20.0 109508;355.0 9.0 109509;342.0 15.0 109510;512.0 13.0 109511;295.0 6.0 109512;465.0 14.0 109513;261.0 7.0 109514;267.0 4.0 109515;608.0 22.0 109484;621.0 23.0 109453;146.0 2.0 109519;312.0 6.0 109492;228.0 3.0 109494;380.0 12.0 109495;280.0 4.0 109498;326.0 6.0 109501;424.0 13.0 109502;707.0 30.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8907.0;238.0;8930.0;263.0;8965.0;232.0;8739.0;290.0;1.10219588395;0.968483411212;1.24191180077;0.388035840956,597.0 19.0 109473;290.0 5.0 109506;624.0 22.0 109508;378.0 9.0 109509;462.0 19.0 109510;549.0 15.0 109511;321.0 7.0 109512;513.0 16.0 109513;311.0 14.0 109514;288.0 5.0 109515;675.0 23.0 109484;718.0 26.0 109453;164.0 2.0 109519;326.0 6.0 109492;244.0 4.0 109494;409.0 12.0 109495;303.0 4.0 109498;356.0 6.0 109501;483.0 16.0 109502;852.0 33.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9896.0;267.0;9947.0;293.0;9975.0;263.0;9758.0;327.0;1.09175182776;0.977217575775;1.24203937536;0.404249283427,634.0 19.0 109473;310.0 5.0 109506;697.0 26.0 109508;398.0 9.0 109509;604.0 23.0 109510;618.0 19.0 109511;345.0 7.0 109512;552.0 16.0 109513;384.0 14.0 109514;310.0 6.0 109515;733.0 26.0 109484;816.0 28.0 109453;181.0 2.0 109519;341.0 6.0 109492;267.0 4.0 109494;443.0 13.0 109495;323.0 6.0 109498;384.0 9.0 109501;549.0 18.0 109502;991.0 37.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
