data,1241395200,526781.0;18250.0;529294.0;22122.0;496961.0;17232.0;531104.0;24441.0;1.2064092284;1.00087677474;1.32833199153;1.04139833436,5431.0 159.0 109569;6576.0 272.0 109572;3811.0 157.0 109573;3221.0 117.0 109574;2532.0 80.0 109575;2597.0 99.0 109576;2951.0 123.0 109577;1365.0 39.0 109578;2303.0 91.0 109579;2026.0 80.0 109580;1160.0 43.0 109581;1162.0 53.0 109582;139.0 2.0 109583;82.0 1.0 109585;59.0 2.0 109586;14418.0 556.0 109476;2804.0 90.0 109517;24678.0 987.0 109524;8136.0 109.0 109536;2065.0 60.0 109539;14202.0 517.0 109551;6715.0 191.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,527229.0;18267.0;529736.0;22137.0;497437.0;17244.0;531555.0;24458.0;1.20612227671;1.00053432014;1.32802054769;1.04175622691,5460.0 159.0 109569;6594.0 272.0 109572;3838.0 159.0 109573;3236.0 117.0 109574;2545.0 80.0 109575;2611.0 99.0 109576;2965.0 124.0 109577;1394.0 41.0 109578;2327.0 93.0 109579;2050.0 80.0 109580;1176.0 43.0 109581;1179.0 53.0 109582;158.0 2.0 109583;100.0 1.0 109585;69.0 2.0 109586;14449.0 560.0 109476;2822.0 91.0 109517;24701.0 989.0 109524;8156.0 109.0 109536;2098.0 61.0 109539;14225.0 517.0 109551;6722.0 191.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,528126.0;18295.0;530653.0;22167.0;498336.0;17274.0;532466.0;24491.0;1.20587261413;1.00063522735;1.32776058241;1.04231746802,5486.0 160.0 109569;6636.0 274.0 109572;3898.0 161.0 109573;3265.0 117.0 109574;2576.0 81.0 109575;2656.0 100.0 109576;3014.0 126.0 109577;1446.0 41.0 109578;2368.0 94.0 109579;2076.0 80.0 109580;1218.0 45.0 109581;1215.0 56.0 109582;194.0 3.0 109583;138.0 4.0 109585;109.0 2.0 109586;14527.0 563.0 109476;2860.0 91.0 109517;24761.0 993.0 109524;8178.0 109.0 109536;2135.0 61.0 109539;14279.0 521.0 109551;6757.0 191.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,529034.0;18322.0;531534.0;22187.0;499247.0;17298.0;533373.0;24528.0;1.20525304958;1.00044019989;1.32782797896;1.04281948137,5524.0 161.0 109569;6684.0 275.0 109572;3947.0 161.0 109573;3293.0 118.0 109574;2620.0 82.0 109575;2692.0 101.0 109576;3060.0 127.0 109577;1477.0 41.0 109578;2423.0 96.0 109579;2103.0 80.0 109580;1271.0 48.0 109581;1267.0 58.0 109582;227.0 3.0 109583;176.0 5.0 109585;140.0 2.0 109586;14592.0 565.0 109476;2883.0 91.0 109517;24818.0 994.0 109524;8198.0 109.0 109536;2163.0 61.0 109539;14333.0 524.0 109551;6782.0 191.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,529950.0;18365.0;532451.0;22230.0;500173.0;17326.0;534254.0;24562.0;1.20476898709;0.999590292045;1.32666083526;1.04229746391,5563.0 163.0 109569;6713.0 275.0 109572;3983.0 161.0 109573;3332.0 120.0 109574;2657.0 83.0 109575;2727.0 103.0 109576;3097.0 130.0 109577;1509.0 41.0 109578;2477.0 100.0 109579;2118.0 80.0 109580;1327.0 50.0 109581;1340.0 63.0 109582;247.0 3.0 109583;252.0 12.0 109585;164.0 2.0 109586;14677.0 569.0 109476;2911.0 92.0 109517;24874.0 997.0 109524;8219.0 111.0 109536;2183.0 62.0 109539;14413.0 527.0 109551;6807.0 192.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,530860.0;18388.0;533395.0;22264.0;501058.0;17354.0;535181.0;24591.0;1.20503527624;0.999901224454;1.32654201803;1.04253855021,5603.0 165.0 109569;6733.0 276.0 109572;4029.0 165.0 109573;3367.0 120.0 109574;2680.0 83.0 109575;2760.0 103.0 109576;3146.0 131.0 109577;1531.0 41.0 109578;2557.0 103.0 109579;2133.0 81.0 109580;1391.0 53.0 109581;1419.0 65.0 109582;271.0 5.0 109583;372.0 19.0 109585;178.0 2.0 109586;14737.0 570.0 109476;2934.0 93.0 109517;24932.0 998.0 109524;8248.0 111.0 109536;2212.0 64.0 109539;14460.0 528.0 109551;6841.0 194.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,531786.0;18420.0;534334.0;22300.0;501960.0;17382.0;536063.0;24620.0;1.20486760413;0.999718914234;1.32592662048;1.04239067129,5642.0 167.0 109569;6769.0 277.0 109572;4079.0 166.0 109573;3398.0 123.0 109574;2702.0 84.0 109575;2789.0 105.0 109576;3191.0 132.0 109577;1540.0 41.0 109578;2650.0 108.0 109579;2161.0 82.0 109580;1441.0 54.0 109581;1487.0 67.0 109582;295.0 5.0 109583;501.0 25.0 109585;193.0 3.0 109586;14781.0 570.0 109476;2973.0 96.0 109517;24985.0 1001.0 109524;8264.0 111.0 109536;2242.0 64.0 109539;14519.0 530.0 109551;6871.0 195.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,532679.0;18459.0;535266.0;22337.0;502839.0;17419.0;537003.0;24648.0;1.20423873445;0.999658518379;1.32453176902;1.04168030475,5680.0 167.0 109569;6799.0 277.0 109572;4127.0 169.0 109573;3453.0 126.0 109574;2731.0 86.0 109575;2826.0 106.0 109576;3220.0 133.0 109577;1553.0 42.0 109578;2744.0 113.0 109579;2178.0 82.0 109580;1480.0 55.0 109581;1537.0 70.0 109582;327.0 6.0 109583;670.0 35.0 109585;208.0 4.0 109586;14822.0 571.0 109476;3007.0 96.0 109517;25038.0 1003.0 109524;8285.0 111.0 109536;2264.0 65.0 109539;14562.0 530.0 109551;6894.0 196.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,533575.0;18493.0;536151.0;22365.0;503695.0;17450.0;537930.0;24679.0;1.20356593033;0.999576172157;1.3237009974;1.04138347991,5708.0 168.0 109569;6832.0 281.0 109572;4176.0 172.0 109573;3505.0 128.0 109574;2750.0 86.0 109575;2855.0 107.0 109576;3252.0 133.0 109577;1567.0 42.0 109578;2854.0 116.0 109579;2202.0 83.0 109580;1521.0 58.0 109581;1590.0 70.0 109582;350.0 6.0 109583;830.0 40.0 109585;231.0 5.0 109586;14860.0 573.0 109476;3023.0 96.0 109517;25096.0 1004.0 109524;8299.0 112.0 109536;2281.0 65.0 109539;14593.0 530.0 109551;6915.0 196.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,534416.0;18513.0;537035.0;22390.0;504606.0;17476.0;538861.0;24713.0;1.20352233351;0.999751988993;1.3238883712;1.04196737738,5731.0 168.0 109569;6879.0 281.0 109572;4283.0 182.0 109573;3553.0 128.0 109574;2777.0 87.0 109575;2879.0 107.0 109576;3275.0 133.0 109577;1577.0 42.0 109578;2940.0 118.0 109579;2217.0 83.0 109580;1566.0 59.0 109581;1631.0 72.0 109582;370.0 6.0 109583;993.0 46.0 109585;248.0 5.0 109586;14891.0 574.0 109476;3041.0 96.0 109517;25140.0 1005.0 109524;8319.0 112.0 109536;2297.0 65.0 109539;14629.0 531.0 109551;6938.0 196.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,535286.0;18543.0;537921.0;22424.0;505508.0;17508.0;539732.0;24748.0;1.20337357962;0.999802898659;1.32363373197;1.04216628565,5754.0 169.0 109569;6917.0 281.0 109572;4425.0 191.0 109573;3608.0 129.0 109574;2800.0 88.0 109575;2895.0 108.0 109576;3291.0 134.0 109577;1587.0 42.0 109578;3043.0 125.0 109579;2228.0 83.0 109580;1632.0 62.0 109581;1681.0 74.0 109582;374.0 6.0 109583;1130.0 49.0 109585;259.0 5.0 109586;14921.0 574.0 109476;3062.0 97.0 109517;25194.0 1007.0 109524;8331.0 112.0 109536;2316.0 66.0 109539;14652.0 531.0 109551;6960.0 197.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
